HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
1001001,1,,Im,,,True,2,Anfang
1001001,2,,Anfang,בְּרֵאשִׁ֖ית,1,False,,
1001001,3,,schuf,בָּרָ֣א,2,False,,
1001001,4,,Gott,אֱלֹהִ֑ים,3,False,,
1001001,5,,die,אֵ֥ת,4,False,,
1001001,6,,Himmel,הַשָּׁמַ֖יִם,5,False,,
1001001,7,,und,וְאֵ֥ת,6,False,,
1001001,8,,die,וְאֵ֥ת,6,False,,
1001001,9,,Erde,הָאָֽרֶץ׃,7,False,,
1001002,1,,Und,וְהָאָ֗רֶץ,1,False,,
1001002,2,,die,וְהָאָ֗רֶץ,1,False,,
1001002,3,,Erde,וְהָאָ֗רֶץ,1,False,,
1001002,4,,war,הָיְתָ֥ה,2,False,,
1001002,5,,wüst,תֹ֙הוּ֙,3,False,,
1001002,6,,und,וָבֹ֔הוּ,4,False,,
1001002,7,,leer,וָבֹ֔הוּ,4,False,,
1001002,8,,und,וְחֹ֖שֶׁךְ,5,False,,
1001002,9,,Finsternis,וְחֹ֖שֶׁךְ,5,False,,
1001002,10,,war,,,True,9,Finsternis
1001002,11,,über,עַל־,6,False,,
1001002,12,,der,,,True,13,Tiefe
1001002,13,,Tiefe,תְה֑וֹם,8,False,,
1001002,14,,und,וְר֣וּחַ,9,False,,
1001002,15,,der,,,True,16,Geist
1001002,16,,Geist,וְר֣וּחַ,9,False,,
1001002,17,,Gottes,אֱלֹהִ֔ים,10,False,,
1001002,18,,schwebte,מְרַחֶ֖פֶת,11,False,,
1001002,19,,über,עַל־,12,False,,
1001002,20,,den,,,True,21,Wassern
1001002,21,,Wassern,הַמָּֽיִם׃,14,False,,
1001003,1,,Und,וַיֹּ֥אמֶר,1,False,,
1001003,2,,Gott,אֱלֹהִ֖ים,2,False,,
1001003,3,,sprach,וַיֹּ֥אמֶר,1,False,,
1001003,4,,Es,,,True,5,werde
1001003,5,,werde,יְהִ֣י,3,False,,
1001003,6,,Licht,א֑וֹר,4,False,,
1001003,7,,und,וַֽיְהִי־,5,False,,
1001003,8,,es,,,True,9,ward
1001003,9,,ward,וַֽיְהִי־,5,False,,
1001003,10,,Licht,אֽוֹר׃,6,False,,
1001004,1,,Und,וַיַּ֧רְא,1,False,,
1001004,2,,Gott,אֱלֹהִ֛ים,2,False,,
1001004,3,,sah,וַיַּ֧רְא,1,False,,
1001004,4,,das,אֶת־,3,False,,
1001004,5,,Licht,הָא֖וֹר,4,False,,
1001004,6,,daß,כִּי־,5,False,,
1001004,7,,es,,,True,9,war
1001004,8,,gut,ט֑וֹב,6,False,,
1001004,9,,war,,,True,8,gut
