HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
3001001,1,,Und,וַיִּקְרָ֖א,1,False,,
3001001,2,,Jahwe,יְהוָה֙,5,False,,
3001001,3,,rief,וַיִּקְרָ֖א,1,False,,
3001001,4,,Mose,מֹשֶׁ֑ה,3,False,,
3001001,5,,und,וַיְדַבֵּ֤ר,4,False,,
3001001,6,,er,וַיְדַבֵּ֤ר,4,False,,
3001001,7,,redete,וַיְדַבֵּ֤ר,4,False,,
3001001,8,,zu,אֶל־,2,False,,
3001001,9,,ihm,אֵלָ֔יו,6,False,,
3001001,10,,aus,מֵאֹ֥הֶל,7,False,,
3001001,11,,dem,מֵאֹ֥הֶל,7,False,,
3001001,12,,Zelte,מֵאֹ֥הֶל,7,False,,
3001001,13,,der,מוֹעֵ֖ד,8,True,,
3001001,14,,Zusammenkunft,מוֹעֵ֖ד,8,False,,
3001001,15,,und,לֵאמֹֽר׃,9,True,,
3001001,16,,sprach,לֵאמֹֽר׃,9,False,,
3001002,1,,Rede,דַּבֵּ֞ר,1,False,,
3001002,2,,zu,אֶל־,2,False,,
3001002,3,,den,בְּנֵ֤י,3,True,,
3001002,4,,Kindern,בְּנֵ֤י,3,False,,
3001002,5,,Israel,יִשְׂרָאֵל֙,4,False,,
3001002,6,,und,וְאָמַרְתָּ֣,5,False,,
3001002,7,,sprich,וְאָמַרְתָּ֣,5,False,,
3001002,8,,zu,אֲלֵהֶ֔ם,6,False,,
3001002,9,,ihnen,אֲלֵהֶ֔ם,6,False,,
3001002,10,,Wenn,כִּֽי־,8,False,,
3001002,11,,ein,אָדָ֗ם,7,True,,
3001002,12,,Mensch,אָדָ֗ם,7,False,,
3001002,13,,von,מִכֶּ֛ם,10,False,,
3001002,14,,euch,מִכֶּ֛ם,10,False,,
3001002,15,,dem,לַֽיהוָ֑ה,12,True,,
3001002,16,,Jahwe,לַֽיהוָ֑ה,12,False,,
3001002,17,,eine,קָרְבָּ֖ן,11,True,,
3001002,18,,Opfergabe,קָרְבָּ֖ן,11,False,,
3001002,19,,darbringen,יַקְרִ֥יב,9,False,,
3001002,20,,will,יַקְרִ֥יב,9,False,,
3001002,21,,so,אֶת־,20,True,,
3001002,22,,sollt,תַּקְרִ֖יבוּ,19,False,,
3001002,23,,ihr,תַּקְרִ֖יבוּ,19,False,,
3001002,24,,vom,מִן־,13,False,,
3001002,25,,Vieh,הַבְּהֵמָ֗ה,14,False,,
3001002,26,,vom,מִן־,15,False,,
3001002,27,,Rind,הַבָּקָר֙,16,False,,
3001002,28,,und,וּמִן־,17,False,,
3001002,29,,Kleinvieh,הַצֹּ֔אן,18,False,,
3001002,30,,eure,קָרְבַּנְכֶֽם׃,21,False,,
3001002,31,,Opfergabe,קָרְבַּנְכֶֽם׃,21,False,,
3001002,32,,darbringen,תַּקְרִ֖יבוּ,19,False,,
3001003,1,,Wenn,אִם־,1,False,,
3001003,2,,seine,קָרְבָּנוֹ֙,3,False,,
3001003,3,,Opfergabe,קָרְבָּנוֹ֙,3,False,,
3001003,4,,ein,עֹלָ֤ה,2,True,,
3001003,5,,Brandopfer,עֹלָ֤ה,2,False,,
3001003,6,,ist,יַקְרִיבֶ֑נּוּ,8,True,,
3001003,7,,vom,מִן־,4,False,,
3001003,8,,Rindvieh,הַבָּקָ֔ר,5,False,,
3001003,9,,so,יַקְרִיבֶ֑נּוּ,8,True,,
3001003,10,,soll,יַקְרִיבֶ֑נּוּ,8,False,,
3001003,11,,er,יַקְרִיבֶ֑נּוּ,8,False,,
3001003,12,,sie,יַקְרִיבֶ֑נּוּ,8,False,,
3001003,13,,darbringen,יַקְרִיבֶ֑נּוּ,8,False,,
3001003,14,,ein,זָכָ֥ר,6,True,,
3001003,15,,Männliches,זָכָ֥ר,6,False,,
3001003,16,,ohne,תָּמִ֖ים,7,False,,
3001003,17,,Fehl,תָּמִ֖ים,7,False,,
3001003,18,,an,אֶל־,9,False,,
3001003,19,,dem,פֶּ֝תַח,10,True,,
3001003,20,,Eingang,פֶּ֝תַח,10,False,,
3001003,21,,des,אֹ֤הֶל,11,False,,
3001003,22,,Zeltes,אֹ֤הֶל,11,False,,
3001003,23,,der,מוֹעֵד֙,12,False,,
3001003,24,,Zusammenkunft,מוֹעֵד֙,12,False,,
3001003,25,,soll,יַקְרִ֣יב,13,False,,
3001003,26,,er,יַקְרִ֣יב,13,False,,
3001003,27,,sie,אֹת֔וֹ,14,False,,
3001003,28,,darbringen,יַקְרִ֣יב,13,False,,
3001003,29,,zum,לִרְצֹנ֖וֹ,15,False,,
3001003,30,,Wohlgefallen,לִרְצֹנ֖וֹ,15,False,,
3001003,31,,für,לִפְנֵ֥י,16,False,,
3001003,32,,ihn,לִרְצֹנ֖וֹ,15,False,,
3001003,33,,vor,לִפְנֵ֥י,16,False,,
3001003,34,,Jahwe,יְהוָֽה׃,17,False,,
3001004,1,,Und,וְסָמַ֣ךְ,1,False,,
3001004,2,,er,וְסָמַ֣ךְ,1,False,,
3001004,3,,soll,וְסָמַ֣ךְ,1,False,,
3001004,4,,seine,יָד֔וֹ,2,False,,
3001004,5,,Hand,יָד֔וֹ,2,False,,
3001004,6,,auf,עַ֖ל,3,False,,
3001004,7,,den,רֹ֣אשׁ,4,True,,
3001004,8,,Kopf,רֹ֣אשׁ,4,False,,
3001004,9,,des,הָעֹלָ֑ה,5,False,,
3001004,10,,Brandopfers,הָעֹלָ֑ה,5,False,,
3001004,11,,legen,וְסָמַ֣ךְ,1,False,,
3001004,12,,und,וְנִרְצָ֥ה,6,False,,
3001004,13,,es,ל֖וֹ,7,False,,
3001004,14,,wird,וְנִרְצָ֥ה,6,False,,
3001004,15,,wohlgefällig,וְנִרְצָ֥ה,6,False,,
3001004,16,,für,לְכַפֵּ֥ר,8,False,,
3001004,17,,ihn,ל֖וֹ,7,False,,
3001004,18,,sein,וְנִרְצָ֥ה,6,False,,
3001004,19,,um,לְכַפֵּ֥ר,8,False,,
3001004,20,,Sühnung,לְכַפֵּ֥ר,8,False,,
3001004,21,,für,עָלָֽיו׃,9,False,,
3001004,22,,ihn,עָלָֽיו׃,9,False,,
3001004,23,,zu,לְכַפֵּ֥ר,8,False,,
3001004,24,,tun,לְכַפֵּ֥ר,8,False,,
3001005,1,,Und,וְשָׁחַ֛ט,1,False,,
3001005,2,,er,וְשָׁחַ֛ט,1,False,,
3001005,3,,soll,וְשָׁחַ֛ט,1,False,,
3001005,4,,das,בֶּ֥ן,3,True,,
3001005,5,,junge,בֶּ֥ן,3,False,,
3001005,6,,Rind,הַבָּקָ֖ר,4,False,,
3001005,7,,schlachten,וְשָׁחַ֛ט,1,False,,
3001005,8,,vor,לִפְנֵ֣י,5,False,,
3001005,9,,Jahwe,יְהוָ֑ה,6,False,,
3001005,10,,und,וְ֠הִקְרִיבוּ,7,False,,
3001005,11,,die,בְּנֵ֨י,8,True,,
3001005,12,,Söhne,בְּנֵ֨י,8,False,,
3001005,13,,Aarons,אַהֲרֹ֤ן,9,False,,
3001005,14,,die,הַֽכֹּֽהֲנִים֙,10,True,,
3001005,15,,Priester,הַֽכֹּֽהֲנִים֙,10,False,,
3001005,16,,sollen,וְ֠הִקְרִיבוּ,7,False,,
3001005,17,,das,אֶת־,11,True,,
3001005,18,,Blut,הַדָּ֔ם,12,False,,
3001005,19,,herzubringen,וְ֠הִקְרִיבוּ,7,False,,
3001005,20,,und,וְזָרְק֨וּ,13,False,,
3001005,21,,das,אֶת־,14,True,,
3001005,22,,Blut,הַדָּ֤ם,15,False,,
3001005,23,,ringsum,סָבִ֔יב,18,False,,
3001005,24,,an,עַל־,16,False,,
3001005,25,,den,הַמִּזְבֵּ֙חַ֙,17,True,,
3001005,26,,Altar,הַמִּזְבֵּ֙חַ֙,17,False,,
3001005,27,,sprengen,וְזָרְק֨וּ,13,False,,
3001005,28,,der,אֲשֶׁר־,19,False,,
3001005,29,,an,פֶּ֖תַח,20,False,,
3001005,30,,dem,פֶּ֖תַח,20,False,,
3001005,31,,Eingang,פֶּ֖תַח,20,False,,
3001005,32,,des,אֹ֥הֶל,21,False,,
3001005,33,,Zeltes,אֹ֥הֶל,21,False,,
3001005,34,,der,מוֹעֵֽד׃,22,True,,
3001005,35,,Zusammenkunft,מוֹעֵֽד׃,22,False,,
3001005,36,,ist,אֲשֶׁר־,19,False,,
