HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
4001001,1,,Und,וַיְדַבֵּ֨ר,1,False,,
4001001,2,,Jahwe,יְהוָ֧ה,2,False,,
4001001,3,,redete,וַיְדַבֵּ֨ר,1,False,,
4001001,4,,zu,אֶל־,3,False,,
4001001,5,,Mose,מֹשֶׁ֛ה,4,False,,
4001001,6,,in,בְּמִדְבַּ֥ר,5,False,,
4001001,7,,der,בְּמִדְבַּ֥ר,5,False,,
4001001,8,,Wüste,בְּמִדְבַּ֥ר,5,False,,
4001001,9,,Sinai,סִינַ֖י,6,False,,
4001001,10,,im,בְּאֹ֣הֶל,7,False,,
4001001,11,,Zelte,בְּאֹ֣הֶל,7,False,,
4001001,12,,der,בְּאֹ֣הֶל,7,False,,
4001001,13,,Zusammenkunft,מוֹעֵ֑ד,8,False,,
4001001,14,,am,בְּאֶחָד֩,9,False,,
4001001,15,,Ersten,בְּאֶחָד֩,9,False,,
4001001,16,,des,לַחֹ֨דֶשׁ,10,False,,
4001001,17,,zweiten,הַשֵּׁנִ֜י,11,False,,
4001001,18,,Monats,לַחֹ֨דֶשׁ,10,False,,
4001001,19,,im,בַּשָּׁנָ֣ה,12,False,,
4001001,20,,zweiten,הַשֵּׁנִ֗ית,13,False,,
4001001,21,,Jahre,בַּשָּׁנָ֣ה,12,False,,
4001001,22,,nach,לְצֵאתָ֛ם,14,False,,
4001001,23,,ihrem,לְצֵאתָ֛ם,14,False,,
4001001,24,,Auszuge,לְצֵאתָ֛ם,14,False,,
4001001,25,,aus,מֵאֶ֥רֶץ,15,False,,
4001001,26,,dem,מֵאֶ֥רֶץ,15,False,,
4001001,27,,Lande,מֵאֶ֥רֶץ,15,False,,
4001001,28,,Ägypten,מִצְרַ֖יִם,16,False,,
4001001,29,,und,לֵאמֹֽר׃,17,False,,
4001001,30,,sprach,לֵאמֹֽר׃,17,False,,
4001002,1,,Nehmet,שְׂא֗וּ,1,False,,
4001002,2,,auf,שְׂא֗וּ,1,False,,
4001002,3,,die,אֶת־,2,False,,
4001002,4,,Summe,רֹאשׁ֙,3,False,,
4001002,5,,der,כָּל־,4,False,,
4001002,6,,ganzen,כָּל־,4,False,,
4001002,7,,Gemeinde,עֲדַ֣ת,5,False,,
4001002,8,,der,בְּנֵֽי־,6,False,,
4001002,9,,Kinder,בְּנֵֽי־,6,False,,
4001002,10,,Israel,יִשְׂרָאֵ֔ל,7,False,,
4001002,11,,nach,לְמִשְׁפְּחֹתָ֖ם,8,False,,
4001002,12,,ihren,לְמִשְׁפְּחֹתָ֖ם,8,False,,
4001002,13,,Geschlechtern,לְמִשְׁפְּחֹתָ֖ם,8,False,,
4001002,14,,nach,לְבֵ֣ית,9,False,,
4001002,15,,ihren,לְבֵ֣ית,9,False,,
