HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
6001001,1,,Und,וַיְהִ֗י,1,False,,
6001001,2,,es,וַיְהִ֗י,1,True,,
6001001,3,,geschah,וַיְהִ֗י,1,False,,
6001001,4,,nach,אַחֲרֵ֛י,2,False,,
6001001,5,,dem,מ֥וֹת,3,True,,
6001001,6,,Tode,מ֥וֹת,3,False,,
6001001,7,,Moses,מֹשֶׁ֖ה,4,False,,
6001001,8,,des,עֶ֣בֶד,5,False,,
6001001,9,,Knechtes,עֶ֣בֶד,5,False,,
6001001,10,,Jahwes,יְהוָ֑ה,6,False,,
6001001,11,,da,וַיֹּ֤אמֶר,7,True,,
6001001,12,,sprach,וַיֹּ֤אמֶר,7,False,,
6001001,13,,Jahwe,יְהוָה֙,8,False,,
6001001,14,,zu,אֶל־,9,False,,
6001001,15,,Josua,יְהוֹשֻׁ֣עַ,10,False,,
6001001,16,,dem,בִּן־,11,True,,
6001001,17,,Sohne,בִּן־,11,False,,
6001001,18,,Nuns,נ֔וּן,12,False,,
6001001,19,,dem,מְשָׁרֵ֥ת,13,True,,
6001001,20,,Diener,מְשָׁרֵ֥ת,13,False,,
6001001,21,,Moses,מֹשֶׁ֖ה,14,False,,
6001001,22,,und,לֵאמֹֽר׃,15,True,,
6001001,23,,sagte,לֵאמֹֽר׃,15,False,,
6001002,1,,Mein,עַבְדִּ֖י,2,False,,
6001002,2,,Knecht,עַבְדִּ֖י,2,False,,
6001002,3,,Mose,מֹשֶׁ֥ה,1,False,,
6001002,4,,ist,מֵ֑ת,3,True,,
6001002,5,,gestorben,מֵ֑ת,3,False,,
6001002,6,,und,וְעַתָּה֩,4,False,,
6001002,7,,nun,וְעַתָּה֩,4,False,,
6001002,8,,mache,ק֨וּם,5,False,,
6001002,9,,dich,ק֨וּם,5,True,,
6001002,10,,auf,ק֨וּם,5,True,,
6001002,11,,gehe,עֲבֹ֜ר,6,False,,
6001002,12,,über,עֲבֹ֜ר,6,True,,
6001002,13,,diesen,הַזֶּ֗ה,9,False,,
6001002,14,,Jordan,הַיַּרְדֵּ֣ן,8,False,,
6001002,15,,du,אַתָּה֙,10,False,,
6001002,16,,und,וְכָל־,11,False,,
6001002,17,,dieses,הַזֶּ֔ה,13,False,,
6001002,18,,ganze,וְכָל־,11,False,,
6001002,19,,Volk,הָעָ֣ם,12,False,,
6001002,20,,in,אֶל־,14,False,,
6001002,21,,das,הָאָ֕רֶץ,15,True,,
6001002,22,,Land,הָאָ֕רֶץ,15,False,,
6001002,23,,das,אֲשֶׁ֧ר,16,False,,
6001002,24,,ich,אָנֹכִ֛י,17,False,,
6001002,25,,ihnen,לָהֶ֖ם,19,False,,
6001002,26,,den,לִבְנֵ֥י,20,True,,
6001002,27,,Kindern,לִבְנֵ֥י,20,False,,
6001002,28,,Israel,יִשְׂרָאֵֽל׃,21,False,,
6001002,29,,gebe,נֹתֵ֥ן,18,False,,
6001003,1,,Jeden,כָּל־,1,False,,
6001003,2,,Ort,מָק֗וֹם,2,False,,
6001003,3,,auf,בּ֖וֹ,7,False,,
6001003,4,,den,אֲשֶׁ֨ר,3,True,,
6001003,5,,eure,רַגְלְכֶ֛ם,6,False,,
6001003,6,,Fußsohle,כַּֽף־,5,False,,
