HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
7001001,1,,Und,וַיְהִ֗י,1,False,,
7001001,2,,es,וַיְהִ֗י,1,True,,
7001001,3,,geschah,וַיְהִ֗י,1,False,,
7001001,4,,nach,אַחֲרֵי֙,2,False,,
7001001,5,,dem,מ֣וֹת,3,True,,
7001001,6,,Tode,מ֣וֹת,3,False,,
7001001,7,,Josuas,יְהוֹשֻׁ֔עַ,4,False,,
7001001,8,,da,וַֽיִּשְׁאֲלוּ֙,5,True,,
7001001,9,,befragten,וַֽיִּשְׁאֲלוּ֙,5,False,,
7001001,10,,die,בְּנֵ֣י,6,True,,
7001001,11,,Kinder,בְּנֵ֣י,6,False,,
7001001,12,,Israel,יִשְׂרָאֵ֔ל,7,False,,
7001001,13,,Jahwe,בַּיהוָ֖ה,8,False,,
7001001,14,,und,לֵאמֹ֑ר,9,False,,
7001001,15,,sprachen,לֵאמֹ֑ר,9,False,,
7001001,16,,Wer,מִ֣י,10,False,,
7001001,17,,von,אֶל־,13,False,,
7001001,18,,uns,לָּ֧נוּ,12,False,,
7001001,19,,soll,יַעֲלֶה־,11,False,,
7001001,20,,zuerst,בַּתְּחִלָּ֖ה,15,False,,
7001001,21,,wider,אֶל־,13,False,,
7001001,22,,die,הַֽכְּנַעֲנִ֛י,14,True,,
7001001,23,,Kanaaniter,הַֽכְּנַעֲנִ֛י,14,False,,
7001001,24,,hinaufziehen,יַעֲלֶה־,11,False,,
7001001,25,,um,לְהִלָּ֥חֶם,16,False,,
7001001,26,,wider,לְהִלָּ֥חֶם,16,False,,
7001001,27,,sie,בּֽוֹ׃,17,False,,
7001001,28,,zu,לְהִלָּ֥חֶם,16,False,,
7001001,29,,streiten,לְהִלָּ֥חֶם,16,False,,
7001002,1,,Und,וַיֹּ֣אמֶר,1,False,,
7001002,2,,Jahwe,יְהוָ֖ה,2,False,,
7001002,3,,sprach,וַיֹּ֣אמֶר,1,False,,
7001002,4,,Juda,יְהוּדָ֣ה,3,False,,
7001002,5,,soll,יַעֲלֶ֑ה,4,False,,
7001002,6,,hinaufziehen,יַעֲלֶ֑ה,4,False,,
7001002,7,,siehe,הִנֵּ֛ה,5,False,,
7001002,8,,ich,נָתַ֥תִּי,6,False,,
7001002,9,,habe,נָתַ֥תִּי,6,False,,
7001002,10,,das,אֶת־,7,True,,
7001002,11,,Land,הָאָ֖רֶץ,8,False,,
7001002,12,,in,בְּיָדֽוֹ׃,9,False,,
7001002,13,,seine,בְּיָדֽוֹ׃,9,False,,
7001002,14,,Hand,בְּיָדֽוֹ׃,9,False,,
7001002,15,,gegeben,נָתַ֥תִּי,6,False,,
7001003,1,,Und,וַיֹּ֣אמֶר,1,False,,
7001003,2,,Juda,יְהוּדָה֩,2,False,,
7001003,3,,sprach,וַיֹּ֣אמֶר,1,False,,
7001003,4,,zu,לְשִׁמְע֨וֹן,3,False,,
7001003,5,,Simeon,לְשִׁמְע֨וֹן,3,False,,
7001003,6,,seinem,אָחִ֜יו,4,False,,
7001003,7,,Bruder,אָחִ֜יו,4,False,,
7001003,8,,Ziehe,עֲלֵ֧ה,5,False,,
7001003,9,,mit,אִתִּ֣י,6,False,,
7001003,10,,mir,אִתִּ֣י,6,False,,
7001003,11,,hinauf,עֲלֵ֧ה,5,False,,
7001003,12,,in,בְגוֹרָלִ֗י,7,False,,
7001003,13,,mein,בְגוֹרָלִ֗י,7,False,,
7001003,14,,Los,בְגוֹרָלִ֗י,7,False,,
7001003,15,,und,וְנִֽלָּחֲמָה֙,8,False,,
7001003,16,,laß,וְנִֽלָּחֲמָה֙,8,False,,
7001003,17,,uns,וְנִֽלָּחֲמָה֙,8,False,,
7001003,18,,wider,בַּֽכְּנַעֲנִ֔י,9,False,,
7001003,19,,die,בַּֽכְּנַעֲנִ֔י,9,True,,
7001003,20,,Kanaaniter,בַּֽכְּנַעֲנִ֔י,9,False,,
7001003,21,,streiten,וְנִֽלָּחֲמָה֙,8,False,,
7001003,22,,so,וְהָלַכְתִּ֧י,10,False,,
7001003,23,,will,וְהָלַכְתִּ֧י,10,False,,
7001003,24,,auch,גַם־,11,False,,
7001003,25,,ich,אֲנִ֛י,12,False,,
7001003,26,,mit,אִתְּךָ֖,13,False,,
7001003,27,,dir,אִתְּךָ֖,13,False,,
