HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
8001001,1,,Und,וַיְהִ֗י,1,False,,
8001001,2,,es,וַיְהִ֗י,1,True,,
8001001,3,,geschah,וַיְהִ֗י,1,False,,
8001001,4,,in,בִּימֵי֙,2,False,,
8001001,5,,den,בִּימֵי֙,2,True,,
8001001,6,,Tagen,בִּימֵי֙,2,False,,
8001001,7,,als,שְׁפֹ֣ט,3,False,,
8001001,8,,die,הַשֹּׁפְטִ֔ים,4,True,,
8001001,9,,Richter,הַשֹּׁפְטִ֔ים,4,False,,
8001001,10,,richteten,שְׁפֹ֣ט,3,False,,
8001001,11,,da,וַיְהִ֥י,5,False,,
8001001,12,,entstand,וַיְהִ֥י,5,False,,
8001001,13,,eine,רָעָ֖ב,6,False,,
8001001,14,,Hungersnot,רָעָ֖ב,6,False,,
8001001,15,,im,בָּאָ֑רֶץ,7,False,,
8001001,16,,Lande,בָּאָ֑רֶץ,7,False,,
8001001,17,,Und,וַיֵּ֨לֶךְ,8,False,,
8001001,18,,ein,אִ֜ישׁ,9,False,,
8001001,19,,Mann,אִ֜ישׁ,9,False,,
8001001,20,,von,מִבֵּ֧ית,10,False,,
8001001,21,,Bethlehem-Juda,מִבֵּ֧ית,10,False,,
8001001,22,,zog,וַיֵּ֨לֶךְ,8,False,,
8001001,23,,hin,וַיֵּ֨לֶךְ,8,True,,
8001001,24,,um,לָגוּר֙,13,False,,
8001001,25,,sich,לָגוּר֙,13,False,,
8001001,26,,in,בִּשְׂדֵ֣י,14,False,,
8001001,27,,den,בִּשְׂדֵ֣י,14,True,,
8001001,28,,Gefilden,בִּשְׂדֵ֣י,14,False,,
8001001,29,,Moabs,מוֹאָ֔ב,15,False,,
8001001,30,,aufzuhalten,לָגוּר֙,13,False,,
8001001,31,,er,ה֥וּא,16,False,,
8001001,32,,und,וְאִשְׁתּ֖וֹ,17,False,,
8001001,33,,sein,וְאִשְׁתּ֖וֹ,17,False,,
8001001,34,,Weib,וְאִשְׁתּ֖וֹ,17,False,,
8001001,35,,und,וּשְׁנֵ֥י,18,False,,
8001001,36,,seine,וּשְׁנֵ֥י,18,False,,
8001001,37,,beiden,וּשְׁנֵ֥י,18,False,,
8001001,38,,Söhne,בָנָֽיו׃,19,False,,
8001002,1,,Und,וְשֵׁ֣ם,1,False,,
8001002,2,,der,הָאִ֣ישׁ,2,True,,
8001002,3,,Name,וְשֵׁ֣ם,1,False,,
8001002,4,,des,הָאִ֣ישׁ,2,False,,
8001002,5,,Mannes,הָאִ֣ישׁ,2,False,,
8001002,6,,war,אֱֽלִימֶ֡לֶךְ,3,False,,
8001002,7,,Elimelech,אֱֽלִימֶ֡לֶךְ,3,False,,
8001002,8,,und,וְשֵׁם֩,4,False,,
8001002,9,,der,אִשְׁתּ֨וֹ,5,True,,
8001002,10,,Name,אִשְׁתּ֨וֹ,5,False,,
8001002,11,,seines,אִשְׁתּ֨וֹ,5,False,,
8001002,12,,Weibes,אִשְׁתּ֨וֹ,5,False,,
8001002,13,,Noomi,נָעֳמִ֜י,6,False,,
8001002,14,,und,וְשֵׁ֥ם,7,False,,
8001002,15,,die,שְׁנֵֽי־,8,True,,
8001002,16,,Namen,וְשֵׁ֥ם,7,False,,
8001002,17,,seiner,בָנָ֣יו׀,9,False,,
8001002,18,,beiden,שְׁנֵֽי־,8,False,,
8001002,19,,Söhne,בָנָ֣יו׀,9,False,,
8001002,20,,Machlon,מַחְל֤וֹן,10,False,,
8001002,21,,und,וְכִלְיוֹן֙,11,False,,
8001002,22,,Kiljon,וְכִלְיוֹן֙,11,False,,
8001002,23,,Ephratiter,אֶפְרָתִ֔ים,12,False,,
8001002,24,,von,מִבֵּ֥ית,13,False,,
8001002,25,,Bethlehem-Juda,מִבֵּ֥ית,13,False,,
8001002,26,,Und,וַיָּבֹ֥אוּ,16,False,,
8001002,27,,sie,וַיָּבֹ֥אוּ,16,False,,
8001002,28,,kamen,וַיָּבֹ֥אוּ,16,False,,
8001002,29,,in,שְׂדֵי־,17,False,,
8001002,30,,die,שְׂדֵי־,17,True,,
8001002,31,,Gefilde,שְׂדֵי־,17,False,,
8001002,32,,Moabs,מוֹאָ֖ב,18,False,,
8001002,33,,und,וַיִּֽהְיוּ־,19,False,,
8001002,34,,blieben,וַיִּֽהְיוּ־,19,False,,
8001002,35,,daselbst,שָֽׁם׃,20,False,,
8001003,1,,Und,וַיָּ֥מָת,1,False,,
8001003,2,,Elimelech,אֱלִימֶ֖לֶךְ,2,False,,
8001003,3,,der,אִ֣ישׁ,3,True,,
8001003,4,,Mann,אִ֣ישׁ,3,False,,
8001003,5,,Noomis,נָעֳמִ֑י,4,False,,
8001003,6,,starb,וַיָּ֥מָת,1,False,,
8001003,7,,und,וַתִּשָּׁאֵ֥ר,5,False,,
8001003,8,,sie,הִ֖יא,6,False,,
8001003,9,,blieb,וַתִּשָּׁאֵ֥ר,5,False,,
8001003,10,,mit,וּשְׁנֵ֥י,7,False,,
8001003,11,,ihren,וּשְׁנֵ֥י,7,False,,
8001003,12,,beiden,וּשְׁנֵ֥י,7,False,,
8001003,13,,Söhnen,בָנֶֽיהָ׃,8,False,,
8001003,14,,übrig,וַתִּשָּׁאֵ֥ר,5,False,,
8001004,1,,Und,וַיִּשְׂא֣וּ,1,False,,
8001004,2,,sie,וַיִּשְׂא֣וּ,1,False,,
8001004,3,,nahmen,וַיִּשְׂא֣וּ,1,False,,
8001004,4,,sich,לָהֶ֗ם,2,False,,
8001004,5,,moabitische,מֹֽאֲבִיּ֔וֹת,4,False,,
8001004,6,,Weiber,נָשִׁים֙,3,False,,
8001004,7,,der,שֵׁ֤ם,5,True,,
8001004,8,,Name,שֵׁ֤ם,5,False,,
8001004,9,,der,הָֽאַחַת֙,6,True,,
8001004,10,,einen,הָֽאַחַת֙,6,False,,
8001004,11,,war,הָֽאַחַת֙,6,False,,
8001004,12,,Orpa,עָרְפָּ֔ה,7,False,,
8001004,13,,und,וְשֵׁ֥ם,8,False,,
8001004,14,,der,וְשֵׁ֥ם,8,True,,
8001004,15,,Name,וְשֵׁ֥ם,8,False,,
8001004,16,,der,הַשֵּׁנִ֖ית,9,True,,
8001004,17,,anderen,הַשֵּׁנִ֖ית,9,False,,
8001004,18,,Ruth,ר֑וּת,10,False,,
8001004,19,,und,וַיֵּ֥שְׁבוּ,11,False,,
8001004,20,,sie,וַיֵּ֥שְׁבוּ,11,False,,
8001004,21,,wohnten,וַיֵּ֥שְׁבוּ,11,False,,
8001004,22,,daselbst,שָׁ֖ם,12,False,,
8001004,23,,bei,כְּעֶ֥שֶׂר,13,False,,
8001004,24,,zehn,כְּעֶ֥שֶׂר,13,False,,
8001004,25,,Jahren,שָׁנִֽים׃,14,False,,
8001005,1,,Da,וַיָּמ֥וּתוּ,1,False,,
8001005,2,,starben,וַיָּמ֥וּתוּ,1,False,,
8001005,3,,auch,גַם־,2,False,,
8001005,4,,die,שְׁנֵיהֶ֖ם,3,True,,
8001005,5,,beiden,שְׁנֵיהֶ֖ם,3,False,,
8001005,6,,Machlon,מַחְל֣וֹן,4,False,,
8001005,7,,und,וְכִלְי֑וֹן,5,False,,
8001005,8,,Kiljon,וְכִלְי֑וֹן,5,False,,
8001005,9,,und,וַתִּשָּׁאֵר֙,6,False,,
8001005,10,,das,הָֽאִשָּׁ֔ה,7,True,,
8001005,11,,Weib,הָֽאִשָּׁ֔ה,7,False,,
8001005,12,,blieb,וַתִּשָּׁאֵר֙,6,False,,
8001005,13,,allein,וַתִּשָּׁאֵר֙,6,False,,
8001005,14,,übrig,וַתִּשָּׁאֵר֙,6,False,,
8001005,15,,von,מִשְּׁנֵ֥י,8,False,,
8001005,16,,ihren,יְלָדֶ֖יהָ,9,False,,
8001005,17,,beiden,מִשְּׁנֵ֥י,8,False,,
8001005,18,,Söhnen,יְלָדֶ֖יהָ,9,False,,
8001005,19,,und,וּמֵאִישָֽׁהּ׃,10,False,,
8001005,20,,von,וּמֵאִישָֽׁהּ׃,10,False,,
8001005,21,,ihrem,וּמֵאִישָֽׁהּ׃,10,False,,
8001005,22,,Manne,וּמֵאִישָֽׁהּ׃,10,False,,
8001006,1,,Und,וַתָּ֤קָם,1,False,,
8001006,2,,sie,הִיא֙,2,False,,
8001006,3,,machte,וַתָּ֤קָם,1,False,,
8001006,4,,sich,וַתָּ֤קָם,1,False,,
8001006,5,,auf,וַתָּ֤קָם,1,True,,
8001006,6,,sie,וְכַלֹּתֶ֔יהָ,3,False,,
8001006,7,,und,וְכַלֹּתֶ֔יהָ,3,False,,
8001006,8,,ihre,וְכַלֹּתֶ֔יהָ,3,False,,
