HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
10001001,1,,Und,וַיְהִ֗י,1,False,,
10001001,2,,es,וַיְהִ֗י,1,True,,
10001001,3,,geschah,וַיְהִ֗י,1,False,,
10001001,4,,nach,אַֽחֲרֵי֙,2,False,,
10001001,5,,dem,מ֣וֹת,3,True,,
10001001,6,,Tode,מ֣וֹת,3,False,,
10001001,7,,Sauls,שָׁא֔וּל,4,False,,
10001001,8,,als,וְדָוִ֣ד,5,False,,
10001001,9,,David,וְדָוִ֣ד,5,False,,
10001001,10,,von,מֵהַכּ֖וֹת,7,False,,
10001001,11,,der,מֵהַכּ֖וֹת,7,True,,
10001001,12,,Schlacht,מֵהַכּ֖וֹת,7,False,,
10001001,13,,der,הָעֲמָלֵ֑ק,9,True,,
10001001,14,,Amalekiter,הָעֲמָלֵ֑ק,9,False,,
10001001,15,,zurückgekommen,שָׁ֔ב,6,False,,
10001001,16,,war,שָׁ֔ב,6,True,,
10001001,17,,da,וַיֵּ֧שֶׁב,10,False,,
10001001,18,,blieb,וַיֵּ֧שֶׁב,10,False,,
10001001,19,,David,דָּוִ֛ד,11,False,,
10001001,20,,zwei,יָמִ֥ים,13,False,,
10001001,21,,Tage,יָמִ֥ים,13,False,,
10001001,22,,zu,בְּצִקְלָ֖ג,12,False,,
10001001,23,,Ziklag,בְּצִקְלָ֖ג,12,False,,
10001002,1,,Und,וַיְהִ֣י׀,1,False,,
10001002,2,,es,וַיְהִ֣י׀,1,True,,
10001002,3,,geschah,וַיְהִ֣י׀,1,False,,
10001002,4,,am,בַּיּ֣וֹם,2,False,,
10001002,5,,dritten,הַשְּׁלִישִׁ֗י,3,False,,
10001002,6,,Tage,בַּיּ֣וֹם,2,False,,
10001002,7,,siehe,וְהִנֵּה֩,4,False,,
10001002,8,,da,וְהִנֵּה֩,4,False,,
10001002,9,,kam,בָּ֤א,6,False,,
10001002,10,,ein,אִ֨ישׁ,5,True,,
10001002,11,,Mann,אִ֨ישׁ,5,False,,
10001002,12,,aus,מִן־,7,False,,
10001002,13,,dem,הַֽמַּחֲנֶה֙,8,True,,
10001002,14,,Heerlager,הַֽמַּחֲנֶה֙,8,False,,
10001002,15,,Sauls,שָׁא֔וּל,10,False,,
10001002,16,,seine,וּבְגָדָ֣יו,11,False,,
10001002,17,,Kleider,וּבְגָדָ֣יו,11,False,,
10001002,18,,waren,קְרֻעִ֔ים,12,False,,
10001002,19,,zerrissen,קְרֻעִ֔ים,12,False,,
10001002,20,,und,וַאֲדָמָ֖ה,13,False,,
10001002,21,,Erde,וַאֲדָמָ֖ה,13,False,,
10001002,22,,war,וַיְהִי֙,16,False,,
10001002,23,,auf,עַל־,14,False,,
10001002,24,,seinem,רֹאשׁ֑וֹ,15,False,,
10001002,25,,Haupte,רֹאשׁ֑וֹ,15,False,,
10001002,26,,und,וַיְהִי֙,16,False,,
10001002,27,,als,בְּבֹא֣וֹ,17,False,,
10001002,28,,er,בְּבֹא֣וֹ,17,False,,
10001002,29,,zu,אֶל־,18,False,,
10001002,30,,David,דָּוִ֔ד,19,False,,
10001002,31,,kam,בְּבֹא֣וֹ,17,False,,
10001002,32,,fiel,וַיִּפֹּ֥ל,20,False,,
10001002,33,,er,וַיִּפֹּ֥ל,20,False,,
10001002,34,,zur,אַ֖רְצָה,21,False,,
10001002,35,,Erde,אַ֖רְצָה,21,False,,
10001002,36,,und,וַיִּשְׁתָּֽחוּ׃,22,False,,
10001002,37,,warf,וַיִּשְׁתָּֽחוּ׃,22,False,,
10001002,38,,sich,וַיִּשְׁתָּֽחוּ׃,22,False,,
10001002,39,,nieder,וַיִּשְׁתָּֽחוּ׃,22,False,,
10001003,1,,Und,וַיֹּ֤אמֶר,1,False,,
10001003,2,,David,דָּוִ֔ד,3,False,,
10001003,3,,sprach,וַיֹּ֤אמֶר,1,False,,
10001003,4,,zu,לוֹ֙,2,False,,
10001003,5,,ihm,לוֹ֙,2,False,,
10001003,6,,Woher,אֵ֥י,4,False,,
10001003,7,,kommst,תָּב֑וֹא,6,False,,
10001003,8,,du,תָּב֑וֹא,6,False,,
10001003,9,,Und,וַיֹּ֣אמֶר,7,False,,
10001003,10,,er,אֵלָ֔יו,8,False,,
10001003,11,,sprach,וַיֹּ֣אמֶר,7,False,,
10001003,12,,zu,אֵלָ֔יו,8,False,,
10001003,13,,ihm,אֵלָ֔יו,8,False,,
10001003,14,,Ich,נִמְלָֽטְתִּי׃,11,False,,
10001003,15,,bin,נִמְלָֽטְתִּי׃,11,False,,
10001003,16,,aus,מִמַּחֲנֵ֥ה,9,False,,
10001003,17,,dem,מִמַּחֲנֵ֥ה,9,True,,
10001003,18,,Heerlager,מִמַּחֲנֵ֥ה,9,False,,
10001003,19,,Israels,יִשְׂרָאֵ֖ל,10,False,,
10001003,20,,entronnen,נִמְלָֽטְתִּי׃,11,False,,
10001004,1,,Und,וַיֹּ֨אמֶר,1,False,,
10001004,2,,David,דָּוִ֛ד,3,False,,
10001004,3,,sprach,וַיֹּ֨אמֶר,1,False,,
10001004,4,,zu,אֵלָ֥יו,2,False,,
10001004,5,,ihm,אֵלָ֥יו,2,False,,
10001004,6,,Wie,מֶה־,4,False,,
10001004,7,,steht,הָיָ֥ה,5,False,,
10001004,8,,die,הַדָּבָ֖ר,6,True,,
10001004,9,,Sache,הַדָּבָ֖ר,6,False,,
10001004,10,,berichte,הַגֶּד־,7,False,,
10001004,11,,mir,לִ֑י,9,False,,
10001004,12,,doch,נָ֣א,8,False,,
10001004,13,,Und,וַ֠יֹּאמֶר,10,False,,
10001004,14,,er,וַ֠יֹּאמֶר,10,False,,
10001004,15,,sagte,וַ֠יֹּאמֶר,10,False,,
10001004,16,,Das,אֲשֶׁר־,11,False,,
10001004,17,,Volk,הָעָ֜ם,13,False,,
10001004,18,,ist,הָיָ֥ה,5,False,,
10001004,19,,aus,מִן־,14,False,,
10001004,20,,dem,הַמִּלְחָמָ֗ה,15,True,,
10001004,21,,Streit,הַמִּלְחָמָ֗ה,15,False,,
10001004,22,,geflohen,נָ֨ס,12,False,,
10001004,23,,und,וְגַם־,16,False,,
10001004,24,,auch,וְגַם־,16,False,,
10001004,25,,viele,הַרְבֵּ֞ה,17,False,,
10001004,26,,von,מִן־,19,False,,
10001004,27,,dem,הָעָם֙,20,True,,
