HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
11001001,1,,Und,וְהַמֶּ֤לֶךְ,1,False,,
11001001,2,,der,וְהַמֶּ֤לֶךְ,1,True,,
11001001,3,,König,וְהַמֶּ֤לֶךְ,1,False,,
11001001,4,,David,דָּוִד֙,2,False,,
11001001,5,,war,בָּ֖א,4,False,,
11001001,6,,alt,זָקֵ֔ן,3,False,,
11001001,7,,wohlbetagt,בַּיָּמִ֑ים,5,False,,
11001001,8,,und,וַיְכַסֻּ֙הוּ֙,6,False,,
11001001,9,,sie,וַיְכַסֻּ֙הוּ֙,6,True,,
11001001,10,,bedeckten,וַיְכַסֻּ֙הוּ֙,6,False,,
11001001,11,,ihn,וַיְכַסֻּ֙הוּ֙,6,False,,
11001001,12,,mit,בַּבְּגָדִ֔ים,7,False,,
11001001,13,,Kleidern,בַּבְּגָדִ֔ים,7,False,,
11001001,14,,aber,וְלֹ֥א,8,False,,
11001001,15,,er,לֽוֹ׃,10,False,,
11001001,16,,wurde,יִחַ֖ם,9,False,,
11001001,17,,nicht,וְלֹ֥א,8,False,,
11001001,18,,warm,יִחַ֖ם,9,False,,
11001002,1,,Da,וַיֹּ֧אמְרוּ,1,False,,
11001002,2,,sprachen,וַיֹּ֧אמְרוּ,1,False,,
11001002,3,,seine,עֲבָדָ֗יו,3,False,,
11001002,4,,Knechte,עֲבָדָ֗יו,3,False,,
11001002,5,,zu,ל֣וֹ,2,False,,
11001002,6,,ihm,ל֣וֹ,2,False,,
11001002,7,,Man,יְבַקְשׁ֞וּ,4,False,,
11001002,8,,suche,יְבַקְשׁ֞וּ,4,False,,
11001002,9,,meinem,לַאדֹנִ֤י,5,False,,
11001002,10,,Herrn,לַאדֹנִ֤י,5,False,,
11001002,11,,dem,הַמֶּ֙לֶךְ֙,6,False,,
11001002,12,,König,הַמֶּ֙לֶךְ֙,6,False,,
11001002,13,,ein,נַעֲרָ֣ה,7,True,,
11001002,14,,Mädchen,נַעֲרָ֣ה,7,False,,
11001002,15,,eine,בְתוּלָ֔ה,8,True,,
11001002,16,,Jungfrau,בְתוּלָ֔ה,8,False,,
11001002,17,,und,וְעָֽמְדָה֙,9,False,,
11001002,18,,sie,וְעָֽמְדָה֙,9,True,,
11001002,19,,stehe,וְעָֽמְדָה֙,9,False,,
11001002,20,,vor,לִפְנֵ֣י,10,False,,
11001002,21,,dem,הַמֶּ֔לֶךְ,11,False,,
11001002,22,,König,הַמֶּ֔לֶךְ,11,False,,
11001002,23,,und,וּתְהִי־,12,False,,
11001002,24,,sei,וּתְהִי־,12,False,,
11001002,25,,ihm,ל֖וֹ,13,False,,
11001002,26,,eine,סֹכֶ֑נֶת,14,True,,
11001002,27,,Pflegerin,סֹכֶ֑נֶת,14,False,,
11001002,28,,und,וְשָׁכְבָ֣ה,15,False,,
11001002,29,,sie,וְשָׁכְבָ֣ה,15,True,,
11001002,30,,schlafe,וְשָׁכְבָ֣ה,15,False,,
11001002,31,,an,בְחֵיקֶ֔ךָ,16,False,,
11001002,32,,deinem,בְחֵיקֶ֔ךָ,16,False,,
11001002,33,,Busen,בְחֵיקֶ֔ךָ,16,False,,
11001002,34,,daß,וְחַ֖ם,17,False,,
11001002,35,,mein,לַאדֹנִ֥י,18,False,,
11001002,36,,Herr,לַאדֹנִ֥י,18,False,,
11001002,37,,der,הַמֶּֽלֶךְ׃,19,True,,
11001002,38,,König,הַמֶּֽלֶךְ׃,19,False,,
11001002,39,,warm,וְחַ֖ם,17,False,,
11001002,40,,werde,וְחַ֖ם,17,False,,
