HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
13001001,1,,Adam,אָדָ֥ם,1,False,,
13001001,2,,Seth,שֵׁ֖ת,2,False,,
13001001,3,,Enos,אֱנֽוֹשׁ׃,3,False,,
13001002,1,,Kenan,קֵינָ֥ן,1,False,,
13001002,2,,Mahalalel,מַהֲלַלְאֵ֖ל,2,False,,
13001002,3,,Jered,יָֽרֶד׃,3,False,,
13001003,1,,Henoch,חֲנ֥וֹךְ,1,False,,
13001003,2,,Methusalah,מְתוּשֶׁ֖לַח,2,False,,
13001003,3,,Lamech,לָֽמֶךְ׃,3,False,,
13001004,1,,Noah,נֹ֥חַ,1,False,,
13001004,2,,Sem,שֵׁ֖ם,2,False,,
13001004,3,,Ham,חָ֥ם,3,False,,
13001004,4,,und,וָיָֽפֶת׃ ס,4,False,,
13001004,5,,Japhet,וָיָֽפֶת׃ ס,4,False,,
13001005,1,,Die,בְּנֵ֣י,1,False,,
13001005,2,,Söhne,בְּנֵ֣י,1,False,,
13001005,3,,Japhets,יֶ֔פֶת,2,False,,
13001005,4,,Gomer,גֹּ֣מֶר,3,False,,
13001005,5,,und,וּמָג֔וֹג,4,False,,
13001005,6,,Magog,וּמָג֔וֹג,4,False,,
13001005,7,,und,וּמָדַ֖י,5,False,,
13001005,8,,Madai,וּמָדַ֖י,5,False,,
13001005,9,,und,וְיָוָ֣ן,6,False,,
13001005,10,,Jawan,וְיָוָ֣ן,6,False,,
13001005,11,,und,וְתֻבָ֑ל,7,False,,
13001005,12,,Tubal,וְתֻבָ֑ל,7,False,,
13001005,13,,und,וּמֶ֖שֶׁךְ,8,False,,
13001005,14,,Mesech,וּמֶ֖שֶׁךְ,8,False,,
13001005,15,,und,וְתִירָֽס׃ ס,9,False,,
13001005,16,,Tiras,וְתִירָֽס׃ ס,9,False,,
13001006,1,,Und,וּבְנֵ֖י,1,False,,
13001006,2,,die,וּבְנֵ֖י,1,False,,
13001006,3,,Söhne,וּבְנֵ֖י,1,False,,
13001006,4,,Gomers,גֹּ֑מֶר,2,False,,
13001006,5,,Askenas,אַשְׁכֲּנַ֥ז,3,False,,
13001006,6,,und,וְדִיפַ֖ת,4,False,,
13001006,7,,Diphath,וְדִיפַ֖ת,4,False,,
13001006,8,,und,וְתוֹגַרְמָֽה׃,5,False,,
13001006,9,,Togarma,וְתוֹגַרְמָֽה׃,5,False,,
13001007,1,,Und,וּבְנֵ֥י,1,False,,
13001007,2,,die,וּבְנֵ֥י,1,False,,
13001007,3,,Söhne,וּבְנֵ֥י,1,False,,
13001007,4,,Jawans,יָוָ֖ן,2,False,,
13001007,5,,Elisa,אֱלִישָׁ֣ה,3,False,,
13001007,6,,und,וְתַרְשִׁ֑ישָׁה,4,False,,
13001007,7,,Tarsis,וְתַרְשִׁ֑ישָׁה,4,False,,
13001007,8,,die,כִּתִּ֖ים,5,False,,
13001007,9,,Kittim,כִּתִּ֖ים,5,False,,
13001007,10,,und,וְרוֹדָנִֽים׃ ס,6,False,,
13001007,11,,die,וְרוֹדָנִֽים׃ ס,6,False,,
13001007,12,,Rodanim,וְרוֹדָנִֽים׃ ס,6,False,,
13001008,1,,Die,בְּנֵ֖י,1,False,,
13001008,2,,Söhne,בְּנֵ֖י,1,False,,
13001008,3,,Hams,חָ֑ם,2,False,,
13001008,4,,Kusch,כּ֥וּשׁ,3,False,,
13001008,5,,und,וּמִצְרַ֖יִם,4,False,,
13001008,6,,Mizraim,וּמִצְרַ֖יִם,4,False,,
13001008,7,,Put,פּ֥וּט,5,False,,
13001008,8,,und,וּכְנָֽעַן׃,6,False,,
13001008,9,,Kanaan,וּכְנָֽעַן׃,6,False,,
13001009,1,,Und,וּבְנֵ֣י,1,False,,
13001009,2,,die,וּבְנֵ֣י,1,False,,
13001009,3,,Söhne,וּבְנֵ֣י,1,False,,
13001009,4,,Kuschs,כ֔וּשׁ,2,False,,
13001009,5,,Seba,סְבָא֙,3,False,,
13001009,6,,und,וַחֲוִילָ֔ה,4,False,,
13001009,7,,Hawila,וַחֲוִילָ֔ה,4,False,,
13001009,8,,und,וְסַבְתָּ֥א,5,False,,
13001009,9,,Sabta,וְסַבְתָּ֥א,5,False,,
13001009,10,,und,וְרַעְמָ֖א,6,False,,
13001009,11,,Raghma,וְרַעְמָ֖א,6,False,,
13001009,12,,und,וְסַבְתְּכָ֑א,7,False,,
13001009,13,,Sabteka,וְסַבְתְּכָ֑א,7,False,,
13001009,14,,Und,וּבְנֵ֥י,8,False,,
13001009,15,,die,וּבְנֵ֥י,8,False,,
13001009,16,,Söhne,וּבְנֵ֥י,8,False,,
13001009,17,,Raghmas,רַעְמָ֖א,9,False,,
13001009,18,,Scheba,שְׁבָ֥א,10,False,,
13001009,19,,und,וּדְדָֽן׃ ס,11,False,,
13001009,20,,Dedan,וּדְדָֽן׃ ס,11,False,,
13001010,1,,Und,וְכ֖וּשׁ,1,False,,
13001010,2,,Kusch,וְכ֖וּשׁ,1,False,,
13001010,3,,zeugte,יָלַ֣ד,2,False,,
13001010,4,,Nimrod,נִמְר֑וֹד,4,False,,
13001010,5,,der,ה֣וּא,5,False,,
13001010,6,,fing,הֵחֵ֔ל,6,False,,
13001010,7,,an,הֵחֵ֔ל,6,False,,
13001010,8,,ein,לִהְי֥וֹת,7,False,,
13001010,9,,Gewaltiger,גִּבּ֖וֹר,8,False,,
13001010,10,,zu,לִהְי֥וֹת,7,False,,
13001010,11,,sein,לִהְי֥וֹת,7,False,,
13001010,12,,auf,בָּאָֽרֶץ׃ ס,9,False,,
13001010,13,,der,בָּאָֽרֶץ׃ ס,9,False,,
13001010,14,,Erde,בָּאָֽרֶץ׃ ס,9,False,,
13001011,1,,Und,וּמִצְרַ֡יִם,1,False,,
13001011,2,,Mizraim,וּמִצְרַ֡יִם,1,False,,
13001011,3,,zeugte,יָלַ֞ד,2,False,,
13001011,4,,die,לוּדִ֧ים,4,False,,
13001011,5,,Ludim,לוּדִ֧ים,4,False,,
13001011,6,,und,עֲנָמִ֛ים,6,False,,
13001011,7,,die,עֲנָמִ֛ים,6,False,,
13001011,8,,Anamim,עֲנָמִ֛ים,6,False,,
13001011,9,,und,לְהָבִ֖ים,8,False,,
13001011,10,,die,לְהָבִ֖ים,8,False,,
13001011,11,,Lehabim,לְהָבִ֖ים,8,False,,
13001011,12,,und,נַפְתֻּחִֽים׃,10,False,,
13001011,13,,die,נַפְתֻּחִֽים׃,10,False,,
13001011,14,,Naphtuchim,נַפְתֻּחִֽים׃,10,False,,
13001012,1,,und,וְֽאֶת־,1,False,,
13001012,2,,die,וְֽאֶת־,1,False,,
13001012,3,,Pathrusim,פַּתְרֻסִ֞ים,2,False,,
13001012,4,,und,כַּסְלֻחִ֗ים,4,False,,
13001012,5,,die,כַּסְלֻחִ֗ים,4,False,,
13001012,6,,Kasluchim,כַּסְלֻחִ֗ים,4,False,,
13001012,7,,von,מִשָּׁ֛ם,7,False,,
13001012,8,,welchen,אֲשֶׁ֨ר,5,False,,
13001012,9,,die,פְּלִשְׁתִּ֖ים,8,False,,
13001012,10,,Philister,פְּלִשְׁתִּ֖ים,8,False,,
13001012,11,,ausgegangen,יָצְא֥וּ,6,False,,
13001012,12,,sind,יָצְא֥וּ,6,False,,
13001012,13,,und,וְאֶת־,9,False,,
13001012,14,,die,וְאֶת־,9,False,,
13001012,15,,Kaphtorim,כַּפְתֹּרִֽים׃ ס,10,False,,
13001013,1,,Und,וּכְנַ֗עַן,1,False,,
13001013,2,,Kanaan,וּכְנַ֗עַן,1,False,,
13001013,3,,zeugte,יָלַ֛ד,2,False,,
13001013,4,,Zidon,צִיד֥וֹן,4,False,,
13001013,5,,seinen,בְּכֹר֖וֹ,5,False,,
13001013,6,,Erstgeborenen,בְּכֹר֖וֹ,5,False,,
13001013,7,,und,וְאֶת־,6,False,,
13001013,8,,Heth,חֵֽת׃,7,False,,
13001014,1,,und,וְאֶת־,1,False,,
13001014,2,,den,וְאֶת־,1,False,,
13001014,3,,Jebusiter,הַיְבוּסִי֙,2,False,,
13001014,4,,und,וְאֶת־,3,False,,
13001014,5,,den,וְאֶת־,3,False,,
13001014,6,,Amoriter,הָ֣אֱמֹרִ֔י,4,False,,
13001014,7,,und,וְאֵ֖ת,5,False,,
13001014,8,,den,וְאֵ֖ת,5,False,,
13001014,9,,Girgasiter,הַגִּרְגָּשִֽׁי׃,6,False,,
13001015,1,,und,וְאֶת־,1,False,,
