HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
15001001,1,,Und,וּבִשְׁנַ֣ת,1,False,,
15001001,2,,im,וּבִשְׁנַ֣ת,1,False,,
15001001,3,,ersten,אַחַ֗ת,2,False,,
15001001,4,,Jahre,וּבִשְׁנַ֣ת,1,False,,
15001001,5,,Kores,לְכ֙וֹרֶשׁ֙,3,False,,
15001001,6,,des,מֶ֣לֶךְ,4,True,,
15001001,7,,Königs,מֶ֣לֶךְ,4,False,,
15001001,8,,von,פָּרַ֔ס,5,False,,
15001001,9,,Persien,פָּרַ֔ס,5,False,,
15001001,10,,damit,לִכְל֥וֹת,6,False,,
15001001,11,,das,דְּבַר־,7,True,,
15001001,12,,Wort,דְּבַר־,7,False,,
15001001,13,,Jahwes,יְהוָ֖ה,8,False,,
15001001,14,,aus,מִפִּ֣י,9,False,,
15001001,15,,dem,מִפִּ֣י,9,True,,
15001001,16,,Munde,מִפִּ֣י,9,False,,
15001001,17,,Jeremias,יִרְמְיָ֑ה,10,False,,
15001001,18,,erfüllt,לִכְל֥וֹת,6,False,,
15001001,19,,würde,לִכְל֥וֹת,6,False,,
15001001,20,,erweckte,הֵעִ֣יר,11,False,,
15001001,21,,Jahwe,יְהוָ֗ה,12,False,,
15001001,22,,den,אֶת־,13,False,,
15001001,23,,Geist,ר֙וּחַ֙,14,False,,
15001001,24,,Kores,כֹּ֣רֶשׁ,15,False,,
15001001,25,,des,מֶֽלֶךְ־,16,True,,
15001001,26,,Königs,מֶֽלֶךְ־,16,False,,
15001001,27,,von,פָּרַ֔ס,17,False,,
15001001,28,,Persien,פָּרַ֔ס,17,False,,
15001001,29,,und,וַיַּֽעֲבֶר־,18,False,,
15001001,30,,er,וַיַּֽעֲבֶר־,18,True,,
15001001,31,,ließ,וַיַּֽעֲבֶר־,18,False,,
15001001,32,,einen,קוֹל֙,19,True,,
15001001,33,,Ruf,קוֹל֙,19,False,,
15001001,34,,ergehen,וַיַּֽעֲבֶר־,18,False,,
15001001,35,,durch,בְּכָל־,20,False,,
15001001,36,,sein,מַלְכוּת֔וֹ,21,False,,
15001001,37,,ganzes,בְּכָל־,20,False,,
15001001,38,,Königreich,מַלְכוּת֔וֹ,21,False,,
15001001,39,,und,וְגַם־,22,False,,
15001001,40,,zwar,וְגַם־,22,False,,
15001001,41,,auch,וְגַם־,22,True,,
15001001,42,,schriftlich,בְּמִכְתָּ֖ב,23,False,,
15001001,43,,indem,לֵאמֹֽר׃,24,False,,
15001001,44,,er,לֵאמֹֽר׃,24,True,,
15001001,45,,sprach,לֵאמֹֽר׃,24,False,,
15001002,1,,So,כֹּ֣ה,1,False,,
15001002,2,,spricht,אָמַ֗ר,2,False,,
15001002,3,,Kores,כֹּ֚רֶשׁ,3,False,,
15001002,4,,der,מֶ֣לֶךְ,4,True,,
15001002,5,,König,מֶ֣לֶךְ,4,False,,
15001002,6,,von,פָּרַ֔ס,5,False,,
15001002,7,,Persien,פָּרַ֔ס,5,False,,
15001002,8,,Alle,כֹּ֚ל,6,False,,
15001002,9,,Königreiche,מַמְלְכ֣וֹת,7,False,,
15001002,10,,der,הָאָ֔רֶץ,8,True,,
