HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
17001001,1,,Und,וַיְהִ֖י,1,False,,
17001001,2,,es,וַיְהִ֖י,1,False,,
17001001,3,,geschah,וַיְהִ֖י,1,False,,
17001001,4,,in,בִּימֵ֣י,2,False,,
17001001,5,,den,בִּימֵ֣י,2,True,,
17001001,6,,Tagen,בִּימֵ֣י,2,False,,
17001001,7,,des,אֲחַשְׁוֵר֑וֹשׁ,3,False,,
17001001,8,,Ahasveros,אֲחַשְׁוֵר֑וֹשׁ,3,False,,
17001001,9,,das,ה֣וּא,4,False,,
17001001,10,,ist,ה֣וּא,4,False,,
17001001,11,,der,אֲחַשְׁוֵר֗וֹשׁ,5,True,,
17001001,12,,Ahasveros,אֲחַשְׁוֵר֗וֹשׁ,5,False,,
17001001,13,,der,הַמֹּלֵךְ֙,6,True,,
17001001,14,,von,מֵהֹ֣דּוּ,7,False,,
17001001,15,,Indien,מֵהֹ֣דּוּ,7,False,,
17001001,16,,bis,וְעַד־,8,False,,
17001001,17,,Äthiopien,כּ֔וּשׁ,9,False,,
17001001,18,,über,שֶׁ֛בַע,10,False,,
17001001,19,,127,שֶׁ֛בַע,10,False,,
17001001,20,,Landschaften,מְדִינָֽה׃,13,False,,
17001001,21,,regierte,הַמֹּלֵךְ֙,6,False,,
17001002,1,,in,בַּיָּמִ֖ים,1,False,,
17001002,2,,selbigen,הָהֵ֑ם,2,False,,
17001002,3,,Tagen,בַּיָּמִ֖ים,1,False,,
17001002,4,,als,כְּשֶׁ֣בֶת׀,3,False,,
17001002,5,,der,הַמֶּ֣לֶךְ,4,True,,
17001002,6,,König,הַמֶּ֣לֶךְ,4,False,,
17001002,7,,Ahasveros,אֲחַשְׁוֵר֗וֹשׁ,5,False,,
17001002,8,,auf,עַ֚ל,6,False,,
17001002,9,,dem,כִּסֵּ֣א,7,True,,
17001002,10,,Throne,כִּסֵּ֣א,7,False,,
17001002,11,,seines,מַלְכוּת֔וֹ,8,False,,
17001002,12,,Königreiches,מַלְכוּת֔וֹ,8,False,,
17001002,13,,saß,כְּשֶׁ֣בֶת׀,3,False,,
17001002,14,,der,אֲשֶׁ֖ר,9,False,,
17001002,15,,in,בְּשׁוּשַׁ֥ן,10,False,,
17001002,16,,der,הַבִּירָֽה׃,11,True,,
17001002,17,,Burg,הַבִּירָֽה׃,11,False,,
17001002,18,,Susan,בְּשׁוּשַׁ֥ן,10,False,,
17001002,19,,war,הַבִּירָֽה׃,11,False,,
17001003,1,,im,בִּשְׁנַ֤ת,1,False,,
17001003,2,,dritten,בִּשְׁנַ֤ת,1,False,,
17001003,3,,Jahre,בִּשְׁנַ֤ת,1,False,,
17001003,4,,seiner,לְמָלְכ֔וֹ,3,False,,
17001003,5,,Regierung,לְמָלְכ֔וֹ,3,False,,
17001003,6,,da,עָשָׂ֣ה,4,False,,
17001003,7,,machte,עָשָׂ֣ה,4,False,,
17001003,8,,er,עָשָׂ֣ה,4,False,,
17001003,9,,ein,מִשְׁתֶּ֔ה,5,True,,
17001003,10,,Gastmahl,מִשְׁתֶּ֔ה,5,False,,
17001003,11,,allen,לְכָל־,6,False,,
17001003,12,,seinen,שָׂרָ֖יו,7,False,,
17001003,13,,Fürsten,שָׂרָ֖יו,7,False,,
17001003,14,,und,וַעֲבָדָ֑יו,8,False,,
17001003,15,,Knechten,וַעֲבָדָ֑יו,8,False,,
17001003,16,,indem,חֵ֣יל׀,9,False,,
17001003,17,,die,הַֽפַּרְתְּמִ֛ים,12,False,,
17001003,18,,Mächtigen,הַֽפַּרְתְּמִ֛ים,12,False,,
17001003,19,,von,פָּרַ֣ס,10,False,,
17001003,20,,Persien,פָּרַ֣ס,10,False,,
17001003,21,,und,וּמָדַ֗י,11,False,,
17001003,22,,Medien,וּמָדַ֗י,11,False,,
17001003,23,,die,וְשָׂרֵ֥י,13,False,,
17001003,24,,Vornehmen,וְשָׂרֵ֥י,13,False,,
17001003,25,,und,הַמְּדִינ֖וֹת,14,False,,
17001003,26,,Fürsten,הַמְּדִינ֖וֹת,14,False,,
17001003,27,,der,הַמְּדִינ֖וֹת,14,False,,
17001003,28,,Landschaften,הַמְּדִינ֖וֹת,14,False,,
17001003,29,,vor,לְפָנָֽיו׃,15,False,,
17001003,30,,ihm,לְפָנָֽיו׃,15,False,,
17001003,31,,waren,לְפָנָֽיו׃,15,False,,
17001004,1,,als,בְּהַרְאֹת֗וֹ,1,False,,
17001004,2,,er,בְּהַרְאֹת֗וֹ,1,False,,
17001004,3,,den,אֶת־,2,False,,
17001004,4,,herrlichen,עֹ֙שֶׁר֙,3,False,,
17001004,5,,Reichtum,עֹ֙שֶׁר֙,3,False,,
17001004,6,,seines,מַלְכוּת֔וֹ,5,False,,
17001004,7,,Königreiches,מַלְכוּת֔וֹ,5,False,,
17001004,8,,und,וְאֶ֨ת־,6,False,,
17001004,9,,die,יְקָ֔ר,7,False,,
17001004,10,,glänzende,תִּפְאֶ֖רֶת,8,False,,
17001004,11,,Pracht,תִּפְאֶ֖רֶת,8,False,,
17001004,12,,seiner,גְּדוּלָּת֑וֹ,9,False,,
17001004,13,,Größe,גְּדוּלָּת֑וֹ,9,False,,
17001004,14,,viele,יָמִ֣ים,10,False,,
17001004,15,,Tage,יָמִ֣ים,10,False,,
17001004,16,,lang,רַבִּ֔ים,11,False,,
17001004,17,,180,שְׁמוֹנִ֥ים,12,False,,
17001004,18,,Tage,יֽוֹם׃,14,False,,
17001004,19,,sehen,בְּהַרְאֹת֗וֹ,1,False,,
17001004,20,,ließ,בְּהַרְאֹת֗וֹ,1,False,,
17001005,1,,Und,וּבִמְל֣וֹאת׀,1,False,,
17001005,2,,als,וּבִמְל֣וֹאת׀,1,False,,
17001005,3,,diese,הָאֵ֗לֶּה,3,False,,
17001005,4,,Tage,הַיָּמִ֣ים,2,False,,
17001005,5,,erfüllt,וּבִמְל֣וֹאת׀,1,False,,
17001005,6,,waren,וּבִמְל֣וֹאת׀,1,False,,
17001005,7,,machte,עָשָׂ֣ה,4,False,,
17001005,8,,der,הַמֶּ֡לֶךְ,5,False,,
17001005,9,,König,הַמֶּ֡לֶךְ,5,False,,
17001005,10,,allem,לְכָל־,6,False,,
17001005,11,,Volke,הָעָ֣ם,7,False,,
17001005,12,,das,הַנִּמְצְאִים֩,8,False,,
17001005,13,,sich,הַנִּמְצְאִים֩,8,False,,
17001005,14,,in,בְּשׁוּשַׁ֨ן,9,False,,
17001005,15,,der,בְּשׁוּשַׁ֨ן,9,False,,
17001005,16,,Burg,הַבִּירָ֜ה,10,False,,
17001005,17,,Susan,בְּשׁוּשַׁ֨ן,9,False,,
17001005,18,,befand,הַנִּמְצְאִים֩,8,False,,
17001005,19,,vom,לְמִגָּ֧דוֹל,11,False,,
17001005,20,,Größten,לְמִגָּ֧דוֹל,11,False,,
17001005,21,,bis,וְעַד־,12,False,,
17001005,22,,zum,וְעַד־,12,False,,
17001005,23,,Kleinsten,קָטָ֛ן,13,False,,
17001005,24,,ein,מִשְׁתֶּ֖ה,14,True,,
17001005,25,,Gastmahl,מִשְׁתֶּ֖ה,14,False,,
17001005,26,,von,שִׁבְעַ֣ת,15,False,,
17001005,27,,sieben,שִׁבְעַ֣ת,15,False,,
17001005,28,,Tagen,יָמִ֑ים,16,False,,
17001005,29,,im,בַּחֲצַ֕ר,17,False,,
17001005,30,,Hofe,בַּחֲצַ֕ר,17,False,,
17001005,31,,des,גִּנַּ֥ת,18,False,,
17001005,32,,Gartens,גִּנַּ֥ת,18,False,,
17001005,33,,des,בִּיתַ֖ן,19,False,,
17001005,34,,königlichen,הַמֶּֽלֶךְ׃,20,False,,
17001005,35,,Palastes,בִּיתַ֖ן,19,False,,
17001006,1,,Weiße,ח֣וּר׀,1,False,,
17001006,2,,und,וּתְכֵ֗לֶת,3,False,,
17001006,3,,purpurblaue,וּתְכֵ֗לֶת,3,False,,
17001006,4,,baumwollene,כַּרְפַּ֣ס,2,False,,
17001006,5,,Vorhänge,אָחוּז֙,4,False,,
17001006,6,,waren,אָחוּז֙,4,False,,
17001006,7,,befestigt,אָחוּז֙,4,False,,
17001006,8,,mit,בְּחַבְלֵי־,5,False,,
17001006,9,,Schnüren,בְּחַבְלֵי־,5,False,,
17001006,10,,von,ב֣וּץ,6,False,,
17001006,11,,Byssus,ב֣וּץ,6,False,,
17001006,12,,und,וְאַרְגָּמָ֔ן,7,False,,
17001006,13,,Purpur,וְאַרְגָּמָ֔ן,7,False,,
17001006,14,,an,עַל־,8,False,,
17001006,15,,silbernen,כֶ֖סֶף,10,False,,
17001006,16,,Ringen,גְּלִ֥ילֵי,9,False,,
17001006,17,,und,וְעַמּ֣וּדֵי,11,False,,
17001006,18,,weißen,שֵׁ֑שׁ,12,False,,
17001006,19,,Marmorsäulen,וְעַמּ֣וּדֵי,11,False,,
17001006,20,,Polster,מִטּ֣וֹת׀,13,False,,
17001006,21,,von,זָהָ֣ב,14,False,,
17001006,22,,Gold,זָהָ֣ב,14,False,,
17001006,23,,und,וָכֶ֗סֶף,15,False,,
17001006,24,,Silber,וָכֶ֗סֶף,15,False,,
17001006,25,,lagen,עַ֛ל,16,False,,
17001006,26,,auf,עַ֛ל,16,False,,
17001006,27,,einem,רִֽצְפַ֥ת,17,True,,
17001006,28,,Pflaster,רִֽצְפַ֥ת,17,False,,
17001006,29,,von,בַּהַט־,18,False,,
17001006,30,,grünem,בַּהַט־,18,False,,
17001006,31,,und,וָשֵׁ֖שׁ,19,False,,
17001006,32,,weißem,וָשֵׁ֖שׁ,19,False,,
17001006,33,,Marmor,וָשֵׁ֖שׁ,19,False,,
17001006,34,,und,וְדַ֥ר,20,False,,
