HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
18001001,1,,Es,הָיָ֥ה,2,False,,
18001001,2,,war,הָיָ֥ה,2,False,,
18001001,3,,Mann,אִ֛ישׁ,1,False,,
18001001,4,,im,בְאֶֽרֶץ־,3,False,,
18001001,5,,Lande,בְאֶֽרֶץ־,3,False,,
18001001,6,,Uz,ע֖וּץ,4,False,,
18001001,7,,sein,שְׁמ֑וֹ,6,False,,
18001001,8,,Name,שְׁמ֑וֹ,6,False,,
18001001,9,,war,וְהָיָ֣ה׀,7,False,,
18001001,10,,Hiob,אִיּ֣וֹב,5,False,,
18001001,11,,und,וְהָיָ֣ה׀,7,False,,
18001001,12,,selbiger,הַה֗וּא,9,False,,
18001001,13,,Mann,הָאִ֣ישׁ,8,False,,
18001001,14,,war,וְהָיָ֣ה׀,7,False,,
18001001,15,,vollkommen,תָּ֧ם,10,False,,
18001001,16,,und,וְיָשָׁ֛ר,11,False,,
18001001,17,,rechtschaffen,וְיָשָׁ֛ר,11,False,,
18001001,18,,und,וִירֵ֥א,12,False,,
18001001,19,,gottesfürchtig,וִירֵ֥א,12,False,,
18001001,20,,und,וְסָ֥ר,14,False,,
18001001,21,,das,וְסָ֥ר,14,False,,
18001001,22,,Böse,מֵרָֽע׃,15,False,,
18001001,23,,meidend,וְסָ֥ר,14,False,,
18001002,1,,Und,וַיִּוָּ֥לְדוּ,1,False,,
18001002,2,,es,וַיִּוָּ֥לְדוּ,1,False,,
18001002,3,,wurden,וַיִּוָּ֥לְדוּ,1,False,,
18001002,4,,ihm,ל֛וֹ,2,False,,
18001002,5,,sieben,שִׁבְעָ֥ה,3,False,,
18001002,6,,Söhne,בָנִ֖ים,4,False,,
18001002,7,,und,וְשָׁל֥וֹשׁ,5,False,,
18001002,8,,drei,וְשָׁל֥וֹשׁ,5,False,,
18001002,9,,Töchter,בָּנֽוֹת׃,6,False,,
18001002,10,,geboren,וַיִּוָּ֥לְדוּ,1,False,,
18001003,1,,Und,וַיְהִ֣י,1,False,,
18001003,2,,sein,מִ֠קְנֵהוּ,2,False,,
18001003,3,,Besitztum,מִ֠קְנֵהוּ,2,False,,
18001003,4,,bestand,וַיְהִ֣י,1,False,,
18001003,5,,in,שִֽׁבְעַ֨ת,3,False,,
18001003,6,,siebentausend,שִֽׁבְעַ֨ת,3,False,,
18001003,6,,siebentausend,אַלְפֵי־,4,False,,
18001003,7,,Schafen,צֹ֜אן,5,False,,
18001003,8,,und,וּשְׁלֹ֧שֶׁת,6,False,,
18001003,9,,dreitausend,וּשְׁלֹ֧שֶׁת,6,False,,
18001003,9,,dreitausend,אַלְפֵ֣י,7,False,,
18001003,10,,Kamelen,גְמַלִּ֗ים,8,False,,
18001003,11,,und,וַחֲמֵ֨שׁ,9,False,,
18001003,12,,fünfhundert,וַחֲמֵ֨שׁ,9,False,,
18001003,12,,fünfhundert,מֵא֤וֹת,10,False,,
18001003,13,,Joch,צֶֽמֶד־,11,False,,
18001003,14,,Rindern,בָּקָר֙,12,False,,
18001003,15,,und,וַחֲמֵ֣שׁ,13,False,,
18001003,16,,fünfhundert,וַחֲמֵ֣שׁ,13,False,,
18001003,16,,fünfhundert,מֵא֣וֹת,14,False,,
18001003,17,,Eselinnen,אֲתוֹנ֔וֹת,15,False,,
18001003,18,,und,וַעֲבֻדָּ֖ה,16,False,,
18001003,19,,in,וַעֲבֻדָּ֖ה,16,False,,
18001003,20,,sehr,מְאֹ֑ד,18,False,,
18001003,21,,vielem,רַבָּ֣ה,17,False,,
18001003,22,,Gesinde,וַעֲבֻדָּ֖ה,16,False,,
18001003,23,,Und,וַיְהִי֙,19,False,,
18001003,24,,selbiger,הַה֔וּא,21,False,,
18001003,25,,Mann,הָאִ֣ישׁ,20,False,,
18001003,26,,war,וַיְהִי֙,19,False,,
18001003,27,,größer,גָּד֖וֹל,22,False,,
18001003,28,,als,מִכָּל־,23,False,,
