HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
20001001,1,,Sprüche,מִ֭שְׁלֵי,1,False,,
20001001,2,,Salomos,שְׁלֹמֹ֣ה,2,False,,
20001001,3,,des,בֶן־,3,True,,
20001001,4,,Sohnes,בֶן־,3,False,,
20001001,5,,Davids,דָּוִ֑ד,4,False,,
20001001,6,,des,מֶ֝֗לֶךְ,5,True,,
20001001,7,,Königs,מֶ֝֗לֶךְ,5,False,,
20001001,8,,von,יִשְׂרָאֵֽל׃,6,True,,
20001001,9,,Israel,יִשְׂרָאֵֽל׃,6,False,,
20001002,1,,um,לָדַ֣עַת,1,False,,
20001002,2,,Weisheit,חָכְמָ֣ה,2,False,,
20001002,3,,und,וּמוּסָ֑ר,3,False,,
20001002,4,,Unterweisung,וּמוּסָ֑ר,3,False,,
20001002,5,,zu,לְ֝הָבִ֗ין,4,False,,
20001002,6,,kennen,לְ֝הָבִ֗ין,4,False,,
20001002,7,,um,אִמְרֵ֥י,5,True,,
20001002,8,,Worte,אִמְרֵ֥י,5,False,,
20001002,9,,des,בִינָֽה׃,6,True,,
20001002,10,,Verstandes,בִינָֽה׃,6,False,,
20001002,11,,zu,לְ֝הָבִ֗ין,4,True,,
20001002,12,,verstehen,לְ֝הָבִ֗ין,4,True,,
20001003,1,,um,לָ֭קַחַת,1,False,,
20001003,2,,zu,לָ֭קַחַת,1,False,,
20001003,3,,empfangen,לָ֭קַחַת,1,False,,
20001003,4,,einsichtsvolle,הַשְׂכֵּ֑ל,3,False,,
20001003,5,,Unterweisung,מוּסַ֣ר,2,False,,
20001003,6,,Gerechtigkeit,צֶ֥דֶק,4,False,,
20001003,7,,und,וּ֝מִשְׁפָּ֗ט,5,False,,
20001003,8,,Recht,וּ֝מִשְׁפָּ֗ט,5,False,,
20001003,9,,und,וּמֵישָׁרִֽים׃,6,False,,
20001003,10,,Geradheit,וּמֵישָׁרִֽים׃,6,False,,
20001004,1,,um,לָתֵ֣ת,1,False,,
20001004,2,,Einfältigen,לִפְתָאיִ֣ם,2,False,,
20001004,3,,Klugheit,עָרְמָ֑ה,3,False,,
20001004,4,,zu,לָתֵ֣ת,1,True,,
20001004,5,,geben,לָתֵ֣ת,1,False,,
20001004,6,,dem,לְ֝נַ֗עַר,4,True,,
20001004,7,,Jüngling,לְ֝נַ֗עַר,4,False,,
20001004,8,,Erkenntnis,דַּ֣עַת,5,False,,
20001004,9,,und,וּמְזִמָּֽה׃,6,False,,
20001004,10,,Besonnenheit,וּמְזִמָּֽה׃,6,False,,
20001005,1,,Der,חָ֭כָם,2,True,,
20001005,2,,Weise,חָ֭כָם,2,False,,
20001005,3,,wird,יִשְׁמַ֣ע,1,False,,
20001005,4,,hören,יִשְׁמַ֣ע,1,False,,
20001005,5,,und,וְי֣וֹסֶף,3,False,,
20001005,6,,an,לֶ֑קַח,4,True,,
20001005,7,,Kenntnis,לֶ֑קַח,4,False,,
20001005,8,,zunehmen,וְי֣וֹסֶף,3,False,,
20001005,9,,und,וְ֝נָב֗וֹן,5,False,,
20001005,10,,der,וְ֝נָב֗וֹן,5,True,,
20001005,11,,Verständige,וְ֝נָב֗וֹן,5,False,,
20001005,12,,wird,יִקְנֶֽה׃,7,False,,
20001005,13,,sich,יִקְנֶֽה׃,7,True,,
20001005,14,,weisen,יִקְנֶֽה׃,7,False,,
20001005,15,,Rat,תַּחְבֻּל֥וֹת,6,False,,
20001005,16,,erwerben,יִקְנֶֽה׃,7,False,,
20001006,1,,um,לְהָבִ֣ין,1,False,,
20001006,2,,einen,לְהָבִ֣ין,1,True,,
20001006,3,,Spruch,מָ֭שָׁל,2,False,,
20001006,4,,zu,לְהָבִ֣ין,1,True,,
20001006,5,,verstehen,לְהָבִ֣ין,1,False,,
20001006,6,,und,וּמְלִיצָ֑ה,3,False,,
20001006,7,,verschlungene,וּמְלִיצָ֑ה,3,False,,
20001006,8,,Rede,וּמְלִיצָ֑ה,3,False,,
20001006,9,,Worte,דִּבְרֵ֥י,4,False,,
20001006,10,,der,דִּבְרֵ֥י,4,True,,
20001006,11,,Weisen,חֲ֝כָמִ֗ים,5,False,,
20001006,12,,und,וְחִידֹתָֽם׃,6,False,,
20001006,13,,ihre,וְחִידֹתָֽם׃,6,False,,
20001006,14,,Rätsel,וְחִידֹתָֽם׃,6,False,,
20001006,15,,,,,True,14,Rätsel
20001007,1,,Die,יִרְאַ֣ת,1,True,,
20001007,2,,Furcht,יִרְאַ֣ת,1,False,,
20001007,3,,Jahwes,יְ֭הוָה,2,False,,
20001007,4,,ist,רֵאשִׁ֣ית,3,False,,
