HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
21001001,1,,Worte,דִּבְרֵי֙,1,False,,
21001001,2,,des,קֹהֶ֣לֶת,2,True,,
21001001,3,,Predigers,קֹהֶ֣לֶת,2,False,,
21001001,4,,des,בֶּן־,3,True,,
21001001,5,,Sohnes,בֶּן־,3,False,,
21001001,6,,Davids,דָּוִ֔ד,4,False,,
21001001,7,,des,מֶ֖לֶךְ,5,True,,
21001001,8,,Königs,מֶ֖לֶךְ,5,False,,
21001001,9,,in,בִּירוּשָׁלִָֽם׃,6,False,,
21001001,10,,Jerusalem,בִּירוּשָׁלִָֽם׃,6,False,,
21001002,1,,Eitelkeit,הֲבֵ֤ל,1,False,,
21001002,2,,der,הֲבָלִים֙,2,True,,
21001002,3,,Eitelkeiten,הֲבָלִים֙,2,False,,
21001002,4,,spricht,אָמַ֣ר,3,False,,
21001002,5,,der,קֹהֶ֔לֶת,4,True,,
21001002,6,,Prediger,קֹהֶ֔לֶת,4,False,,
21001002,7,,Eitelkeit,הֲבֵ֥ל,5,False,,
21001002,8,,der,הֲבָלִ֖ים,6,True,,
21001002,9,,Eitelkeiten,הֲבָלִ֖ים,6,False,,
21001002,10,,Alles,הַכֹּ֥ל,7,False,,
21001002,11,,ist,הָֽבֶל׃,8,True,,
21001002,12,,Eitelkeit,הָֽבֶל׃,8,False,,
21001003,1,,Welchen,מַה־,1,False,,
21001003,2,,Gewinn,יִּתְר֖וֹן,2,False,,
21001003,3,,hat,,,True,2,Gewinn
21001003,4,,der,,,True,5,Mensch
21001003,5,,Mensch,לָֽאָדָ֑ם,3,False,,
21001003,6,,bei,בְּכָל־,4,False,,
21001003,7,,all,בְּכָל־,4,False,,
21001003,8,,seiner,עֲמָל֔וֹ,5,False,,
21001003,9,,Mühe,עֲמָל֔וֹ,5,False,,
21001003,10,,womit,שֶֽׁיַּעֲמֹ֖ל,6,False,,
21001003,11,,er,שֶֽׁיַּעֲמֹ֖ל,6,False,,
21001003,12,,sich,שֶֽׁיַּעֲמֹ֖ל,6,False,,
21001003,13,,abmüht,שֶֽׁיַּעֲמֹ֖ל,6,False,,
21001003,14,,unter,תַּ֥חַת,7,False,,
21001003,15,,der,הַשָּֽׁמֶשׁ׃,8,False,,
21001003,16,,Sonne,הַשָּֽׁמֶשׁ׃,8,False,,
21001004,1,,Ein,,,True,2,Geschlecht
21001004,2,,Geschlecht,דּ֤וֹר,1,False,,
21001004,3,,geht,הֹלֵךְ֙,2,False,,
21001004,4,,und,וְד֣וֹר,3,False,,
21001004,5,,ein,וְד֣וֹר,3,False,,
21001004,6,,Geschlecht,וְד֣וֹר,3,False,,
21001004,7,,kommt,בָּ֔א,4,False,,
21001004,8,,aber,,,True,10,Erde
21001004,9,,die,וְהָאָ֖רֶץ,5,False,,
21001004,10,,Erde,וְהָאָ֖רֶץ,5,False,,
21001004,11,,besteht,עֹמָֽדֶת׃,7,False,,
21001004,12,,ewiglich,לְעוֹלָ֥ם,6,False,,
21001005,1,,Und,וְזָרַ֥ח,1,False,,
21001005,2,,die,הַשֶּׁ֖מֶשׁ,2,False,,
21001005,3,,Sonne,הַשֶּׁ֖מֶשׁ,2,False,,
21001005,4,,geht,וְזָרַ֥ח,1,False,,
21001005,5,,auf,וְזָרַ֥ח,1,False,,
21001005,6,,und,וּבָ֣א,3,False,,
21001005,7,,die,הַשָּׁ֑מֶשׁ,4,False,,
21001005,8,,Sonne,הַשָּׁ֑מֶשׁ,4,False,,
21001005,9,,geht,וּבָ֣א,3,False,,
21001005,10,,unter,וּבָ֣א,3,False,,
21001005,11,,und,,,True,13,eilt
21001005,12,,sie,ה֖וּא,9,False,,
21001005,13,,eilt,שׁוֹאֵ֛ף,7,False,,
21001005,14,,ihrem,מְקוֹמ֔וֹ,6,False,,
21001005,15,,Orte,מְקוֹמ֔וֹ,6,False,,
21001005,16,,zu,וְאֶ֨ל־,5,False,,
21001005,17,,wo,שָֽׁם׃,10,False,,
21001005,18,,sie,,,True,19,aufgeht
21001005,19,,aufgeht,זוֹרֵ֥חַֽ,8,False,,
21001006,1,,Der,הָר֔וּחַ,10,False,,
21001006,2,,Wind,הָר֔וּחַ,10,False,,
21001006,3,,geht,הוֹלֵךְ֙,1,False,,
21001006,4,,nach,אֶל־,2,False,,
21001006,5,,Süden,דָּר֔וֹם,3,False,,
21001006,6,,und,וְסוֹבֵ֖ב,4,False,,
21001006,7,,wendet,וְסוֹבֵ֖ב,4,False,,
21001006,8,,sich,וְסוֹבֵ֖ב,4,False,,
21001006,9,,nach,אֶל־,5,False,,
