HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
22001001,1,,Das,שִׁ֥יר,1,False,,
22001001,2,,Lied,שִׁ֥יר,1,False,,
22001001,3,,der,הַשִּׁירִ֖ים,2,False,,
22001001,4,,Lieder,הַשִּׁירִ֖ים,2,False,,
22001001,5,,von,אֲשֶׁ֥ר,3,False,,
22001001,6,,Salomo,לִשְׁלֹמֹֽה׃,4,False,,
22001002,1,,Er,יִשָּׁקֵ֙נִי֙,1,False,,
22001002,2,,küsse,יִשָּׁקֵ֙נִי֙,1,False,,
22001002,3,,mich,יִשָּׁקֵ֙נִי֙,1,False,,
22001002,4,,mit,מִנְּשִׁיק֣וֹת,2,False,,
22001002,5,,den,מִנְּשִׁיק֣וֹת,2,False,,
22001002,6,,Küssen,מִנְּשִׁיק֣וֹת,2,False,,
22001002,7,,seines,פִּ֔יהוּ,3,False,,
22001002,8,,Mundes,פִּ֔יהוּ,3,False,,
22001002,9,,denn,כִּֽי־,4,False,,
22001002,10,,deine,דֹּדֶ֖יךָ,6,False,,
22001002,11,,Liebe,דֹּדֶ֖יךָ,6,False,,
22001002,12,,ist,טוֹבִ֥ים,5,False,,
22001002,13,,besser,טוֹבִ֥ים,5,False,,
22001002,14,,als,מִיָּֽיִן׃,7,False,,
22001002,15,,Wein,מִיָּֽיִן׃,7,False,,
22001003,1,,Lieblich,לְרֵ֙יחַ֙,1,False,,
22001003,2,,an,לְרֵ֙יחַ֙,1,False,,
22001003,3,,Geruch,לְרֵ֙יחַ֙,1,False,,
22001003,4,,sind,טוֹבִ֔ים,3,False,,
22001003,5,,deine,שְׁמָנֶ֣יךָ,2,False,,
22001003,6,,Salben,שְׁמָנֶ֣יךָ,2,False,,
22001003,7,,ein,שֶׁ֖מֶן,4,False,,
22001003,8,,ausgegossenes,תּוּרַ֣ק,5,False,,
22001003,9,,Salböl,שֶׁ֖מֶן,4,False,,
22001003,10,,ist,שֶׁ֖מֶן,4,False,,
22001003,11,,dein,שְׁמֶ֑ךָ,6,False,,
22001003,12,,Name,שְׁמֶ֑ךָ,6,False,,
22001003,13,,darum,עַל־,7,False,,
22001003,14,,lieben,אֲהֵבֽוּךָ׃,10,False,,
22001003,15,,dich,אֲהֵבֽוּךָ׃,10,False,,
22001003,16,,die,עֲלָמ֥וֹת,9,False,,
22001003,17,,Jungfrauen,עֲלָמ֥וֹת,9,False,,
22001004,1,,Ziehe,מָשְׁכֵ֖נִי,1,False,,
22001004,2,,mich,מָשְׁכֵ֖נִי,1,False,,
22001004,3,,wir,נָּר֑וּצָה,3,False,,
22001004,4,,werden,נָּר֑וּצָה,3,False,,
22001004,5,,dir,אַחֲרֶ֣יךָ,2,False,,
22001004,6,,nachlaufen,נָּר֑וּצָה,3,False,,
22001004,7,,Der,הַמֶּ֜לֶךְ,5,False,,
22001004,8,,König,הַמֶּ֜לֶךְ,5,False,,
22001004,9,,hat,הֱבִיאַ֨נִי,4,False,,
22001004,10,,mich,הֱבִיאַ֨נִי,4,False,,
22001004,11,,in,חֲדָרָ֗יו,6,False,,
22001004,12,,seine,חֲדָרָ֗יו,6,False,,
22001004,13,,Gemächer,חֲדָרָ֗יו,6,False,,
22001004,14,,geführt,הֱבִיאַ֨נִי,4,False,,
22001004,15,,wir,נָגִ֤ילָה,7,False,,
22001004,16,,wollen,נָגִ֤ילָה,7,False,,
22001004,17,,frohlocken,נָגִ֤ילָה,7,False,,
22001004,18,,und,וְנִשְׂמְחָה֙,8,False,,
22001004,19,,deiner,דֹדֶ֙יךָ֙,11,False,,
22001004,20,,uns,בָּ֔ךְ,9,False,,
22001004,21,,freuen,וְנִשְׂמְחָה֙,8,False,,
22001004,22,,wollen,נַזְכִּ֤ירָה,10,False,,
22001004,23,,deine,דֹדֶ֙יךָ֙,11,False,,
22001004,24,,Liebe,דֹדֶ֙יךָ֙,11,False,,
22001004,25,,preisen,נַזְכִּ֤ירָה,10,False,,
22001004,26,,mehr,מֵישָׁרִ֖ים,13,False,,
22001004,27,,als,מִיַּ֔יִן,12,False,,
22001004,28,,Wein,מִיַּ֔יִן,12,False,,
22001004,29,,Sie,אֲהֵבֽוּךָ׃ ס,14,False,,
22001004,30,,lieben,אֲהֵבֽוּךָ׃ ס,14,False,,
22001004,31,,dich,אֲהֵבֽוּךָ׃ ס,14,False,,
22001004,32,,in,מֵישָׁרִ֖ים,13,False,,
22001004,33,,Aufrichtigkeit,מֵישָׁרִ֖ים,13,False,,
22001005,1,,Ich,אֲנִי֙,2,False,,
22001005,2,,bin,שְׁחוֹרָ֤ה,1,False,,
22001005,3,,schwarz,שְׁחוֹרָ֤ה,1,False,,
22001005,4,,aber,וְֽנָאוָ֔ה,3,False,,
22001005,5,,anmutig,וְֽנָאוָ֔ה,3,False,,
22001005,6,,Töchter,בְּנ֖וֹת,4,False,,
22001005,7,,Jerusalems,יְרוּשָׁלִָ֑ם,5,False,,
22001005,8,,wie,כְּאָהֳלֵ֣י,6,False,,
22001005,9,,die,כְּאָהֳלֵ֣י,6,False,,
22001005,10,,Zelte,כְּאָהֳלֵ֣י,6,False,,
22001005,11,,Kedars,קֵדָ֔ר,7,False,,
22001005,12,,wie,כִּירִיע֖וֹת,8,False,,
22001005,13,,die,כִּירִיע֖וֹת,8,False,,
22001005,14,,Zeltbehänge,כִּירִיע֖וֹת,8,False,,
22001005,15,,Salomos,שְׁלֹמֹֽה׃,9,False,,
22001006,1,,Sehet,תִּרְא֙וּנִי֙,2,False,,
22001006,2,,mich,תִּרְא֙וּנִי֙,2,False,,
22001006,3,,nicht,אַל־,1,False,,
22001006,4,,an,אַל־,1,False,,
22001006,5,,weil,שֶׁאֲנִ֣י,3,False,,
22001006,6,,ich,שֶׁאֲנִ֣י,3,False,,
22001006,7,,schwärzlich,שְׁחַרְחֹ֔רֶת,4,False,,
22001006,8,,bin,שֶׁאֲנִ֣י,3,False,,
22001006,9,,weil,שֶׁשֱּׁזָפַ֖תְנִי,5,False,,
22001006,10,,die,הַשָּׁ֑מֶשׁ,6,False,,
22001006,11,,Sonne,הַשָּׁ֑מֶשׁ,6,False,,
22001006,12,,mich,שֶׁשֱּׁזָפַ֖תְנִי,5,False,,
22001006,13,,verbrannt,שֶׁשֱּׁזָפַ֖תְנִי,5,False,,
22001006,14,,hat,שֶׁשֱּׁזָפַ֖תְנִי,5,False,,
22001006,15,,meiner,אִמִּ֣י,8,False,,
22001006,16,,Mutter,אִמִּ֣י,8,False,,
22001006,17,,Söhne,בְּנֵ֧י,7,False,,
22001006,18,,zürnten,נִֽחֲרוּ־,9,False,,
22001006,19,,mir,בִ֗י,10,False,,
22001006,20,,bestellten,שָׂמֻ֙נִי֙,11,False,,
22001006,21,,mich,שָׂמֻ֙נִי֙,11,False,,
22001006,22,,zur,נֹטֵרָ֣ה,12,False,,
22001006,23,,Hüterin,נֹטֵרָ֣ה,12,False,,
22001006,24,,der,אֶת־,13,False,,
22001006,25,,Weinberge,הַכְּרָמִ֔ים,14,False,,
22001006,26,,meinen,כַּרְמִ֥י,15,False,,
22001006,27,,eigenen,שֶׁלִּ֖י,16,False,,
22001006,28,,Weinberg,כַּרְמִ֥י,15,False,,
22001006,29,,habe,לֹ֥א,17,False,,
22001006,30,,ich,לֹ֥א,17,False,,
22001006,31,,nicht,לֹ֥א,17,False,,
22001006,32,,gehütet,נָטָֽרְתִּי׃,18,False,,
22001007,1,,Sage,הַגִּ֣ידָה,1,False,,
22001007,2,,mir,לִּ֗י,2,False,,
22001007,3,,an,הַגִּ֣ידָה,1,False,,
22001007,4,,du,שֶׁ֤אָהֲבָה֙,3,False,,
22001007,5,,den,שֶׁ֤אָהֲבָה֙,3,False,,
22001007,6,,meine,נַפְשִׁ֔י,4,False,,
22001007,7,,Seele,נַפְשִׁ֔י,4,False,,
22001007,8,,liebt,שֶׁ֤אָהֲבָה֙,3,False,,
22001007,9,,wo,אֵיכָ֣ה,5,False,,
22001007,10,,weidest,תִרְעֶ֔ה,6,False,,
22001007,11,,du,תִרְעֶ֔ה,6,False,,
22001007,12,,wo,אֵיכָ֖ה,7,False,,
22001007,13,,lässest,תַּרְבִּ֣יץ,8,False,,
22001007,14,,du,תַּרְבִּ֣יץ,8,False,,
22001007,15,,lagern,תַּרְבִּ֣יץ,8,False,,
22001007,16,,am,בַּֽצָּהֳרָ֑יִם,9,False,,
22001007,17,,Mittag,בַּֽצָּהֳרָ֑יִם,9,False,,
22001007,18,,Denn,שַׁלָּמָ֤ה,10,False,,
22001007,19,,warum,שַׁלָּמָ֤ה,10,False,,
22001007,20,,sollte,אֶֽהְיֶה֙,11,False,,
22001007,21,,ich,אֶֽהְיֶה֙,11,False,,
22001007,22,,wie,כְּעֹ֣טְיָ֔ה,12,False,,
22001007,23,,eine,כְּעֹ֣טְיָ֔ה,12,False,,
22001007,24,,Verschleierte,כְּעֹ֣טְיָ֔ה,12,False,,
22001007,25,,sein,אֶֽהְיֶה֙,11,False,,
22001007,26,,bei,עַ֖ל,13,False,,
22001007,27,,den,עֶדְרֵ֥י,14,False,,
22001007,28,,Herden,עֶדְרֵ֥י,14,False,,
22001007,29,,deiner,חֲבֵרֶֽיךָ׃,15,False,,
22001007,30,,Genossen,חֲבֵרֶֽיךָ׃,15,False,,
22001008,1,,Wenn,אִם־,1,False,,
22001008,2,,du,תֵדְעִי֙,3,False,,
22001008,3,,es,לָ֔ךְ,4,False,,
22001008,4,,nicht,לֹ֤א,2,False,,
