HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
23001001,1,,Das,חֲזוֹן֙,1,False,,
23001001,2,,Gesicht,חֲזוֹן֙,1,False,,
23001001,3,,Jesajas,יְשַֽׁעְיָ֣הוּ,2,False,,
23001001,4,,des,בֶן־,3,False,,
23001001,5,,Sohnes,בֶן־,3,False,,
23001001,6,,Amoz,אָמ֔וֹץ,4,False,,
23001001,7,,welches,אֲשֶׁ֣ר,5,False,,
23001001,8,,er,חָזָ֔ה,6,False,,
23001001,9,,über,עַל־,7,False,,
23001001,10,,Juda,יְהוּדָ֖ה,8,False,,
23001001,11,,und,וִירוּשָׁלִָ֑ם,9,False,,
23001001,12,,Jerusalem,וִירוּשָׁלִָ֑ם,9,False,,
23001001,13,,geschaut,חָזָ֔ה,6,False,,
23001001,14,,hat,חָזָ֔ה,6,False,,
23001001,15,,in,בִּימֵ֨י,10,False,,
23001001,16,,den,בִּימֵ֨י,10,False,,
23001001,17,,Tagen,בִּימֵ֨י,10,False,,
23001001,18,,Ussijas,עֻזִּיָּ֧הוּ,11,False,,
23001001,19,,Jothams,יוֹתָ֛ם,12,False,,
23001001,20,,Ahas,אָחָ֥ז,13,False,,
23001001,21,,Jehiskias,יְחִזְקִיָּ֖הוּ,14,False,,
23001001,22,,der,מַלְכֵ֥י,15,False,,
23001001,23,,Könige,מַלְכֵ֥י,15,False,,
23001001,24,,von,יְהוּדָֽה׃,16,False,,
23001001,25,,Juda,יְהוּדָֽה׃,16,False,,
23001002,1,,Höret,שִׁמְע֤וּ,1,False,,
23001002,2,,ihr,שָׁמַ֙יִם֙,2,False,,
23001002,3,,Himmel,שָׁמַ֙יִם֙,2,False,,
23001002,4,,und,וְהַאֲזִ֣ינִי,3,False,,
23001002,5,,horche,וְהַאֲזִ֣ינִי,3,False,,
23001002,6,,auf,וְהַאֲזִ֣ינִי,3,False,,
23001002,7,,du,אֶ֔רֶץ,4,False,,
23001002,8,,Erde,אֶ֔רֶץ,4,False,,
23001002,9,,Denn,כִּ֥י,5,False,,
23001002,10,,Jahwe,יְהוָ֖ה,6,False,,
23001002,11,,hat,דִּבֵּ֑ר,7,False,,
23001002,12,,geredet,דִּבֵּ֑ר,7,False,,
23001002,13,,Ich,בָּנִים֙,8,False,,
23001002,14,,habe,גִּדַּ֣לְתִּי,9,False,,
23001002,15,,Kinder,בָּנִים֙,8,False,,
23001002,16,,großgezogen,גִּדַּ֣לְתִּי,9,False,,
23001002,17,,und,וְרוֹמַ֔מְתִּי,10,False,,
23001002,18,,auferzogen,וְרוֹמַ֔מְתִּי,10,False,,
23001002,19,,und,וְהֵ֖ם,11,False,,
23001002,20,,sie,וְהֵ֖ם,11,False,,
23001002,21,,sind,פָּ֥שְׁעוּ,12,False,,
23001002,22,,von,בִֽי׃,13,False,,
23001002,23,,mir,בִֽי׃,13,False,,
23001002,24,,abgefallen,פָּ֥שְׁעוּ,12,False,,
23001003,1,,Ein,שׁוֹר֙,2,True,,
23001003,2,,Ochse,שׁוֹר֙,2,False,,
23001003,3,,kennt,יָדַ֥ע,1,False,,
23001003,4,,seinen,קֹנֵ֔הוּ,3,False,,
23001003,5,,Besitzer,קֹנֵ֔הוּ,3,False,,
23001003,6,,und,וַחֲמ֖וֹר,4,False,,
23001003,7,,ein,וַחֲמ֖וֹר,4,True,,
23001003,8,,Esel,וַחֲמ֖וֹר,4,False,,
23001003,9,,die,אֵב֣וּס,5,False,,
23001003,10,,Krippe,אֵב֣וּס,5,False,,
23001003,11,,seines,בְּעָלָ֑יו,6,False,,
23001003,12,,Herrn,בְּעָלָ֑יו,6,False,,
23001003,13,,Israel,יִשְׂרָאֵל֙,7,False,,
23001003,14,,hat,יָדַ֔ע,9,False,,
23001003,15,,keine,לֹ֣א,8,False,,
23001003,16,,Erkenntnis,יָדַ֔ע,9,False,,
23001003,17,,mein,עַמִּ֖י,10,False,,
23001003,18,,Volk,עַמִּ֖י,10,False,,
23001003,19,,hat,הִתְבּוֹנָֽן׃,12,False,,
23001003,20,,kein,לֹ֥א,11,False,,
23001003,21,,Verständnis,הִתְבּוֹנָֽן׃,12,False,,
23001004,1,,Wehe,ה֣וֹי׀,1,False,,
23001004,2,,der,,,True,4,Nation
23001004,3,,sündigen,חֹטֵ֗א,3,False,,
23001004,4,,Nation,גּ֣וֹי,2,False,,
23001004,5,,dem,,,True,6,Volke
23001004,6,,Volke,עַ֚ם,4,False,,
23001004,7,,belastet,כֶּ֣בֶד,5,False,,
23001004,8,,mit,,,True,9,Ungerechtigkeit
23001004,9,,Ungerechtigkeit,עָוֹ֔ן,6,False,,
23001004,10,,dem,,,True,11,Samen
23001004,11,,Samen,זֶ֣רַע,7,False,,
23001004,12,,der,,,True,13,Übeltäter
23001004,13,,Übeltäter,מְרֵעִ֔ים,8,False,,
23001004,14,,den,,,True,17,Kindern
23001004,15,,verderbt,מַשְׁחִיתִ֑ים,10,False,,
23001004,16,,handelnden,מַשְׁחִיתִ֑ים,10,False,,
23001004,17,,Kindern,בָּנִ֖ים,9,False,,
23001004,18,,Sie,,,True,21,verlassen
23001004,19,,haben,,,True,21,verlassen
23001004,20,,Jahwe,יְהוָ֗ה,13,False,,
23001004,21,,verlassen,עָזְב֣וּ,11,False,,
23001004,22,,haben,,,True,26,verschmäht
23001004,23,,den,אֶת־,12,False,,
23001004,24,,Heiligen,קְד֥וֹשׁ,16,False,,
23001004,25,,Israels,יִשְׂרָאֵ֖ל,17,False,,
23001004,26,,verschmäht,נִֽאֲצ֛וּ,14,False,,
23001004,27,,sind,,,True,29,gewichen
23001004,28,,rückwärts,אָחֽוֹר׃,19,False,,
23001004,29,,gewichen,נָזֹ֥רוּ,18,False,,
23001005,1,,Warum,עַ֣ל,1,False,,
23001005,2,,solltet,,,True,5,geschlagen
23001005,3,,ihr,,,True,5,geschlagen
23001005,4,,weiter,ע֖וֹד,4,False,,
23001005,5,,geschlagen,תֻכּ֛וּ,3,False,,
23001005,6,,werden,,,True,5,geschlagen
23001005,7,,da,,,True,12,mehren
23001005,8,,ihr,,,True,12,mehren
23001005,9,,nur,,,True,12,mehren
23001005,10,,den,,,True,11,Abfall
23001005,11,,Abfall,סָרָ֑ה,6,False,,
23001005,12,,mehren,תּוֹסִ֣יפוּ,5,False,,
23001005,13,,würdet,,,True,12,mehren
23001005,14,,Das,,,True,16,Haupt
