HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
24001001,1,,Worte,דִּבְרֵ֥י,1,False,,
24001001,2,,Jeremias,יִרְמְיָ֖הוּ,2,False,,
24001001,3,,des,בֶּן־,3,True,,
24001001,4,,Sohnes,בֶּן־,3,False,,
24001001,5,,Hilkijas,חִלְקִיָּ֑הוּ,4,False,,
24001001,6,,von,מִן־,5,False,,
24001001,7,,den,הַכֹּֽהֲנִים֙,6,True,,
24001001,8,,Priestern,הַכֹּֽהֲנִים֙,6,False,,
24001001,9,,die,אֲשֶׁ֣ר,7,False,,
24001001,10,,zu,בַּעֲנָת֔וֹת,8,False,,
24001001,11,,Anathoth,בַּעֲנָת֔וֹת,8,False,,
24001001,12,,waren,אֲשֶׁ֣ר,7,False,,
24001001,13,,im,בְּאֶ֖רֶץ,9,False,,
24001001,14,,Lande,בְּאֶ֖רֶץ,9,False,,
24001001,15,,Benjamin,בִּנְיָמִֽן׃,10,False,,
24001002,1,,zu,אֲשֶׁ֨ר,1,False,,
24001002,2,,welchem,אֲשֶׁ֨ר,1,False,,
24001002,3,,das,דְבַר־,3,True,,
24001002,4,,Wort,דְבַר־,3,False,,
24001002,5,,Jahwes,יְהוָה֙,4,False,,
24001002,6,,geschah,הָיָ֤ה,2,False,,
24001002,7,,in,בִּימֵ֛י,6,False,,
24001002,8,,den,בִּימֵ֛י,6,True,,
24001002,9,,Tagen,בִּימֵ֛י,6,False,,
24001002,10,,Josias,יֹאשִׁיָּ֥הוּ,7,False,,
24001002,11,,des,בֶן־,8,True,,
24001002,12,,Sohnes,בֶן־,8,False,,
24001002,13,,Amons,אָמ֖וֹן,9,False,,
24001002,14,,des,מֶ֣לֶךְ,10,True,,
24001002,15,,Königs,מֶ֣לֶךְ,10,False,,
24001002,16,,von,יְהוּדָ֑ה,11,True,,
24001002,17,,Juda,יְהוּדָ֑ה,11,False,,
24001002,18,,im,בִּשְׁלֹשׁ־,12,False,,
24001002,19,,dreizehnten,עֶשְׂרֵ֥ה,13,False,,
24001002,20,,Jahre,שָׁנָ֖ה,14,False,,
24001002,21,,seiner,לְמָלְכֽוֹ׃,15,False,,
24001002,22,,Regierung,לְמָלְכֽוֹ׃,15,False,,
24001003,1,,und,וַיְהִ֗י,1,False,,
