HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
25001001,1,,Wie,אֵיכָ֣ה׀,1,False,,
25001001,2,,sitzt,יָשְׁבָ֣ה,2,False,,
25001001,3,,einsam,בָדָ֗ד,3,False,,
25001001,4,,die,הָעִיר֙,4,True,,
25001001,5,,volkreiche,רַבָּ֣תִי,5,False,,
25001001,6,,Stadt,עָ֔ם,6,False,,
25001001,7,,ist,הָיְתָ֖ה,7,False,,
25001001,8,,einer,כְּאַלְמָנָ֑ה,8,True,,
25001001,9,,Witwe,כְּאַלְמָנָ֑ה,8,False,,
25001001,10,,gleich,כְּאַלְמָנָ֑ה,8,True,,
25001001,11,,geworden,הָיְתָ֖ה,7,True,,
25001001,12,,die,רַּבָּ֣תִי,9,True,,
25001001,13,,Große,רַּבָּ֣תִי,9,False,,
25001001,14,,unter,בַגּוֹיִ֗ם,10,False,,
25001001,15,,den,בַגּוֹיִ֗ם,10,True,,
25001001,16,,Nationen,בַגּוֹיִ֗ם,10,False,,
25001001,17,,die,שָׂרָ֙תִי֙,11,True,,
25001001,18,,Fürstin,שָׂרָ֙תִי֙,11,False,,
25001001,19,,unter,בַּמְּדִינ֔וֹת,12,False,,
25001001,20,,den,בַּמְּדִינ֔וֹת,12,True,,
25001001,21,,Landschaften,בַּמְּדִינ֔וֹת,12,False,,
25001001,22,,ist,הָיְתָ֖ה,13,False,,
25001001,23,,zinsbar,לָמַֽס׃ ס,14,False,,
25001001,24,,geworden,הָיְתָ֖ה,13,True,,
25001002,1,,Bitterlich,בָּכ֨וֹ,1,False,,
25001002,2,,weint,תִבְכֶּ֜ה,2,False,,
25001002,3,,sie,תִבְכֶּ֜ה,2,True,,
25001002,4,,des,בַּלַּ֗יְלָה,3,True,,
25001002,5,,Nachts,בַּלַּ֗יְלָה,3,False,,
25001002,6,,und,וְדִמְעָתָהּ֙,4,True,,
25001002,7,,ihre,וְדִמְעָתָהּ֙,4,False,,
25001002,8,,Tränen,וְדִמְעָתָהּ֙,4,False,,
25001002,9,,sind,הָ֥יוּ,16,True,,
25001002,10,,auf,עַ֣ל,5,False,,
25001002,11,,ihren,לֶֽחֱיָ֔הּ,6,False,,
25001002,12,,Wangen,לֶֽחֱיָ֔הּ,6,False,,
25001002,13,,sie,לֶֽחֱיָ֔הּ,6,True,,
25001002,14,,hat,אֵֽין־,7,False,,
25001002,15,,keinen,אֵֽין־,7,False,,
25001002,16,,Tröster,מְנַחֵ֖ם,9,False,,
25001002,17,,unter,מִכָּל־,10,False,,
25001002,18,,allen,מִכָּל־,10,False,,
25001002,19,,die,אֹהֲבֶ֑יהָ,11,True,,
25001002,20,,sie,אֹהֲבֶ֑יהָ,11,False,,
25001002,21,,liebten,אֹהֲבֶ֑יהָ,11,False,,
25001002,22,,alle,כָּל־,12,False,,
25001002,23,,ihre,רֵעֶ֙יהָ֙,13,False,,
25001002,24,,Freunde,רֵעֶ֙יהָ֙,13,False,,
25001002,25,,haben,בָּ֣גְדוּ,14,False,,
25001002,26,,treulos,בָּ֣גְדוּ,14,False,,
25001002,27,,an,בָ֔הּ,15,False,,
25001002,28,,ihr,בָ֔הּ,15,False,,
25001002,29,,gehandelt,בָּ֣גְדוּ,14,False,,
25001002,30,,sind,הָ֥יוּ,16,False,,
25001002,31,,ihr,לָ֖הּ,17,False,,
25001002,32,,zu,לְאֹיְבִֽים׃ ס,18,False,,
25001002,33,,Feinden,לְאֹיְבִֽים׃ ס,18,False,,
25001002,34,,geworden,הָ֥יוּ,16,True,,
25001003,1,,Juda,יְהוּדָ֤ה,2,False,,
25001003,2,,ist,גָּֽלְתָ֨ה,1,False,,
25001003,3,,ausgewandert,גָּֽלְתָ֨ה,1,False,,
25001003,4,,vor,מֵעֹ֙נִי֙,3,False,,
25001003,5,,Elend,מֵעֹ֙נִי֙,3,False,,
25001003,6,,und,וּמֵרֹ֣ב,4,False,,
25001003,7,,vor,וּמֵרֹ֣ב,4,False,,
25001003,8,,schwerer,וּמֵרֹ֣ב,4,False,,
25001003,9,,Dienstbarkeit,עֲבֹדָ֔ה,5,False,,
25001003,10,,es,הִ֚יא,6,False,,
25001003,11,,wohnt,יָשְׁבָ֣ה,7,False,,
25001003,12,,unter,בַגּוֹיִ֔ם,8,False,,
25001003,13,,den,בַגּוֹיִ֔ם,8,True,,
25001003,14,,Nationen,בַגּוֹיִ֔ם,8,False,,
25001003,15,,hat,מָצְאָ֖ה,10,False,,
25001003,16,,keine,לֹ֥א,9,False,,
25001003,17,,Ruhe,מָנ֑וֹחַ,11,False,,
25001003,18,,gefunden,מָצְאָ֖ה,10,False,,
25001003,19,,seine,רֹדְפֶ֥יהָ,13,False,,
25001003,20,,Verfolger,רֹדְפֶ֥יהָ,13,False,,
25001003,21,,haben,הִשִּׂיג֖וּהָ,14,False,,
25001003,22,,es,הִשִּׂיג֖וּהָ,14,False,,
25001003,23,,in,בֵּ֥ין,15,False,,
25001003,24,,der,הַמְּצָרִֽים׃ ס,16,True,,
25001003,25,,Bedrängnis,הַמְּצָרִֽים׃ ס,16,False,,
25001003,26,,ergriffen,הִשִּׂיג֖וּהָ,14,False,,
25001004,1,,Die,דַּרְכֵ֨י,1,True,,
25001004,2,,Wege,דַּרְכֵ֨י,1,False,,
