HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
27001001,1,,Im,בִּשְׁנַ֣ת,1,False,,
27001001,2,,dritten,שָׁל֔וֹשׁ,2,False,,
27001001,3,,Jahre,בִּשְׁנַ֣ת,1,False,,
27001001,4,,der,לְמַלְכ֖וּת,3,True,,
27001001,5,,Regierung,לְמַלְכ֖וּת,3,False,,
27001001,6,,Jojakims,יְהוֹיָקִ֣ים,4,False,,
27001001,7,,des,מֶֽלֶךְ־,5,True,,
27001001,8,,Königs,מֶֽלֶךְ־,5,False,,
27001001,9,,von,יְהוּדָ֑ה,6,False,,
27001001,10,,Juda,יְהוּדָ֑ה,6,False,,
27001001,11,,kam,בָּ֣א,7,False,,
27001001,12,,Nebukadnezar,נְבוּכַדְנֶאצַּ֧ר,8,False,,
27001001,13,,der,מֶֽלֶךְ־,9,True,,
27001001,14,,König,מֶֽלֶךְ־,9,False,,
27001001,15,,von,בָּבֶ֛ל,10,False,,
27001001,16,,Babel,בָּבֶ֛ל,10,False,,
27001001,17,,nach,יְרוּשָׁלִַ֖ם,11,False,,
27001001,18,,Jerusalem,יְרוּשָׁלִַ֖ם,11,False,,
27001001,19,,und,וַיָּ֥צַר,12,False,,
27001001,20,,belagerte,וַיָּ֥צַר,12,False,,
27001001,21,,es,עָלֶֽיהָ׃,13,False,,
27001002,1,,Und,וַיִּתֵּן֩,1,False,,
27001002,2,,der,אֲדֹנָ֨י,2,True,,
27001002,3,,Herr,אֲדֹנָ֨י,2,False,,
27001002,4,,gab,וַיִּתֵּן֩,1,False,,
27001002,5,,Jojakim,יְהוֹיָקִ֣ים,5,False,,
27001002,6,,den,מֶֽלֶךְ־,6,True,,
27001002,7,,König,מֶֽלֶךְ־,6,False,,
27001002,8,,von,יְהוּדָ֗ה,7,False,,
27001002,9,,Juda,יְהוּדָ֗ה,7,False,,
27001002,10,,in,בְּיָד֜וֹ,3,False,,
27001002,11,,seine,בְּיָד֜וֹ,3,False,,
27001002,12,,Hand,בְּיָד֜וֹ,3,False,,
27001002,13,,und,וּמִקְצָת֙,8,False,,
27001002,14,,einen,וּמִקְצָת֙,8,False,,
27001002,15,,Teil,וּמִקְצָת֙,8,False,,
27001002,16,,der,כְּלֵ֣י,9,False,,
27001002,17,,Geräte,כְּלֵ֣י,9,False,,
27001002,18,,des,בֵית־,10,False,,
27001002,19,,Hauses,בֵית־,10,False,,
27001002,20,,Gottes,הָֽאֱלֹהִ֔ים,11,False,,
27001002,21,,und,וַיְבִיאֵ֥ם,12,False,,
27001002,22,,er,וַיְבִיאֵ֥ם,12,False,,
27001002,23,,brachte,וַיְבִיאֵ֥ם,12,False,,
27001002,24,,sie,וַיְבִיאֵ֥ם,12,False,,
27001002,25,,in,אֶֽרֶץ־,13,False,,
27001002,26,,das,אֶֽרֶץ־,13,True,,
27001002,27,,Land,אֶֽרֶץ־,13,False,,
27001002,28,,Sinear,שִׁנְעָ֖ר,14,False,,
27001002,29,,in,בֵּ֣ית,15,False,,
27001002,30,,das,בֵּ֣ית,15,True,,
27001002,31,,Haus,בֵּ֣ית,15,False,,
27001002,32,,seines,אֱלֹהָ֑יו,16,False,,
27001002,33,,Gottes,אֱלֹהָ֑יו,16,False,,
27001002,34,,die,הַכֵּלִ֣ים,18,False,,
27001002,35,,Geräte,הַכֵּלִ֣ים,18,False,,
27001002,36,,brachte,הֵבִ֔יא,19,False,,
27001002,37,,er,הֵבִ֔יא,19,False,,
27001002,38,,in,בֵּ֖ית,20,False,,
27001002,39,,das,אוֹצַ֥ר,21,True,,
27001002,40,,Schatzhaus,אוֹצַ֥ר,21,False,,
27001002,41,,seines,אֱלֹהָֽיו׃,22,False,,
27001002,42,,Gottes,אֱלֹהָֽיו׃,22,False,,
27001003,1,,Und,וַיֹּ֣אמֶר,1,False,,
27001003,2,,der,הַמֶּ֔לֶךְ,2,True,,
27001003,3,,König,הַמֶּ֔לֶךְ,2,False,,
27001003,4,,befahl,וַיֹּ֣אמֶר,1,False,,
27001003,5,,dem,לְאַשְׁפְּנַ֖ז,3,False,,
27001003,6,,Aschpenas,לְאַשְׁפְּנַ֖ז,3,False,,
27001003,7,,dem,רַ֣ב,4,True,,
27001003,8,,Obersten,רַ֣ב,4,False,,
27001003,9,,seiner,סָרִיסָ֑יו,5,False,,
27001003,10,,Kämmerer,סָרִיסָ֑יו,5,False,,
27001003,11,,daß,לְהָבִ֞יא,6,False,,
27001003,12,,er,לְהָבִ֞יא,6,False,,
27001003,13,,von,מִבְּנֵ֧י,7,False,,
27001003,14,,den,מִבְּנֵ֧י,7,False,,
27001003,15,,Kindern,מִבְּנֵ֧י,7,False,,
27001003,16,,Israel,יִשְׂרָאֵ֛ל,8,False,,
27001003,17,,sowohl,וּמִזֶּ֥רַע,9,False,,
27001003,18,,von,וּמִזֶּ֥רַע,9,False,,
27001003,19,,dem,וּמִזֶּ֥רַע,9,True,,
27001003,20,,königlichen,הַמְּלוּכָ֖ה,10,False,,
27001003,21,,Samen,הַמְּלוּכָ֖ה,10,False,,
27001003,22,,als,וּמִן־,11,False,,
27001003,23,,auch,וּמִן־,11,False,,
27001003,24,,von,וּמִן־,11,False,,
27001003,25,,den,הַֽפַּרְתְּמִֽים׃,12,False,,
27001003,26,,Vornehmen,הַֽפַּרְתְּמִֽים׃,12,False,,
27001003,27,,Jünglinge,יְלָדִ֣ים,1,False,,
27001003,28,,brächte,לְהָבִ֞יא,6,False,,
27001004,1,,an,אֲשֶׁ֣ר,2,False,,
27001004,2,,welchen,אֲשֶׁ֣ר,2,False,,
27001004,3,,keinerlei,אֵֽין־,3,False,,
27001004,4,,Fehl,מוּם֩,6,False,,
27001004,5,,wäre,בָּהֶ֣ם,4,False,,
27001004,6,,und,וְטוֹבֵ֨י,7,False,,
27001004,7,,schön,וְטוֹבֵ֨י,7,False,,
27001004,8,,von,מַרְאֶ֜ה,8,False,,
27001004,9,,Ansehen,מַרְאֶ֜ה,8,False,,
27001004,10,,und,וּמַשְׂכִּילִ֣ים,9,False,,
27001004,11,,unterwiesen,וּמַשְׂכִּילִ֣ים,9,False,,
27001004,12,,in,בְּכָל־,10,False,,
27001004,13,,aller,בְּכָל־,10,False,,
27001004,14,,Weisheit,חָכְמָ֗ה,11,False,,
27001004,15,,und,וְיֹ֤דְעֵי,12,False,,
27001004,16,,kenntnisreich,וְיֹ֤דְעֵי,12,False,,
27001004,17,,und,וּמְבִינֵ֣י,14,False,,
27001004,18,,mit,מַדָּ֔ע,15,False,,
27001004,19,,Einsicht,מַדָּ֔ע,15,False,,
27001004,20,,begabt,כֹּ֣חַ,17,False,,
27001004,21,,und,וַאֲשֶׁר֙,16,False,,
27001004,22,,welche,וַאֲשֶׁר֙,16,False,,
27001004,23,,tüchtig,כֹּ֣חַ,17,False,,
27001004,24,,wären,בָּהֶ֔ם,18,False,,
27001004,25,,im,בְּהֵיכַ֣ל,20,False,,
27001004,26,,Palaste,בְּהֵיכַ֣ל,20,False,,
27001004,27,,des,הַמֶּ֑לֶךְ,21,False,,
27001004,28,,Königs,הַמֶּ֑לֶךְ,21,False,,
27001004,29,,zu,לַעֲמֹ֖ד,19,False,,
