HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
28001001,1,,Das,דְּבַר־,1,False,,
28001001,2,,Wort,דְּבַר־,1,False,,
28001001,3,,Jahwes,יְהוָ֣ה׀,2,False,,
28001001,4,,welches,אֲשֶׁ֣ר,3,False,,
28001001,5,,zu,אֶל־,5,False,,
28001001,6,,Hosea,הוֹשֵׁ֙עַ֙,6,False,,
28001001,7,,dem,בֶּן־,7,True,,
28001001,8,,Sohne,בֶּן־,7,False,,
28001001,9,,Beeris,בְּאֵרִ֔י,8,False,,
28001001,10,,geschah,הָיָ֗ה,4,False,,
28001001,11,,in,בִּימֵ֨י,9,False,,
28001001,12,,den,בִּימֵ֨י,9,False,,
28001001,13,,Tagen,בִּימֵ֨י,9,False,,
28001001,14,,Ussijas,עֻזִּיָּ֥ה,10,False,,
28001001,15,,Jothams,יוֹתָ֛ם,11,False,,
28001001,16,,Ahas,אָחָ֥ז,12,False,,
28001001,17,,Hiskias,יְחִזְקִיָּ֖ה,13,False,,
28001001,18,,der,מַלְכֵ֣י,14,False,,
28001001,19,,Könige,מַלְכֵ֣י,14,False,,
28001001,20,,von,יְהוּדָ֑ה,15,False,,
28001001,21,,Juda,יְהוּדָ֑ה,15,False,,
28001001,22,,und,וּבִימֵ֛י,16,False,,
28001001,23,,in,וּבִימֵ֛י,16,False,,
28001001,24,,den,וּבִימֵ֛י,16,False,,
28001001,25,,Tagen,וּבִימֵ֛י,16,False,,
28001001,26,,Jerobeams,יָרָבְעָ֥ם,17,False,,
28001001,27,,des,בֶּן־,18,False,,
28001001,28,,Sohnes,בֶּן־,18,False,,
28001001,29,,Joas,יוֹאָ֖שׁ,19,False,,
28001001,30,,des,מֶ֥לֶךְ,20,False,,
28001001,31,,Königs,מֶ֥לֶךְ,20,False,,
28001001,32,,von,יִשְׂרָאֵֽל׃,21,False,,
28001001,33,,Israel,יִשְׂרָאֵֽל׃,21,False,,
28001002,1,,Als,תְּחִלַּ֥ת,1,False,,
28001002,2,,Jahwe,יְהוָ֖ה,3,False,,
28001002,3,,anfing,תְּחִלַּ֥ת,1,False,,
28001002,4,,mit,בְּהוֹשֵׁ֑עַ פ,4,False,,
28001002,5,,Hosea,בְּהוֹשֵׁ֑עַ פ,4,False,,
28001002,6,,zu,דִּבֶּר־,2,False,,
28001002,7,,reden,דִּבֶּר־,2,False,,
28001002,8,,da,וַיֹּ֨אמֶר,5,False,,
28001002,9,,sprach,וַיֹּ֨אמֶר,5,False,,
28001002,10,,Jahwe,יְהוָ֜ה,6,False,,
28001002,11,,zu,אֶל־,7,False,,
28001002,12,,Hosea,הוֹשֵׁ֗עַ,8,False,,
28001002,13,,Gehe,לֵ֣ךְ,9,False,,
28001002,14,,hin,לֵ֣ךְ,9,True,,
28001002,15,,nimm,קַח־,10,False,,
28001002,16,,dir,לְךָ֞,11,False,,
28001002,17,,ein,אֵ֤שֶׁת,12,True,,
28001002,18,,Hurenweib,אֵ֤שֶׁת,12,False,,
28001002,19,,und,וְיַלְדֵ֣י,14,False,,
28001002,20,,Hurenkinder,וְיַלְדֵ֣י,14,False,,
28001002,21,,denn,כִּֽי־,16,False,,
28001002,22,,das,הָאָ֔רֶץ,19,False,,
28001002,23,,Land,הָאָ֔רֶץ,19,False,,
28001002,24,,treibt,תִזְנֶה֙,18,False,,
28001002,25,,beständig,זָנֹ֤ה,17,False,,
28001002,26,,Hurerei,תִזְנֶה֙,18,False,,
28001002,27,,von,מֵֽאַחֲרֵ֖י,20,False,,
28001002,28,,Jahwe,יְהוָֽה׃,21,False,,
28001002,29,,hinweg,מֵֽאַחֲרֵ֖י,20,False,,
28001003,1,,Und,וַיֵּ֙לֶךְ֙,1,False,,
28001003,2,,er,וַיֵּ֙לֶךְ֙,1,False,,
28001003,3,,ging,וַיֵּ֙לֶךְ֙,1,False,,
28001003,4,,hin,וַיֵּ֙לֶךְ֙,1,True,,
28001003,5,,und,וַיִּקַּ֔ח,2,False,,
28001003,6,,nahm,וַיִּקַּ֔ח,2,False,,
28001003,7,,Gomer,גֹּ֖מֶר,4,False,,
28001003,8,,die,בַּת־,5,True,,
28001003,9,,Tochter,בַּת־,5,False,,
28001003,10,,Diblaims,דִּבְלָ֑יִם,6,False,,
28001003,11,,und,וַתַּ֥הַר,7,False,,
28001003,12,,sie,וַתַּ֥הַר,7,False,,
28001003,13,,ward,וַתַּ֥הַר,7,False,,
28001003,14,,schwanger,וַתַּ֥הַר,7,False,,
28001003,15,,und,וַתֵּֽלֶד־,8,False,,
28001003,16,,gebar,וַתֵּֽלֶד־,8,False,,
28001003,17,,ihm,ל֖וֹ,9,False,,
28001003,18,,einen,בֵּֽן׃,10,True,,
28001003,19,,Sohn,בֵּֽן׃,10,False,,
28001004,1,,Und,וַיֹּ֤אמֶר,1,False,,
28001004,2,,Jahwe,יְהוָה֙,2,False,,
28001004,3,,sprach,וַיֹּ֤אמֶר,1,False,,
28001004,4,,zu,אֵלָ֔יו,3,False,,
28001004,5,,ihm,אֵלָ֔יו,3,False,,
28001004,6,,Gib,קְרָ֥א,4,False,,
28001004,7,,ihm,שְׁמ֖וֹ,5,False,,
28001004,8,,den,שְׁמ֖וֹ,5,True,,
28001004,9,,Namen,שְׁמ֖וֹ,5,False,,
28001004,10,,Jisreel,יִזְרְעֶ֑אל,6,False,,
28001004,11,,denn,כִּי־,7,False,,
28001004,12,,noch,ע֣וֹד,8,False,,
28001004,13,,um,מְעַ֗ט,9,False,,
28001004,14,,ein,מְעַ֗ט,9,True,,
28001004,15,,Kleines,מְעַ֗ט,9,False,,
28001004,16,,so,וּפָ֨קַדְתִּ֜י,10,False,,
28001004,17,,werde,וּפָ֨קַדְתִּ֜י,10,False,,
28001004,18,,ich,וּפָ֨קַדְתִּ֜י,10,False,,
28001004,19,,die,דְּמֵ֤י,12,True,,
28001004,20,,Blutschuld,דְּמֵ֤י,12,False,,
28001004,21,,von,עַל־,14,False,,
28001004,22,,Jisreel,יִזְרְעֶאל֙,13,False,,
28001004,23,,an,עַל־,14,False,,
28001004,24,,dem,בֵּ֣ית,15,False,,
28001004,25,,Hause,בֵּ֣ית,15,False,,
28001004,26,,Jehus,יֵה֔וּא,16,False,,
28001004,27,,heimsuchen,וּפָ֨קַדְתִּ֜י,10,False,,
28001004,28,,und,וְהִ֨שְׁבַּתִּ֔י,17,False,,
28001004,29,,dem,מַמְלְכ֖וּת,18,False,,
28001004,30,,Königtum,מַמְלְכ֖וּת,18,False,,
28001004,31,,des,בֵּ֥ית,19,False,,
28001004,32,,Hauses,בֵּ֥ית,19,False,,
28001004,33,,Israel,יִשְׂרָאֵֽל׃,20,False,,
28001004,34,,ein,וְהִ֨שְׁבַּתִּ֔י,17,True,,
28001004,35,,Ende,וְהִ֨שְׁבַּתִּ֔י,17,False,,
28001004,36,,machen,וְהִ֨שְׁבַּתִּ֔י,17,False,,
28001005,1,,Und,וְהָיָ֖ה,1,False,,
28001005,2,,es,וְהָיָ֖ה,1,False,,
28001005,3,,wird,וְהָיָ֖ה,1,False,,
28001005,4,,geschehen,וְהָיָ֖ה,1,False,,
28001005,5,,an,בַּיּ֣וֹם,2,False,,
28001005,6,,jenem,הַה֑וּא,3,False,,
28001005,7,,Tage,בַּיּ֣וֹם,2,False,,
28001005,8,,da,וְשָֽׁבַרְתִּי֙,4,False,,
28001005,9,,werde,וְשָֽׁבַרְתִּי֙,4,False,,
28001005,10,,ich,וְשָֽׁבַרְתִּי֙,4,False,,
28001005,11,,den,אֶת־,5,False,,
28001005,12,,Bogen,קֶ֣שֶׁת,6,False,,
28001005,13,,Israels,יִשְׂרָאֵ֔ל,7,False,,
28001005,14,,zerbrechen,וְשָֽׁבַרְתִּי֙,4,False,,
28001005,15,,im,בְּעֵ֖מֶק,8,False,,
28001005,16,,Tale,בְּעֵ֖מֶק,8,False,,
28001005,17,,Jisreel,יִזְרְעֶֽאל׃,9,False,,
28001005,18,,,יִזְרְעֶֽאל׃,9,False,,
28001006,1,,Und,וַתַּ֤הַר,1,False,,
28001006,2,,sie,וַתַּ֤הַר,1,True,,
28001006,3,,ward,וַתַּ֤הַר,1,True,,
28001006,4,,wiederum,עוֹד֙,2,False,,
28001006,5,,schwanger,וַתַּ֤הַר,1,False,,
28001006,6,,und,וַתֵּ֣לֶד,3,False,,
28001006,7,,gebar,וַתֵּ֣לֶד,3,False,,
28001006,8,,eine,בַּ֔ת,4,True,,
28001006,9,,Tochter,בַּ֔ת,4,False,,
28001006,10,,Und,וַיֹּ֣אמֶר,5,False,,
28001006,11,,er,וַיֹּ֣אמֶר,5,True,,
28001006,12,,sprach,וַיֹּ֣אמֶר,5,False,,
28001006,13,,zu,ל֔וֹ,6,False,,
28001006,14,,ihm,ל֔וֹ,6,False,,
28001006,15,,Gib,קְרָ֥א,7,False,,
28001006,16,,ihr,שְׁמָ֖הּ,8,False,,
28001006,17,,den,לֹ֣א,9,True,,
28001006,18,,Namen,שְׁמָ֖הּ,8,False,,
28001006,19,,Lo-Ruchama,רֻחָ֑מָה,10,False,,
28001006,20,,denn,כִּי֩,11,False,,
28001006,21,,ich,אוֹסִ֜יף,13,True,,
28001006,22,,werde,אוֹסִ֜יף,13,False,,
28001006,23,,mich,אֲרַחֵם֙,15,False,,
28001006,24,,fortan,ע֗וֹד,14,False,,
28001006,25,,des,בֵּ֣ית,17,False,,
28001006,26,,Hauses,בֵּ֣ית,17,False,,
28001006,27,,Israel,יִשְׂרָאֵ֔ל,18,False,,
28001006,28,,nicht,לֹ֨א,12,False,,
28001006,29,,mehr,לֹ֨א,12,False,,
28001006,30,,erbarmen,אֲרַחֵם֙,15,False,,
28001006,31,,daß,כִּֽי־,19,False,,
28001006,32,,ich,אֶשָּׂ֖א,21,False,,
28001006,33,,ihnen,לָהֶֽם׃,22,False,,
28001006,34,,irgendwie,כִּֽי־,19,True,,
28001006,35,,vergebe,נָשֹׂ֥א,20,False,,
28001007,1,,Aber,וְאֶת־,1,False,,
28001007,2,,des,בֵּ֤ית,2,False,,
28001007,3,,Hauses,בֵּ֤ית,2,False,,
28001007,4,,Juda,יְהוּדָה֙,3,False,,
28001007,5,,werde,אֲרַחֵ֔ם,4,False,,
28001007,6,,ich,אֲרַחֵ֔ם,4,True,,
28001007,7,,mich,אֲרַחֵ֔ם,4,True,,
28001007,8,,erbarmen,אֲרַחֵ֔ם,4,False,,
28001007,9,,und,וְהֽוֹשַׁעְתִּ֖ים,5,False,,
28001007,10,,sie,וְהֽוֹשַׁעְתִּ֖ים,5,True,,
28001007,11,,retten,וְהֽוֹשַׁעְתִּ֖ים,5,False,,
28001007,12,,durch,בַּיהוָ֣ה,6,False,,
28001007,13,,Jahwe,בַּיהוָ֣ה,6,False,,
28001007,14,,ihren,אֱלֹֽהֵיהֶ֑ם,7,False,,
28001007,15,,Gott,אֱלֹֽהֵיהֶ֑ם,7,False,,
28001007,16,,und,וְלֹ֣א,8,False,,
28001007,17,,nicht,וְלֹ֣א,8,False,,
28001007,18,,werde,אֽוֹשִׁיעֵ֗ם,9,False,,
28001007,19,,ich,אֽוֹשִׁיעֵ֗ם,9,True,,
28001007,20,,sie,אֽוֹשִׁיעֵ֗ם,9,True,,
28001007,21,,retten,אֽוֹשִׁיעֵ֗ם,9,False,,
28001007,22,,durch,בְּקֶ֤שֶׁת,10,False,,
28001007,23,,Bogen,בְּקֶ֤שֶׁת,10,False,,
28001007,24,,und,וּבְחֶ֙רֶב֙,11,False,,
28001007,25,,durch,וּבְחֶ֙רֶב֙,11,False,,
28001007,26,,Schwert,וּבְחֶ֙רֶב֙,11,False,,
28001007,27,,und,וּבְמִלְחָמָ֔ה,12,False,,
28001007,28,,durch,בְּסוּסִ֖ים,13,False,,
28001007,29,,Krieg,וּבְמִלְחָמָ֔ה,12,False,,
28001007,30,,durch,וּבְפָרָשִֽׁים׃,14,False,,
28001007,31,,Rosse,בְּסוּסִ֖ים,13,False,,
28001007,32,,und,וּבְפָרָשִֽׁים׃,14,False,,
28001007,33,,durch,וּבְפָרָשִֽׁים׃,14,False,,
28001007,34,,Reiter,וּבְפָרָשִֽׁים׃,14,False,,
28001007,35,,,וּבְפָרָשִֽׁים׃,14,True,,
28001008,1,,Und,וַתִּגְמֹ֖ל,1,False,,
28001008,2,,sie,וַתִּגְמֹ֖ל,1,True,,
28001008,3,,entwöhnte,וַתִּגְמֹ֖ל,1,False,,
