HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
29001001,1,,Das,דְּבַר־,1,True,,
29001001,2,,Wort,דְּבַר־,1,False,,
29001001,3,,Jahwes,יְהוָה֙,2,False,,
29001001,4,,welches,אֲשֶׁ֣ר,3,False,,
29001001,5,,zu,אֶל־,5,False,,
29001001,6,,Joel,יוֹאֵ֖ל,6,False,,
29001001,7,,dem,בֶּן־,7,True,,
29001001,8,,Sohne,בֶּן־,7,False,,
29001001,9,,Pethuels,פְּתוּאֵֽל׃,8,False,,
29001001,10,,geschah,הָיָ֔ה,4,False,,
29001002,1,,Höret,שִׁמְעוּ־,1,False,,
29001002,2,,dieses,זֹאת֙,2,False,,
29001002,3,,ihr,הַזְּקֵנִ֔ים,3,False,,
29001002,4,,Alten,הַזְּקֵנִ֔ים,3,False,,
29001002,5,,und,וְהַֽאֲזִ֔ינוּ,4,False,,
29001002,6,,nehmet,וְהַֽאֲזִ֔ינוּ,4,False,,
29001002,7,,es,וְהַֽאֲזִ֔ינוּ,4,False,,
29001002,8,,zu,וְהַֽאֲזִ֔ינוּ,4,False,,
29001002,9,,Ohren,וְהַֽאֲזִ֔ינוּ,4,False,,
29001002,10,,alle,כֹּ֖ל,5,False,,
29001002,11,,ihr,יוֹשְׁבֵ֣י,6,False,,
29001002,12,,Bewohner,יוֹשְׁבֵ֣י,6,False,,
29001002,13,,des,הָאָ֑רֶץ,7,False,,
29001002,14,,Landes,הָאָ֑רֶץ,7,False,,
29001002,15,,Ist,הֶהָ֤יְתָה,8,False,,
29001002,16,,solches,זֹּאת֙,9,False,,
29001002,17,,in,בִּֽימֵיכֶ֔ם,10,False,,
29001002,18,,euren,בִּֽימֵיכֶ֔ם,10,False,,
29001002,19,,Tagen,בִּֽימֵיכֶ֔ם,10,False,,
29001002,20,,geschehen,הֶהָ֤יְתָה,8,False,,
29001002,21,,oder,וְאִ֖ם,11,False,,
29001002,22,,in,בִּימֵ֥י,12,False,,
29001002,23,,den,בִּימֵ֥י,12,True,,
29001002,24,,Tagen,בִּימֵ֥י,12,False,,
29001002,25,,eurer,אֲבֹֽתֵיכֶֽם׃,13,False,,
29001002,26,,Väter,אֲבֹֽתֵיכֶֽם׃,13,False,,
29001003,1,,Erzählet,סַפֵּ֑רוּ,3,False,,
29001003,2,,davon,עָלֶ֖יהָ,1,False,,
29001003,3,,euren,לִבְנֵיכֶ֣ם,2,False,,
29001003,4,,Kindern,לִבְנֵיכֶ֣ם,2,False,,
29001003,5,,und,וּבְנֵיכֶם֙,4,False,,
29001003,6,,eure,וּבְנֵיכֶם֙,4,False,,
29001003,7,,Kinder,וּבְנֵיכֶם֙,4,False,,
29001003,8,,ihren,לִבְנֵיהֶ֔ם,5,False,,
29001003,9,,Kindern,לִבְנֵיהֶ֔ם,5,False,,
29001003,10,,und,וּבְנֵיהֶ֖ם,6,False,,
29001003,11,,ihre,וּבְנֵיהֶ֖ם,6,False,,
29001003,12,,Kinder,וּבְנֵיהֶ֖ם,6,False,,
29001003,13,,dem,לְד֥וֹר,7,False,,
29001003,14,,folgenden,אַחֵֽר׃,8,False,,
29001003,15,,Geschlecht,אַחֵֽר׃,8,False,,
29001004,1,,Was,יֶ֤תֶר,1,False,,
29001004,2,,der,הַגָּזָם֙,2,True,,
29001004,3,,Nager,הַגָּזָם֙,2,False,,
29001004,4,,übriggelassen,יֶ֤תֶר,1,False,,
29001004,5,,hatte,אָכַ֣ל,3,False,,
29001004,6,,fraß,אָכַ֣ל,3,False,,
29001004,7,,die,הָֽאַרְבֶּ֔ה,4,True,,
29001004,8,,Heuschrecke,הָֽאַרְבֶּ֔ה,4,False,,
29001004,9,,und,וְיֶ֥תֶר,5,False,,
29001004,10,,was,וְיֶ֥תֶר,5,False,,
29001004,11,,die,הָאַרְבֶּ֖ה,6,True,,
29001004,12,,Heuschrecke,הָאַרְבֶּ֖ה,6,False,,
29001004,13,,übriggelassen,וְיֶ֥תֶר,5,False,,
29001004,14,,fraß,אָכַ֣ל,7,False,,
29001004,15,,der,הַיָּ֑לֶק,8,True,,
29001004,16,,Abfresser,הַיָּ֑לֶק,8,False,,
29001004,17,,und,וְיֶ֣תֶר,9,False,,
29001004,18,,was,וְיֶ֣תֶר,9,False,,
29001004,19,,der,הַיֶּ֔לֶק,10,True,,
29001004,20,,Abfresser,הַיֶּ֔לֶק,10,False,,
29001004,21,,übriggelassen,וְיֶ֣תֶר,9,False,,
29001004,22,,fraß,אָכַ֖ל,11,False,,
29001004,23,,der,הֶחָסִֽיל׃,12,True,,
29001004,24,,Vertilger,הֶחָסִֽיל׃,12,False,,
29001005,1,,Wachet,הָקִ֤יצוּ,1,False,,
29001005,2,,auf,הָקִ֤יצוּ,1,False,,
29001005,3,,ihr,שִׁכּוֹרִים֙,2,False,,
29001005,4,,Trunkenen,שִׁכּוֹרִים֙,2,False,,
29001005,5,,und,וּבְכ֔וּ,3,False,,
29001005,6,,weinet,וּבְכ֔וּ,3,False,,
29001005,7,,und,וְהֵילִ֖לוּ,4,False,,
29001005,8,,heulet,וְהֵילִ֖לוּ,4,False,,
29001005,9,,alle,כָּל־,5,False,,
