HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
31001001,1,,Gesicht,חֲז֖וֹן,1,False,,
31001001,2,,Obadjas,עֹֽבַדְיָ֑ה,2,False,,
31001001,3,,So,כֹּֽה־,3,False,,
31001001,4,,spricht,אָמַר֩,4,False,,
31001001,5,,der,אֲדֹנָ֨י,5,False,,
31001001,6,,Herr,אֲדֹנָ֨י,5,False,,
31001001,7,,Jahwe,יְהוִ֜ה,6,False,,
31001001,8,,von,לֶאֱד֗וֹם,7,False,,
31001001,9,,Edom,לֶאֱד֗וֹם,7,False,,
31001001,10,,Eine,שְׁמוּעָ֨ה,8,False,,
31001001,11,,Kunde,שְׁמוּעָ֨ה,8,False,,
31001001,12,,haben,שָׁמַ֜עְנוּ,9,False,,
31001001,13,,wir,שָׁמַ֜עְנוּ,9,False,,
31001001,14,,von,מֵאֵ֤ת,10,False,,
31001001,15,,Jahwe,יְהוָה֙,11,False,,
31001001,16,,gehört,שָׁמַ֜עְנוּ,9,False,,
31001001,17,,und,וְצִיר֙,12,False,,
31001001,18,,ein,וְצִיר֙,12,False,,
31001001,19,,Bote,וְצִיר֙,12,False,,
31001001,20,,ist,שֻׁלָּ֔ח,14,False,,
31001001,21,,unter,בַּגּוֹיִ֣ם,13,False,,
31001001,22,,die,בַּגּוֹיִ֣ם,13,False,,
31001001,23,,Nationen,בַּגּוֹיִ֣ם,13,False,,
31001001,24,,gesandt,שֻׁלָּ֔ח,14,False,,
31001001,25,,worden,שֻׁלָּ֔ח,14,False,,
31001001,26,,Machet,ק֛וּמוּ,15,False,,
31001001,27,,euch,ק֛וּמוּ,15,False,,
31001001,28,,auf,ק֛וּמוּ,15,False,,
31001001,29,,und,וְנָק֥וּמָה,16,False,,
31001001,30,,laßt,וְנָק֥וּמָה,16,False,,
31001001,31,,uns,וְנָק֥וּמָה,16,False,,
31001001,32,,wider,עָלֶיהָ,17,False,,
31001001,33,,dasselbe,עָלֶיהָ,17,False,,
31001001,34,,aufstehen,וְנָק֥וּמָה,16,False,,
31001001,35,,zum,לַמִּלְחָמָֽה׃,18,False,,
31001001,36,,Kriege,לַמִּלְחָמָֽה׃,18,False,,
31001002,1,,Siehe,הִנֵּ֥ה,1,False,,
31001002,2,,ich,נְתַתִּ֖יךָ,3,False,,
31001002,3,,habe,נְתַתִּ֖יךָ,3,False,,
31001002,4,,dich,נְתַתִּ֖יךָ,3,False,,
31001002,5,,klein,קָטֹ֛ן,2,False,,
31001002,6,,gemacht,נְתַתִּ֖יךָ,3,False,,
31001002,7,,unter,בַּגּוֹיִ֑ם,4,False,,
31001002,8,,den,בַּגּוֹיִ֑ם,4,False,,
31001002,9,,Nationen,בַּגּוֹיִ֑ם,4,False,,
31001002,10,,du,אַתָּ֖ה,6,False,,
31001002,11,,bist,אַתָּ֖ה,6,False,,
31001002,12,,sehr,מְאֹֽד׃,7,False,,
31001002,13,,verachtet,בָּז֥וּי,5,False,,
31001003,1,,Der,זְד֤וֹן,1,False,,
31001003,2,,Übermut,זְד֤וֹן,1,False,,
31001003,3,,deines,לִבְּךָ֙,2,False,,
31001003,4,,Herzens,לִבְּךָ֙,2,False,,
31001003,5,,hat,הִשִּׁיאֶ֔ךָ,3,False,,
31001003,6,,dich,הִשִּׁיאֶ֔ךָ,3,False,,
31001003,7,,verführt,הִשִּׁיאֶ֔ךָ,3,False,,
31001003,8,,der,שֹׁכְנִ֥י,4,False,,
31001003,9,,du,שֹׁכְנִ֥י,4,False,,
31001003,10,,in,בְחַגְוֵי־,5,False,,
31001003,11,,Felsenklüften,בְחַגְוֵי־,5,False,,
31001003,12,,auf,סֶּ֖לַע,6,False,,
31001003,13,,hohem,מְר֣וֹם,7,False,,
31001003,14,,Sitze,שִׁבְתּ֑וֹ,8,False,,
31001003,15,,wohnst,שֹׁכְנִ֥י,4,False,,
31001003,16,,und,אֹמֵ֣ר,9,False,,
31001003,17,,in,בְּלִבּ֔וֹ,10,False,,
31001003,18,,deinem,בְּלִבּ֔וֹ,10,False,,
31001003,19,,Herzen,בְּלִבּ֔וֹ,10,False,,
31001003,20,,sprichst,אֹמֵ֣ר,9,False,,
31001003,21,,Wer,מִ֥י,11,False,,
31001003,22,,wird,יוֹרִדֵ֖נִי,12,False,,
31001003,23,,mich,יוֹרִדֵ֖נִי,12,False,,
31001003,24,,zur,אָֽרֶץ׃,13,False,,
31001003,25,,Erde,אָֽרֶץ׃,13,False,,
31001003,26,,hinabstürzen,יוֹרִדֵ֖נִי,12,False,,
31001004,1,,Wenn,אִם־,1,False,,
31001004,2,,du,תַּגְבִּ֣יהַּ,2,False,,
31001004,3,,dein,קִנֶּ֑ךָ,8,False,,
31001004,4,,Nest,קִנֶּ֑ךָ,8,False,,
31001004,5,,auch,וְאִם־,4,False,,
31001004,6,,hoch,תַּגְבִּ֣יהַּ,2,False,,
31001004,7,,baust,תַּגְבִּ֣יהַּ,2,False,,
