HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
32001001,1,,Und,וַֽיְהִי֙,1,False,,
32001001,2,,das,,,True,3,Wort
32001001,3,,Wort,דְּבַר־,2,False,,
32001001,4,,Jahwes,יְהוָ֔ה,3,False,,
32001001,5,,geschah,וַֽיְהִי֙,1,False,,
32001001,6,,zu,אֶל־,4,False,,
32001001,7,,Jona,יוֹנָ֥ה,5,False,,
32001001,8,,dem,,,True,9,Sohne
32001001,9,,Sohne,בֶן־,6,False,,
32001001,10,,Amittais,אֲמִתַּ֖י,7,False,,
32001001,11,,also,לֵאמֹֽר׃,8,False,,
32001002,1,,Mache,ק֠וּם,1,False,,
32001002,2,,dich,,,True,1,Mache
32001002,3,,auf,ק֠וּם,1,False,,
32001002,4,,gehe,לֵ֧ךְ,2,False,,
32001002,5,,nach,אֶל־,3,False,,
32001002,6,,Ninive,נִֽינְוֵ֛ה,4,False,,
32001002,7,,der,,,True,9,Stadt
32001002,8,,großen,הַגְּדוֹלָ֖ה,6,False,,
32001002,9,,Stadt,הָעִ֥יר,5,False,,
32001002,10,,und,,,True,11,predige
32001002,11,,predige,וּקְרָ֣א,7,False,,
32001002,12,,wider,עָלֶ֑יהָ,8,False,,
32001002,13,,sie,עָלֶ֑יהָ,8,False,,
32001002,14,,denn,כִּֽי־,9,False,,
32001002,15,,ihre,רָעָתָ֖ם,11,False,,
32001002,16,,Bosheit,רָעָתָ֖ם,11,False,,
32001002,17,,ist,עָלְתָ֥ה,10,False,,
32001002,18,,vor,לְפָנָֽי׃,12,False,,
32001002,19,,mich,לְפָנָֽי׃,12,False,,
32001002,20,,heraufgestiegen,עָלְתָ֥ה,10,False,,
32001003,1,,Aber,,,True,2,Jona
32001003,2,,Jona,יוֹנָה֙,2,False,,
32001003,3,,machte,וַיָּ֤קָם,1,False,,
32001003,4,,sich,,,True,3,machte
32001003,5,,auf,,,True,3,machte
32001003,6,,um,לִבְרֹ֣חַ,3,False,,
32001003,7,,von,מִלִּפְנֵ֖י,5,False,,
32001003,8,,dem,,,True,9,Angesicht
32001003,9,,Angesicht,מִלִּפְנֵ֖י,5,False,,
32001003,10,,Jahwes,יְהוָ֑ה,6,False,,
32001003,11,,hinweg,מִלִּפְנֵ֖י,5,False,,
32001003,12,,nach,לִבְרֹ֣חַ,3,False,,
32001003,13,,Tarsis,תַּרְשִׁ֔ישָׁה,4,False,,
32001003,14,,zu,לִבְרֹ֣חַ,3,False,,
32001003,15,,fliehen,לִבְרֹ֣חַ,3,False,,
32001003,16,,und,,,True,18,ging
32001003,17,,er,יוֹנָה֙,2,False,,
32001003,18,,ging,וַיֵּ֨רֶד,7,False,,
32001003,19,,nach,,,True,20,Japho
32001003,20,,Japho,יָפ֜וֹ,8,False,,
32001003,21,,hinab,וַיֵּ֨רֶד,7,False,,
32001003,22,,und,,,True,23,fand
32001003,23,,fand,וַיִּמְצָ֥א,9,False,,
32001003,24,,ein,,,True,25,Schiff
32001003,25,,Schiff,אָנִיָּ֣ה׀,10,False,,
32001003,26,,das,בָּאָ֣ה,11,False,,
32001003,27,,nach,,,True,28,Tarsis
32001003,28,,Tarsis,תַרְשִׁ֗ישׁ,12,False,,
32001003,29,,fuhr,בָּאָ֣ה,11,False,,
32001003,30,,und,,,True,32,gab
32001003,31,,er,,,True,32,gab
32001003,32,,gab,וַיִּתֵּ֨ן,13,False,,
32001003,33,,sein,שְׂכָרָ֜הּ,14,False,,
32001003,34,,Fährgeld,שְׂכָרָ֜הּ,14,False,,
32001003,35,,und,,,True,36,stieg
32001003,36,,stieg,וַיֵּ֤רֶד,15,False,,
32001003,37,,in,,,True,38,dasselbe
32001003,38,,dasselbe,בָּהּ֙,16,False,,
32001003,39,,hinab,וַיֵּ֤רֶד,15,False,,
32001003,40,,um,לָב֤וֹא,17,False,,
32001003,41,,mit,עִמָּהֶם֙,18,False,,
32001003,42,,ihnen,עִמָּהֶם֙,18,False,,
32001003,43,,nach,,,True,44,Tarsis
32001003,44,,Tarsis,תַּרְשִׁ֔ישָׁה,19,False,,
32001003,45,,zu,לָב֤וֹא,17,False,,
32001003,46,,fahren,לָב֤וֹא,17,False,,
32001003,47,,von,מִלִּפְנֵ֖י,20,False,,
32001003,48,,dem,,,True,49,Angesicht
32001003,49,,Angesicht,מִלִּפְנֵ֖י,20,False,,
32001003,50,,Jahwes,יְהוָֽה׃,21,False,,
32001003,51,,hinweg,מִלִּפְנֵ֖י,20,False,,
32001004,1,,Da,וַֽיהוָ֗ה,1,False,,
32001004,2,,warf,הֵטִ֤יל,2,False,,
32001004,3,,Jahwe,וַֽיהוָ֗ה,1,False,,
32001004,4,,einen,,,True,6,Wind
32001004,5,,heftigen,גְּדוֹלָה֙,4,False,,
32001004,6,,Wind,רֽוּחַ־,3,False,,
32001004,7,,auf,אֶל־,5,False,,
32001004,8,,das,הַיָּ֔ם,6,False,,
32001004,9,,Meer,הַיָּ֔ם,6,False,,
32001004,10,,und,וַיְהִ֥י,7,False,,
32001004,11,,es,,,True,15,Sturm
32001004,12,,entstand,וַיְהִ֥י,7,False,,
32001004,13,,ein,,,True,15,Sturm
32001004,14,,großer,גָּד֖וֹל,9,False,,
32001004,15,,Sturm,סַֽעַר־,8,False,,
32001004,16,,auf,בַּיָּ֑ם,10,False,,
32001004,17,,dem,בַּיָּ֑ם,10,False,,
32001004,18,,Meere,בַּיָּ֑ם,10,False,,
32001004,19,,so,,,True,24,zerbrechen
32001004,20,,daß,,,True,24,zerbrechen
32001004,21,,das,וְהָ֣אֳנִיָּ֔ה,11,False,,
32001004,22,,Schiff,וְהָ֣אֳנִיָּ֔ה,11,False,,
32001004,23,,zu,לְהִשָּׁבֵֽר׃,13,False,,
32001004,24,,zerbrechen,לְהִשָּׁבֵֽר׃,13,False,,
32001004,25,,drohte,חִשְּׁבָ֖ה,12,False,,
32001005,1,,Und,וַיִּֽירְא֣וּ,1,False,,
32001005,2,,die,הַמַּלָּחִ֗ים,2,False,,
32001005,3,,Seeleute,הַמַּלָּחִ֗ים,2,False,,
32001005,4,,fürchteten,וַיִּֽירְא֣וּ,1,False,,
32001005,5,,sich,וַיִּֽירְא֣וּ,1,False,,
32001005,6,,und,וַֽיִּזְעֲקוּ֮,3,False,,
32001005,7,,schrieen,וַֽיִּזְעֲקוּ֮,3,False,,
32001005,8,,ein,אִ֣ישׁ,4,False,,
32001005,9,,jeder,אִ֣ישׁ,4,False,,
32001005,10,,zu,אֶל־,5,False,,
32001005,11,,seinem,אֱלֹהָיו֒,6,False,,
32001005,12,,Gott,אֱלֹהָיו֒,6,False,,
32001005,13,,und,וַיָּטִ֨לוּ,7,False,,
32001005,14,,sie,וַיָּטִ֨לוּ,7,False,,
32001005,15,,warfen,וַיָּטִ֨לוּ,7,False,,
32001005,16,,die,הַכֵּלִ֜ים,9,False,,
32001005,17,,Geräte,הַכֵּלִ֜ים,9,False,,
32001005,18,,welche,אֲשֶׁ֤ר,10,False,,
32001005,19,,im,בָּֽאֳנִיָּה֙,11,False,,
32001005,20,,Schiffe,בָּֽאֳנִיָּה֙,11,False,,
32001005,21,,waren,אֲשֶׁ֤ר,10,False,,
32001005,22,,ins,אֶל־,12,False,,
32001005,23,,Meer,הַיָּ֔ם,13,False,,
32001005,24,,um,לְהָקֵ֖ל,14,False,,
32001005,25,,sich,מֵֽעֲלֵיהֶ֑ם,15,False,,
32001005,26,,zu,לְהָקֵ֖ל,14,False,,
32001005,27,,erleichtern,לְהָקֵ֖ל,14,False,,
32001005,28,,Jona,וְיוֹנָ֗ה,16,False,,
32001005,29,,aber,וְיוֹנָ֗ה,16,False,,
32001005,30,,war,יָרַד֙,17,False,,
32001005,31,,in,אֶל־,18,False,,
32001005,32,,den,יַרְכְּתֵ֣י,19,False,,
32001005,33,,unteren,יַרְכְּתֵ֣י,19,False,,
32001005,34,,Schiffsraum,הַסְּפִינָ֔ה,20,False,,
32001005,35,,hinabgestiegen,יָרַד֙,17,False,,
32001005,36,,und,וַיִּשְׁכַּ֖ב,21,False,,
32001005,37,,hatte,וַיִּשְׁכַּ֖ב,21,False,,
32001005,38,,sich,וַיִּשְׁכַּ֖ב,21,False,,
32001005,39,,hingelegt,וַיִּשְׁכַּ֖ב,21,False,,
32001005,40,,und,וַיֵּרָדַֽם׃,22,False,,
32001005,41,,war,וַיֵּרָדַֽם׃,22,False,,
32001005,42,,in,וַיֵּרָדַֽם׃,22,False,,
32001005,43,,tiefen,וַיֵּרָדַֽם׃,22,False,,
32001005,44,,Schlaf,וַיֵּרָדַֽם׃,22,False,,
32001005,45,,gesunken,וַיֵּרָדַֽם׃,22,False,,
32001006,1,,Und,וַיִּקְרַ֤ב,1,False,,
32001006,2,,der,הַחֹבֵ֔ל,4,False,,
32001006,3,,Obersteuermann,הַחֹבֵ֔ל,4,False,,
32001006,4,,trat,וַיִּקְרַ֤ב,1,False,,
32001006,5,,zu,אֵלָיו֙,2,False,,
32001006,6,,ihm,אֵלָיו֙,2,False,,
32001006,7,,hin,וַיִּקְרַ֤ב,1,False,,
32001006,8,,und,וַיֹּ֥אמֶר,5,False,,
32001006,9,,sprach,וַיֹּ֥אמֶר,5,False,,
32001006,10,,zu,ל֖וֹ,6,False,,
32001006,11,,ihm,ל֖וֹ,6,False,,
32001006,12,,Was,מַה־,7,False,,
32001006,13,,ist,מַה־,7,False,,
32001006,14,,mit,לְּךָ֣,8,False,,
32001006,15,,dir,לְּךָ֣,8,False,,
32001006,16,,du,נִרְדָּ֑ם,9,False,,
32001006,17,,Schläfer,נִרְדָּ֑ם,9,False,,
32001006,18,,Stehe,ק֚וּם,10,False,,
32001006,19,,auf,ק֚וּם,10,False,,
32001006,20,,rufe,קְרָ֣א,11,False,,
32001006,21,,deinen,אֱלֹהֶ֔יךָ,13,False,,
32001006,22,,Gott,אֱלֹהֶ֔יךָ,13,False,,
32001006,23,,an,קְרָ֣א,11,False,,
32001006,24,,vielleicht,אוּלַ֞י,14,False,,
32001006,25,,wird,יִתְעַשֵּׁ֧ת,15,False,,
32001006,26,,der,הָאֱלֹהִ֛ים,16,False,,
32001006,27,,Gott,הָאֱלֹהִ֛ים,16,False,,
32001006,28,,unser,לָ֖נוּ,17,False,,
32001006,29,,gedenken,יִתְעַשֵּׁ֧ת,15,False,,
32001006,30,,daß,וְלֹ֥א,18,False,,
32001006,31,,wir,וְלֹ֥א,18,False,,
32001006,32,,nicht,וְלֹ֥א,18,False,,
32001006,33,,umkommen,נֹאבֵֽד׃,19,False,,
32001007,1,,Und,וַיֹּאמְר֞וּ,1,False,,
32001007,2,,sie,וַיֹּאמְר֞וּ,1,False,,
32001007,3,,sprachen,וַיֹּאמְר֞וּ,1,False,,
32001007,4,,einer,אִ֣ישׁ,2,False,,
32001007,5,,zum,אֶל־,3,False,,
32001007,6,,anderen,רֵעֵ֗הוּ,4,False,,
32001007,7,,Kommt,לְכוּ֙,5,False,,
32001007,8,,und,וְנַפִּ֣ילָה,6,False,,
32001007,9,,laßt,וְנַפִּ֣ילָה,6,False,,
32001007,10,,uns,וְנַפִּ֣ילָה,6,False,,
32001007,11,,Lose,גֽוֹרָל֔וֹת,7,False,,
32001007,12,,werfen,וְנַפִּ֣ילָה,6,False,,
32001007,13,,damit,וְנֵ֣דְעָ֔ה,8,False,,
32001007,14,,wir,וְנֵ֣דְעָ֔ה,8,False,,
32001007,15,,erfahren,וְנֵ֣דְעָ֔ה,8,False,,
32001007,16,,um,בְּשֶׁלְּמִ֛י,9,False,,
32001007,17,,wessentwillen,בְּשֶׁלְּמִ֛י,9,False,,
32001007,18,,dieses,הַזֹּ֖את,11,False,,
32001007,19,,Unglück,הָרָעָ֥ה,10,False,,
32001007,20,,uns,לָ֑נוּ,12,False,,
32001007,21,,trifft,וַיִּפֹּ֥ל,15,False,,
32001007,22,,Und,וַיַּפִּ֙לוּ֙,13,False,,
32001007,23,,sie,וַיַּפִּ֙לוּ֙,13,False,,
32001007,24,,warfen,וַיַּפִּ֙לוּ֙,13,False,,
32001007,25,,Lose,גּֽוֹרָל֔וֹת,14,False,,
32001007,26,,und,וַיִּפֹּ֥ל,15,False,,
32001007,27,,das,הַגּוֹרָ֖ל,16,False,,
32001007,28,,Los,הַגּוֹרָ֖ל,16,False,,
32001007,29,,fiel,וַיִּפֹּ֥ל,15,False,,
32001007,30,,auf,עַל־,17,False,,
32001007,31,,Jona,יוֹנָֽה׃,18,False,,
32001008,1,,Da,וַיֹּאמְר֣וּ,1,False,,
32001008,2,,sprachen,וַיֹּאמְר֣וּ,1,False,,
32001008,3,,sie,וַיֹּאמְר֣וּ,1,False,,
32001008,4,,zu,אֵלָ֔יו,2,False,,
32001008,5,,ihm,אֵלָ֔יו,2,False,,
32001008,6,,Tue,הַגִּידָה־,3,False,,
32001008,7,,uns,לָ֔נוּ,5,False,,
32001008,8,,doch,נָּ֣א,4,False,,
32001008,9,,kund,הַגִּידָה־,3,False,,
32001008,10,,um,בַּאֲשֶׁ֛ר,6,False,,
32001008,11,,wessentwillen,לְמִי־,7,False,,
32001008,12,,dieses,הַזֹּ֖את,9,False,,
32001008,13,,Unglück,הָרָעָ֥ה,8,False,,
32001008,14,,uns,לָ֑נוּ,10,False,,
32001008,15,,trifft,הָרָעָ֥ה,8,False,,
32001008,16,,Was,מַה־,11,False,,
32001008,17,,ist,מַה־,11,False,,
32001008,18,,dein,מְּלַאכְתְּךָ֙,12,False,,
32001008,19,,Geschäft,מְּלַאכְתְּךָ֙,12,False,,
32001008,20,,und,וּמֵאַ֣יִן,13,False,,
32001008,21,,woher,וּמֵאַ֣יִן,13,False,,
32001008,22,,kommst,תָּב֔וֹא,14,False,,
32001008,23,,du,אָֽתָּה׃,20,False,,
32001008,24,,Welches,מָ֣ה,15,False,,
32001008,25,,ist,מָ֣ה,15,False,,
32001008,26,,dein,אַרְצֶ֔ךָ,16,False,,
32001008,27,,Land,אַרְצֶ֔ךָ,16,False,,
32001008,28,,und,וְאֵֽי־,17,False,,
32001008,29,,von,מִזֶּ֥ה,18,False,,
32001008,30,,welchem,מִזֶּ֥ה,18,False,,
32001008,31,,Volke,עַ֖ם,19,False,,
32001008,32,,bist,אָֽתָּה׃,20,False,,
32001008,33,,du,אָֽתָּה׃,20,False,,
32001009,1,,Und,וַיֹּ֥אמֶר,1,False,,
32001009,2,,er,אָנֹ֑כִי,4,False,,
32001009,3,,sprach,וַיֹּ֥אמֶר,1,False,,
32001009,4,,zu,אֲלֵיהֶ֖ם,2,False,,
32001009,5,,ihnen,אֲלֵיהֶ֖ם,2,False,,
32001009,6,,Ich,אָנֹ֑כִי,4,False,,
32001009,7,,bin,אָנֹ֑כִי,4,False,,
32001009,8,,ein,עִבְרִ֣י,3,False,,
32001009,9,,Hebräer,עִבְרִ֣י,3,False,,
32001009,10,,und,וְאֶת־,5,False,,
32001009,11,,ich,אֲנִ֣י,9,False,,
32001009,12,,fürchte,יָרֵ֔א,10,False,,
32001009,13,,Jahwe,יְהוָ֞ה,6,False,,
32001009,14,,den,אֱלֹהֵ֤י,7,False,,
32001009,15,,Gott,אֱלֹהֵ֤י,7,False,,
32001009,16,,des,הַשָּׁמַ֙יִם֙,8,False,,
32001009,17,,Himmels,הַשָּׁמַ֙יִם֙,8,False,,
32001009,18,,der,אֲשֶׁר־,11,False,,
32001009,19,,das,אֶת־,13,False,,
32001009,20,,Meer,הַיָּ֖ם,14,False,,
32001009,21,,und,וְאֶת־,15,False,,
32001009,22,,das,וְאֶת־,15,False,,
32001009,23,,Trockene,הַיַּבָּשָֽׁה׃,16,False,,
32001009,24,,gemacht,עָשָׂ֥ה,12,False,,
32001009,25,,hat,עָשָׂ֥ה,12,False,,
32001010,1,,Da,וַיִּֽירְא֤וּ,1,False,,
32001010,2,,fürchteten,וַיִּֽירְא֤וּ,1,False,,
32001010,3,,sich,וַיִּֽירְא֤וּ,1,False,,
32001010,4,,die,הָֽאֲנָשִׁים֙,2,False,,
