HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
33001001,1,,Das,דְּבַר־,1,True,,
33001001,2,,Wort,דְּבַר־,1,False,,
33001001,3,,Jahwes,יְהוָ֣ה׀,2,False,,
33001001,4,,welches,אֲשֶׁ֣ר,3,False,,
33001001,5,,zu,אֶל־,5,False,,
33001001,6,,Micha,מִיכָה֙,6,False,,
33001001,7,,dem,הַמֹּ֣רַשְׁתִּ֔י,7,True,,
33001001,8,,Moraschtiter,הַמֹּ֣רַשְׁתִּ֔י,7,False,,
33001001,9,,geschah,הָיָ֗ה,4,False,,
33001001,10,,in,בִּימֵ֥י,8,False,,
33001001,11,,den,בִּימֵ֥י,8,True,,
33001001,12,,Tagen,בִּימֵ֥י,8,False,,
33001001,13,,Jothams,יוֹתָ֛ם,9,False,,
33001001,14,,Ahas,אָחָ֥ז,10,False,,
33001001,15,,und,יְחִזְקִיָּ֖ה,11,False,,
33001001,16,,Hiskias,יְחִזְקִיָּ֖ה,11,False,,
33001001,17,,der,מַלְכֵ֣י,12,True,,
33001001,18,,Könige,מַלְכֵ֣י,12,False,,
33001001,19,,von,יְהוּדָ֑ה,13,False,,
33001001,20,,Juda,יְהוּדָ֑ה,13,False,,
33001001,21,,das,אֲשֶׁר־,14,False,,
33001001,22,,er,אֲשֶׁר־,14,False,,
33001001,23,,schaute,חָזָ֥ה,15,False,,
33001001,24,,über,עַל־,16,False,,
33001001,25,,Samaria,שֹׁמְר֖וֹן,17,False,,
33001001,26,,und,וִירֽוּשָׁלִָֽם׃,18,False,,
33001001,27,,Jerusalem,וִירֽוּשָׁלִָֽם׃,18,False,,
33001002,1,,Höret,שִׁמְעוּ֙,1,False,,
33001002,2,,ihr,עַמִּ֣ים,2,False,,
33001002,3,,Völker,עַמִּ֣ים,2,False,,
33001002,4,,alle,כֻּלָּ֔ם,3,False,,
33001002,5,,merke,הַקְשִׁ֖יבִי,4,False,,
33001002,6,,auf,הַקְשִׁ֖יבִי,4,False,,
33001002,7,,du,אֶ֣רֶץ,5,False,,
33001002,8,,Erde,אֶ֣רֶץ,5,False,,
33001002,9,,und,וּמְלֹאָ֑הּ,6,False,,
33001002,10,,ihre,וּמְלֹאָ֑הּ,6,False,,
33001002,11,,Fülle,וּמְלֹאָ֑הּ,6,False,,
33001002,12,,Und,וִיהִי֩,7,False,,
33001002,13,,der,אֲדֹנָ֨י,8,True,,
33001002,14,,Herr,אֲדֹנָ֨י,8,False,,
33001002,15,,Jahwe,יְהוִ֤ה,9,False,,
33001002,16,,sei,וִיהִי֩,7,False,,
33001002,17,,zum,לְעֵ֔ד,11,False,,
33001002,18,,Zeugen,לְעֵ֔ד,11,False,,
33001002,19,,wider,בָּכֶם֙,10,False,,
33001002,20,,euch,בָּכֶם֙,10,False,,
33001002,21,,der,אֲדֹנָ֖י,12,False,,
33001002,22,,Herr,אֲדֹנָ֖י,12,False,,
33001002,23,,aus,מֵהֵיכַ֥ל,13,False,,
33001002,24,,seinem,קָדְשֽׁוֹ׃,14,False,,
33001002,25,,heiligen,קָדְשֽׁוֹ׃,14,False,,
33001002,26,,Palast,מֵהֵיכַ֥ל,13,False,,
33001003,1,,Denn,כִּֽי־,1,False,,
33001003,2,,siehe,הִנֵּ֥ה,2,False,,
33001003,3,,Jahwe,יְהוָ֖ה,3,False,,
33001003,4,,geht,יֹצֵ֣א,4,False,,
33001003,5,,aus,יֹצֵ֣א,4,False,,
33001003,6,,von,מִמְּקוֹמ֑וֹ,5,False,,
33001003,7,,seiner,מִמְּקוֹמ֑וֹ,5,False,,
33001003,8,,Stätte,מִמְּקוֹמ֑וֹ,5,False,,
33001003,9,,und,וְיָרַ֥ד,6,False,,
33001003,10,,kommt,וְיָרַ֥ד,6,False,,
33001003,11,,herab,וְיָרַ֥ד,6,False,,
33001003,12,,und,וְדָרַ֖ךְ,7,False,,
33001003,13,,schreitet,וְדָרַ֖ךְ,7,False,,
33001003,14,,einher,וְדָרַ֖ךְ,7,False,,
33001003,15,,auf,עַל־,8,False,,
33001003,16,,den,בָּ֥מֳתֵי,9,True,,
33001003,17,,Höhen,בָּ֥מֳתֵי,9,False,,
33001003,18,,der,אָֽרֶץ׃,10,True,,
33001003,19,,Erde,אָֽרֶץ׃,10,False,,
33001004,1,,Und,וְנָמַ֤סּוּ,1,False,,
33001004,2,,die,הֶֽהָרִים֙,2,False,,
33001004,3,,Berge,הֶֽהָרִים֙,2,False,,
33001004,4,,zerschmelzen,וְנָמַ֤סּוּ,1,False,,
33001004,5,,unter,תַּחְתָּ֔יו,3,False,,
33001004,6,,ihm,תַּחְתָּ֔יו,3,False,,
33001004,7,,und,וְהָעֲמָקִ֖ים,4,False,,
33001004,8,,die,וְהָעֲמָקִ֖ים,4,False,,
33001004,9,,Täler,וְהָעֲמָקִ֖ים,4,False,,
33001004,10,,spalten,יִתְבַּקָּ֑עוּ,5,False,,
33001004,11,,sich,יִתְבַּקָּ֑עוּ,5,False,,
33001004,12,,wie,כַּדּוֹנַג֙,6,False,,
33001004,13,,das,כַּדּוֹנַג֙,6,True,,
33001004,14,,Wachs,כַּדּוֹנַג֙,6,False,,
33001004,15,,vor,מִפְּנֵ֣י,7,False,,
33001004,16,,dem,הָאֵ֔שׁ,8,True,,
33001004,17,,Feuer,הָאֵ֔שׁ,8,False,,
33001004,18,,wie,כְּמַ֖יִם,9,False,,
33001004,19,,Wasser,כְּמַ֖יִם,9,False,,
33001004,20,,ausgegossen,מֻגָּרִ֥ים,10,False,,
33001004,21,,am,בְּמוֹרָֽד׃,11,False,,
33001004,22,,Abhange,בְּמוֹרָֽד׃,11,False,,
33001005,1,,Das,כָּל־,3,False,,
33001005,2,,alles,זֹ֔את,4,False,,
33001005,3,,wegen,בְּפֶ֤שַׁע,1,False,,
33001005,4,,der,בְּפֶ֤שַׁע,1,True,,
33001005,5,,Übertretung,בְּפֶ֤שַׁע,1,False,,
33001005,6,,Jakobs,יַֽעֲקֹב֙,2,False,,
33001005,7,,und,וּבְחַטֹּ֖אות,5,False,,
33001005,8,,wegen,וּבְחַטֹּ֖אות,5,False,,
33001005,9,,der,וּבְחַטֹּ֖אות,5,True,,
33001005,10,,Sünden,וּבְחַטֹּ֖אות,5,False,,
33001005,11,,des,בֵּ֣ית,6,False,,
33001005,12,,Hauses,בֵּ֣ית,6,False,,
33001005,13,,Israel,יִשְׂרָאֵ֑ל,7,False,,
33001005,14,,Von,מִֽי־,8,False,,
33001005,15,,wem,מִֽי־,8,False,,
33001005,16,,geht,מִֽי־,8,False,,
33001005,17,,die,פֶ֣שַׁע,9,True,,
33001005,18,,Übertretung,פֶ֣שַׁע,9,False,,
33001005,19,,Jakobs,יַעֲקֹ֗ב,10,False,,
33001005,20,,aus,מִֽי־,8,False,,
33001005,21,,Ist,הֲלוֹא֙,11,False,,
33001005,22,,es,הֲלוֹא֙,11,False,,
33001005,23,,nicht,הֲלוֹא֙,11,False,,
33001005,24,,Samaria,שֹֽׁמְר֔וֹן,12,False,,
33001005,25,,Und,וּמִי֙,13,False,,
33001005,26,,von,וּמִי֙,13,False,,
33001005,27,,wem,וּמִי֙,13,False,,
33001005,28,,die,בָּמ֣וֹת,14,True,,
33001005,29,,Höhen,בָּמ֣וֹת,14,False,,
33001005,30,,Judas,יְהוּדָ֔ה,15,False,,
33001005,31,,Ist,הֲל֖וֹא,16,False,,
33001005,32,,es,הֲל֖וֹא,16,False,,
33001005,33,,nicht,הֲל֖וֹא,16,False,,
33001005,34,,Jerusalem,יְרוּשָׁלִָֽם׃,17,False,,
33001006,1,,So,וְשַׂמְתִּ֥י,1,False,,
33001006,2,,werde,וְשַׂמְתִּ֥י,1,False,,
33001006,3,,ich,וְשַׂמְתִּ֥י,1,False,,
33001006,4,,Samaria,שֹׁמְר֛וֹן,2,False,,
33001006,5,,zu,לְעִ֥י,3,False,,
33001006,6,,einem,לְעִ֥י,3,True,,
33001006,7,,Steinhaufen,לְעִ֥י,3,False,,
33001006,8,,des,הַשָּׂדֶ֖ה,4,False,,
33001006,9,,Feldes,הַשָּׂדֶ֖ה,4,False,,
33001006,10,,zu,לְמַטָּ֣עֵי,5,False,,
33001006,11,,Weinbergpflanzungen,לְמַטָּ֣עֵי,5,False,,
33001006,12,,machen,וְשַׂמְתִּ֥י,1,False,,
33001006,13,,und,וְהִגַּרְתִּ֤י,7,False,,
33001006,14,,ich,וְהִגַּרְתִּ֤י,7,False,,
33001006,15,,werde,וְהִגַּרְתִּ֤י,7,False,,
33001006,16,,ihre,אֲבָנֶ֔יהָ,9,False,,
33001006,17,,Steine,אֲבָנֶ֔יהָ,9,False,,
33001006,18,,ins,לַגַּי֙,8,False,,
33001006,19,,Tal,לַגַּי֙,8,False,,
33001006,20,,hinabstürzen,וְהִגַּרְתִּ֤י,7,False,,
33001006,21,,und,וִיסֹדֶ֖יהָ,10,False,,
33001006,22,,ihre,וִיסֹדֶ֖יהָ,10,False,,
33001006,23,,Grundfesten,וִיסֹדֶ֖יהָ,10,False,,
33001006,24,,entblößen,אֲגַלֶּֽה׃,11,False,,
33001007,1,,Und,וְכָל־,1,False,,
33001007,2,,alle,וְכָל־,1,False,,
33001007,3,,ihre,פְּסִילֶ֣יהָ,2,False,,
33001007,4,,gegossenen,פְּסִילֶ֣יהָ,2,False,,
33001007,5,,Bilder,פְּסִילֶ֣יהָ,2,False,,
33001007,6,,werden,יֻכַּ֗תּוּ,3,False,,
33001007,7,,zerschlagen,יֻכַּ֗תּוּ,3,False,,
33001007,8,,und,וְכָל־,4,False,,
33001007,9,,alle,וְכָל־,4,False,,
33001007,10,,ihre,אֶתְנַנֶּ֙יהָ֙,5,False,,
33001007,11,,Hurengeschenke,אֶתְנַנֶּ֙יהָ֙,5,False,,
33001007,12,,mit,בָאֵ֔שׁ,7,False,,
33001007,13,,Feuer,בָאֵ֔שׁ,7,False,,
33001007,14,,verbrannt,יִשָּׂרְפ֣וּ,6,False,,
33001007,15,,werden,יִשָּׂרְפ֣וּ,6,False,,
33001007,16,,und,וְכָל־,8,False,,
33001007,17,,ich,אָשִׂ֣ים,10,False,,
33001007,18,,werde,אָשִׂ֣ים,10,False,,
33001007,19,,alle,וְכָל־,8,False,,
33001007,20,,ihre,עֲצַבֶּ֖יהָ,9,False,,
33001007,21,,Götzenbilder,עֲצַבֶּ֖יהָ,9,False,,
33001007,22,,zur,אָשִׂ֣ים,10,False,,
33001007,23,,Wüste,שְׁמָמָ֑ה,11,False,,
33001007,24,,machen,אָשִׂ֣ים,10,False,,
33001007,25,,denn,כִּ֠י,12,False,,
33001007,26,,sie,קִבָּ֔צָה,15,False,,
33001007,27,,hat,קִבָּ֔צָה,15,False,,
33001007,28,,sie,קִבָּ֔צָה,15,False,,
33001007,29,,durch,מֵאֶתְנַ֤ן,13,False,,
33001007,30,,Hurenlohn,מֵאֶתְנַ֤ן,13,False,,
33001007,31,,gesammelt,קִבָּ֔צָה,15,False,,
33001007,32,,und,וְעַד־,16,False,,
33001007,33,,zum,אֶתְנַ֥ן,17,False,,
33001007,34,,Hurenlohn,אֶתְנַ֥ן,17,False,,
33001007,35,,sollen,יָשֽׁוּבוּ׃,19,False,,
33001007,36,,sie,יָשֽׁוּבוּ׃,19,False,,
33001007,37,,wieder,יָשֽׁוּבוּ׃,19,False,,
33001007,38,,werden,יָשֽׁוּבוּ׃,19,False,,
33001008,1,,Darum,עַל־,1,False,,
33001008,2,,will,אֶסְפְּדָ֣ה,3,False,,
33001008,3,,ich,אֶסְפְּדָ֣ה,3,False,,
33001008,4,,klagen,אֶסְפְּדָ֣ה,3,False,,
33001008,5,,und,וְאֵילִ֔ילָה,4,False,,
33001008,6,,heulen,וְאֵילִ֔ילָה,4,False,,
