HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
35001001,1,,Der,הַמַּשָּׂא֙,1,True,,
35001001,2,,Ausspruch,הַמַּשָּׂא֙,1,False,,
35001001,3,,welchen,אֲשֶׁ֣ר,2,False,,
35001001,4,,Habakuk,חֲבַקּ֖וּק,4,False,,
35001001,5,,der,הַנָּבִֽיא׃,5,True,,
35001001,6,,Prophet,הַנָּבִֽיא׃,5,False,,
35001001,7,,geschaut,חָזָ֔ה,3,False,,
35001001,8,,hat,חָזָ֔ה,3,True,,
35001002,1,,Wie,אָ֧נָה,2,False,,
35001002,2,,lange,עַד־,1,False,,
35001002,3,,Jahwe,יְהוָ֛ה,3,False,,
35001002,4,,habe,שִׁוַּ֖עְתִּי,4,False,,
35001002,5,,ich,שִׁוַּ֖עְתִּי,4,False,,
35001002,6,,gerufen,שִׁוַּ֖עְתִּי,4,False,,
35001002,7,,und,וְלֹ֣א,5,False,,
35001002,8,,du,תִשְׁמָ֑ע,6,False,,
35001002,9,,hörst,תִשְׁמָ֑ע,6,False,,
35001002,10,,nicht,וְלֹ֣א,5,False,,
35001002,11,,Ich,אֶזְעַ֥ק,7,False,,
35001002,12,,schreie,אֶזְעַ֥ק,7,False,,
35001002,13,,zu,אֵלֶ֛יךָ,8,False,,
35001002,14,,dir,אֵלֶ֛יךָ,8,False,,
35001002,15,,Gewalttat,חָמָ֖ס,9,False,,
35001002,16,,und,וְלֹ֥א,10,False,,
35001002,17,,du,תוֹשִֽׁיעַ׃,11,False,,
35001002,18,,rettest,תוֹשִֽׁיעַ׃,11,False,,
35001002,19,,nicht,וְלֹ֥א,10,False,,
35001003,1,,Warum,לָ֣מָּה,1,False,,
35001003,2,,läßt,תַרְאֵ֤נִי,2,False,,
35001003,3,,du,תַרְאֵ֤נִי,2,False,,
35001003,4,,mich,תַרְאֵ֤נִי,2,False,,
35001003,5,,Unheil,אָ֙וֶן֙,3,False,,
35001003,6,,sehen,תַרְאֵ֤נִי,2,False,,
35001003,7,,und,וְעָמָ֣ל,4,False,,
