HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
37001001,1,,Im,בִּשְׁנַ֤ת,1,False,,
37001001,2,,zweiten,שְׁתַּ֙יִם֙,2,False,,
37001001,3,,Jahre,בִּשְׁנַ֤ת,1,False,,
37001001,4,,des,,,True,5,Königs
37001001,5,,Königs,הַמֶּ֔לֶךְ,4,False,,
37001001,6,,Darius,לְדָרְיָ֣וֶשׁ,3,False,,
37001001,7,,im,בַּחֹ֙דֶשׁ֙,5,False,,
37001001,8,,sechsten,הַשִּׁשִּׁ֔י,6,False,,
37001001,9,,Monat,בַּחֹ֙דֶשׁ֙,5,False,,
37001001,10,,am,בְּי֥וֹם,7,False,,
37001001,11,,ersten,אֶחָ֖ד,8,False,,
37001001,12,,Tage,בְּי֥וֹם,7,False,,
37001001,13,,des,,,True,14,Monats
37001001,14,,Monats,לַחֹ֑דֶשׁ,9,False,,
37001001,15,,geschah,הָיָ֨ה,10,False,,
37001001,16,,das,,,True,17,Wort
37001001,17,,Wort,דְבַר־,11,False,,
37001001,18,,Jahwes,יְהוָ֜ה,12,False,,
37001001,19,,durch,בְּיַד־,13,False,,
37001001,20,,den,,,True,21,Propheten
37001001,21,,Propheten,הַנָּבִ֗יא,15,False,,
37001001,22,,Haggai,חַגַּ֣י,14,False,,
37001001,23,,zu,אֶל־,16,False,,
37001001,24,,Serubbabel,זְרֻבָּבֶ֤ל,17,False,,
37001001,25,,dem,,,True,26,Sohne
37001001,26,,Sohne,בֶּן־,18,False,,
37001001,27,,Schealtiels,שְׁאַלְתִּיאֵל֙,19,False,,
37001001,28,,dem,,,True,29,Landpfleger
37001001,29,,Landpfleger,פַּחַ֣ת,20,False,,
37001001,30,,von,,,True,31,Juda
37001001,31,,Juda,יְהוּדָ֔ה,21,False,,
37001001,32,,und,וְאֶל־,22,False,,
37001001,33,,zu,וְאֶל־,22,False,,
37001001,34,,Josua,יְהוֹשֻׁ֧עַ,23,False,,
37001001,35,,dem,,,True,36,Sohne
37001001,36,,Sohne,בֶּן־,24,False,,
37001001,37,,Jozadaks,יְהוֹצָדָ֛ק,25,False,,
