HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
38001001,1,,Im,בַּחֹ֙דֶשׁ֙,1,False,,
38001001,2,,achten,הַשְּׁמִינִ֔י,2,False,,
38001001,3,,Monat,בַּחֹ֙דֶשׁ֙,1,False,,
38001001,4,,im,בִּשְׁנַ֥ת,3,False,,
38001001,5,,zweiten,שְׁתַּ֖יִם,4,False,,
38001001,6,,Jahre,בִּשְׁנַ֥ת,3,False,,
38001001,7,,des,לְדָרְיָ֑וֶשׁ,5,True,,
38001001,8,,Darius,לְדָרְיָ֑וֶשׁ,5,False,,
38001001,9,,geschah,הָיָ֣ה,6,False,,
38001001,10,,das,דְבַר־,7,True,,
38001001,11,,Wort,דְבַר־,7,False,,
38001001,12,,Jahwes,יְהוָ֗ה,8,False,,
38001001,13,,zu,אֶל־,9,False,,
38001001,14,,Sacharja,זְכַרְיָה֙,10,False,,
38001001,15,,dem,בֶּן־,11,True,,
38001001,16,,Sohne,בֶּן־,11,False,,
38001001,17,,Berekjas,בֶּ֣רֶכְיָ֔ה,12,False,,
38001001,18,,des,בֶּן־,13,True,,
38001001,19,,Sohnes,בֶּן־,13,False,,
38001001,20,,Iddos,עִדּ֥וֹ,14,False,,
38001001,21,,dem,הַנָּבִ֖יא,15,True,,
38001001,22,,Propheten,הַנָּבִ֖יא,15,False,,
38001001,23,,also,לֵאמֹֽר׃,16,False,,
38001002,1,,Jahwe,יְהוָ֛ה,2,False,,
38001002,2,,ist,קָצַ֧ף,1,False,,
38001002,3,,heftig,קָֽצֶף׃,5,False,,
38001002,4,,erzürnt,קָצַ֧ף,1,False,,
38001002,5,,gewesen,קָצַ֧ף,1,False,,
38001002,6,,über,עַל־,3,False,,
38001002,7,,eure,אֲבֽוֹתֵיכֶ֖ם,4,False,,
38001002,8,,Väter,אֲבֽוֹתֵיכֶ֖ם,4,False,,
38001003,1,,Und,וְאָמַרְתָּ֣,1,False,,
38001003,2,,sprich,וְאָמַרְתָּ֣,1,False,,
38001003,3,,zu,אֲלֵהֶ֗ם,2,False,,
38001003,4,,ihnen,אֲלֵהֶ֗ם,2,False,,
38001003,5,,So,כֹּ֤ה,3,False,,
38001003,6,,spricht,אָמַר֙,4,False,,
38001003,7,,Jahwe,יְהוָ֣ה,5,False,,
38001003,8,,der,צְבָא֔וֹת,6,True,,
38001003,9,,Heerscharen,צְבָא֔וֹת,6,False,,
38001003,10,,Kehret,שׁ֣וּבוּ,7,False,,
38001003,11,,zu,אֵלַ֔י,8,False,,
38001003,12,,mir,אֵלַ֔י,8,False,,
38001003,13,,um,נְאֻ֖ם,9,False,,
38001003,14,,spricht,נְאֻ֖ם,9,False,,
38001003,15,,Jahwe,יְהוָ֣ה,10,False,,
