HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
40001001,1,,Buch,Βίβλος,1,False,,
40001001,2,,des,,,True,3,Geschlechts
40001001,3,,Geschlechts,γενέσεως,2,False,,
40001001,4,,Jesu,Ἰησοῦ,3,False,,
40001001,5,,Christi,Χριστοῦ,4,False,,
40001001,6,,des,,,True,7,Sohnes
40001001,7,,Sohnes,υἱοῦ,5,False,,
40001001,8,,Davids,Δαυὶδ,6,False,,
40001001,9,,des,,,True,10,Sohnes
40001001,10,,Sohnes,υἱοῦ,7,False,,
40001001,11,,Abrahams,Ἀβραάμ.,8,False,,
40001002,1,,Abraham,Ἀβραὰμ,1,False,,
40001002,2,,zeugte,ἐγέννησεν,2,False,,
40001002,3,,Isaak,Ἰσαάκ·,4,False,,
40001002,4,,Isaak,Ἰσαὰκ,5,False,,
40001002,5,,aber,δὲ,6,False,,
40001002,6,,zeugte,ἐγέννησεν,7,False,,
40001002,7,,Jakob,Ἰακώβ·,9,False,,
40001002,8,,Jakob,Ἰακὼβ,10,False,,
40001002,9,,aber,δὲ,11,False,,
40001002,10,,zeugte,ἐγέννησεν,12,False,,
40001002,11,,Juda,Ἰούδαν,14,False,,
40001002,12,,und,καὶ,15,False,,
40001002,13,,seine,αὐτοῦ·,18,False,,
40001002,14,,Brüder,ἀδελφοὺς,17,False,,
40001003,1,,Juda,Ἰούδας,1,False,,
40001003,2,,aber,δὲ,2,False,,
40001003,3,,zeugte,ἐγέννησεν,3,False,,
40001003,4,,Phares,Φάρες,5,False,,
40001003,5,,und,καὶ,6,False,,
40001003,6,,Zara,Ζάρα,8,False,,
40001003,7,,von,ἐκ,9,False,,
40001003,8,,der,τῆς,10,False,,
40001003,9,,Thamar,Θαμάρ·,11,False,,
40001003,10,,Phares,Φάρες,12,False,,
40001003,11,,aber,δὲ,13,False,,
40001003,12,,zeugte,ἐγέννησεν,14,False,,
40001003,13,,Esrom,Ἑσρώμ·,16,False,,
40001003,14,,Esrom,Ἑσρὼμ,17,False,,
40001003,15,,aber,δὲ,18,False,,
40001003,16,,zeugte,ἐγέννησεν,19,False,,
40001003,17,,Aram,Ἀράμ·,21,False,,
40001004,1,,Aram,Ἀρὰμ,1,False,,
40001004,2,,aber,δὲ,2,False,,
40001004,3,,zeugte,ἐγέννησεν,3,False,,
40001004,4,,Aminadab,Ἀμιναδάβ·,5,False,,
40001004,5,,Aminadab,Ἀμιναδὰβ,6,False,,
40001004,6,,aber,δὲ,7,False,,
40001004,7,,zeugte,ἐγέννησεν,8,False,,
40001004,8,,Nahasson,Ναασσών·,10,False,,
40001004,9,,Nahasson,Ναασσὼν,11,False,,
40001004,10,,aber,δὲ,12,False,,
40001004,11,,zeugte,ἐγέννησεν,13,False,,
40001004,12,,Salmon,Σαλμών·,15,False,,
40001005,1,,Salmon,Σαλμὼν,1,False,,
40001005,2,,aber,δὲ,2,False,,
40001005,3,,zeugte,ἐγέννησεν,3,False,,
40001005,4,,Boas,Βόες,5,False,,
40001005,5,,von,ἐκ,6,False,,
40001005,6,,der,τῆς,7,False,,
40001005,7,,Rahab,Ῥαχάβ·,8,False,,
40001005,8,,Boas,Βόες,9,False,,
40001005,9,,aber,δὲ,10,False,,
40001005,10,,zeugte,ἐγέννησεν,11,False,,
40001005,11,,Obed,Ἰωβὴδ,13,False,,
40001005,12,,von,ἐκ,14,False,,
40001005,13,,der,τῆς,15,False,,
40001005,14,,Ruth,Ῥούθ·,16,False,,
40001005,15,,Obed,Ἰωβὴδ,17,False,,
40001005,16,,aber,δὲ,18,False,,
40001005,17,,zeugte,ἐγέννησεν,19,False,,
40001005,18,,Jesse,Ἰεσσαί·,21,False,,
40001006,1,,Jesse,Ἰεσσαὶ,1,False,,
40001006,2,,aber,δὲ,2,False,,
40001006,3,,zeugte,ἐγέννησεν,3,False,,
40001006,4,,David,Δαυὶδ,5,False,,
40001006,5,,den,τὸν,6,False,,
40001006,6,,König,βασιλέα·,7,False,,
40001006,7,,David,Δαυὶδ,8,False,,
40001006,8,,aber,δὲ,9,False,,
40001006,9,,zeugte,ἐγέννησεν,12,False,,
40001006,10,,Salomon,Σολομῶνα,14,False,,
40001006,11,,von,ἐκ,15,False,,
40001006,12,,der,τῆς,16,False,,
40001006,13,,die,,,True,15,Weib
40001006,14,,Urias,Οὐρίου·,18,False,,
40001006,15,,Weib,,,True,10,Salomon
40001006,16,,gewesen,,,True,10,Salomon
40001007,1,,Salomon,Σολομὼν,1,False,,
40001007,2,,aber,δὲ,2,False,,
40001007,3,,zeugte,ἐγέννησεν,3,False,,
40001007,4,,Roboam,Ῥοβοάμ·,5,False,,
40001007,5,,Roboam,Ῥοβοὰμ,6,False,,
40001007,6,,aber,δὲ,7,False,,
40001007,7,,zeugte,ἐγέννησεν,8,False,,
40001007,8,,Abia,Ἀβιά·,10,False,,
40001007,9,,Abia,Ἀβιὰ,11,False,,
40001007,10,,aber,δὲ,12,False,,
40001007,11,,zeugte,ἐγέννησεν,13,False,,
40001007,12,,Asa,Ἀσάφ·,15,False,,
40001008,1,,Asa,Ἀσὰφ,1,False,,
40001008,2,,aber,δὲ,2,False,,
40001008,3,,zeugte,ἐγέννησεν,3,False,,
40001008,4,,Josaphat,Ἰωσαφάτ·,5,False,,
40001008,5,,Josaphat,Ἰωσαφὰτ,6,False,,
40001008,6,,aber,δὲ,7,False,,
40001008,7,,zeugte,ἐγέννησεν,8,False,,
40001008,8,,Joram,Ἰωράμ·,10,False,,
40001008,9,,Joram,Ἰωρὰμ,11,False,,
40001008,10,,aber,δὲ,12,False,,
40001008,11,,zeugte,ἐγέννησεν,13,False,,
40001008,12,,Osia,Ὀζίαν·,15,False,,
40001009,1,,Osia,Ὀζίας,1,False,,
40001009,2,,aber,δὲ,2,False,,
40001009,3,,zeugte,ἐγέννησεν,3,False,,
40001009,4,,Joatham,Ἰωαθάμ·,5,False,,
40001009,5,,Joatham,Ἰωαθὰμ,6,False,,
40001009,6,,aber,δὲ,7,False,,
40001009,7,,zeugte,ἐγέννησεν,8,False,,
40001009,8,,Achas,Ἀχάζ·,10,False,,
40001009,9,,Achas,Ἀχὰζ,11,False,,
40001009,10,,aber,δὲ,12,False,,
