HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
41001001,1,,Anfang,Ἀρχὴ,1,False,,
41001001,2,,des,,,True,3,Evangeliums
41001001,3,,Evangeliums,εὐαγγελίου,3,False,,
41001001,4,,Jesu,Ἰησοῦ,4,False,,
41001001,5,,Christi,Χριστοῦ,5,False,,
41001001,6,,des,,,True,7,Sohnes
41001001,7,,Sohnes,υἱοῦ,6,False,,
41001001,8,,Gottes,θεοῦ·,8,False,,
41001002,1,,wie,καθὼς,1,False,,
41001002,2,,geschrieben,γέγραπται,2,False,,
41001002,3,,steht,γέγραπται,2,False,,
41001002,4,,in,ἐν,3,False,,
41001002,5,,Jesaias,Ἠσαΐᾳ,5,False,,
41001002,6,,dem,,,True,7,Propheten
41001002,7,,Propheten,προφήτῃ·,7,False,,
41001002,8,,Siehe,ἰδοὺ,8,False,,
41001002,9,,ich,ἐγὼ,9,False,,
41001002,10,,sende,ἀποστέλλω,10,False,,
41001002,11,,meinen,μου,13,False,,
41001002,12,,Boten,ἄγγελόν,12,False,,
41001002,13,,vor,πρὸ,14,False,,
41001002,14,,deinem,"σου,",16,False,,
41001002,15,,Angesicht,προσώπου,15,False,,
41001002,16,,her,,,True,13,vor
41001002,17,,der,ὃς,17,False,,
41001002,18,,deinen,σου,21,False,,
41001002,19,,Weg,ὁδόν,20,False,,
41001002,20,,bereiten,κατασκευάσει,18,False,,
41001002,21,,wird,κατασκευάσει,18,False,,
41001003,1,,Stimme,φωνὴ,1,False,,
41001003,2,,eines,,,True,3,Rufenden
41001003,3,,Rufenden,βοῶντος,2,False,,
41001003,4,,in,ἐν,3,False,,
41001003,5,,der,,,True,6,Wüste
41001003,6,,Wüste,ἐρήμῳ,5,False,,
41001003,7,,Bereitet,ἑτοιμάσατε,6,False,,
41001003,8,,den,,,True,9,Weg
41001003,9,,Weg,ὁδὸν,8,False,,
41001003,10,,des,,,True,11,Herrn
41001003,11,,Herrn,"κυρίου,",9,False,,
41001003,12,,machet,ποιεῖτε,11,False,,
41001003,13,,gerade,εὐθείας,10,False,,
41001003,14,,seine,αὐτοῦ.¶,14,False,,
41001003,15,,Steige,τρίβους,13,False,,
41001004,1,,Johannes,Ἰωάννης,2,False,,
41001004,2,,kam,Ἐγένετο,1,False,,
41001004,3,,und,,,True,4,taufte
41001004,4,,taufte,βαπτίζων,4,False,,
41001004,5,,in,ἐν,5,False,,
41001004,6,,der,,,True,7,Wüste
41001004,7,,Wüste,ἐρήμῳ,7,False,,
41001004,8,,und,καὶ,8,False,,
41001004,9,,predigte,κηρύσσων,9,False,,
41001004,10,,die,,,True,11,Taufe
41001004,11,,Taufe,βάπτισμα,10,False,,
41001004,12,,der,,,True,13,Buße
41001004,13,,Buße,μετανοίας,11,False,,
41001004,14,,zur,εἰς,12,False,,
41001004,15,,Vergebung,ἄφεσιν,13,False,,
41001004,16,,der,,,True,17,Sünden
41001004,17,,Sünden,ἁμαρτιῶν.,14,False,,
41001005,1,,Und,καὶ,1,False,,
