HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
42001001,1,,Sintemal,Ἐπειδήπερ,1,False,,
42001001,2,,es,,,True,3,viele
42001001,3,,viele,πολλοὶ,2,False,,
42001001,4,,unternommen,ἐπεχείρησαν,3,False,,
42001001,5,,haben,ἐπεχείρησαν,3,False,,
42001001,6,,eine,,,True,7,Erzählung
42001001,7,,Erzählung,διήγησιν,5,False,,
42001001,8,,von,περὶ,6,False,,
42001001,9,,den,τῶν,7,False,,
42001001,10,,Dingen,"πραγμάτων,",11,False,,
42001001,11,,die,,,True,15,geglaubt
42001001,12,,unter,ἐν,9,False,,
42001001,13,,uns,ἡμῖν,10,False,,
42001001,14,,völlig,πεπληροφορημένων,8,False,,
42001001,15,,geglaubt,πεπληροφορημένων,8,False,,
42001001,16,,werden,πεπληροφορημένων,8,False,,
42001001,17,,zu,,,True,18,verfassen
42001001,18,,verfassen,ἀνατάξασθαι,4,False,,
42001002,1,,so,,,True,2,wie
42001002,2,,wie,καθὼς,1,False,,
42001002,3,,es,,,True,6,überliefert
42001002,4,,uns,ἡμῖν,3,False,,
42001002,5,,die,οἱ,4,False,,
42001002,6,,überliefert,παρέδοσαν,2,False,,
42001002,7,,haben,παρέδοσαν,2,False,,
42001002,8,,welche,,,True,17,gewesen
42001002,9,,von,ἀπ᾽,5,False,,
42001002,10,,Anfang,ἀρχῆς,6,False,,
42001002,11,,an,,,True,10,Anfang
42001002,12,,Augenzeugen,αὐτόπται,7,False,,
42001002,13,,und,καὶ,8,False,,
42001002,14,,Diener,ὑπηρέται,9,False,,
42001002,15,,des,τοῦ,11,False,,
42001002,16,,Wortes,"λόγου,",12,False,,
42001002,17,,gewesen,γενόμενοι,10,False,,
42001002,18,,sind,γενόμενοι,10,False,,
42001003,1,,hat,,,True,6,geschienen
42001003,2,,es,,,True,6,geschienen
42001003,3,,auch,κἀμοὶ,2,False,,
42001003,4,,mir,κἀμοὶ,2,False,,
42001003,5,,gut,,,True,6,geschienen
42001003,6,,geschienen,ἔδοξεν,1,False,,
42001003,7,,der,,,True,8,ich
42001003,8,,ich,παρηκολουθηκότι,3,False,,
42001003,9,,allem,πᾶσιν,5,False,,
42001003,10,,von,ἄνωθεν,4,False,,
42001003,11,,Anfang,ἄνωθεν,4,False,,
42001003,12,,an,ἄνωθεν,4,False,,
42001003,13,,genau,ἀκριβῶς,6,False,,
42001003,14,,gefolgt,παρηκολουθηκότι,3,False,,
42001003,15,,bin,παρηκολουθηκότι,3,False,,
42001003,16,,es,,,True,24,schreiben
42001003,17,,dir,σοι,8,False,,
42001003,18,,vortrefflichster,κράτιστε,10,False,,
42001003,19,,Theophilus,"Θεόφιλε,",11,False,,
42001003,20,,der,καθεξῆς,7,False,,
42001003,21,,Reihe,καθεξῆς,7,False,,
42001003,22,,nach,καθεξῆς,7,False,,
42001003,23,,zu,,,True,24,schreiben
42001003,24,,schreiben,"γράψαι,",9,False,,
42001004,1,,auf,ἵνα,1,False,,
42001004,2,,daß,ἵνα,1,False,,
42001004,3,,du,ἐπιγνῷς,2,False,,
42001004,4,,die,τὴν,7,False,,
42001004,5,,Zuverlässigkeit,ἀσφάλειαν.¶,8,False,,
42001004,6,,der,,,True,7,Dinge
42001004,7,,Dinge,λόγων,6,False,,
42001004,8,,erkennest,ἐπιγνῷς,2,False,,
42001004,9,,in,περὶ,3,False,,
42001004,10,,welchen,ὧν,4,False,,
42001004,11,,du,κατηχήθης,5,False,,
42001004,12,,unterrichtet,κατηχήθης,5,False,,
42001004,13,,worden,κατηχήθης,5,False,,
42001004,14,,bist,κατηχήθης,5,False,,
42001005,1,,Es,,,True,2,war
42001005,2,,war,Ἐγένετο,1,False,,
42001005,3,,in,ἐν,2,False,,
42001005,4,,den,ταῖς,3,False,,
42001005,5,,Tagen,ἡμέραις,4,False,,
42001005,6,,Herodes,Ἡρῴδου,5,False,,
42001005,7,,des,τοῦ,6,False,,
42001005,8,,Königs,βασιλέως,7,False,,
42001005,9,,von,τῆς,8,False,,
42001005,10,,Judäa,Ἰουδαίας,9,False,,
42001005,11,,ein,,,True,13,Priester
42001005,12,,gewisser,τις,11,False,,
42001005,13,,Priester,ἱερεύς,10,False,,
42001005,14,,mit,,,True,15,Namen
42001005,15,,Namen,ὀνόματι,12,False,,
42001005,16,,Zacharias,Ζαχαρίας,13,False,,
42001005,17,,aus,ἐξ,14,False,,
42001005,18,,der,,,True,19,Abteilung
42001005,19,,Abteilung,ἐφημερίας,15,False,,
42001005,20,,Abias,"Ἀβιά,",16,False,,
42001005,21,,und,καὶ,17,False,,
42001005,22,,sein,αὐτῷ,20,False,,
42001005,23,,Weib,γυνὴ,19,False,,
42001005,24,,war,,,True,23,Weib
42001005,25,,aus,ἐκ,21,False,,
42001005,26,,den,τῶν,22,False,,
42001005,27,,Töchtern,θυγατέρων,23,False,,
42001005,28,,Aarons,Ἀαρὼν,24,False,,
42001005,29,,und,καὶ,25,False,,
42001005,30,,ihr,αὐτῆς,28,False,,
42001005,31,,Name,ὄνομα,27,False,,
42001005,32,,Elisabeth,Ἐλισάβετ.¶,29,False,,
42001006,1,,Beide,ἀμφότεροι,4,False,,
42001006,2,,aber,δὲ,2,False,,
42001006,3,,waren,ἦσαν,1,False,,
42001006,4,,gerecht,δίκαιοι,3,False,,
42001006,5,,vor,ἐναντίον,5,False,,
42001006,6,,Gott,θεοῦ,7,False,,
42001006,7,,indem,,,True,10,wandelten
42001006,8,,sie,,,True,10,wandelten
42001006,9,,untadelig,ἄμεμπτοι.,17,False,,
42001006,10,,wandelten,πορευόμενοι,8,False,,
42001006,11,,in,ἐν,9,False,,
42001006,12,,allen,πάσαις,10,False,,
42001006,13,,Geboten,ἐντολαῖς,12,False,,
42001006,14,,und,καὶ,13,False,,
42001006,15,,Satzungen,δικαιώμασιν,14,False,,
42001006,16,,des,,,True,17,Herrn
42001006,17,,Herrn,κυρίου,16,False,,
42001007,1,,Und,καὶ,1,False,,
42001007,2,,sie,αὐτοῖς,4,False,,
42001007,3,,hatten,ἦν,3,False,,
42001007,4,,kein,οὐκ,2,False,,
42001007,5,,Kind,"τέκνον,",5,False,,
42001007,6,,weil,καθότι,6,False,,
42001007,7,,Elisabeth,Ἐλισάβετ,9,False,,
42001007,8,,unfruchtbar,στεῖρα,10,False,,
42001007,9,,war,ἦν,7,False,,
42001007,10,,und,καὶ,11,False,,
42001007,11,,beide,ἀμφότεροι,12,False,,
42001007,12,,waren,ἦσαν.¶,18,False,,
42001007,13,,in,ἐν,14,False,,
42001007,14,,ihren,αὐτῶν,17,False,,
42001007,15,,Tagen,ἡμέραις,16,False,,
42001007,16,,weit,προβεβηκότες,13,False,,
42001007,17,,vorgerückt,προβεβηκότες,13,False,,
42001008,1,,Es,,,True,2,geschah
42001008,2,,geschah,Ἐγένετο,1,False,,
42001008,3,,aber,δὲ,2,False,,
42001008,4,,als,ἐν,3,False,,
42001008,5,,er,αὐτὸν,6,False,,
42001008,6,,in,ἐν,7,False,,
42001008,7,,der,,,True,8,Ordnung
42001008,8,,Ordnung,τάξει,9,False,,
42001008,9,,seiner,αὐτοῦ,12,False,,
42001008,10,,Abteilung,ἐφημερίας,11,False,,
42001008,11,,den,,,True,13,Dienst
42001008,12,,priesterlichen,ἱερατεύειν,5,False,,
42001008,13,,Dienst,ἱερατεύειν,5,False,,
42001008,14,,vor,ἔναντι,13,False,,
42001008,15,,Gott,"θεοῦ,",15,False,,
42001008,16,,erfüllte,ἱερατεύειν,5,False,,
42001009,1,,traf,ἔλαχεν,6,False,,
42001009,2,,ihn,,,True,1,traf
42001009,3,,nach,κατὰ,1,False,,
42001009,4,,der,,,True,5,Gewohnheit
42001009,5,,Gewohnheit,ἔθος,3,False,,
42001009,6,,des,,,True,7,Priestertums
42001009,7,,Priestertums,ἱερατείας,5,False,,
42001009,8,,das,,,True,9,Los
42001009,9,,Los,ἔλαχεν,6,False,,
42001009,10,,in,εἰς,10,False,,
42001009,11,,den,,,True,12,Tempel
42001009,12,,Tempel,ναὸν,12,False,,
42001009,13,,des,,,True,14,Herrn
42001009,14,,Herrn,κυρίου·,14,False,,
42001009,15,,zu,,,True,16,gehen
42001009,16,,gehen,εἰσελθὼν,9,False,,
42001009,17,,um,,,True,19,räuchern
42001009,18,,zu,,,True,19,räuchern
42001009,19,,räuchern,θυμιᾶσαι,8,False,,
42001010,1,,Und,καὶ,1,False,,
42001010,2,,die,,,True,4,Menge
42001010,3,,ganze,πᾶν,2,False,,
42001010,4,,Menge,πλῆθος,4,False,,
42001010,5,,des,,,True,6,Volkes
42001010,6,,Volkes,λαοῦ,7,False,,
42001010,7,,war,ἦν,5,False,,
42001010,8,,betend,προσευχόμενον,8,False,,
42001010,9,,draußen,ἔξω,9,False,,
42001010,10,,zur,,,True,11,Stunde
42001010,11,,Stunde,ὥρᾳ,11,False,,
42001010,12,,des,,,True,13,Räucherns
42001010,13,,Räucherns,θυμιάματος.¶,13,False,,
42001011,1,,Es,,,True,2,erschien
42001011,2,,erschien,Ὤφθη,1,False,,
42001011,3,,ihm,αὐτῷ,3,False,,
42001011,4,,aber,δὲ,2,False,,
42001011,5,,ein,,,True,6,Engel
42001011,6,,Engel,ἄγγελος,4,False,,
42001011,7,,des,,,True,8,Herrn
42001011,8,,Herrn,κυρίου,5,False,,
42001011,9,,zur,ἐκ,7,False,,
42001011,10,,Rechten,δεξιῶν,8,False,,
42001011,11,,des,τοῦ,9,False,,
42001011,12,,Räucheraltars,θυσιαστηρίου,10,False,,
42001011,13,,stehend,ἑστὼς,6,False,,
42001012,1,,Und,καὶ,1,False,,
42001012,2,,als,,,True,5,sah
42001012,3,,Zacharias,Ζαχαρίας,3,False,,
42001012,4,,ihn,,,True,5,sah
42001012,5,,sah,"ἰδών,",4,False,,
42001012,6,,ward,ἐταράχθη,2,False,,
42001012,7,,er,,,True,6,ward
42001012,8,,bestürzt,ἐταράχθη,2,False,,
42001012,9,,und,καὶ,5,False,,
42001012,10,,Furcht,φόβος,6,False,,
42001012,11,,überfiel,ἐπέπεσεν,7,False,,
42001012,12,,ihn,αὐτόν.¶,9,False,,
42001013,1,,Der,ὁ,5,False,,
42001013,2,,Engel,ἄγγελος·,6,False,,
42001013,3,,aber,δὲ,2,False,,
42001013,4,,sprach,Εἶπεν,1,False,,
42001013,5,,zu,πρὸς,3,False,,
42001013,6,,ihm,αὐτὸν,4,False,,
42001013,7,,Fürchte,φοβοῦ,8,False,,
42001013,8,,dich,φοβοῦ,8,False,,
42001013,9,,nicht,μὴ,7,False,,
42001013,10,,Zacharias,Ζαχαρία·,9,False,,
42001013,11,,denn,διότι,10,False,,
42001013,12,,dein,"σου,",14,False,,
42001013,13,,Flehen,δέησίς,13,False,,
42001013,14,,ist,,,True,15,erhört
42001013,15,,erhört,εἰσηκούσθη,11,False,,
42001013,16,,und,καὶ,15,False,,
42001013,17,,dein,σου,18,False,,
42001013,18,,Weib,γυνή,17,False,,
42001013,19,,Elisabeth,Ἐλισάβετ,19,False,,
42001013,20,,wird,γεννήσει,20,False,,
42001013,21,,dir,"σοι,",22,False,,
42001013,22,,einen,,,True,23,Sohn
42001013,23,,Sohn,υἱόν,21,False,,
42001013,24,,gebären,γεννήσει,20,False,,
42001013,25,,und,καὶ,23,False,,
42001013,26,,du,καλέσεις,24,False,,
42001013,27,,sollst,καλέσεις,24,False,,
42001013,28,,seinen,αὐτοῦ,27,False,,
42001013,29,,Namen,ὄνομα,26,False,,
42001013,30,,Johannes,Ἰωάννην.,28,False,,
42001013,31,,heißen,καλέσεις,24,False,,
42001014,1,,Und,καὶ,1,False,,
42001014,2,,er,,,True,9,sein
42001014,3,,wird,ἔσται,2,False,,
42001014,4,,dir,σοι,4,False,,
42001014,5,,zur,,,True,6,Freude
42001014,6,,Freude,χαρά,3,False,,
42001014,7,,und,καὶ,5,False,,
42001014,8,,Wonne,"ἀγαλλίασις,",6,False,,
42001014,9,,sein,ἔσται,2,False,,
42001014,10,,und,καὶ,7,False,,
42001014,11,,viele,πολλοὶ,8,False,,
42001014,12,,werden,χαρήσονται.,13,False,,
42001014,13,,sich,χαρήσονται.,13,False,,
42001014,14,,über,ἐπὶ,9,False,,
42001014,15,,seine,αὐτοῦ,12,False,,
42001014,16,,Geburt,γενέσει,11,False,,
42001014,17,,freuen,χαρήσονται.,13,False,,
42001015,1,,Denn,γὰρ,2,False,,
42001015,2,,er,,,True,5,sein
42001015,3,,wird,ἔσται,1,False,,
42001015,4,,groß,μέγας,3,False,,
42001015,5,,sein,ἔσται,1,False,,
42001015,6,,vor,ἐνώπιον,4,False,,
42001015,7,,dem,τοῦ,5,False,,
42001015,8,,Herrn,"κυρίου,",6,False,,
42001015,9,,weder,οὐ,11,False,,
