HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
43001001,1,,Im,Ἐν,1,False,,
43001001,2,,Anfang,ἀρχῇ,2,False,,
43001001,3,,war,ἦν,3,False,,
43001001,4,,das,ὁ,4,False,,
43001001,5,,Wort,"λόγος,",5,False,,
43001001,6,,und,καὶ,6,False,,
43001001,7,,das,ὁ,7,False,,
43001001,8,,Wort,λόγος,8,False,,
43001001,9,,war,ἦν,9,False,,
43001001,10,,bei,πρὸς,10,False,,
43001001,11,,Gott,"θεόν,",12,False,,
43001001,12,,und,καὶ,13,False,,
43001001,13,,das,ὁ,16,False,,
43001001,14,,Wort,λόγος.,17,False,,
43001001,15,,war,ἦν,15,False,,
43001001,16,,Gott,θεὸς,14,False,,
43001002,1,,Dieses,οὗτος,1,False,,
43001002,2,,war,ἦν,2,False,,
43001002,3,,im,ἐν,3,False,,
43001002,4,,Anfang,ἀρχῇ,4,False,,
43001002,5,,bei,πρὸς,5,False,,
43001002,6,,Gott,θεόν.,7,False,,
43001003,1,,Alles,πάντα,1,False,,
43001003,2,,ward,"ἐγένετο,",4,False,,
43001003,3,,durch,δι᾽,2,False,,
43001003,4,,dasselbe,αὐτοῦ,3,False,,
43001003,5,,und,καὶ,5,False,,
43001003,6,,ohne,χωρὶς,6,False,,
43001003,7,,dasselbe,αὐτοῦ,7,False,,
43001003,8,,ward,ἐγένετο,8,False,,
43001003,9,,auch,,,True,10,nicht
43001003,10,,nicht,οὐδὲ,9,False,,
43001003,11,,eines,ἓν,10,False,,
43001003,12,,das,ὃ,11,False,,
43001003,13,,geworden,γέγονεν.,12,False,,
43001003,14,,ist,,,True,13,geworden
43001004,1,,In,ἐν,1,False,,
43001004,2,,ihm,αὐτῷ,2,False,,
43001004,3,,war,"ἦν,",4,False,,
43001004,4,,Leben,ζωὴ,3,False,,
43001004,5,,und,καὶ,5,False,,
43001004,6,,das,ἡ,6,False,,
43001004,7,,Leben,ζωὴ,7,False,,
43001004,8,,war,ἦν,8,False,,
43001004,9,,das,τὸ,9,False,,
43001004,10,,Licht,φῶς,10,False,,
43001004,11,,der,τῶν,11,False,,
43001004,12,,Menschen,"ἀνθρώπων,",12,False,,
43001005,1,,Und,καὶ,1,False,,
43001005,2,,das,τὸ,2,False,,
43001005,3,,Licht,φῶς,3,False,,
43001005,4,,scheint,"φαίνει,",7,False,,
43001005,5,,in,ἐν,4,False,,
43001005,6,,der,τῇ,5,False,,
43001005,7,,Finsternis,σκοτίᾳ,6,False,,
43001005,8,,und,καὶ,8,False,,
43001005,9,,die,ἡ,9,False,,
43001005,10,,Finsternis,σκοτία,10,False,,
43001005,11,,hat,,,True,14,erfaßt
43001005,12,,es,αὐτὸ,11,False,,
43001005,13,,nicht,οὐ,12,False,,
43001005,14,,erfaßt,κατέλαβεν.¶,13,False,,
43001006,1,,Da,,,True,2,war
43001006,2,,war,Ἐγένετο,1,False,,
43001006,3,,ein,,,True,4,Mensch
43001006,4,,Mensch,ἄνθρωπος,2,False,,
43001006,5,,von,παρὰ,4,False,,
43001006,6,,Gott,"θεοῦ,",5,False,,
43001006,7,,gesandt,ἀπεσταλμένος,3,False,,
43001006,8,,sein,αὐτῷ,7,False,,
43001006,9,,Name,ὄνομα,6,False,,
43001006,10,,Johannes,Ἰωάννης.,8,False,,
43001007,1,,Dieser,οὗτος,1,False,,
43001007,2,,kam,ἦλθεν,2,False,,
43001007,3,,zum,εἰς,3,False,4,Zeugnis
43001007,4,,Zeugnis,μαρτυρίαν,4,False,,
43001007,5,,auf,,,True,8,zeugte
43001007,6,,daß,,,True,8,zeugte
43001007,7,,er,,,True,8,zeugte
43001007,8,,zeugte,μαρτυρήσῃ,6,False,,
43001007,9,,von,περὶ,7,False,,
43001007,10,,dem,τοῦ,8,False,,
43001007,11,,Lichte,"φωτός,",9,False,,
43001007,12,,damit,ἵνα,10,False,,
43001007,13,,alle,πάντες,11,False,,
43001007,14,,durch,δι᾽,13,False,,
43001007,15,,ihn,αὐτοῦ.,14,False,,
43001007,16,,glaubten,πιστεύσωσιν,12,False,,
43001008,1,,Er,ἐκεῖνος,3,False,,
43001008,2,,war,ἦν,2,False,,
43001008,3,,nicht,οὐκ,1,False,,
43001008,4,,das,τὸ,4,False,,
43001008,5,,Licht,"φῶς,",5,False,,
43001008,6,,sondern,ἀλλ᾽,6,False,,
43001008,7,,auf,,,True,10,zeugte
43001008,8,,daß,,,True,10,zeugte
43001008,9,,er,,,True,10,zeugte
