HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
44001001,1,,Den,Τὸν,1,False,,
44001001,2,,ersten,πρῶτον,3,False,,
44001001,3,,Bericht,λόγον,4,False,,
44001001,4,,habe,ἐποιησάμην,5,False,,
44001001,5,,ich,,,True,6,verfaßt
44001001,6,,verfaßt,ἐποιησάμην,5,False,,
44001001,7,,o,ὦ,8,False,,
44001001,8,,Theophilus,"Θεόφιλε,",9,False,,
44001001,9,,von,περὶ,6,False,,
44001001,10,,allem,"πάντων,",7,False,,
44001001,11,,was,ὧν,10,False,,
44001001,12,,Jesus,Ἰησοῦς,13,False,,
44001001,13,,anfing,ἤρξατο,11,False,,
44001001,14,,sowohl,τε,15,False,,
44001001,15,,zu,,,True,16,tun
44001001,16,,tun,ποιεῖν,14,False,,
44001001,17,,als,,,True,20,lehren
44001001,18,,auch,καὶ,16,False,,
44001001,19,,zu,,,True,20,lehren
44001001,20,,lehren,διδάσκειν,17,False,,
44001002,1,,bis,ἄχρι,1,False,,
44001002,2,,zu,,,True,4,Tage
44001002,3,,dem,,,True,4,Tage
44001002,4,,Tage,ἡμέρας,3,False,,
44001002,5,,an,,,True,4,Tage
44001002,6,,welchem,ἧς,2,False,,
44001002,7,,er,,,True,8,aufgenommen
44001002,8,,aufgenommen,ἀνελήμφθη.,12,False,,
44001002,9,,wurde,ἀνελήμφθη.,12,False,,
44001002,10,,nachdem,,,True,23,gegeben
44001002,11,,er,,,True,23,gegeben
44001002,12,,den,τοῖς,5,False,,
44001002,13,,Aposteln,ἀποστόλοις,6,False,,
44001002,14,,die,οὓς,10,False,,
44001002,15,,er,,,True,17,auserwählt
44001002,16,,sich,,,True,17,auserwählt
44001002,17,,auserwählt,ἐξελέξατο,11,False,,
44001002,18,,durch,διὰ,7,False,,
44001002,19,,den,,,True,21,Geist
44001002,20,,Heiligen,ἁγίου,9,False,,
44001002,21,,Geist,πνεύματος,8,False,,
44001002,22,,Befehl,,,True,23,gegeben
44001002,23,,gegeben,ἐντειλάμενος,4,False,,
44001002,24,,hatte,ἐντειλάμενος,4,False,,
44001003,1,,welchen,οἷς,1,False,,
44001003,2,,er,,,True,13,dargestellt
44001003,3,,sich,ἑαυτὸν,4,False,,
44001003,4,,auch,καὶ,2,False,,
44001003,5,,nach,μετὰ,6,False,,
44001003,6,,seinem,,,True,7,Leiden
44001003,7,,Leiden,παθεῖν,8,False,,
44001003,8,,in,ἐν,10,False,,
44001003,9,,vielen,πολλοῖς,11,False,,
44001003,10,,sicheren,,,True,11,Kennzeichen
44001003,11,,Kennzeichen,"τεκμηρίοις,",12,False,,
44001003,12,,lebendig,ζῶντα,5,False,,
44001003,13,,dargestellt,παρέστησεν,3,False,,
44001003,14,,hat,παρέστησεν,3,False,,
44001003,15,,indem,,,True,22,gesehen
44001003,16,,er,,,True,22,gesehen
44001003,17,,vierzig,τεσσεράκοντα,15,False,,
44001003,18,,Tage,ἡμερῶν,14,False,,
44001003,19,,hindurch,δι᾽,13,False,,
44001003,20,,von,,,True,22,gesehen
44001003,21,,ihnen,αὐτοῖς,17,False,,
44001003,22,,gesehen,ὀπτανόμενος,16,False,,
44001003,23,,wurde,ὀπτανόμενος,16,False,,
44001003,24,,und,καὶ,18,False,,
44001003,25,,über,περὶ,21,False,,
44001003,26,,die,τὰ,20,False,,
44001003,27,,Dinge,τὰ,20,False,,
44001003,28,,redete,λέγων,19,False,,
44001003,29,,welche,,,True,27,Dinge
44001003,30,,das,τῆς,22,False,,
44001003,31,,Reich,βασιλείας,23,False,,
44001003,32,,Gottes,θεοῦ.,25,False,,
44001003,33,,betreffen,,,True,27,Dinge
44001004,1,,Und,καὶ,1,False,,
44001004,2,,als,,,True,6,versammelt
44001004,3,,er,,,True,6,versammelt
44001004,4,,mit,,,True,6,versammelt
44001004,5,,ihnen,,,True,6,versammelt
44001004,6,,versammelt,συναλιζόμενος,2,False,,
44001004,7,,war,συναλιζόμενος,2,False,,
44001004,8,,befahl,παρήγγειλεν,3,False,,
44001004,9,,er,,,True,8,befahl
44001004,10,,ihnen,αὐτοῖς,4,False,,
44001004,11,,sich,,,True,16,entfernen
44001004,12,,nicht,μὴ,7,False,,
44001004,13,,von,ἀπὸ,5,False,,
44001004,14,,Jerusalem,Ἱεροσολύμων,6,False,,
44001004,15,,zu,,,True,16,entfernen
44001004,16,,entfernen,"χωρίζεσθαι,",8,False,,
44001004,17,,sondern,ἀλλὰ,9,False,,
44001004,18,,auf,,,True,24,warten
44001004,19,,die,τὴν,11,False,,
44001004,20,,Verheißung,ἐπαγγελίαν,12,False,,
44001004,21,,des,τοῦ,13,False,,
44001004,22,,Vaters,πατρὸς,14,False,,
44001004,23,,zu,,,True,24,warten
44001004,24,,warten,περιμένειν,10,False,,
44001004,25,,die,ἣν,15,False,,
44001004,26,,ihr,,,True,29,gehört
44001004,27,,von,,,True,29,gehört
44001004,28,,mir,μου·,17,False,,
44001004,29,,gehört,ἠκούσατέ,16,False,,
44001004,30,,habt,ἠκούσατέ,16,False,,
44001005,1,,denn,ὅτι,1,False,,
44001005,2,,Johannes,Ἰωάννης,2,False,,
44001005,3,,taufte,ἐβάπτισεν,4,False,,
44001005,4,,zwar,μὲν,3,False,,
44001005,5,,mit,,,True,6,Wasser
44001005,6,,Wasser,"ὕδατι,",5,False,,
44001005,7,,ihr,ὑμεῖς,6,False,,
44001005,8,,aber,δὲ,7,False,,
44001005,9,,werdet,βαπτισθήσεσθε,10,False,,
44001005,10,,mit,ἐν,8,False,,
44001005,11,,Heiligem,ἁγίῳ,11,False,,
44001005,12,,Geiste,πνεύματι,9,False,,
44001005,13,,getauft,βαπτισθήσεσθε,10,False,,
44001005,14,,werden,βαπτισθήσεσθε,10,False,,
44001005,15,,nach,μετὰ,13,False,,
44001005,16,,nunmehr,,,True,19,Tagen
44001005,17,,nicht,οὐ,12,False,,
44001005,18,,vielen,πολλὰς,14,False,,
44001005,19,,Tagen,ἡμέρας.¶,16,False,,
44001006,1,,Sie,Οἱ,1,False,,
44001006,2,,nun,μὲν,2,False,,
44001006,3,,als,,,True,5,zusammengekommen
44001006,4,,sie,,,True,5,zusammengekommen
44001006,5,,zusammengekommen,συνελθόντες,4,False,,
44001006,6,,waren,,,True,5,zusammengekommen
44001006,7,,fragten,ἠρώτων,5,False,,
44001006,8,,ihn,αὐτὸν,6,False,,
44001006,9,,und,,,True,10,sagten
44001006,10,,sagten,λέγοντες·,7,False,,
44001006,11,,Herr,"κύριε,",8,False,,
44001006,12,,stellst,ἀποκαθιστάνεις,14,False,,
44001006,13,,du,,,True,12,stellst
44001006,14,,in,ἐν,10,False,,
44001006,15,,dieser,τούτῳ,13,False,,
44001006,16,,Zeit,χρόνῳ,12,False,,
44001006,17,,dem,τῷ,17,False,18,Israel
44001006,18,,Israel,Ἰσραήλ;,18,False,,
44001006,19,,das,τὴν,15,False,20,Reich
44001006,20,,Reich,βασιλείαν,16,False,,
44001006,21,,wieder,ἀποκαθιστάνεις,14,False,,
44001006,22,,her,ἀποκαθιστάνεις,14,False,,
44001007,1,,Er,,,True,2,sprach
44001007,2,,sprach,εἶπεν,1,False,,
44001007,3,,aber,δὲ,2,False,,
44001007,4,,zu,πρὸς,3,False,,
44001007,5,,ihnen,αὐτούς·,4,False,,
44001007,6,,Es,,,True,7,ist
44001007,7,,ist,ἐστιν,7,False,,
44001007,8,,nicht,οὐχ,5,False,,
44001007,9,,eure,ὑμῶν,6,False,,
44001007,10,,Sache,,,True,15,wissen
44001007,11,,Zeit,χρόνους,9,False,,
44001007,12,,oder,ἢ,10,False,,
44001007,13,,Zeiten,καιροὺς,11,False,,
44001007,14,,zu,,,True,15,wissen
44001007,15,,wissen,γνῶναι,8,False,,
44001007,16,,die,οὓς,12,False,,
44001007,17,,der,ὁ,13,False,18,Vater
44001007,18,,Vater,πατὴρ,14,False,,
44001007,19,,in,ἐν,16,False,,
44001007,20,,seine,ἰδίᾳ,18,False,22,Gewalt
44001007,21,,eigene,ἰδίᾳ,18,False,,
44001007,22,,Gewalt,"ἐξουσίᾳ,",19,False,,
44001007,23,,gesetzt,ἔθετο,15,False,,
44001007,24,,hat,,,True,23,gesetzt
44001008,1,,Aber,ἀλλὰ,1,False,,
44001008,2,,ihr,,,True,5,empfangen
44001008,3,,werdet,λήμψεσθε,2,False,5,empfangen
44001008,4,,Kraft,δύναμιν,3,False,,
44001008,5,,empfangen,λήμψεσθε,2,False,,
44001008,6,,wenn,,,True,12,gekommen
44001008,7,,der,τοῦ,5,False,9,Geist
44001008,8,,Heilige,ἁγίου,6,False,,
44001008,9,,Geist,πνεύματος,7,False,,
44001008,10,,auf,ἐφ᾽,8,False,,
44001008,11,,euch,ὑμᾶς,9,False,,
44001008,12,,gekommen,ἐπελθόντος,4,False,,
44001008,13,,ist,,,True,12,gekommen
44001008,14,,und,καὶ,10,False,,
44001008,15,,ihr,,,True,19,sein
44001008,16,,werdet,ἔσεσθέ,11,False,19,sein
44001008,17,,meine,μου,12,False,,
44001008,18,,Zeugen,μάρτυρες,13,False,,
44001008,19,,sein,ἔσεσθέ,11,False,,
44001008,20,,sowohl,τε,15,False,21,in
44001008,21,,in,ἔν,14,False,,
44001008,22,,Jerusalem,Ἰερουσαλὴμ,16,False,,
44001008,23,,als,,,True,24,auch
44001008,24,,auch,καὶ,17,False,,
44001008,25,,in,ἐν,18,False,,
44001008,26,,ganz,πάσῃ,19,False,,
44001008,27,,Judäa,Ἰουδαίᾳ,21,False,,
44001008,28,,und,καὶ,22,False,,
44001008,29,,Samaria,Σαμαρείᾳ,23,False,,
44001008,30,,und,καὶ,24,False,,
44001008,31,,bis,ἕως,25,False,,
44001008,32,,an,,,True,31,bis
44001008,33,,das,τῆς,27,False,34,Ende
44001008,34,,Ende,ἐσχάτου,26,False,,
44001008,35,,der,τῆς,27,False,36,Erde
44001008,36,,Erde,γῆς.,28,False,,
44001009,1,,Und,καὶ,1,False,,
44001009,2,,als,,,True,5,gesagt
44001009,3,,er,,,True,5,gesagt
44001009,4,,dies,ταῦτα,2,False,,
44001009,5,,gesagt,εἰπὼν,3,False,,
44001009,6,,hatte,,,True,5,gesagt
44001009,7,,wurde,,,True,9,emporgehoben
44001009,8,,er,,,True,9,emporgehoben
44001009,9,,emporgehoben,ἐπήρθη,6,False,,
44001009,10,,indem,,,True,13,sahen
44001009,11,,sie,αὐτῶν,5,False,,
44001009,12,,es,,,True,13,sahen
44001009,13,,sahen,βλεπόντων,4,False,,
44001009,14,,und,καὶ,7,False,,
44001009,15,,eine,,,True,16,Wolke
44001009,16,,Wolke,νεφέλη,8,False,,
44001009,17,,nahm,ὑπέλαβεν,9,False,,
44001009,18,,ihn,αὐτὸν,10,False,,
44001009,19,,auf,ὑπέλαβεν,9,False,,
44001009,20,,von,ἀπὸ,11,False,,
44001009,21,,ihren,αὐτῶν.,14,False,22,Augen
44001009,22,,Augen,ὀφθαλμῶν,13,False,,
44001009,23,,hinweg,,,True,20,von
44001010,1,,Und,καὶ,1,False,,
44001010,2,,wie,ὡς,2,False,,
44001010,3,,sie,,,True,7,schauten
44001010,4,,unverwandt,ἀτενίζοντες,3,False,,
44001010,5,,gen,εἰς,5,False,,
44001010,6,,Himmel,οὐρανὸν,7,False,,
44001010,7,,schauten,ἦσαν,4,False,,
44001010,8,,als,,,True,10,auffuhr
44001010,9,,er,,,True,10,auffuhr
44001010,10,,auffuhr,πορευομένου,8,False,,
44001010,11,,siehe,ἰδοὺ,11,False,,
44001010,12,,da,,,True,13,standen
44001010,13,,standen,παρειστήκεισαν,14,False,,
44001010,14,,zwei,δύο,13,False,,
44001010,15,,Männer,ἄνδρες,12,False,,
44001010,16,,in,ἐν,16,False,,
44001010,17,,weißem,"λευκαῖς,",18,False,,
44001010,18,,Kleide,ἐσθήσεσι,17,False,,
44001010,19,,bei,,,True,13,standen
44001010,20,,ihnen,αὐτοῖς,15,False,,
44001011,1,,welche,οἳ,1,False,,
44001011,2,,auch,καὶ,2,False,,
44001011,3,,sprachen,εἶπαν·,3,False,,
44001011,4,,Männer,ἄνδρες,4,False,,
44001011,5,,von,,,True,6,Galiläa
44001011,6,,Galiläa,"Γαλιλαῖοι,",5,False,,
44001011,7,,was,τί,6,False,,
44001011,8,,stehet,ἑστήκατε,7,False,,
44001011,9,,ihr,,,True,8,stehet
44001011,10,,und,,,True,11,sehet
44001011,11,,sehet,ἐμβλέποντες,8,False,,
44001011,12,,hinauf,,,True,11,sehet
44001011,13,,gen,εἰς,9,False,,
44001011,14,,Himmel,οὐρανόν;,11,False,,
44001011,15,,Dieser,οὗτος,12,False,,
44001011,16,,Jesus,Ἰησοῦς,14,False,,
44001011,17,,der,,,True,16,Jesus
44001011,18,,von,ἀφ᾽,17,False,,
44001011,19,,euch,ὑμῶν,18,False,,
44001011,20,,weg,,,True,24,aufgenommen
44001011,21,,in,εἰς,19,False,,
44001011,22,,den,τὸν,20,False,,
44001011,23,,Himmel,οὐρανὸν,21,False,,
44001011,24,,aufgenommen,ἀναλημφθεὶς,16,False,,
44001011,25,,worden,,,True,24,aufgenommen
44001011,26,,ist,,,True,24,aufgenommen
44001011,27,,wird,,,True,29,kommen
44001011,28,,also,οὕτως,22,False,,
44001011,29,,kommen,ἐλεύσεται,23,False,,
44001011,30,,wie,ὃν,24,False,,
44001011,31,,ihr,,,True,37,sehen
44001011,32,,ihn,αὐτὸν,27,False,,
44001011,33,,gen,εἰς,29,False,,
44001011,34,,Himmel,οὐρανόν.¶,31,False,,
44001011,35,,habt,,,True,37,sehen
44001011,36,,auffahren,πορευόμενον,28,False,,
44001011,37,,sehen,ἐθεάσασθε,26,False,,
44001012,1,,Da,Τότε,1,False,,
44001012,2,,kehrten,ὑπέστρεψαν,2,False,,
44001012,3,,sie,,,True,2,kehrten
44001012,4,,nach,εἰς,3,False,,
44001012,5,,Jerusalem,Ἰερουσαλὴμ,4,False,,
44001012,6,,zurück,,,True,2,kehrten
44001012,7,,von,ἀπὸ,5,False,,
44001012,8,,dem,τοῦ,7,False,,
44001012,9,,Berge,ὄρους,6,False,,
44001012,10,,welcher,ὅ,10,False,,
