HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
45001001,1,,Paulus,Παῦλος,1,False,,
45001001,2,,Knecht,δοῦλος,2,False,,
45001001,3,,Jesu,"Ἰησοῦ,",4,False,,
45001001,4,,Christi,Χριστοῦ,3,False,,
45001001,5,,berufener,κλητὸς,5,False,,
45001001,6,,Apostel,ἀπόστολος,6,False,,
45001001,7,,abgesondert,ἀφωρισμένος,7,False,,
45001001,8,,zum,εἰς,8,False,,
45001001,9,,Evangelium,εὐαγγέλιον,9,False,,
45001001,10,,Gottes,"θεοῦ,",10,False,,
45001002,1,,welches,ὃ,1,False,,
45001002,2,,er,,,True,10,verheißen
45001002,3,,durch,διὰ,3,False,,
45001002,4,,seine,αὐτοῦ,6,False,,
45001002,5,,Propheten,προφητῶν,5,False,,
45001002,6,,in,ἐν,7,False,,
45001002,7,,heiligen,ἁγίαις,9,False,,
45001002,8,,Schriften,γραφαῖς,8,False,,
45001002,9,,zuvor,προεπηγγείλατο,2,False,,
45001002,10,,verheißen,προεπηγγείλατο,2,False,,
45001002,11,,hat,προεπηγγείλατο,2,False,,
45001003,1,,über,περὶ,1,False,,
45001003,2,,seinen,"αὐτοῦ,",4,False,,
45001003,3,,Sohn,υἱοῦ,3,False,,
45001003,4,,der,τοῦ,5,False,,
45001003,5,,aus,ἐκ,7,False,,
45001003,6,,dem,,,True,7,Samen
45001003,7,,Samen,σπέρματος,8,False,,
45001003,8,,Davids,Δαυὶδ,9,False,,
45001003,9,,gekommen,γενομένου,6,False,,
45001003,10,,ist,γενομένου,6,False,,
45001003,11,,dem,,,True,12,Fleische
45001003,12,,Fleische,"σάρκα,",11,False,,
45001003,13,,nach,κατὰ,10,False,,
45001004,1,,und,,,True,7,erwiesen
45001004,2,,als,,,True,3,Sohn
45001004,3,,Sohn,υἱοῦ,3,False,,
45001004,4,,Gottes,θεοῦ,4,False,,
45001004,5,,in,ἐν,5,False,,
45001004,6,,Kraft,δυνάμει,6,False,,
45001004,7,,erwiesen,ὁρισθέντος,2,False,,
45001004,8,,dem,,,True,9,Geiste
45001004,9,,Geiste,πνεῦμα,8,False,,
45001004,10,,der,,,True,11,Heiligkeit
45001004,11,,Heiligkeit,ἁγιωσύνης,9,False,,
45001004,12,,nach,κατὰ,7,False,,
45001004,13,,durch,ἐξ,10,False,,
45001004,14,,Totenauferstehung,ἀναστάσεως,11,False,,
45001004,15,,Jesum,Ἰησοῦ,13,False,,
45001004,16,,Christum,Χριστοῦ,14,False,,
45001004,17,,unseren,"ἡμῶν,",17,False,,
45001004,18,,Herrn,κυρίου,16,False,,
45001005,1,,durch,δι᾽,1,False,,
45001005,2,,welchen,οὗ,2,False,,
45001005,3,,wir,ἐλάβομεν,3,False,,
45001005,4,,Gnade,χάριν,4,False,,
45001005,5,,und,καὶ,5,False,,
45001005,6,,Apostelamt,ἀποστολὴν,6,False,,
45001005,7,,empfangen,ἐλάβομεν,3,False,,
45001005,8,,haben,ἐλάβομεν,3,False,,
45001005,9,,für,ὑπὲρ,14,False,,
45001005,10,,seinen,"αὐτοῦ,",17,False,,
45001005,11,,Namen,ὀνόματος,16,False,,
45001005,12,,zum,εἰς,7,False,,
45001005,13,,Glaubensgehorsam,ὑπακοὴν,8,False,,
45001005,14,,unter,ἐν,10,False,,
45001005,15,,allen,πᾶσιν,11,False,,
45001005,16,,Nationen,ἔθνεσιν,13,False,,
45001006,1,,unter,ἐν,1,False,,
45001006,2,,welchen,οἷς,2,False,,
45001006,3,,auch,καὶ,4,False,,
45001006,4,,ihr,"ὑμεῖς,",5,False,,
45001006,5,,seid,ἐστε,3,False,,
45001006,6,,Berufene,κλητοὶ,6,False,,
45001006,7,,Jesu,Ἰησοῦ,7,False,,
45001006,8,,Christi,Χριστοῦ·,8,False,,
45001006,9,,,,,True,,
45001007,1,,allen,πᾶσιν,1,False,,
45001007,2,,Geliebten,ἀγαπητοῖς,6,False,,
45001007,3,,Gottes,θεοῦ,7,False,,
45001007,4,,berufenen,κλητοῖς,8,False,,
45001007,5,,Heiligen,ἁγίοις·,9,False,,
45001007,6,,die,τοῖς,2,False,9,sind
45001007,7,,in,ἐν,4,False,,
45001007,8,,Rom,Ῥώμῃ,5,False,,
45001007,9,,sind,οὖσιν,3,False,,
45001007,10,,Gnade,χάρις,10,False,,
45001007,11,,euch,ὑμῖν,11,False,,
45001007,12,,und,καὶ,12,False,,
45001007,13,,Friede,εἰρήνη,13,False,,
45001007,14,,von,ἀπὸ,14,False,,
45001007,15,,Gott,θεοῦ,15,False,,
45001007,16,,unserem,ἡμῶν,17,False,17,Vater
45001007,17,,Vater,πατρὸς,16,False,,
45001007,18,,und,καὶ,18,False,,
45001007,19,,dem,,,True,20,Herrn
45001007,20,,Herrn,κυρίου,19,False,,
45001007,21,,Jesu,Ἰησοῦ,20,False,,
45001007,22,,Christus,Χριστοῦ.¶,21,False,,
45001008,1,,Aufs,,,True,2,erste
45001008,2,,erste,Πρῶτον,1,False,,
45001008,3,,danke,εὐχαριστῶ,3,False,,
45001008,4,,ich,,,True,3,danke
45001008,5,,meinem,μου,6,False,6,Gott
45001008,6,,Gott,θεῷ,5,False,,
45001008,7,,durch,διὰ,7,False,,
45001008,8,,Jesum,Ἰησοῦ,8,False,,
45001008,9,,Christum,Χριστοῦ,9,False,,
45001008,10,,euer,ὑμῶν,12,False,11,aller
45001008,11,,aller,πάντων,11,False,,
45001008,12,,halben,περὶ,10,False,,
45001008,13,,daß,ὅτι,13,False,,
45001008,14,,euer,ὑμῶν,16,False,15,Glaube
45001008,15,,Glaube,πίστις,15,False,,
45001008,16,,verkündigt,καταγγέλλεται,17,False,,
45001008,17,,wird,,,True,16,verkündigt
45001008,18,,in,ἐν,18,False,,
45001008,19,,der,τῷ,20,False,21,Welt
45001008,20,,ganzen,ὅλῳ,19,False,21,Welt
45001008,21,,Welt,κόσμῳ·,21,False,,
45001009,1,,Denn,γάρ,2,False,,
45001009,2,,Gott,"θεός,",6,False,,
45001009,3,,ist,ἐστιν,4,False,,
45001009,4,,mein,μού,3,False,5,Zeuge
45001009,5,,Zeuge,μάρτυς,1,False,,
45001009,6,,welchem,ᾧ,7,False,,
45001009,7,,ich,,,True,8,diene
45001009,8,,diene,λατρεύω,8,False,,
45001009,9,,in,ἐν,9,False,,
45001009,10,,meinem,μου,12,False,11,Geiste
45001009,11,,Geiste,πνεύματί,11,False,,
45001009,12,,in,ἐν,13,False,,
45001009,13,,dem,τῷ,14,False,14,Evangelium
45001009,14,,Evangelium,εὐαγγελίῳ,15,False,,
45001009,15,,seines,"αὐτοῦ,",18,False,16,Sohnes
45001009,16,,Sohnes,υἱοῦ,17,False,,
45001009,17,,wie,ὡς,19,False,,
45001009,18,,unablässig,ἀδιαλείπτως,20,False,,
