HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
46001001,1,,Paulus,Παῦλος,1,False,,
46001001,2,,berufener,κλητὸς,2,False,,
46001001,3,,Apostel,ἀπόστολος,3,False,,
46001001,4,,Jesu,Ἰησοῦ,5,False,,
46001001,5,,Christi,Χριστοῦ,4,False,,
46001001,6,,durch,διὰ,6,False,,
46001001,7,,Gottes,θεοῦ,8,False,,
46001001,8,,Willen,θελήματος,7,False,,
46001001,9,,und,καὶ,9,False,,
46001001,10,,Sosthenes,Σωσθένης,10,False,,
46001001,11,,der,ὁ,11,False,,
46001001,12,,Bruder,ἀδελφὸς,12,False,,
46001002,1,,der,τῇ,1,False,,
46001002,2,,Versammlung,ἐκκλησίᾳ,2,False,,
46001002,3,,Gottes,θεοῦ,4,False,,
46001002,4,,die,τῇ,5,False,,
46001002,5,,in,ἐν,7,False,,
46001002,6,,Korinth,"Κορίνθῳ,",8,False,,
46001002,7,,ist,οὔσῃ,6,False,,
46001002,8,,den,,,True,9,Geheiligten
46001002,9,,Geheiligten,ἡγιασμένοις,9,False,,
46001002,10,,in,ἐν,10,False,,
46001002,11,,Christo,Χριστῷ,11,False,,
46001002,12,,Jesu,"Ἰησοῦ,",12,False,,
46001002,13,,den,,,True,15,Heiligen
46001002,14,,berufenen,κλητοῖς,13,False,,
46001002,15,,Heiligen,"ἁγίοις,",14,False,,
46001002,16,,samt,σὺν,15,False,,
46001002,17,,allen,πᾶσιν,16,False,,
46001002,18,,die,,,True,28,anrufen
46001002,19,,an,,,True,21,Orte
46001002,20,,jedem,παντὶ,27,False,,
46001002,21,,Orte,"τόπῳ,",28,False,,
46001002,22,,den,τὸ,19,False,,
46001002,23,,Namen,ὄνομα,20,False,,
46001002,24,,unseres,ἡμῶν,23,False,,
46001002,25,,Herrn,κυρίου,22,False,,
46001002,26,,Jesus,Ἰησοῦ,24,False,,
46001002,27,,Christus,Χριστοῦ,25,False,,
46001002,28,,anrufen,ἐπικαλουμένοις,18,False,,
46001002,29,,sowohl,τε,30,False,,
46001002,30,,ihres,αὐτῶν,29,False,,
46001002,31,,als,καὶ,31,False,,
46001002,32,,unseres,ἡμῶν·,32,False,,
46001002,33,,Herrn,,,True,32,unseres
46001003,1,,Gnade,χάρις,1,False,,
46001003,2,,euch,ὑμῖν,2,False,,
46001003,3,,und,καὶ,3,False,,
46001003,4,,Friede,εἰρήνη,4,False,,
46001003,5,,von,ἀπὸ,5,False,,
46001003,6,,Gott,θεοῦ,6,False,,
46001003,7,,unserem,ἡμῶν,8,False,,
46001003,8,,Vater,πατρὸς,7,False,,
46001003,9,,und,καὶ,9,False,,
46001003,10,,dem,,,True,11,Herrn
46001003,11,,Herrn,κυρίου,10,False,,
46001003,12,,Jesus,Ἰησοῦ,11,False,,
46001003,13,,Christus,Χριστοῦ.¶,12,False,,
46001004,1,,Ich,,,True,2,danke
46001004,2,,danke,Εὐχαριστῶ,1,False,,
46001004,3,,meinem,μου,4,False,,
46001004,4,,Gott,θεῷ,3,False,,
46001004,5,,allezeit,πάντοτε,5,False,,
46001004,6,,eurethalben,ὑμῶν,7,False,,
46001004,7,,für,ἐπὶ,8,False,,
46001004,8,,die,τῇ,9,False,,
46001004,9,,Gnade,χάριτι,10,False,,
46001004,10,,Gottes,θεοῦ,12,False,,
46001004,11,,die,τῇ,13,False,,
46001004,12,,euch,ὑμῖν,15,False,,
46001004,13,,gegeben,δοθείσῃ,14,False,,
46001004,14,,ist,,,True,13,gegeben
46001004,15,,in,ἐν,16,False,,
46001004,16,,Christo,Χριστῷ,17,False,,
46001004,17,,Jesu,Ἰησοῦ,18,False,,
46001005,1,,daß,ὅτι,1,False,,
46001005,2,,ihr,ἐπλουτίσθητε,4,False,10,seid
46001005,3,,in,,,True,4,ihm
46001005,4,,ihm,αὐτῷ,6,False,,
46001005,5,,in,ἐν,2,False,,
46001005,6,,allem,παντὶ,3,False,,
46001005,7,,reich,ἐπλουτίσθητε,4,False,10,seid
46001005,8,,gemacht,ἐπλουτίσθητε,4,False,10,seid
46001005,9,,worden,ἐπλουτίσθητε,4,False,10,seid
46001005,10,,seid,ἐπλουτίσθητε,4,False,,
46001005,11,,in,ἐν,7,False,,
46001005,12,,allem,παντὶ,8,False,,
46001005,13,,Wort,λόγῳ,9,False,,
46001005,14,,und,καὶ,10,False,,
46001005,15,,aller,πάσῃ,11,False,,
46001005,16,,Erkenntnis,"γνώσει,",12,False,,
46001006,1,,wie,καθὼς,1,False,,
46001006,2,,das,τὸ,2,False,,
46001006,3,,Zeugnis,μαρτύριον,3,False,,
46001006,4,,des,τοῦ,4,False,,
46001006,5,,Christus,Χριστοῦ,5,False,,
46001006,6,,unter,ἐν,7,False,,
46001006,7,,euch,"ὑμῖν,",8,False,,
46001006,8,,befestigt,ἐβεβαιώθη,6,False,,
46001006,9,,worden,ἐβεβαιώθη,6,False,,
46001006,10,,ist,ἐβεβαιώθη,6,False,,
46001007,1,,so,ὥστε,1,False,,
46001007,2,,daß,,,True,1,so
46001007,3,,ihr,ὑμᾶς,2,False,,
46001007,4,,in,ἐν,5,False,,
46001007,5,,keiner,μηδενὶ,6,False,,
46001007,6,,Gnadengabe,χαρίσματι,7,False,,
46001007,7,,Mangel,,,True,8,habt
