HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
49001001,1,,Paulus,Παῦλος,1,False,,
49001001,2,,Apostel,ἀπόστολος,2,False,,
49001001,3,,Jesu,Ἰησοῦ,4,False,,
49001001,4,,Christi,Χριστοῦ,3,False,,
49001001,5,,durch,διὰ,5,False,,
49001001,6,,Gottes,θεοῦ,7,False,,
49001001,7,,Willen,θελήματος,6,False,,
49001001,8,,den,τοῖς,8,False,,
49001001,9,,Heiligen,ἁγίοις,9,False,,
49001001,10,,und,καὶ,14,False,,
49001001,11,,Treuen,πιστοῖς,15,False,,
49001001,12,,in,ἐν,16,False,,
49001001,13,,Christo,Χριστῷ,17,False,,
49001001,14,,Jesu,Ἰησοῦ·,18,False,,
49001001,15,,die,τοῖς,10,False,,
49001001,16,,in,ἐν,12,False,,
49001001,17,,Ephesus,Ἐφέσῳ,13,False,,
49001001,18,,sind,οὖσιν,11,False,,
49001002,1,,Gnade,χάρις,1,False,,
49001002,2,,euch,ὑμῖν,2,False,,
49001002,3,,und,καὶ,3,False,,
49001002,4,,Friede,εἰρήνη,4,False,,
49001002,5,,von,ἀπὸ,5,False,,
49001002,6,,Gott,θεοῦ,6,False,,
49001002,7,,unserem,ἡμῶν,8,False,,
49001002,8,,Vater,πατρὸς,7,False,,
49001002,9,,und,καὶ,9,False,,
49001002,10,,dem,,,True,11,Herrn
49001002,11,,Herrn,κυρίου,10,False,,
49001002,12,,Jesu,Ἰησοῦ,11,False,,
49001002,13,,Christo,Χριστοῦ.¶,12,False,,
49001003,1,,Gepriesen,Εὐλογητὸς,1,False,,
49001003,2,,sei,,,True,1,Gepriesen
49001003,3,,der,ὁ,2,False,,
49001003,4,,Gott,θεὸς,3,False,,
49001003,5,,und,καὶ,4,False,,
49001003,6,,Vater,πατὴρ,5,False,,
49001003,7,,unseres,ἡμῶν,8,False,,
49001003,8,,Herrn,κυρίου,7,False,,
49001003,9,,Jesu,Ἰησοῦ,9,False,,
49001003,10,,Christi,"Χριστοῦ,",10,False,,
49001003,11,,der,ὁ,11,False,,
49001003,12,,uns,ἡμᾶς,13,False,,
49001003,13,,gesegnet,εὐλογήσας,12,False,,
49001003,14,,hat,,,True,13,gesegnet
49001003,15,,mit,ἐν,14,False,,
49001003,16,,jeder,πάσῃ,15,False,,
49001003,17,,geistlichen,πνευματικῇ,17,False,,
49001003,18,,Segnung,εὐλογίᾳ,16,False,,
49001003,19,,in,ἐν,18,False,,
49001003,20,,den,τοῖς,19,False,,
49001003,21,,himmlischen,ἐπουρανίοις,20,False,,
49001003,22,,Örtern,,,True,21,himmlischen
49001003,23,,in,ἐν,21,False,,
49001003,24,,Christo,"Χριστῷ,",22,False,,
49001004,1,,wie,καθὼς,1,False,,
49001004,2,,er,,,True,4,auserwählt
49001004,3,,uns,ἡμᾶς,3,False,,
49001004,4,,auserwählt,ἐξελέξατο,2,False,,
49001004,5,,hat,,,True,4,auserwählt
