HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
50001001,1,,Paulus,Παῦλος,1,False,,
50001001,2,,und,καὶ,2,False,,
50001001,3,,Timotheus,Τιμόθεος,3,False,,
50001001,4,,Knechte,δοῦλοι,4,False,,
50001001,5,,Jesu,Ἰησοῦ,6,False,,
50001001,6,,Christi,Χριστοῦ,5,False,,
50001001,7,,allen,πᾶσιν,7,False,,
50001001,8,,Heiligen,ἁγίοις,9,False,,
50001001,9,,in,ἐν,10,False,,
50001001,10,,Christo,Χριστῷ,11,False,,
50001001,11,,Jesu,Ἰησοῦ,12,False,,
50001001,12,,die,τοῖς,13,False,,
50001001,13,,in,ἐν,15,False,,
50001001,14,,Philippi,Φιλίπποις,16,False,,
50001001,15,,sind,οὖσιν,14,False,,
50001001,16,,mit,σὺν,17,False,,
50001001,17,,den,,,True,18,Aufsehern
50001001,18,,Aufsehern,ἐπισκόποις,18,False,,
50001001,19,,und,καὶ,19,False,,
50001001,20,,Dienern,διακόνοις·,20,False,,
50001002,1,,Gnade,χάρις,1,False,,
50001002,2,,euch,ὑμῖν,2,False,,
50001002,3,,und,καὶ,3,False,,
50001002,4,,Friede,εἰρήνη,4,False,,
50001002,5,,von,ἀπὸ,5,False,,
50001002,6,,Gott,θεοῦ,6,False,,
50001002,7,,unserem,ἡμῶν,8,False,,
50001002,8,,Vater,πατρὸς,7,False,,
50001002,9,,und,καὶ,9,False,,
50001002,10,,dem,,,True,11,Herrn
50001002,11,,Herrn,κυρίου,10,False,,
50001002,12,,Jesu,Ἰησοῦ,11,False,,
50001002,13,,Christo,Χριστοῦ.¶,12,False,,
50001003,1,,Ich,,,True,2,danke
50001003,2,,danke,Εὐχαριστῶ,1,False,,
50001003,3,,meinem,μου,4,False,,
50001003,4,,Gott,θεῷ,3,False,,
50001003,5,,bei,ἐπὶ,5,False,,
50001003,6,,aller,πάσῃ,6,False,,
50001003,7,,meiner,,,True,8,Erinnerung
50001003,8,,Erinnerung,μνείᾳ,8,False,,
50001003,9,,an,,,True,8,Erinnerung
50001003,10,,euch,ὑμῶν,9,False,,
50001004,1,,allezeit,πάντοτε,1,False,,
50001004,2,,in,ἐν,2,False,,
50001004,3,,jedem,πάσῃ,3,False,,
50001004,4,,meiner,μου,5,False,,
50001004,5,,Gebete,δεήσει,4,False,,
50001004,6,,indem,,,True,15,tue
50001004,7,,ich,,,True,15,tue
50001004,8,,für,ὑπὲρ,6,False,,
50001004,9,,euch,ὑμῶν,8,False,,
50001004,10,,alle,πάντων,7,False,,
50001004,11,,das,τὴν,11,False,,
50001004,12,,Gebet,δέησιν,12,False,,
50001004,13,,mit,μετὰ,9,False,,
50001004,14,,Freuden,χαρᾶς,10,False,,
50001004,15,,tue,"ποιούμενος,",13,False,,
50001005,1,,wegen,ἐπὶ,1,False,,
50001005,2,,eurer,ὑμῶν,4,False,,
50001005,3,,Teilnahme,κοινωνίᾳ,3,False,,
50001005,4,,an,εἰς,5,False,,
50001005,5,,dem,τὸ,6,False,,
50001005,6,,Evangelium,εὐαγγέλιον,7,False,,
50001005,7,,vom,ἀπὸ,8,False,,
50001005,8,,ersten,πρώτης,10,False,,
50001005,9,,Tage,ἡμέρας,11,False,,
50001005,10,,an,,,True,9,Tage
50001005,11,,bis,ἄχρι,12,False,,
50001005,12,,jetzt,νῦν·,14,False,,
50001006,1,,indem,,,True,7,Zuversicht
50001006,2,,ich,,,True,7,Zuversicht
50001006,3,,eben,αὐτὸ,2,False,,
50001006,4,,dessen,"τοῦτο,",3,False,,
50001006,5,,in,,,True,7,Zuversicht
50001006,6,,guter,,,True,7,Zuversicht
50001006,7,,Zuversicht,πεποιθὼς,1,False,,
50001006,8,,bin,πεποιθὼς,1,False,,
50001006,9,,daß,ὅτι,4,False,,
50001006,10,,der,ὁ,5,False,,
50001006,11,,welcher,,,True,10,der
50001006,12,,ein,,,True,14,Werk
50001006,13,,gutes,ἀγαθὸν,10,False,,
50001006,14,,Werk,ἔργον,9,False,,
50001006,15,,in,ἐν,7,False,,
50001006,16,,euch,ὑμῖν,8,False,,
50001006,17,,angefangen,ἐναρξάμενος,6,False,,
50001006,18,,hat,,,True,17,angefangen
50001006,19,,es,,,True,20,vollführen
50001006,20,,vollführen,ἐπιτελέσει,11,False,,
50001006,21,,wird,ἐπιτελέσει,11,False,,
50001006,22,,bis,ἄχρι,12,False,,
50001006,23,,auf,,,True,22,bis
50001006,24,,den,,,True,25,Tag
50001006,25,,Tag,ἡμέρας,13,False,,
50001006,26,,Jesu,Ἰησοῦ·,15,False,,
50001006,27,,Christi,Χριστοῦ,14,False,,
50001007,1,,Wie,καθώς,1,False,,
50001007,2,,es,,,True,6,ist
50001007,3,,für,,,True,4,mich
50001007,4,,mich,ἐμοὶ,4,False,,
50001007,5,,recht,δίκαιον,3,False,,
50001007,6,,ist,ἐστιν,2,False,,
50001007,7,,daß,,,True,14,denke
50001007,8,,ich,,,True,14,denke
50001007,9,,dies,τοῦτο,5,False,,
50001007,10,,in,ὑπὲρ,7,False,,
50001007,11,,betreff,ὑπὲρ,7,False,,
50001007,12,,euer,ὑμῶν,9,False,,
50001007,13,,aller,πάντων,8,False,,
50001007,14,,denke,φρονεῖν,6,False,,
50001007,15,,weil,διὰ,10,False,,
50001007,16,,ihr,,,True,20,habt
50001007,17,,mich,με,13,False,,
50001007,18,,im,ἐν,14,False,,
50001007,19,,Herzen,καρδίᾳ,16,False,,
50001007,20,,habt,ἔχειν,12,False,,
50001007,21,,und,ἔν,18,False,,
50001007,22,,sowohl,τε,19,False,,
50001007,23,,in,,,True,21,und
50001007,24,,meinen,μου,22,False,,
50001007,25,,Banden,δεσμοῖς,21,False,,
50001007,26,,als,καὶ,23,False,,
50001007,27,,auch,,,True,26,als
50001007,28,,in,ἐν,24,False,,
50001007,29,,der,τῇ,25,False,,
50001007,30,,Verantwortung,ἀπολογίᾳ,26,False,,
50001007,31,,und,καὶ,27,False,,
50001007,32,,Bestätigung,βεβαιώσει,28,False,,
50001007,33,,des,τοῦ,29,False,,
50001007,34,,Evangeliums,εὐαγγελίου,30,False,,
50001007,35,,ihr,ὑμᾶς,36,False,,
50001007,36,,alle,πάντας,35,False,,
50001007,37,,meine,μου,32,False,,
50001007,38,,Mitteilnehmer,συγκοινωνούς,31,False,,
50001007,39,,der,τῆς,33,False,,
50001007,40,,Gnade,χάριτος,34,False,,
50001007,41,,seid,ὄντας.¶,37,False,,
50001008,1,,Denn,γάρ,2,False,,
50001008,2,,Gott,"θεός,",6,False,,
50001008,3,,ist,ἐστιν,4,False,,
50001008,4,,mein,μου,3,False,,
50001008,5,,Zeuge,Μάρτυς,1,False,,
50001008,6,,wie,ὡς,7,False,,
50001008,7,,ich,,,True,12,sehne
50001008,8,,mich,,,True,12,sehne
50001008,9,,nach,,,True,12,sehne
50001008,10,,euch,ὑμᾶς,10,False,,
50001008,11,,allen,πάντας,9,False,,
50001008,12,,sehne,ἐπιποθῶ,8,False,,
50001008,13,,mit,ἐν,11,False,,
50001008,14,,dem,,,True,15,Herzen
50001008,15,,Herzen,σπλάγχνοις,12,False,,
50001008,16,,Christi,Χριστοῦ,13,False,,
50001008,17,,Jesu,Ἰησοῦ.,14,False,,
50001009,1,,Und,καὶ,1,False,,
50001009,2,,um,,,True,3,dieses
50001009,3,,dieses,τοῦτο,2,False,,
50001009,4,,bete,"προσεύχομαι,",3,False,,
50001009,5,,ich,,,True,4,bete
50001009,6,,daß,ἵνα,4,False,,
50001009,7,,eure,ὑμῶν,7,False,,
50001009,8,,Liebe,ἀγάπη,6,False,,
50001009,9,,noch,ἔτι,8,False,,
50001009,10,,mehr,μᾶλλον,9,False,,
50001009,11,,und,καὶ,10,False,,
50001009,12,,mehr,μᾶλλον,11,False,,
50001009,13,,überströme,περισσεύῃ,12,False,,
50001009,14,,in,ἐν,13,False,,
50001009,15,,Erkenntnis,ἐπιγνώσει,14,False,,
50001009,16,,und,καὶ,15,False,,
50001009,17,,aller,πάσῃ,16,False,,
50001009,18,,Einsicht,αἰσθήσει,17,False,,
50001010,1,,damit,εἰς,1,False,,
50001010,2,,ihr,ὑμᾶς,4,False,,
50001010,3,,prüfen,δοκιμάζειν,3,False,,
50001010,4,,möget,,,True,3,prüfen
50001010,5,,was,τὰ,5,False,,
50001010,6,,das,,,True,7,Vorzüglichere
50001010,7,,Vorzüglichere,"διαφέροντα,",6,False,,
50001010,8,,sei,,,True,7,Vorzüglichere
50001010,9,,auf,ἵνα,7,False,,
50001010,10,,daß,,,True,9,auf
50001010,11,,ihr,,,True,15,seid
50001010,12,,lauter,εἰλικρινεῖς,9,False,,
50001010,13,,und,καὶ,10,False,,
50001010,14,,unanstößig,ἀπρόσκοποι,11,False,,
50001010,15,,seid,ἦτε,8,False,,
50001010,16,,auf,εἰς,12,False,,
50001010,17,,den,,,True,18,Tag
50001010,18,,Tag,ἡμέραν,13,False,,
50001010,19,,Christi,Χριστοῦ,14,False,,
50001011,1,,erfüllt,πεπληρωμένοι,1,False,,
50001011,2,,mit,,,True,4,Frucht
50001011,3,,der,,,True,4,Frucht
50001011,4,,Frucht,καρπὸν,2,False,,
50001011,5,,der,,,True,6,Gerechtigkeit
50001011,6,,Gerechtigkeit,δικαιοσύνης,3,False,,
50001011,7,,die,,,True,4,Frucht
50001011,8,,durch,διὰ,5,False,,
50001011,9,,Jesum,Ἰησοῦ,6,False,,
50001011,10,,Christum,Χριστοῦ,7,False,,
50001011,11,,ist,,,True,4,Frucht
50001011,12,,zur,εἰς,8,False,,
50001011,13,,Herrlichkeit,δόξαν,9,False,,
50001011,14,,und,καὶ,10,False,,
50001011,15,,zum,,,True,16,Preise
50001011,16,,Preise,ἔπαινον,11,False,,
50001011,17,,Gottes,θεοῦ.¶,12,False,,
50001012,1,,Ich,,,True,2,will
50001012,2,,will,"βούλομαι,",4,False,,
50001012,3,,aber,δὲ,2,False,,
50001012,4,,daß,ὅτι,6,False,,
50001012,5,,ihr,ὑμᾶς,3,False,,
50001012,6,,wisset,Γινώσκειν,1,False,,
50001012,7,,Brüder,"ἀδελφοί,",5,False,,
50001012,8,,daß,,,True,10,Umstände
50001012,9,,meine,ἐμὲ,9,False,,
50001012,10,,Umstände,τὰ,7,False,,
50001012,11,,mehr,μᾶλλον,10,False,,
50001012,12,,zur,εἰς,11,False,,
50001012,13,,Förderung,προκοπὴν,12,False,,
50001012,14,,des,τοῦ,13,False,,
50001012,15,,Evangeliums,εὐαγγελίου,14,False,,
50001012,16,,geraten,"ἐλήλυθεν,",15,False,,
50001012,17,,sind,"ἐλήλυθεν,",15,False,,
50001013,1,,so,ὥστε,1,False,,
50001013,2,,daß,ὥστε,1,False,,
50001013,3,,meine,μου,4,False,,
50001013,4,,Bande,δεσμούς,3,False,,
50001013,5,,in,ἐν,6,False,,
50001013,6,,Christo,Χριστῷ,7,False,,
50001013,7,,offenbar,φανεροὺς,5,False,,
50001013,8,,geworden,γενέσθαι,8,False,,
50001013,9,,sind,γενέσθαι,8,False,,
50001013,10,,in,ἐν,9,False,,
50001013,11,,dem,τῷ,11,False,,
50001013,12,,ganzen,ὅλῳ,10,False,,
50001013,13,,Prätorium,πραιτωρίῳ,12,False,,
50001013,14,,und,καὶ,13,False,,
50001013,15,,allen,πάσιν,16,False,,
50001013,16,,anderen,λοιποῖς,15,False,,
50001014,1,,und,καὶ,1,False,,
50001014,2,,daß,,,True,4,meisten
50001014,3,,die,τοὺς,2,False,,
50001014,4,,meisten,πλείονας,3,False,,
50001014,5,,der,τῶν,4,False,,
50001014,6,,Brüder,ἀδελφῶν,5,False,,
50001014,7,,indem,,,True,12,gewonnen
50001014,8,,sie,,,True,12,gewonnen
50001014,9,,im,ἐν,6,False,,
50001014,10,,Herrn,κυρίῳ,7,False,,
50001014,11,,Vertrauen,πεποιθότας,8,False,,
50001014,12,,gewonnen,πεποιθότας,8,False,,
50001014,13,,haben,πεποιθότας,8,False,,
50001014,14,,durch,,,True,16,Bande
50001014,15,,meine,μου,11,False,,
50001014,16,,Bande,δεσμοῖς,10,False,,
50001014,17,,viel,,,True,18,mehr
50001014,18,,mehr,περισσοτέρως,12,False,,
50001014,19,,sich,,,True,20,erkühnen
50001014,20,,erkühnen,τολμᾶν,13,False,,
50001014,21,,das,τὸν,15,False,,
50001014,22,,Wort,λόγον,16,False,,
50001014,23,,Gottes,θεοῦ,18,False,,
50001014,24,,zu,,,True,25,reden
50001014,25,,reden,λαλεῖν.,19,False,,
50001014,26,,ohne,,,True,27,Furcht
50001014,27,,Furcht,ἀφόβως,14,False,,
50001015,1,,Etliche,τινὲς,1,False,,
50001015,2,,zwar,μὲν,2,False,,
