HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
51001001,1,,Paulus,Παῦλος,1,False,,
51001001,2,,Apostel,ἀπόστολος,2,False,,
51001001,3,,Christi,Χριστοῦ,3,False,,
51001001,4,,Jesu,Ἰησοῦ,4,False,,
51001001,5,,durch,διὰ,5,False,,
51001001,6,,Gottes,θεοῦ,7,False,,
51001001,7,,Willen,θελήματος,6,False,,
51001001,8,,und,καὶ,8,False,,
51001001,9,,Timotheus,Τιμόθεος,9,False,,
51001001,10,,der,ὁ,10,False,11,Bruder
51001001,11,,Bruder,ἀδελφὸς,11,False,,
51001002,1,,den,τοῖς,1,False,5,Brüdern
51001002,2,,heiligen,ἁγίοις,4,False,5,Brüdern
51001002,3,,und,καὶ,5,False,,
51001002,4,,treuen,πιστοῖς,6,False,5,Brüdern
51001002,5,,Brüdern,ἀδελφοῖς,7,False,,
51001002,6,,in,ἐν,8,False,,
51001002,7,,Christo,Χριστῷ·,9,False,,
51001002,8,,die,,,True,5,Brüdern
51001002,9,,in,ἐν,2,False,,
51001002,10,,Kolossä,Κολοσσαῖς,3,False,,
51001002,11,,sind,,,True,5,Brüdern
51001002,12,,Gnade,χάρις,10,False,,
51001002,13,,euch,ὑμῖν,11,False,,
51001002,14,,und,καὶ,12,False,,
51001002,15,,Friede,εἰρήνη,13,False,,
51001002,16,,von,ἀπὸ,14,False,,
51001002,17,,Gott,θεοῦ,15,False,,
51001002,18,,unserem,ἡμῶν,17,False,19,Vater
51001002,19,,Vater,πατρὸς,16,False,,
51001002,20,,und,καὶ,18,False,,
51001002,21,,dem,,,True,22,Herrn
51001002,22,,Herrn,κυρίου,19,False,,
51001002,23,,Jesus,Ἰησοῦ,20,False,,
51001002,24,,Christus,Χριστοῦ.¶,21,False,,
51001002,25,,,,,True,,
51001003,1,,Wir,,,True,2,danken
51001003,2,,danken,Εὐχαριστοῦμεν,1,False,,
51001003,3,,dem,τῷ,2,False,4,Gott
51001003,4,,Gott,θεῷ,3,False,,
51001003,5,,und,καὶ,4,False,,
51001003,6,,Vater,πατρὶ,5,False,,
51001003,7,,unseres,ἡμῶν,8,False,8,Herrn
51001003,8,,Herrn,κυρίου,7,False,,
51001003,9,,Jesus,Ἰησοῦ,9,False,,
51001003,10,,Christus,Χριστοῦ,10,False,,
51001003,11,,allezeit,πάντοτε,11,False,,
51001003,12,,indem,,,True,16,beten
51001003,13,,wir,,,True,16,beten
51001003,14,,für,περὶ,12,False,,
51001003,15,,euch,ὑμῶν,13,False,,
51001003,16,,beten,"προσευχόμενοι,",14,False,,
51001004,1,,nachdem,,,True,3,gehört
51001004,2,,wir,,,True,3,gehört
51001004,3,,gehört,ἀκούσαντες,1,False,,
51001004,4,,haben,,,True,3,gehört
51001004,5,,von,,,True,7,Glauben
51001004,6,,eurem,ὑμῶν,4,False,7,Glauben
51001004,7,,Glauben,πίστιν,3,False,,
51001004,8,,in,ἐν,5,False,,
51001004,9,,Christo,Χριστῷ,6,False,,
51001004,10,,Jesu,Ἰησοῦ,7,False,,
51001004,11,,und,καὶ,8,False,,
51001004,12,,der,τὴν,9,False,13,Liebe
51001004,13,,Liebe,ἀγάπην,10,False,,
51001004,14,,die,ἣν,11,False,,
51001004,15,,ihr,,,True,19,habt
51001004,16,,zu,εἰς,13,False,,
51001004,17,,allen,πάντας,14,False,18,Heiligen
51001004,18,,Heiligen,"ἁγίους,",16,False,,
51001004,19,,habt,ἔχετε,12,False,,
51001005,1,,wegen,διὰ,1,False,,
51001005,2,,der,τὴν,2,False,3,Hoffnung
51001005,3,,Hoffnung,ἐλπίδα,3,False,,
51001005,4,,die,,,True,3,Hoffnung
51001005,5,,für,,,True,6,euch
51001005,6,,euch,ὑμῖν,6,False,,
51001005,7,,aufgehoben,ἀποκειμένην,5,False,,
51001005,8,,ist,,,True,7,aufgehoben
51001005,9,,in,ἐν,7,False,,
51001005,10,,den,τοῖς,8,False,11,Himmeln
51001005,11,,Himmeln,οὐρανοῖς,9,False,,
51001005,12,,von,,,True,13,welcher
51001005,13,,welcher,ἣν,10,False,,
51001005,14,,ihr,,,True,16,gehört
51001005,15,,zuvor,,,True,16,gehört
51001005,16,,gehört,προηκούσατε,11,False,,
51001005,17,,habt,,,True,16,gehört
51001005,18,,in,ἐν,12,False,,
51001005,19,,dem,τῷ,13,False,20,Worte
51001005,20,,Worte,λόγῳ,14,False,,
51001005,21,,der,τῆς,15,False,22,Wahrheit
51001005,22,,Wahrheit,ἀληθείας,16,False,,
51001005,23,,des,τοῦ,17,False,24,Evangeliums
51001005,24,,Evangeliums,εὐαγγελίου,18,False,,
51001006,1,,das,τοῦ,1,False,,
51001006,2,,zu,εἰς,3,False,,
51001006,3,,euch,"ὑμᾶς,",4,False,,
51001006,4,,gekommen,παρόντος,2,False,,
51001006,5,,so,καθὼς,5,False,,
51001006,6,,wie,καθὼς,5,False,,
51001006,7,,es,,,True,13,ist
51001006,8,,auch,καὶ,6,False,,
51001006,9,,in,ἐν,7,False,,
51001006,10,,der,τῷ,9,False,12,Welt
51001006,11,,ganzen,παντὶ,8,False,,
51001006,12,,Welt,κόσμῳ,10,False,,
51001006,13,,ist,ἐστὶν,12,False,,
51001006,14,,und,καὶ,11,False,,
51001006,15,,ist,,,True,16,fruchtbringend
51001006,16,,fruchtbringend,καρποφορούμενον,13,False,,
51001006,17,,und,καὶ,14,False,,
51001006,18,,wachsend,αὐξανόμενον,15,False,,
51001006,19,,wie,καθὼς,16,False,,
51001006,20,,auch,καὶ,17,False,,
51001006,21,,unter,ἐν,18,False,,
51001006,22,,euch,ὑμῖν,19,False,,
51001006,23,,von,ἀφ᾽,20,False,,
51001006,24,,dem,,,True,25,Tage
51001006,25,,Tage,ἡμέρας,22,False,,
51001006,26,,an,,,True,23,von
51001006,27,,da,ἧς,21,False,,
51001006,28,,ihr,,,True,30,gehört
51001006,29,,es,,,True,30,gehört
51001006,30,,gehört,ἠκούσατε,23,False,,
51001006,31,,und,καὶ,24,False,,
51001006,32,,die,τὴν,26,False,33,Gnade
51001006,33,,Gnade,χάριν,27,False,,
51001006,34,,Gottes,θεοῦ,29,False,,
51001006,35,,in,ἐν,30,False,,
51001006,36,,Wahrheit,"ἀληθείᾳ,",31,False,,
51001006,37,,erkannt,ἐπέγνωτε,25,False,,
51001006,38,,habt,,,True,37,erkannt
51001007,1,,so,καθὼς,1,False,,
51001007,2,,wie,καθὼς,1,False,,
51001007,3,,ihr,,,True,4,gelernt
51001007,4,,gelernt,ἐμάθετε,3,False,,
51001007,5,,habt,,,True,4,gelernt
51001007,6,,von,ἀπὸ,4,False,,
51001007,7,,Epaphras,Ἐπαφρᾶ,5,False,,
51001007,8,,unserem,"ἡμῶν,",9,False,,
51001007,9,,geliebten,ἀγαπητοῦ,7,False,,
51001007,10,,Mitknecht,συνδούλου,8,False,,
51001007,11,,der,ὅς,10,False,,
51001007,12,,ein,,,True,14,Diener
51001007,13,,treuer,πιστὸς,12,False,,
51001007,14,,Diener,διάκονος,15,False,,
51001007,15,,des,τοῦ,16,False,16,Christus
51001007,16,,Christus,"Χριστοῦ,",17,False,,
51001007,17,,für,ὑπὲρ,13,False,,
51001007,18,,euch,ὑμῶν,14,False,,
51001007,19,,ist,ἐστιν,11,False,,
51001008,1,,der,ὁ,1,False,,
51001008,2,,uns,ἡμῖν,4,False,,
51001008,3,,auch,καὶ,2,False,,
51001008,4,,eure,ὑμῶν,6,False,,
51001008,5,,Liebe,ἀγάπην,7,False,,
51001008,6,,im,ἐν,8,False,7,Geiste
51001008,7,,Geiste,πνεύματι.¶,9,False,,
51001008,8,,kundgetan,δηλώσας,3,False,,
51001008,9,,hat,,,True,8,kundgetan
51001009,1,,Deshalb,Διὰ,1,False,,
51001009,2,,hören,παυόμεθα,10,False,,
51001009,3,,auch,καὶ,3,False,,
51001009,4,,wir,"ἡμεῖς,",4,False,,
51001009,5,,nicht,οὐ,9,False,,
51001009,6,,auf,,,True,2,hören
51001009,7,,von,ἀφ᾽,5,False,,
51001009,8,,dem,,,True,9,Tage
51001009,9,,Tage,ἡμέρας,7,False,,
51001009,10,,an,,,True,7,von
51001009,11,,da,ἧς,6,False,,
51001009,12,,wir,,,True,14,gehört
51001009,13,,es,,,True,14,gehört
51001009,14,,gehört,"ἠκούσαμεν,",8,False,,
51001009,15,,haben,,,True,14,gehört
51001009,16,,für,ὑπὲρ,11,False,,
51001009,17,,euch,ὑμῶν,12,False,,
51001009,18,,zu,,,True,19,beten
51001009,19,,beten,προσευχόμενοι,13,False,,
51001009,20,,und,καὶ,14,False,,
51001009,21,,zu,,,True,22,bitten
51001009,22,,bitten,αἰτούμενοι,15,False,,
51001009,23,,auf,,,True,24,daß
51001009,24,,daß,ἵνα,16,False,,
51001009,25,,ihr,,,True,26,erfüllt
51001009,26,,erfüllt,πληρωθῆτε,17,False,,
51001009,27,,sein,,,True,26,erfüllt
51001009,28,,möget,,,True,26,erfüllt
51001009,29,,mit,,,True,31,Erkenntnis
51001009,30,,der,τὴν,18,False,31,Erkenntnis
51001009,31,,Erkenntnis,ἐπίγνωσιν,19,False,,
51001009,32,,seines,αὐτοῦ,22,False,33,Willens
51001009,33,,Willens,θελήματος,21,False,,
51001009,34,,in,ἐν,23,False,,
51001009,35,,aller,πάσῃ,24,False,,
51001009,36,,Weisheit,σοφίᾳ,25,False,,
51001009,37,,und,καὶ,26,False,,
51001009,38,,geistlichem,πνευματικῇ,28,False,,
51001009,39,,Verständnis,συνέσει,27,False,,
51001010,1,,um,,,True,6,wandeln
51001010,2,,würdig,ἀξίως,3,False,,
51001010,3,,des,τοῦ,4,False,4,Herrn
51001010,4,,Herrn,κυρίου,5,False,,
51001010,5,,zu,,,True,6,wandeln
51001010,6,,wandeln,περιπατῆσαι,1,False,,
51001010,7,,zu,εἰς,6,False,,
51001010,8,,allem,πᾶσαν,7,False,,
51001010,9,,Wohlgefallen,ἀρεσκείαν,8,False,,
51001010,10,,in,ἐν,9,False,,
51001010,11,,jedem,παντὶ,10,False,,
51001010,12,,guten,ἀγαθῷ,12,False,,
51001010,13,,Werke,ἔργῳ,11,False,,
51001010,14,,fruchtbringend,καρποφοροῦντες,13,False,,
51001010,15,,und,καὶ,14,False,,
51001010,16,,wachsend,αὐξανόμενοι,15,False,,
51001010,17,,durch,εἰς,16,False,,
51001010,18,,die,τῇ,17,False,19,Erkenntnis
51001010,19,,Erkenntnis,ἐπιγνώσει,18,False,,
51001010,20,,Gottes,"θεοῦ,",20,False,,
51001011,1,,gekräftigt,δυναμούμενοι,4,False,,
51001011,2,,mit,ἐν,1,False,,
51001011,3,,aller,πάσῃ,2,False,,
51001011,4,,Kraft,δυνάμει,3,False,,
51001011,5,,nach,κατὰ,5,False,,
51001011,6,,der,τὸ,6,False,7,Macht
51001011,7,,Macht,κράτος,7,False,,
51001011,8,,seiner,αὐτοῦ,10,False,9,Herrlichkeit
51001011,9,,Herrlichkeit,δόξης,9,False,,
51001011,10,,zu,εἰς,11,False,,
51001011,11,,allem,πᾶσαν,12,False,,
51001011,12,,Ausharren,ὑπομονὴν,13,False,,
51001011,13,,und,καὶ,14,False,,
51001011,14,,aller,,,True,15,Langmut
51001011,15,,Langmut,μακροθυμίαν,15,False,,
51001011,16,,mit,μετὰ,16,False,,
51001011,17,,Freuden,χαρᾶς.,17,False,,
51001012,1,,danksagend,εὐχαριστοῦντες,1,False,,
51001012,2,,dem,τῷ,2,False,3,Vater
51001012,3,,Vater,πατρὶ,3,False,,
51001012,4,,der,τῷ,4,False,7,gemacht
51001012,5,,uns,ὑμᾶς,6,False,,
51001012,6,,fähig,ἱκανώσαντι,5,False,,
51001012,7,,gemacht,ἱκανώσαντι,5,False,,
51001012,8,,hat,ἱκανώσαντι,5,False,,
51001012,9,,zu,εἰς,7,False,,
51001012,10,,dem,τὴν,8,False,11,Anteil
51001012,11,,Anteil,μερίδα,9,False,,
51001012,12,,am,,,True,13,Erbe
51001012,13,,Erbe,κλήρου,11,False,,
51001012,14,,der,τῶν,12,False,15,Heiligen
51001012,15,,Heiligen,ἁγίων,13,False,,
51001012,16,,in,ἐν,14,False,,
51001012,17,,dem,τῷ,15,False,18,Lichte
51001012,18,,Lichte,"φωτί,",16,False,,
51001013,1,,der,ὃς,1,False,,
51001013,2,,uns,ἡμᾶς,3,False,,
51001013,3,,errettet,ἐρρύσατο,2,False,,
51001013,4,,hat,ἐρρύσατο,2,False,,
51001013,5,,aus,ἐκ,4,False,,
51001013,6,,der,τῆς,5,False,7,Gewalt
51001013,7,,Gewalt,ἐξουσίας,6,False,,
51001013,8,,der,τοῦ,7,False,9,Finsternis
51001013,9,,Finsternis,σκότους,8,False,,
51001013,10,,und,καὶ,9,False,,
51001013,11,,versetzt,μετέστησεν,10,False,,
51001013,12,,in,εἰς,11,False,,
51001013,13,,das,τὴν,12,False,14,Reich
51001013,14,,Reich,βασιλείαν,13,False,,
51001013,15,,des,τοῦ,14,False,16,Sohnes
51001013,16,,Sohnes,υἱοῦ,15,False,,
51001013,17,,seiner,"αὐτοῦ,",18,False,18,Liebe
51001013,18,,Liebe,ἀγάπης,17,False,,
51001014,1,,in,ἐν,1,False,,
51001014,2,,welchem,ᾧ,2,False,,
51001014,3,,wir,,,True,6,haben
51001014,4,,die,τὴν,4,False,5,Erlösung
51001014,5,,Erlösung,ἀπολύτρωσιν,5,False,,
51001014,6,,haben,ἔχομεν,3,False,,
51001014,7,,die,τὴν,10,False,8,Vergebung
51001014,8,,Vergebung,ἄφεσιν,11,False,,
51001014,9,,der,τῶν,12,False,10,Sünden
51001014,10,,Sünden,ἁμαρτιῶν·,13,False,,
51001015,1,,welcher,ὅς,1,False,,
51001015,2,,das,,,True,3,Bild
51001015,3,,Bild,εἰκὼν,3,False,,
51001015,4,,des,τοῦ,4,False,6,Gottes
51001015,5,,unsichtbaren,"ἀοράτου,",7,False,,
51001015,6,,Gottes,θεοῦ,5,False,,
51001015,7,,ist,ἐστιν,2,False,,
51001015,8,,der,,,True,9,Erstgeborene
51001015,9,,Erstgeborene,πρωτότοκος,8,False,,
51001015,10,,aller,πάσης,9,False,,
51001015,11,,Schöpfung,κτίσεως·,10,False,,
51001016,1,,Denn,ὅτι,1,False,,
51001016,2,,durch,ἐν,2,False,,
51001016,3,,ihn,αὐτῷ,3,False,,
51001016,4,,sind,ἐκτίσθη,4,False,,
51001016,5,,alle,πάντα,6,False,,
51001016,6,,Dinge,πάντα,6,False,,
51001016,7,,geschaffen,ἐκτίσθη,4,False,,
51001016,8,,worden,ἐκτίσθη,4,False,,
51001016,9,,die,τὰ,7,False,,
51001016,10,,in,ἐν,8,False,,
51001016,11,,den,τοῖς,9,False,,
51001016,12,,Himmeln,οὐρανοῖς,10,False,,
51001016,13,,und,καὶ,11,False,,
51001016,14,,die,τὰ,12,False,,
51001016,15,,auf,ἐπὶ,13,False,,
51001016,16,,der,τῆς,14,False,,
51001016,17,,Erde,"γῆς,",15,False,,
51001016,18,,die,τὰ,16,False,,
51001016,19,,sichtbaren,ὁρατὰ,17,False,,
51001016,20,,und,καὶ,18,False,,
51001016,21,,die,τὰ,19,False,,
51001016,22,,unsichtbaren,"ἀόρατα,",20,False,,
51001016,23,,es,εἴτε,21,False,,
51001016,24,,seien,εἴτε,21,False,,
51001016,25,,Throne,θρόνοι,22,False,,
51001016,26,,oder,εἴτε,23,False,,
51001016,27,,Herrschaften,κυριότητες,24,False,,
51001016,28,,oder,εἴτε,25,False,,
51001016,29,,Fürstentümer,ἀρχαὶ,26,False,,
51001016,30,,oder,εἴτε,27,False,,
51001016,31,,Gewalten,ἐξουσίαι·,28,False,,
51001016,32,,alle,πάντα,30,False,,
51001016,33,,Dinge,πάντα,30,False,,
51001016,34,,sind,"ἔκτισται,",36,False,,
51001016,35,,durch,δι᾽,31,False,,
51001016,36,,ihn,αὐτοῦ,32,False,,
51001016,37,,und,καὶ,33,False,,
51001016,38,,für,εἰς,34,False,,
51001016,39,,ihn,αὐτὸν,35,False,,
51001016,40,,geschaffen,"ἔκτισται,",36,False,,
51001017,1,,Und,καὶ,1,False,,
51001017,2,,er,αὐτός,2,False,,
51001017,3,,ist,ἐστιν,3,False,,
51001017,4,,vor,πρὸ,4,False,,
51001017,5,,allen,"πάντων,",5,False,,
51001017,6,,und,καὶ,6,False,,
51001017,7,,alle,πάντα,8,False,,
51001017,8,,Dinge,πάντα,8,False,,
51001017,9,,bestehen,"συνέστηκεν,",11,False,,
51001017,10,,zusammen,"συνέστηκεν,",11,False,,
51001017,11,,durch,ἐν,9,False,,
51001017,12,,ihn,αὐτῷ,10,False,,
51001018,1,,Und,καὶ,1,False,,
51001018,2,,er,αὐτός,2,False,,
