HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
53001001,1,,Paulus,Παῦλος,1,False,,
53001001,2,,und,καὶ,2,False,,
53001001,3,,Silvanus,Σιλουανὸς,3,False,,
53001001,4,,und,καὶ,4,False,,
53001001,5,,Timotheus,Τιμόθεος,5,False,,
53001001,6,,der,,,True,7,Versammlung
53001001,7,,Versammlung,ἐκκλησίᾳ,7,False,,
53001001,8,,der,,,True,9,Thessalonicher
53001001,9,,Thessalonicher,Θεσσαλονικέων,8,False,,
53001001,10,,in,ἐν,9,False,,
53001001,11,,Gott,θεῷ,10,False,,
53001001,12,,unserem,ἡμῶν,12,False,13,Vater
53001001,13,,Vater,πατρὶ,11,False,,
53001001,14,,und,καὶ,13,False,,
53001001,15,,dem,,,True,16,Herrn
53001001,16,,Herrn,κυρίῳ,14,False,,
53001001,17,,Jesus,Ἰησοῦ,15,False,,
53001001,18,,Christus,Χριστῷ·,16,False,,
53001002,1,,Gnade,χάρις,1,False,,
53001002,2,,euch,ὑμῖν,2,False,,
53001002,3,,und,καὶ,3,False,,
53001002,4,,Friede,εἰρήνη,4,False,,
53001002,5,,von,ἀπὸ,5,False,,
53001002,6,,Gott,θεοῦ,6,False,,
53001002,7,,unserem,ἡμῶν,8,False,8,Vater
53001002,8,,Vater,πατρὸς,7,False,,
53001002,9,,und,καὶ,9,False,,
53001002,10,,dem,,,True,11,Herrn
53001002,11,,Herrn,κυρίου,10,False,,
53001002,12,,Jesus,Ἰησοῦ,11,False,,
53001002,13,,Christus,Χριστοῦ.¶,12,False,,
53001003,1,,Wir,,,True,3,schuldig
53001003,2,,sind,,,True,3,schuldig
53001003,3,,schuldig,ὀφείλομεν,2,False,,
53001003,4,,Brüder,"ἀδελφοί,",8,False,,
53001003,5,,Gott,θεῷ,4,False,,
53001003,6,,allezeit,πάντοτε,5,False,,
53001003,7,,für,περὶ,6,False,,
53001003,8,,euch,"ὑμῶν,",7,False,,
53001003,9,,zu,,,True,10,danken
53001003,10,,danken,Εὐχαριστεῖν,1,False,,
53001003,11,,wie,καθὼς,9,False,,
53001003,12,,es,,,True,13,billig
53001003,13,,billig,ἄξιόν,10,False,,
53001003,14,,ist,"ἐστιν,",11,False,,
53001003,15,,weil,ὅτι,12,False,,
53001003,16,,euer,ὑμῶν,16,False,17,Glaube
53001003,17,,Glaube,πίστις,15,False,,
53001003,18,,überaus,ὑπεραυξάνει,13,False,19,wächst
53001003,19,,wächst,ὑπεραυξάνει,13,False,,
53001003,20,,und,καὶ,17,False,,
53001003,21,,die,ἡ,19,False,22,Liebe
53001003,22,,Liebe,ἀγάπη,20,False,,
53001003,23,,jedes,ἑνὸς,21,False,24,einzelnen
53001003,24,,einzelnen,ἑκάστου,22,False,,
53001003,25,,von,,,True,26,euch
53001003,26,,euch,ὑμῶν,24,False,,
53001003,27,,allen,πάντων,23,False,,
53001003,28,,gegeneinander,ἀλλήλους·,26,False,,
53001003,29,,überströmend,πλεονάζει,18,False,,
53001003,30,,ist,,,True,29,überströmend
53001004,1,,so,ὥστε,1,False,,
53001004,2,,daß,,,True,1,so
53001004,3,,wir,ἡμᾶς,3,False,,
53001004,4,,selbst,αὐτοὺς,2,False,,
53001004,5,,uns,,,True,7,rühmen
53001004,6,,euer,ὑμῖν,5,False,,
53001004,7,,rühmen,ἐγκαυχᾶσθαι,6,False,,
53001004,8,,in,ἐν,7,False,,
53001004,9,,den,ταῖς,8,False,10,Versammlungen
53001004,10,,Versammlungen,ἐκκλησίαις,9,False,,
53001004,11,,Gottes,θεοῦ,11,False,,
53001004,12,,wegen,ὑπὲρ,12,False,,
53001004,13,,eures,ὑμῶν,15,False,14,Ausharrens
53001004,14,,Ausharrens,ὑπομονῆς,14,False,,
53001004,15,,und,καὶ,16,False,,
53001004,16,,Glaubens,πίστεως,17,False,,
53001004,17,,in,ἐν,18,False,,
53001004,18,,allen,πᾶσιν,19,False,,
53001004,19,,euren,ὑμῶν,22,False,20,Verfolgungen
53001004,20,,Verfolgungen,διωγμοῖς,21,False,,
53001004,21,,und,καὶ,23,False,,
53001004,22,,Drangsalen,θλίψεσιν,25,False,,
53001004,23,,die,αἷς,26,False,,
53001004,24,,ihr,,,True,25,erduldet
53001004,25,,erduldet,"ἀνέχεσθε,",27,False,,
53001005,1,,ein,,,True,3,Zeichen
53001005,2,,offenbares,,,True,3,Zeichen
53001005,3,,Zeichen,ἔνδειγμα,1,False,,
53001005,4,,des,τῆς,2,False,6,Gerichts
53001005,5,,gerechten,δικαίας,3,False,6,Gerichts
53001005,6,,Gerichts,κρίσεως,4,False,,
53001005,7,,Gottes,θεοῦ,6,False,,
53001005,8,,daß,εἰς,7,False,,
53001005,9,,ihr,ὑμᾶς,10,False,,
53001005,10,,würdig,,,True,11,geachtet
53001005,11,,geachtet,καταξιωθῆναι,9,False,,
53001005,12,,werdet,,,True,11,geachtet
53001005,13,,des,τῆς,11,False,14,Reiches
53001005,14,,Reiches,βασιλείας,12,False,,
53001005,15,,Gottes,θεοῦ,14,False,,
53001005,16,,um,ὑπὲρ,15,False,,
53001005,17,,dessentwillen,ἧς,16,False,,
53001005,18,,ihr,,,True,20,leidet
53001005,19,,auch,καὶ,17,False,,
53001005,20,,leidet,πάσχετε·,18,False,,
53001006,1,,wenn,εἴπερ,1,False,,
53001006,2,,es,,,True,6,gerecht
53001006,3,,anders,,,True,6,gerecht
53001006,4,,bei,παρὰ,3,False,,
53001006,5,,Gott,θεῷ,4,False,,
53001006,6,,gerecht,δίκαιον,2,False,,
53001006,7,,ist,,,True,6,gerecht
53001006,8,,Drangsal,θλῖψιν,9,False,,
53001006,9,,zu,,,True,10,vergelten
53001006,10,,vergelten,ἀνταποδοῦναι,5,False,,
53001006,11,,denen,τοῖς,6,False,,
53001006,12,,die,,,True,14,bedrängen
53001006,13,,euch,ὑμᾶς,8,False,,
53001006,14,,bedrängen,θλίβουσιν,7,False,,
53001007,1,,und,καὶ,1,False,,
53001007,2,,euch,ὑμῖν,2,False,,
53001007,3,,die,τοῖς,3,False,,
53001007,4,,ihr,,,True,5,bedrängt
53001007,5,,bedrängt,θλιβομένοις,4,False,,
53001007,6,,werdet,,,True,5,bedrängt
53001007,7,,Ruhe,ἄνεσιν,5,False,,
53001007,8,,mit,μεθ᾽,6,False,,
53001007,9,,uns,ἡμῶν,7,False,,
53001007,10,,bei,ἐν,8,False,,
53001007,11,,der,τῇ,9,False,,
53001007,12,,Offenbarung,ἀποκαλύψει,10,False,,
53001007,13,,des,τοῦ,11,False,,
53001007,14,,Herrn,κυρίου,12,False,,
53001007,15,,Jesus,Ἰησοῦ,13,False,,
53001007,16,,vom,ἀπ᾽,14,False,,
53001007,17,,Himmel,οὐρανοῦ,15,False,,
53001007,18,,mit,μετ᾽,16,False,,
53001007,19,,den,,,True,20,Engeln
53001007,20,,Engeln,ἀγγέλων,17,False,,
53001007,21,,seiner,αὐτοῦ,19,False,,
53001007,22,,Macht,δυνάμεως,18,False,,
53001008,1,,in,ἐν,1,False,,
53001008,2,,flammendem,"φλογός,",3,False,,
53001008,3,,Feuer,πυρὶ,2,False,,
53001008,4,,wenn,,,True,7,gibt
53001008,5,,er,,,True,7,gibt
53001008,6,,Vergeltung,ἐκδίκησιν,5,False,,
53001008,7,,gibt,διδόντος,4,False,,
53001008,8,,denen,τοῖς,6,False,,
53001008,9,,die,,,True,12,kennen
53001008,10,,Gott,θεὸν,9,False,,
53001008,11,,nicht,μὴ,7,False,,
53001008,12,,kennen,εἰδόσιν,8,False,,
53001008,13,,und,καὶ,10,False,,
53001008,14,,denen,τοῖς,11,False,,
53001008,15,,die,,,True,23,gehorchen
53001008,16,,dem,τῷ,14,False,,
53001008,17,,Evangelium,εὐαγγελίῳ,15,False,,
53001008,18,,unseres,ἡμῶν,18,False,,
53001008,19,,Herrn,κυρίου,17,False,,
53001008,20,,Jesus,Ἰησοῦ,19,False,,
53001008,21,,Christus,Χριστοῦ·,20,False,,
53001008,22,,nicht,μὴ,12,False,,
53001008,23,,gehorchen,ὑπακούουσιν,13,False,,
53001009,1,,welche,οἵτινες,1,False,,
53001009,2,,Strafe,δίκην,2,False,,
53001009,3,,leiden,"τίσουσιν,",3,False,,
53001009,4,,werden,,,True,3,leiden
53001009,5,,ewiges,αἰώνιον,5,False,,
53001009,6,,Verderben,ὄλεθρον,4,False,,
53001009,7,,vom,ἀπὸ,6,False,,
53001009,8,,Angesicht,προσώπου,7,False,,
53001009,9,,des,τοῦ,8,False,,
53001009,10,,Herrn,κυρίου,9,False,,
53001009,11,,und,καὶ,10,False,,
53001009,12,,von,ἀπὸ,11,False,,
53001009,13,,der,τῆς,12,False,,
53001009,14,,Herrlichkeit,δόξης,13,False,,
53001009,15,,seiner,"αὐτοῦ,",16,False,,
53001009,16,,Stärke,ἰσχύος,15,False,,
53001010,1,,wenn,ὅταν,1,False,,
53001010,2,,er,,,True,3,kommen
53001010,3,,kommen,ἔλθῃ,2,False,,
53001010,4,,wird,,,True,3,kommen
53001010,5,,um,,,True,9,verherrlicht
53001010,6,,an,ἐν,21,False,,
53001010,7,,jenem,ἐκείνῃ.,24,False,,
53001010,8,,Tage,ἡμέρᾳ,23,False,,
53001010,9,,verherrlicht,ἐνδοξασθῆναι,3,False,,
53001010,10,,zu,,,True,11,werden
53001010,11,,werden,,,True,9,verherrlicht
53001010,12,,in,ἐν,4,False,,
53001010,13,,seinen,αὐτοῦ,7,False,,
53001010,14,,Heiligen,ἁγίοις,6,False,,
53001010,15,,und,καὶ,8,False,,
53001010,16,,bewundert,θαυμασθῆναι,9,False,,
53001010,17,,in,ἐν,10,False,,
53001010,18,,allen,πᾶσιν,11,False,,
53001010,19,,denen,τοῖς,12,False,,
53001010,20,,die,,,True,21,geglaubt
53001010,21,,geglaubt,"πιστεύσασιν,",13,False,,
53001010,22,,haben,,,True,21,geglaubt
53001010,23,,denn,ὅτι,14,False,,
53001010,24,,unser,ἡμῶν,18,False,,
53001010,25,,Zeugnis,μαρτύριον,17,False,,
53001010,26,,bei,ἐφ᾽,19,False,,
53001010,27,,euch,"ὑμᾶς,",20,False,,
53001010,28,,ist,,,True,29,geglaubt
53001010,29,,geglaubt,ἐπιστεύθη,15,False,,
53001010,30,,worden,,,True,29,geglaubt
