HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
56001001,1,,Paulus,Παῦλος,1,False,,
56001001,2,,Knecht,δοῦλος,2,False,,
56001001,3,,Gottes,θεοῦ,3,False,,
56001001,4,,aber,δὲ,5,False,,
56001001,5,,Apostel,ἀπόστολος,4,False,,
56001001,6,,Jesu,Ἰησοῦ,6,False,,
56001001,7,,Christi,Χριστοῦ,7,False,,
56001001,8,,nach,κατὰ,8,False,,
56001001,9,,dem,,,True,10,Glauben
56001001,10,,Glauben,πίστιν,9,False,,
56001001,11,,der,,,True,12,Auserwählten
56001001,12,,Auserwählten,ἐκλεκτῶν,10,False,,
56001001,13,,Gottes,θεοῦ,11,False,,
56001001,14,,und,καὶ,12,False,,
56001001,15,,nach,,,True,17,Erkenntnis
56001001,16,,der,,,True,17,Erkenntnis
56001001,17,,Erkenntnis,ἐπίγνωσιν,13,False,,
56001001,18,,der,,,True,19,Wahrheit
56001001,19,,Wahrheit,ἀληθείας,14,False,,
56001001,20,,die,τῆς,15,False,,
56001001,21,,nach,κατ᾽,16,False,,
56001001,22,,der,,,True,23,Gottseligkeit
56001001,23,,Gottseligkeit,εὐσέβειαν,17,False,,
56001001,24,,ist,,,True,19,Wahrheit
56001002,1,,in,ἐπ᾽,1,False,,
56001002,2,,der,,,True,3,Hoffnung
56001002,3,,Hoffnung,ἐλπίδι,2,False,,
56001002,4,,des,,,True,6,Lebens
56001002,5,,ewigen,"αἰωνίου,",4,False,,
56001002,6,,Lebens,ζωῆς,3,False,,
56001002,7,,welches,ἣν,5,False,,
56001002,8,,Gott,θεὸς,9,False,,
56001002,9,,der,ὁ,7,False,,
56001002,10,,nicht,,,True,11,lügen
56001002,11,,lügen,ἀψευδὴς,8,False,,
56001002,12,,kann,ἀψευδὴς,8,False,,
56001002,13,,verheißen,ἐπηγγείλατο,6,False,,
56001002,14,,hat,ἐπηγγείλατο,6,False,,
56001002,15,,vor,πρὸ,10,False,,
56001002,16,,den,,,True,17,Zeiten
56001002,17,,Zeiten,χρόνων,11,False,,
56001002,18,,der,,,True,19,Zeitalter
56001002,19,,Zeitalter,αἰωνίων.,12,False,,
56001003,1,,zu,,,True,3,Zeit
56001003,2,,seiner,ἰδίοις,4,False,,
56001003,3,,Zeit,καιροῖς,3,False,,
56001003,4,,aber,δὲ,2,False,,
56001003,5,,sein,αὐτοῦ,7,False,,
56001003,6,,Wort,λόγον,6,False,,
56001003,7,,geoffenbart,ἐφανέρωσεν,1,False,,
56001003,8,,hat,ἐφανέρωσεν,1,False,,
56001003,9,,durch,ἐν,8,False,,
56001003,10,,die,,,True,11,Predigt
56001003,11,,Predigt,"κηρύγματι,",9,False,,
56001003,12,,die,ὃ,10,False,,
56001003,13,,mir,ἐγὼ,12,False,,
56001003,14,,anvertraut,ἐπιστεύθην,11,False,,
56001003,15,,worden,ἐπιστεύθην,11,False,,
56001003,16,,ist,ἐπιστεύθην,11,False,,
56001003,17,,nach,κατ᾽,13,False,,
56001003,18,,Befehl,ἐπιταγὴν,14,False,,
56001003,19,,unseres,ἡμῶν,17,False,,
56001003,20,,Heiland-Gottes,θεοῦ·,18,False,,
56001004,1,,Titus,Τίτῳ,1,False,,
56001004,2,,meinem,,,True,4,Kinde
56001004,3,,echten,γνησίῳ,2,False,,
56001004,4,,Kinde,τέκνῳ,3,False,,
56001004,5,,nach,κατὰ,4,False,,
56001004,6,,unserem,,,True,8,Glauben
56001004,7,,gemeinschaftlichen,κοινὴν,5,False,,
56001004,8,,Glauben,πίστιν·,6,False,,
56001004,9,,Gnade,χάρις,7,False,,
56001004,10,,und,καὶ,8,False,,
56001004,11,,Friede,εἰρήνη,9,False,,
56001004,12,,von,ἀπὸ,10,False,,
56001004,13,,Gott,θεοῦ,11,False,,
56001004,14,,dem,,,True,15,Vater
56001004,15,,Vater,πατρὸς,12,False,,
56001004,16,,und,καὶ,13,False,,
56001004,17,,Christo,Χριστοῦ,15,False,,
56001004,18,,Jesu,Ἰησοῦ,16,False,,
