HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
57001001,1,,Paulus,Παῦλος,1,False,,
57001001,2,,ein,,,True,3,Gefangener
57001001,3,,Gefangener,δέσμιος,2,False,,
57001001,4,,Christi,Χριστοῦ,3,False,,
57001001,5,,Jesu,Ἰησοῦ,4,False,,
57001001,6,,und,καὶ,5,False,,
57001001,7,,Timotheus,Τιμόθεος,6,False,,
57001001,8,,der,ὁ,7,False,9,Bruder
57001001,9,,Bruder,ἀδελφὸς,8,False,,
57001001,10,,Philemon,Φιλήμονι,9,False,,
57001001,11,,dem,τῷ,10,False,12,Geliebten
57001001,12,,Geliebten,ἀγαπητῷ,11,False,,
57001001,13,,und,καὶ,12,False,,
57001001,14,,unserem,ἡμῶν,14,False,15,Mitarbeiter
57001001,15,,Mitarbeiter,συνεργῷ,13,False,,
57001002,1,,und,καὶ,1,False,,
57001002,2,,Appia,Ἀπφίᾳ,2,False,,
57001002,3,,der,τῇ,3,False,4,Schwester
57001002,4,,Schwester,ἀδελφῇ,4,False,,
57001002,5,,und,καὶ,5,False,,
57001002,6,,Archippus,Ἀρχίππῳ,6,False,,
57001002,7,,unserem,ἡμῶν,9,False,8,Mitkämpfer
57001002,8,,Mitkämpfer,συστρατιώτῃ,8,False,,
57001002,9,,und,καὶ,10,False,,
57001002,10,,der,τῇ,11,False,11,Versammlung
57001002,11,,Versammlung,ἐκκλησίᾳ·,15,False,,
57001002,12,,die,,,True,11,Versammlung
57001002,13,,in,κατ᾽,12,False,,
57001002,14,,deinem,σου,14,False,15,Hause
57001002,15,,Hause,οἶκόν,13,False,,
57001002,16,,ist,,,True,11,Versammlung
57001003,1,,Gnade,χάρις,1,False,,
57001003,2,,euch,ὑμῖν,2,False,,
57001003,3,,und,καὶ,3,False,,
57001003,4,,Friede,εἰρήνη,4,False,,
57001003,5,,von,ἀπὸ,5,False,,
57001003,6,,Gott,θεοῦ,6,False,,
57001003,7,,unserem,ἡμῶν,8,False,8,Vater
57001003,8,,Vater,πατρὸς,7,False,,
57001003,9,,und,καὶ,9,False,,
57001003,10,,dem,,,True,11,Herrn
57001003,11,,Herrn,κυρίου,10,False,,
57001003,12,,Jesus,Ἰησοῦ,11,False,,
57001003,13,,Christus,Χριστοῦ.¶,12,False,,
57001004,1,,Ich,,,True,2,danke
57001004,2,,danke,Εὐχαριστῶ,1,False,,
57001004,3,,meinem,μου,4,False,4,Gott
57001004,4,,Gott,θεῷ,3,False,,
57001004,5,,indem,,,True,9,erwähne
57001004,6,,ich,,,True,9,erwähne
57001004,7,,allezeit,πάντοτε,5,False,,
57001004,8,,deiner,σου,7,False,9,erwähne
57001004,9,,erwähne,ποιούμενος,8,False,,
57001004,10,,in,ἐπὶ,9,False,,
57001004,11,,meinen,"μου,",12,False,12,Gebeten
