HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
64001001,1,,Der,Ὁ,1,False,,
64001001,2,,Älteste,πρεσβύτερος,2,False,,
64001001,3,,dem,τῷ,4,False,,
64001001,4,,geliebten,ἀγαπητῷ,5,False,,
64001001,5,,Gajus,Γαΐῳ,3,False,,
64001001,6,,den,ὃν,6,False,,
64001001,7,,ich,ἐγὼ,7,False,,
64001001,8,,liebe,ἀγαπῶ,8,False,,
64001001,9,,in,ἐν,9,False,,
64001001,10,,der,,,True,11,Wahrheit
64001001,11,,Wahrheit,ἀληθείᾳ.,10,False,,
64001002,1,,Geliebter,"ἀγαπητέ,",1,False,,
64001002,2,,ich,,,True,3,wünsche
64001002,3,,wünsche,εὔχομαί,4,False,,
64001002,4,,daß,,,True,3,wünsche
64001002,5,,es,,,True,9,wohlgehe
64001002,6,,dir,σε,5,False,,
64001002,7,,in,περὶ,2,False,,
64001002,8,,allem,πάντων,3,False,,
64001002,9,,wohlgehe,εὐοδοῦσθαι,6,False,,
64001002,10,,und,καὶ,7,False,,
64001002,11,,du,,,True,13,seiest
64001002,12,,gesund,ὑγιαίνειν,8,False,,
64001002,13,,seiest,ὑγιαίνειν,8,False,,
64001002,14,,gleichwie,καθὼς,9,False,,
64001002,15,,es,,,True,18,wohlgeht
64001002,16,,deiner,σου,11,False,,
64001002,17,,Seele,ψυχή.,13,False,,
64001002,18,,wohlgeht,εὐοδοῦταί,10,False,,
64001003,1,,Denn,γὰρ,2,False,,
64001003,2,,ich,,,True,3,freute
64001003,3,,freute,ἐχάρην,1,False,,
64001003,4,,mich,,,True,3,freute
64001003,5,,sehr,λίαν,3,False,,
64001003,6,,als,,,True,8,kamen
64001003,7,,Brüder,ἀδελφῶν,5,False,,
64001003,8,,kamen,ἐρχομένων,4,False,,
64001003,9,,und,καὶ,6,False,,
64001003,10,,Zeugnis,μαρτυρούντων,7,False,,
64001003,11,,gaben,μαρτυρούντων,7,False,,
64001003,12,,von,,,True,14,Festhalten
64001003,13,,deinem,σου,8,False,,
64001003,14,,Festhalten,,,True,17,Wahrheit
64001003,15,,an,,,True,17,Wahrheit
64001003,16,,der,τῇ,9,False,,
64001003,17,,Wahrheit,"ἀληθείᾳ,",10,False,,
64001003,18,,gleichwie,καθὼς,11,False,,
64001003,19,,du,σὺ,12,False,,
64001003,20,,in,ἐν,13,False,,
64001003,21,,der,,,True,22,Wahrheit
64001003,22,,Wahrheit,ἀληθείᾳ,14,False,,
64001003,23,,wandelst,περιπατεῖς.,15,False,,
64001004,1,,Ich,,,True,2,habe
64001004,2,,habe,ἔχω,4,False,,
64001004,3,,keine,οὐκ,3,False,,
64001004,4,,größere,μειζοτέραν,1,False,,
64001004,5,,Freude,χαρὰν,5,False,,
64001004,6,,als,,,True,4,größere
64001004,7,,dies,τούτων,2,False,,
64001004,8,,daß,ἵνα,6,False,,
64001004,9,,ich,,,True,10,höre
64001004,10,,höre,ἀκούω,7,False,,
64001004,11,,daß,,,True,10,höre
64001004,12,,meine,ἐμὰ,9,False,,
64001004,13,,Kinder,τέκνα,10,False,,
64001004,14,,in,ἐν,11,False,,
64001004,15,,der,τῇ,12,False,,
64001004,16,,Wahrheit,ἀληθείᾳ,13,False,,
64001004,17,,wandeln,περιπατοῦντα.,14,False,,
64001005,1,,Geliebter,"ἀγαπητέ,",1,False,,
64001005,2,,treulich,πιστὸν,2,False,,
64001005,3,,tust,ποιεῖς,3,False,,
64001005,4,,du,,,True,3,tust
64001005,5,,was,ὃ,4,False,,
64001005,6,,irgend,ἐὰν,5,False,,
64001005,7,,du,,,True,15,getan
64001005,8,,an,εἰς,7,False,,
64001005,9,,den,τοὺς,8,False,,
64001005,10,,Brüdern,ἀδελφοὺς,9,False,,
64001005,11,,und,καὶ,10,False,,
64001005,12,,zwar,,,True,14,Fremden
64001005,13,,an,εἰς,11,False,,
64001005,14,,Fremden,"ξένους,",13,False,,
64001005,15,,getan,ἐργάσῃ,6,False,,
64001005,16,,haben,ἐργάσῃ,6,False,,
64001005,17,,magst,ἐργάσῃ,6,False,,
64001006,1,,die,οἳ,1,False,,
64001006,2,,von,,,True,4,Liebe
64001006,3,,deiner,σου,3,False,,
64001006,4,,Liebe,ἀγάπῃ,5,False,,
64001006,5,,Zeugnis,ἐμαρτύρησάν,2,False,,
64001006,6,,gegeben,ἐμαρτύρησάν,2,False,,
64001006,7,,haben,,,True,6,gegeben
64001006,8,,vor,ἐνώπιον,6,False,,
64001006,9,,der,,,True,10,Versammlung
64001006,10,,Versammlung,"ἐκκλησίας,",7,False,,
64001006,11,,und,,,True,14,wohltun
64001006,12,,du,,,True,14,wohltun
64001006,13,,wirst,,,True,14,wohltun
64001006,14,,wohltun,ποιήσεις,10,False,,
64001006,15,,wenn,,,True,14,wohltun
64001006,16,,du,,,True,22,geleitest
64001006,17,,sie,οὓς,8,False,,
64001006,18,,auf,,,True,21,Weise
64001006,19,,eine,,,True,21,Weise
64001006,20,,gotteswürdige,ἀξίως,12,False,,
64001006,21,,Weise,,,True,20,gotteswürdige
64001006,22,,geleitest,προπέμψας,11,False,,
64001007,1,,Denn,γὰρ,2,False,,
64001007,2,,für,ὑπὲρ,1,False,,
64001007,3,,den,τοῦ,3,False,,
