HebRefId,PositionInVerse,GermanWordPart,ElbWord,StepWord,StepPositionInVerse,IsAddedWord,ParentPositionInVerse,ParentWord
65001001,1,,Judas,Ἰούδας,1,False,,
65001001,2,,Knecht,"δοῦλος,",4,False,,
65001001,3,,Jesu,Ἰησοῦ,2,False,,
65001001,4,,Christi,Χριστοῦ,3,False,,
65001001,5,,und,δὲ,6,False,,
65001001,6,,Bruder,ἀδελφὸς,5,False,,
65001001,7,,des,,,True,8,Jakobus
65001001,8,,Jakobus,"Ἰακώβου,",7,False,,
65001001,9,,den,τοῖς,8,False,,
65001001,10,,in,ἐν,9,False,,
65001001,11,,Gott,θεῷ,10,False,,
65001001,12,,dem,,,True,13,Vater
65001001,13,,Vater,πατρὶ,11,False,,
65001001,14,,geliebten,ἠγαπημένοις,12,False,,
65001001,15,,und,καὶ,13,False,,
65001001,16,,in,,,True,18,Christo
65001001,17,,Jesu,Ἰησοῦ,14,False,,
65001001,18,,Christo,Χριστῷ,15,False,,
65001001,19,,bewahrten,τετηρημένοις,16,False,,
65001001,20,,Berufenen,κλητοῖς·,17,False,,
65001002,1,,Barmherzigkeit,ἔλεος,1,False,,
65001002,2,,und,καὶ,3,False,,
65001002,3,,Friede,εἰρήνη,4,False,,
65001002,4,,und,καὶ,5,False,,
65001002,5,,Liebe,ἀγάπη,6,False,,
65001002,6,,sei,,,True,8,vermehrt
65001002,7,,euch,ὑμῖν,2,False,,
65001002,8,,vermehrt,πληθυνθείη.¶,7,False,,
65001003,1,,Geliebte,"Ἀγαπητοί,",1,False,,
65001003,2,,indem,,,True,6,anwandte
65001003,3,,ich,,,True,6,anwandte
65001003,4,,allen,πᾶσαν,2,False,,
65001003,5,,Fleiß,σπουδὴν,3,False,,
65001003,6,,anwandte,ποιούμενος,4,False,,
65001003,7,,euch,ὑμῖν,6,False,,
65001003,8,,über,περὶ,7,False,,
65001003,9,,unser,ἡμῶν,10,False,,
65001003,10,,gemeinsames,κοινῆς,9,False,,
65001003,11,,Heil,"σωτηρίας,",11,False,,
65001003,12,,zu,,,True,13,schreiben
65001003,13,,schreiben,γράφειν,5,False,,
65001003,14,,war,ἔσχον,13,False,,
65001003,15,,ich,,,True,16,genötigt
65001003,16,,genötigt,ἀνάγκην,12,False,,
65001003,17,,euch,ὑμῖν,15,False,,
65001003,18,,zu,,,True,19,schreiben
65001003,19,,schreiben,γράψαι,14,False,,
65001003,20,,und,,,True,22,ermahnen
65001003,21,,zu,,,True,22,ermahnen
65001003,22,,ermahnen,παρακαλῶν,16,False,,
65001003,23,,für,,,True,31,kämpfen
65001003,24,,den,τῇ,18,False,,
65001003,25,,einmal,ἅπαξ,19,False,,
65001003,26,,den,τοῖς,21,False,,
65001003,27,,Heiligen,ἁγίοις,22,False,,
65001003,28,,überlieferten,παραδοθείσῃ,20,False,,
65001003,29,,Glauben,πίστει.,23,False,,
65001003,30,,zu,,,True,31,kämpfen
65001003,31,,kämpfen,ἐπαγωνίζεσθαι,17,False,,
65001004,1,,Denn,γάρ,2,False,,
65001004,2,,gewisse,τινες,3,False,,
65001004,3,,Menschen,"ἄνθρωποι,",4,False,,
65001004,4,,haben,,,True,6,nebeneingeschlichen
65001004,5,,sich,,,True,6,nebeneingeschlichen
65001004,6,,nebeneingeschlichen,παρεισέδυσαν,1,False,,
65001004,7,,die,οἱ,5,False,,
65001004,8,,schon,πάλαι,6,False,,
65001004,9,,vorlängst,,,True,14,aufgezeichnet
65001004,10,,zu,εἰς,8,False,,
65001004,11,,diesem,τοῦτο,9,False,,
65001004,12,,Gericht,"κρίμα,",11,False,,
65001004,13,,zuvor,,,True,14,aufgezeichnet
65001004,14,,aufgezeichnet,προγεγραμμένοι,7,False,,
65001004,15,,waren,,,True,14,aufgezeichnet
65001004,16,,Gottlose,"ἀσεβεῖς,",12,False,,
65001004,17,,welche,,,True,24,verkehren
65001004,18,,die,τὴν,13,False,,
65001004,19,,Gnade,χάριτα,17,False,,
65001004,20,,unseres,ἡμῶν,16,False,,
65001004,21,,Gottes,θεοῦ,15,False,,
65001004,22,,in,εἰς,19,False,,
65001004,23,,Ausschweifung,ἀσέλγειαν,20,False,,
65001004,24,,verkehren,μετατιθέντες,18,False,,
65001004,25,,und,καὶ,21,False,,
65001004,26,,unseren,ἡμῶν,28,False,,
65001004,27,,alleinigen,μόνον,23,False,,
65001004,28,,Gebieter,δεσπότην,24,False,,
65001004,29,,und,καὶ,26,False,,
65001004,30,,Herrn,κύριον,27,False,,
65001004,31,,Jesus,Ἰησοῦν,29,False,,
65001004,32,,Christus,Χριστὸν,30,False,,
65001004,33,,verleugnen,ἀρνούμενοι.¶,31,False,,
65001005,1,,Ich,,,True,2,will
65001005,2,,will,"βούλομαι,",4,False,,
65001005,3,,euch,ὑμᾶς,3,False,,
65001005,4,,aber,δὲ,2,False,,
65001005,5,,die,,,True,9,wußtet
65001005,6,,ihr,,,True,9,wußtet
65001005,7,,einmal,,,True,9,wußtet
65001005,8,,alles,"πάντα,",7,False,,
65001005,9,,wußtet,εἰδότας,5,False,,
65001005,10,,daran,,,True,11,erinnern
65001005,11,,erinnern,Ὑπομνῆσαι,1,False,,
65001005,12,,daß,ὅτι,8,False,,
65001005,13,,der,ὁ,9,False,,
65001005,14,,Herr,κύριος,10,False,,
65001005,15,,nachdem,,,True,23,gerettet
65001005,16,,er,,,True,23,gerettet
65001005,17,,das,,,True,18,Volk
65001005,18,,Volk,λαὸν,12,False,,
65001005,19,,aus,ἐκ,13,False,,
65001005,20,,dem,,,True,21,Lande
65001005,21,,Lande,γῆς,14,False,,
65001005,22,,Ägypten,Αἰγύπτου,15,False,,
65001005,23,,gerettet,σώσας,16,False,,
65001005,24,,hatte,,,True,23,gerettet
65001005,25,,zum,τὸ,17,False,,
65001005,26,,anderenmal,δεύτερον,18,False,,
65001005,27,,die,τοὺς,19,False,,
65001005,28,,vertilgte,ἀπώλεσεν.,22,False,,
65001005,29,,welche,,,True,31,geglaubt
65001005,30,,nicht,μὴ,20,False,,
65001005,31,,geglaubt,πιστεύσαντας,21,False,,
