HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
1001001	1	in	ADP	APPRART					S		Dat	M
1001001	2	Anfang	NOUN	NN					S			M
1001001	3	schaffen	VERB	VVFIN		Fin	Past	3	S	Ind		
1001001	4	Gott	NOUN	NN					S		Nom	M
1001001	5	der	DET	ART					S		Nom	F
1001001	6	Himmel	NOUN	NN					S		Nom	M
1001001	7	und	CCONJ	KON								
1001001	8	der	DET	ART					S		Nom	F
1001001	9	Erde	NOUN	NN					S		Nom	F
1001002	1	und	CCONJ	KON								
1001002	2	der	DET	ART					S		Nom	F
1001002	3	Erde	NOUN	NN					S		Nom	F
1001002	4	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
1001002	5	wüst	ADV	ADJD	Pos							
1001002	6	und	CCONJ	KON								
1001002	7	leer	ADV	ADJD	Pos							
1001002	8	und	CCONJ	KON								
1001002	9	Finsternis	NOUN	NN					S		Nom	F
1001002	10	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
1001002	11	über	ADP	APPR								
1001002	12	der	DET	ART					S		Nom	M
1001002	13	Tiefe	NOUN	NN					S		Nom	F
1001002	14	und	CCONJ	KON								
1001002	15	der	DET	ART					S		Nom	M
1001002	16	Geist	NOUN	NN					S		Nom	M
1001002	17	Gott	NOUN	NN					S		Gen	M
1001002	18	schweben	VERB	VVFIN		Fin	Past	3	S	Ind		
1001002	19	über	ADP	APPR								
1001002	20	der	DET	ART					S		Acc	M
1001002	21	Wasser	NOUN	NN					P		Dat	N
1001003	1	und	CCONJ	KON								
1001003	2	Gott	NOUN	NN					S		Nom	M
1001003	3	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
1001003	4	es	PRON	PPER				3	S		Nom	N
1001003	5	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
1001003	6	Licht	NOUN	NN					S		Nom	N
1001003	7	und	CCONJ	KON								
1001003	8	es	PRON	PPER				3	S		Nom	N
1001003	9	werden	VERB	VAFIN		Fin	Past	3	S	Ind		
1001003	10	Licht	NOUN	NN					S		Nom	N
1001004	1	und	CCONJ	KON								
1001004	2	Gott	NOUN	NN					S		Nom	M
1001004	3	sehen	VERB	VVFIN		Fin	Past	3	S	Ind		
1001004	4	der	DET	ART					S		Nom	N
1001004	5	Licht	NOUN	NN					S		Nom	N
1001004	6	daß	SCONJ	KOUS								
1001004	7	es	PRON	PPER				3	S		Nom	N
1001004	8	gut	ADV	ADJD	Pos							
1001004	9	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
1001004	10	und	CCONJ	KON								
1001004	11	Gott	NOUN	NN					S		Nom	M
1001004	12	scheiden	VERB	VVFIN		Fin	Past	3	S	Ind		
1001004	13	der	DET	ART					S		Nom	N
1001004	14	Licht	NOUN	NN					S		Nom	N
1001004	15	von	ADP	APPR								
