HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
10001001	1	und	CCONJ	KON								
10001001	2	es	PRON	PPER				3	S		Nom	N
10001001	3	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
10001001	4	nach	ADP	APPR								
10001001	5	der	DET	ART					S		Dat	M
10001001	6	Tod	NOUN	NN					S		Nom	M
10001001	7	Saul	PROPN	NE					S		Gen	M
10001001	8	als	ADP	KOKOM								
10001001	9	David	PROPN	NE					S		Nom	M
10001001	10	von	ADP	APPR								
10001001	11	der	DET	ART					S		Nom	M
10001001	12	Schlacht	NOUN	NN					S		Nom	F
10001001	13	der	DET	ART					S		Nom	M
10001001	14	Amalekiter	NOUN	NN					P		Nom	M
10001001	15	zurückgekommen	VERB	VVPP		Part						
10001001	16	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
10001001	17	da	ADV	ADV								
10001001	18	bleiben	VERB	VVFIN		Fin	Past	3	S	Ind		
10001001	19	David	PROPN	NE					S		Nom	M
10001001	20	zwei	NUM	CARD								
10001001	21	Tag	NOUN	NN					P		Nom	M
10001001	22	zu	ADP	PTKVZ								
10001001	23	Ziklag	NOUN	NN					S		Nom	M
10001002	1	und	CCONJ	KON								
10001002	2	es	PRON	PPER				3	S		Nom	N
10001002	3	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
10001002	4	an	ADP	APPRART					S		Dat	M
10001002	5	dritter	ADJ	ADJA	Pos				S		Acc	M
10001002	6	Tag	NOUN	NN					P		Nom	M
10001002	7	sehen	VERB	VVIMP				2	S	Imp		
10001002	8	da	ADV	ADV								
10001002	9	kommen	VERB	VVFIN		Fin	Past	3	S	Ind		
10001002	10	ein	DET	ART					S		Nom	N
10001002	11	Mann	NOUN	NN					S		Nom	M
10001002	12	aus	ADP	PTKVZ								
10001002	13	der	DET	ART					S		Dat	M
10001002	14	Heerlager	NOUN	NN					S		Nom	N
10001002	15	Saul	PROPN	NE					S		Gen	M
10001002	16	sein	DET	PPOSAT					S		Nom	F
10001002	17	Kleid	NOUN	NN					P		Nom	N
10001002	18	sein	AUX	VAFIN		Fin	Past	3	P	Ind		
10001002	19	zerreißen	VERB	VVPP		Part						
10001002	20	und	CCONJ	KON								
10001002	21	Erde	NOUN	NN					S		Nom	F
10001002	22	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
10001002	23	auf	ADP	PTKVZ								
10001002	24	sein	DET	PPOSAT					S		Dat	M
10001002	25	Haupt	NOUN	NN					P		Nom	N
10001002	26	und	CCONJ	KON								
10001002	27	als	ADP	KOKOM								
10001002	28	er	PRON	PPER				3	S		Nom	M
10001002	29	zu	ADP	PTKVZ								
10001002	30	David	PROPN	NE					S		Nom	M
10001002	31	kommen	VERB	VVFIN		Fin	Past	3	S	Ind		
10001002	32	fallen	VERB	VVFIN		Fin	Past	3	S	Ind		
10001002	33	er	PRON	PPER				3	S		Nom	M
10001002	34	zu	ADP	APPRART					S		Dat	F
10001002	35	Erde	NOUN	NN					S		Nom	F
10001002	36	und	CCONJ	KON								
10001002	37	werfen	VERB	VVFIN		Fin	Past	3	S	Ind		
10001002	38	sich	PRON	PRF				3	S		Acc	
10001002	39	nieder	ADV	PTKVZ								
10001003	1	und	CCONJ	KON								
10001003	2	David	PROPN	NE					S		Nom	M
10001003	3	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
10001003	4	zu	ADP	PTKVZ								
10001003	5	ihm	PRON	PPER				3	S		Dat	M
10001003	6	woher	SCONJ	PWAV								
10001003	7	kommst	VERB	VVFIN		Fin	Pres	3	S	Ind		
10001003	8	du	PRON	PPER				2	S		Nom	
10001003	9	und	CCONJ	KON								
10001003	10	er	PRON	PPER				3	S		Nom	M
10001003	11	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
10001003	12	zu	ADP	PTKVZ								
10001003	13	ihm	PRON	PPER				3	S		Dat	M
10001003	14	ich	PRON	PPER				1	S		Nom	
10001003	15	sein	AUX	VAFIN		Fin	Pres	1	S	Ind		
10001003	16	aus	ADP	PTKVZ								
10001003	17	der	DET	ART					S		Dat	M
10001003	18	Heerlager	NOUN	NN					S		Nom	N
10001003	19	Israel	PROPN	NE					S		Gen	N
10001003	20	entronnen	VERB	VVPP		Part						
10001004	1	und	CCONJ	KON								
10001004	2	David	PROPN	NE					S		Nom	M
10001004	3	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
10001004	4	zu	ADP	PTKVZ								
10001004	5	ihm	PRON	PPER				3	S		Dat	M
10001004	6	wie	ADV	PWAV								
10001004	7	stehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
10001004	8	der	DET	ART					S		Nom	F
10001004	9	Sache	NOUN	NN					S		Nom	F
10001004	10	Bericht	VERB	NN		Fin	Past	3	S	Sub		
10001004	11	mir	PRON	PPER				1	S		Dat	
10001004	12	doch	CCONJ	KON								
10001004	13	und	CCONJ	KON								
10001004	14	er	PRON	PPER				3	S		Nom	M
10001004	15	sagen	VERB	VVFIN		Fin	Past	3	S	Ind		
10001004	16	der	DET	ART					S		Nom	N
10001004	17	Volk	NOUN	NN					S		Nom	N
10001004	18	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
10001004	19	aus	ADP	PTKVZ								
10001004	20	der	DET	ART					S		Dat	M
10001004	21	Streit	NOUN	NN					S		Nom	M
10001004	22	fliehen	VERB	VVPP		Part						
10001004	23	und	CCONJ	KON								
10001004	24	auch	ADV	ADV								
10001004	25	vieler	PRON	PIS					P		Nom	
10001004	26	von	ADP	APPR								
10001004	27	der	DET	ART					S		Dat	M
10001004	28	Volke	NOUN	NN					S		Nom	M
10001004	29	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
