HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
11001001	1	und	CCONJ	KON								
11001001	2	der	DET	ART					S		Nom	M
11001001	3	König	NOUN	NN					S		Nom	M
11001001	4	David	PROPN	NE					S		Nom	M
11001001	5	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
11001001	6	alt	ADV	ADJD	Pos							
11001001	7	Wohlbetagt	ADV	ADJD	Pos							
11001001	8	und	CCONJ	KON								
11001001	9	sie	PRON	PPER				3	P		Nom	
11001001	10	bedeckn	VERB	VVFIN		Fin	Past	3	P	Ind		
11001001	11	ihn	PRON	PPER				3	S		Acc	M
11001001	12	mit	ADP	APPR								
11001001	13	Kleid	NOUN	NN					P		Dat	N
11001001	14	aber	CCONJ	KON								
11001001	15	er	PRON	PPER				3	S		Nom	M
11001001	16	werden	AUX	VAFIN		Fin	Past	3	S	Ind		
11001001	17	nicht	PART	PTKNEG								
11001001	18	warm	ADV	ADJD	Pos							
11001002	1	da	SCONJ	KOUS								
11001002	2	sprechen	VERB	VVFIN		Fin	Past	3	P	Ind		
11001002	3	sein	DET	PPOSAT					S		Nom	F
11001002	4	Knecht	NOUN	NN					P		Nom	M
11001002	5	zu	ADP	PTKVZ								
11001002	6	ihm	PRON	PPER				3	S		Dat	M
11001002	7	man	PRON	PIS					S		Nom	
11001002	8	suchen	VERB	VVFIN		Fin	Pres	3	S	Sub		
11001002	9	mein	DET	PPOSAT					S		Dat	M
11001002	10	Herr	NOUN	NN					S		Acc	M
11001002	11	der	DET	ART					S		Dat	M
11001002	12	König	NOUN	NN					S		Nom	M
11001002	13	ein	DET	ART					S		Nom	N
11001002	14	Mädchen	NOUN	NN					P		Nom	N
11001002	15	ein	DET	ART					S		Nom	F
11001002	16	Jungfrau	NOUN	NN					S		Nom	F
11001002	17	und	CCONJ	KON								
11001002	18	sie	PRON	PPER				3	P		Nom	
11001002	19	stehen	VERB	VVFIN		Fin	Pres	3	S	Sub		
11001002	20	vor	ADP	APPR								
11001002	21	der	DET	ART					S		Dat	M
11001002	22	König	NOUN	NN					S		Nom	M
11001002	23	und	CCONJ	KON								
11001002	24	sein	AUX	VAFIN		Fin	Pres	3	S	Sub		
11001002	25	ihm	PRON	PPER				3	S		Dat	M
11001002	26	ein	DET	ART					S		Nom	F
11001002	27	Pflegerin	NOUN	NN					S		Nom	F
11001002	28	und	CCONJ	KON								
11001002	29	sie	PRON	PPER				3	P		Nom	
11001002	30	schlafen	VERB	VVFIN		Fin	Pres	3	S	Sub		
11001002	31	an	ADP	PTKVZ								
11001002	32	dein	DET	PPOSAT					S		Dat	M
11001002	33	Busen	X	XY								
11001002	34	daß	SCONJ	KOUS								
11001002	35	mein	DET	PPOSAT					S		Nom	N
11001002	36	Herr	NOUN	NN					S		Nom	M
11001002	37	der	DET	ART					S		Nom	M
11001002	38	König	NOUN	NN					S		Nom	M
11001002	39	warm	ADV	ADJD	Pos							
11001002	40	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
11001003	1	und	CCONJ	KON								
11001003	2	man	PRON	PIS					S		Nom	
11001003	3	suchen	VERB	VVFIN		Fin	Past	3	S	Ind		
11001003	4	ein	DET	ART					S		Nom	N
11001003	5	schön	ADJ	ADJA	Pos				S		Nom	N
11001003	6	Mädchen	NOUN	NN					P		Nom	N
11001003	7	in	ADP	APPR								
11001003	8	aller	DET	PIS					P		Dat	
11001003	9	Grenze	NOUN	NN					P		Nom	F
