HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
14001001	1	und	CCONJ	KON								
14001001	2	Salomo	PROPN	NE					S		Nom	M
14001001	3	der	DET	ART					S		Nom	M
14001001	4	Sohn	NOUN	NN					S		Nom	M
14001001	5	David	PROPN	NE					S		Gen	M
14001001	6	erstarken	VERB	VVFIN		Fin	Past	3	S	Ind		
14001001	7	in	ADP	APPR								
14001001	8	sein	DET	PPOSAT					S		Dat	M
14001001	9	Königreich	NOUN	NN					S		Nom	N
14001001	10	und	CCONJ	KON								
14001001	11	Jahwe	NOUN	NN					S		Nom	M
14001001	12	sein	AUX	VAINF		Inf						
14001001	13	Gott	NOUN	NN					S		Nom	M
14001001	14	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
14001001	15	mit	ADP	APPR								
14001001	16	ihm	PRON	PPER				3	S		Dat	M
14001001	17	und	CCONJ	KON								
14001001	18	machen	VERB	VVFIN		Fin	Past	3	S	Ind		
14001001	19	ihn	PRON	PPER				3	S		Acc	M
14001001	20	überaus	ADV	ADV								
14001001	21	groß	ADV	ADJD	Pos							
14001002	1	und	CCONJ	KON								
14001002	2	Salomo	PROPN	NE					S		Nom	M
14001002	3	reden	VERB	VVFIN		Fin	Past	3	S	Ind		
14001002	4	zu	ADP	PTKVZ								
14001002	5	ganz	ADV	ADV								
14001002	6	Israel	PROPN	NE					S		Nom	N
14001002	7	zu	ADP	PTKVZ								
14001002	8	der	DET	ART					S		Acc	M
14001002	9	oberer	ADJ	ADJA	Sup				S		Dat	F
14001002	10	über	ADP	APPR								
14001002	11	tausend	NUM	CARD								
14001002	12	und	CCONJ	KON								
14001002	13	über	ADP	APPR								
14001002	14	hundert	NUM	CARD								
14001002	15	und	CCONJ	KON								
14001002	16	zu	ADP	PTKVZ								
14001002	17	der	DET	ART					S		Acc	M
14001002	18	Richter	NOUN	NN					P		Dat	M
14001002	19	und	CCONJ	KON								
14001002	20	zu	ADP	PTKVZ								
14001002	21	aller	DET	PIS					P		Dat	
14001002	22	Fürst	NOUN	NN					P		Nom	M
14001002	23	von	ADP	APPR								
14001002	24	ganz	ADV	ADV								
14001002	25	Israel	PROPN	NE					S		Nom	N
14001002	26	der	DET	ART					S		Acc	M
14001002	27	Häupter	NOUN	NN					P		Dat	M
14001002	28	der	DET	ART					S		Nom	M
14001002	29	Vater	NOUN	NN					P		Nom	M
14001003	1	und	CCONJ	KON								
14001003	2	sie	PRON	PPER				3	P		Nom	
14001003	3	gehen	VERB	VVFIN		Fin	Past	3	P	Ind		
14001003	4	Salomo	PROPN	NE					S		Nom	M
14001003	5	und	CCONJ	KON								
14001003	6	der	DET	ART					S		Nom	F
14001003	7	ganz	ADJ	ADJA	Pos				S		Nom	F
14001003	8	Versammlung	NOUN	NN					S		Nom	F
14001003	9	mit	ADP	APPR								
14001003	10	ihm	PRON	PPER				3	S		Dat	M
14001003	11	nach	ADP	APPR								
14001003	12	der	DET	ART					S		Nom	M
14001003	13	Höhe	NOUN	NN					S		Nom	F
14001003	14	der	DET	ART					S		Nom	F
14001003	15	zu	ADP	PTKVZ								
