HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
15001001	1	und	CCONJ	KON								
15001001	2	in	ADP	APPRART					S		Dat	N
15001001	3	erster	ADJ	ADJA	Pos				S		Dat	M
15001001	4	Jahr	NOUN	NN					P		Nom	N
15001001	5	Kores	PROPN	NE					S		Nom	M
15001001	6	der	DET	ART					S		Gen	M
15001001	7	König	PROPN	NE					S		Nom	
15001001	8	von	ADP	APPR								
15001001	9	Persien	PROPN	NE					S		Nom	N
15001001	10	damit	ADV	PROAV								
15001001	11	der	DET	ART					S		Nom	N
15001001	12	Wort	NOUN	NN					S		Nom	N
15001001	13	Jahwe	PROPN	NE					S		Gen	
15001001	14	aus	ADP	PTKVZ								
15001001	15	der	DET	ART					S		Dat	M
15001001	16	Mund	NOUN	NN					S		Acc	M
15001001	17	Jeremias	PROPN	NE					S		Nom	M
15001001	18	erfüllen	VERB	VVPP		Part						
15001001	19	werden	AUX	VAFIN		Fin	Past	3	S	Sub		
15001001	20	erwecken	VERB	VVFIN		Fin	Past	3	S	Ind		
15001001	21	Jahwe	NOUN	NN					S		Nom	M
15001001	22	der	DET	ART					S		Acc	M
15001001	23	Geist	NOUN	NN					S		Nom	M
15001001	24	Kores	PROPN	NE					S		Nom	M
15001001	25	der	DET	ART					S		Gen	M
15001001	26	König	PROPN	NE					S		Nom	
15001001	27	von	ADP	APPR								
15001001	28	Persien	PROPN	NE					S		Nom	N
15001001	29	und	CCONJ	KON								
15001001	30	er	PRON	PPER				3	S		Nom	M
15001001	31	lassen	VERB	VVFIN		Fin	Past	3	S	Ind		
15001001	32	ein	DET	ART					S		Acc	M
15001001	33	Ruf	NOUN	NN					S		Nom	M
15001001	34	ergehen	VERB	VVINF		Inf						
15001001	35	durch	ADP	APPR								
15001001	36	sein	AUX	VAINF		Inf						
15001001	37	ganz	ADJ	ADJA	Pos				S		Nom	N
15001001	38	Königreich	NOUN	NN					S		Nom	N
15001001	39	und	CCONJ	KON								
15001001	40	zwar	ADV	ADV								
15001001	41	auch	ADV	ADV								
15001001	42	schriftlich	ADV	ADJD	Pos							
15001001	43	indem	SCONJ	KOUS								
15001001	44	er	PRON	PPER				3	S		Nom	M
15001001	45	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
15001002	1	so	ADV	ADV								
15001002	2	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
15001002	3	Kores	PROPN	NE					S		Nom	M
15001002	4	der	DET	ART					S		Nom	M
15001002	5	König	NOUN	NN					S		Nom	M
15001002	6	von	ADP	APPR								
15001002	7	Persien	PROPN	NE					S		Nom	N
15001002	8	alle	PRON	PIS					P		Nom	
