HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
16001001	1	Geschichte	NOUN	NN					S		Nom	F
16001001	2	Nehemia	NOUN	NE					P		Nom	N
16001001	3	der	DET	ART					S		Gen	M
16001001	4	Sohn	PROPN	NE					S		Gen	M
16001001	5	Hakaljas	NOUN	NN					S		Nom	F
16001001	6	und	CCONJ	KON								
16001001	7	es	PRON	PPER				3	S		Nom	N
16001001	8	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
16001001	9	in	ADP	APPRART					S		Dat	N
16001001	10	Monat	NOUN	NN					S		Nom	M
16001001	11	Kislew	PROPN	NE					S		Gen	
16001001	12	der	DET	ART					S		Gen	M
16001001	13	zwanzigster	ADJ	ADJA	Pos				P		Dat	
16001001	14	Jahr	NOUN	NN					S		Gen	N
16001001	15	als	ADP	KOKOM								
16001001	16	ich	PRON	PPER				1	S		Nom	
16001001	17	in	ADP	APPR								
16001001	18	der	DET	ART					S		Nom	M
16001001	19	Burg	NOUN	NN					S		Nom	F
16001001	20	Susan	PROPN	NE					S		Nom	F
16001001	21	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
16001002	1	da	ADV	ADV								
16001002	2	kommen	VERB	VVFIN		Fin	Past	3	S	Ind		
16001002	3	Hanani	PROPN	NE					S		Nom	
16001002	4	ein	PRON	ART					S		Nom	M
16001002	5	von	ADP	APPR								
16001002	6	meinen	VERB	VVFIN		Fin	Pres	3	P	Ind		
16001002	7	Brüdern	NOUN	NN					P		Dat	M
16001002	8	er	PRON	PPER				3	S		Nom	M
16001002	9	und	CCONJ	KON								
16001002	10	einiger	PRON	PIS					P		Nom	
16001002	11	Mann	NOUN	NN					P		Nom	M
16001002	12	aus	ADP	PTKVZ								
16001002	13	Juda	PROPN	NE					S		Nom	M
16001002	14	und	CCONJ	KON								
16001002	15	ich	PRON	PPER				1	S		Nom	
16001002	16	fragen	VERB	VVFIN		Fin	Past	3	S	Ind		
16001002	17	sie	PRON	PPER				3	P		Nom	
16001002	18	nach	ADP	APPR								
16001002	19	der	DET	ART					S		Acc	M
16001002	20	Jude	NOUN	NN					P		Nom	M
16001002	21	der	DET	ART					S		Acc	M
16001002	22	Entronnen	NOUN	NN					S		Nom	N
16001002	23	der	DET	ART					S		Nom	F
16001002	24	von	ADP	APPR								
16001002	25	der	DET	ART					S		Nom	M
16001002	26	Gefangenschaft	NOUN	NN					S		Nom	F
16001002	27	übrigbleiben	VERB	VVPP		Part						
16001002	28	sein	AUX	VAFIN		Fin	Past	3	P	Ind		
16001002	29	und	CCONJ	KON								
16001002	30	nach	ADP	APPR								
16001002	31	Jerusalem	PROPN	NE					S		Nom	N
16001003	1	und	CCONJ	KON								
16001003	2	sie	PRON	PPER				3	P		Nom	
16001003	3	sprechen	VERB	VVFIN		Fin	Past	3	P	Ind		
16001003	4	zu	ADP	PTKVZ								
