HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
17001001	1	und	CCONJ	KON								
17001001	2	es	PRON	PPER				3	S		Nom	N
17001001	3	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
17001001	4	in	ADP	APPR								
17001001	5	der	DET	ART					S		Acc	M
17001001	6	Tag	NOUN	NN					P		Dat	M
17001001	7	der	DET	ART					S		Gen	M
17001001	8	Ahasvero	NOUN	NN					S		Nom	N
17001001	9	der	DET	ART					S		Nom	N
17001001	10	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
17001001	11	der	DET	ART					S		Nom	M
17001001	12	Ahasvero	NOUN	NN					S		Nom	N
17001001	13	der	DET	ART					S		Nom	M
17001001	14	von	ADP	APPR								
17001001	15	Indien	PROPN	NE					S		Nom	N
17001001	16	bis	CCONJ	KON								
17001001	17	Äthiopien	PROPN	NE					S		Nom	N
17001001	18	über	ADP	APPR								
17001001	19	127	NUM	CARD								
17001001	20	Landschaft	NOUN	NN					P		Nom	F
17001001	21	regieren	VERB	VVFIN		Fin	Past	3	S	Ind		
17001002	1	in	ADP	APPR								
17001002	2	selbig	ADJ	ADJA	Pos				S		Acc	M
17001002	3	Tag	NOUN	NN					P		Dat	M
17001002	4	als	ADP	KOKOM								
17001002	5	der	DET	ART					S		Nom	M
17001002	6	König	NOUN	NN					S		Nom	M
17001002	7	Ahasvero	NOUN	NN					S		Nom	N
17001002	8	auf	ADP	PTKVZ								
17001002	9	der	DET	ART					S		Dat	M
17001002	10	Throne	NOUN	NN					S		Nom	F
17001002	11	sein	DET	PPOSAT					S		Gen	M
17001002	12	Königreich	NOUN	NN					S		Nom	N
17001002	13	sitzen	VERB	VVFIN		Fin	Past	3	S	Ind		
17001002	14	der	DET	ART					S		Nom	M
17001002	15	in	ADP	APPR								
17001002	16	der	DET	ART					S		Nom	M
17001002	17	Burg	NOUN	NN					S		Nom	F
17001002	18	Susan	PROPN	NE					S		Nom	F
17001002	19	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
17001003	1	in	ADP	APPRART					S		Dat	N
17001003	2	dritter	ADJ	ADJA	Pos				S		Acc	M
17001003	3	Jahr	NOUN	NN					P		Nom	N
17001003	4	sein	DET	PPOSAT					S		Dat	F
17001003	5	Regierung	NOUN	NN					S		Nom	F
17001003	6	da	ADV	ADV								
17001003	7	machen	VERB	VVFIN		Fin	Past	3	S	Ind		
17001003	8	er	PRON	PPER				3	S		Nom	M
17001003	9	ein	DET	ART					S		Nom	N
17001003	10	Gastmahl	NOUN	NN					S		Nom	N
17001003	11	aller	DET	PIS					P		Dat	
17001003	12	sein	DET	PPOSAT					S		Acc	M
17001003	13	Fürst	NOUN	NN					P		Nom	M
17001003	14	und	CCONJ	KON								
17001003	15	knechte	NOUN	NN					P		Nom	M
17001003	16	indem	SCONJ	KOUS								
17001003	17	der	DET	ART					S		Nom	F
17001003	18	mächtige	NOUN	NN					P		Dat	
17001003	19	von	ADP	APPR								
17001003	20	Persien	PROPN	NE					S		Nom	N
17001003	21	und	CCONJ	KON								
17001003	22	Medium	NOUN	NN					P		Nom	N
17001003	23	der	DET	ART					S		Nom	F
17001003	24	Vornehmen	NOUN	NN					P		Nom	N
17001003	25	und	CCONJ	KON								
17001003	26	Fürst	NOUN	NN					P		Nom	M
17001003	27	der	DET	ART					S		Nom	M
17001003	28	Landschaft	NOUN	NN					P		Nom	F
17001003	29	vor	ADP	APPR								
17001003	30	ihm	PRON	PPER				3	S		Dat	M
17001003	31	sein	AUX	VAFIN		Fin	Past	3	P	Ind		
17001004	1	als	ADP	KOKOM								
17001004	2	er	PRON	PPER				3	S		Nom	M
17001004	3	der	DET	ART					S		Acc	M
17001004	4	herrlich	ADJ	ADJA	Pos				S		Acc	M
17001004	5	Reichtum	NOUN	NN					S		Nom	M
17001004	6	sein	DET	PPOSAT					S		Gen	M
17001004	7	Königreich	NOUN	NN					S		Nom	N
17001004	8	und	CCONJ	KON								
17001004	9	der	DET	ART					S		Nom	F
17001004	10	glänzend	ADJ	ADJA	Pos				S		Nom	F
17001004	11	Pracht	NOUN	NN					S		Nom	F
17001004	12	sein	DET	PPOSAT					S		Dat	F
17001004	13	Größe	NOUN	NN					S		Nom	F
17001004	14	vieler	PRON	PIS					P		Nom	
17001004	15	Tag	NOUN	NN					P		Nom	M
17001004	16	lang	ADV	ADJD	Pos							
17001004	17	180	NUM	CARD								
17001004	18	Tag	NOUN	NN					P		Nom	M
17001004	19	sehen	VERB	VVINF		Fin	Pres	3	P	Ind		
17001004	20	lassen	VERB	VVFIN		Fin	Past	3	S	Ind		
17001005	1	und	CCONJ	KON								
17001005	2	als	ADP	KOKOM								
17001005	3	dieser	DET	PDAT					S		Nom	F
17001005	4	Tag	NOUN	NN					P		Nom	M
17001005	5	erfüllen	VERB	VVPP		Part						
17001005	6	sein	AUX	VAFIN		Fin	Past	3	P	Ind		
17001005	7	machen	VERB	VVFIN		Fin	Past	3	S	Ind		
17001005	8	der	DET	ART					S		Nom	M
