HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
18001001	1	es	PRON	PPER				3	S		Nom	N
18001001	2	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
18001001	3	Mann	NOUN	NN					S		Nom	M
18001001	4	in	ADP	APPRART					S		Dat	N
18001001	5	Land	NOUN	NN					P		Nom	N
18001001	6	Uz	PROPN	NE					S		Nom	
18001001	7	sein	AUX	VAINF		Inf						
18001001	8	Name	NOUN	NN					S		Nom	M
18001001	9	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
18001001	10	Hiob	PROPN	NE					S		Nom	
18001001	11	und	CCONJ	KON								
18001001	12	selbig	PRON	ADJA					S		Nom	M
18001001	13	Mann	NOUN	NN					S		Nom	M
18001001	14	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
18001001	15	vollkommen	ADV	ADJD	Pos							
18001001	16	und	CCONJ	KON								
18001001	17	Rechtschaffen	VERB	NN		Fin	Pres	3	P	Ind		
18001001	18	und	CCONJ	KON								
18001001	19	gottesfürchtig	ADV	ADJD	Pos							
18001001	20	und	CCONJ	KON								
18001001	21	der	DET	ART					S		Nom	N
18001001	22	böse	ADV	ADV								
18001001	23	Meidend	ADV	ADJD	Pos							
18001002	1	und	CCONJ	KON								
18001002	2	es	PRON	PPER				3	S		Nom	N
18001002	3	werden	AUX	VAFIN		Fin	Past	3	P	Ind		
18001002	4	ihm	PRON	PPER				3	S		Dat	M
18001002	5	sieben	NUM	CARD								
18001002	6	Sohn	NOUN	NN					P		Nom	M
18001002	7	und	CCONJ	KON								
18001002	8	drei	NUM	CARD								
18001002	9	Tochter	NOUN	NN					P		Nom	F
18001002	10	gebären	VERB	VVPP		Part						
18001003	1	und	CCONJ	KON								
18001003	2	sein	AUX	VAINF		Inf						
18001003	3	Besitztum	NOUN	NN					S		Nom	N
18001003	4	bestehen	VERB	VVFIN		Fin	Past	3	S	Ind		
18001003	5	in	ADP	APPR								
18001003	6	siebentausend	NUM	CARD								
18001003	7	Schaf	NOUN	NN					P		Dat	M
18001003	8	und	CCONJ	KON								
18001003	9	dreitausend	NUM	CARD								
18001003	10	Kamele	NOUN	NN					P		Dat	M
18001003	11	und	CCONJ	KON								
18001003	12	fünfhundert	NUM	CARD								
18001003	13	Joch	NOUN	NN					S		Nom	N
18001003	14	Rind	NOUN	NN					P		Dat	N
18001003	15	und	CCONJ	KON								
18001003	16	fünfhundert	NUM	CARD								
