HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
19001001	1	glückselig	ADV	ADJD	Pos							
19001001	2	der	DET	ART					S		Nom	M
19001001	3	Mann	NOUN	NN					S		Nom	M
19001001	4	der	DET	ART					S		Nom	M
19001001	5	nicht	PART	PTKNEG								
19001001	6	wandeln	VERB	VVFIN		Fin	Pres	3	S	Ind		
19001001	7	in	ADP	APPRART					S		Dat	N
19001001	8	Rate	NOUN	NN					S		Nom	F
19001001	9	der	DET	ART					S		Nom	M
19001001	10	Gottlosen	NOUN	NN					S		Acc	M
19001001	11	und	CCONJ	KON								
19001001	12	nicht	PART	PTKNEG								
19001001	13	stehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
19001001	14	auf	ADP	PTKVZ								
19001001	15	der	DET	ART					S		Dat	M
19001001	16	Weg	NOUN	NN					P		Acc	M
19001001	17	der	DET	ART					S		Nom	M
19001001	18	Sünder	NOUN	NN					P		Nom	M
19001001	19	und	CCONJ	KON								
19001001	20	nicht	PART	PTKNEG								
19001001	21	sitzen	VERB	VVFIN		Fin	Pres	3	S	Ind		
19001001	22	auf	ADP	PTKVZ								
19001001	23	der	DET	ART					S		Dat	M
19001001	24	Sitz	NOUN	NN					P		Nom	M
19001001	25	der	DET	ART					S		Nom	M
19001001	26	Spötter	NOUN	NN					P		Nom	M
19001002	1	sondern	CCONJ	KON								
19001002	2	sein	DET	PPOSAT					S		Nom	F
19001002	3	Lust	NOUN	NN					S		Nom	F
19001002	4	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
19001002	5	an	ADP	APPRART					S		Dat	M
19001002	6	Gesetz	NOUN	NN					S		Nom	N
19001002	7	Jahwe	PROPN	NE					S		Gen	
19001002	8	und	CCONJ	KON								
19001002	9	über	ADP	APPR								
19001002	10	sein	AUX	VAINF		Inf						
19001002	11	Gesetz	NOUN	NN					S		Nom	N
19001002	12	sinnen	VERB	VVFIN		Fin	Pres	3	S	Ind		
19001002	13	Tag	NOUN	NN					S		Nom	M
19001002	14	und	CCONJ	KON								
19001002	15	Nacht	NOUN	NN					S		Nom	F
19001003	1	und	CCONJ	KON								
19001003	2	er	PRON	PPER				3	S		Nom	M
19001003	3	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
19001003	4	wie	ADP	KOKOM								
19001003	5	ein	DET	ART					S		Nom	N
19001003	6	Baum	NOUN	NN					S		Nom	M
19001003	7	pflanzen	VERB	VVPP		Part						
19001003	8	an	ADP	PTKVZ								
19001003	9	Wasserbäche	NOUN	NN					P		Nom	F
19001003	10	der	DET	ART					S		Nom	M
19001003	11	sein	DET	PPOSAT					S		Nom	F
19001003	12	Frucht	NOUN	NN					S		Nom	F
19001003	13	bringen	VERB	VVFIN		Fin	Pres	3	S	Ind		
19001003	14	zu	ADP	PTKVZ								
19001003	15	sein	DET	PPOSAT					S		Dat	F
19001003	16	Zeit	NOUN	NN					S		Nom	F
19001003	17	und	CCONJ	KON								
19001003	18	der	PRON	PDS					S		Gen	
19001003	19	Blatt	NOUN	NN					S		Nom	N
19001003	20	nicht	PART	PTKNEG								
19001003	21	verwelkn	VERB	VVPP		Fin	Pres	3	S	Ind		
19001003	22	und	CCONJ	KON								
19001003	23	alle	PRON	PIS					S		Nom	N
19001003	24	was	PRON	PWS					S		Nom	N
19001003	25	er	PRON	PPER				3	S		Nom	M
19001003	26	tun	VERB	VVFIN		Fin	Pres	3	S	Ind		
19001003	27	gelingen	VERB	VVFIN		Fin	Pres	3	S	Ind		
19001004	1	nicht	PART	PTKNEG								
19001004	2	so	ADV	ADV								
19001004	3	der	DET	ART					S		Nom	F
19001004	4	Gesetzlose	NOUN	NN					P		Dat	
19001004	5	sondern	CCONJ	KON								
19001004	6	sie	PRON	PPER				3	P		Nom	
19001004	7	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
19001004	8	wie	ADP	KOKOM								
19001004	9	der	DET	ART					S		Nom	F
19001004	10	Spreu	NOUN	NN					S		Nom	F
19001004	11	der	DET	ART					S		Nom	F
19001004	12	der	DET	ART					S		Nom	M
19001004	13	Wind	NOUN	NN					S		Nom	M
19001004	14	dahintreibt	VERB	NE		Fin	Pres	3	S	Ind		
19001005	1	darum	ADV	PROAV								
