HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
2001001	1	und	CCONJ	KON								
2001001	2	dieser	PRON	PDS					S		Nom	N
2001001	3	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
2001001	4	der	DET	ART					S		Nom	F
2001001	5	Name	NOUN	NN					P		Nom	M
2001001	6	der	DET	ART					S		Nom	M
2001001	7	Sohn	NOUN	NN					P		Nom	M
2001001	8	Israel	PROPN	NE					S		Gen	N
2001001	9	der	DET	ART					S		Nom	F
2001001	10	nach	ADP	APPR								
2001001	11	Ägypten	PROPN	NE					S		Nom	N
2001001	12	kommen	VERB	VVFIN		Fin	Past	3	P	Ind		
2001001	13	mit	ADP	APPR								
2001001	14	Jakob	PROPN	NE					S		Nom	M
2001001	15	kommen	VERB	VVFIN		Fin	Past	3	P	Ind		
2001001	16	sie	PRON	PPER				3	P		Nom	
2001001	17	ein	DET	ART					S		Nom	N
2001001	18	jeder	PRON	PIS					S		Nom	M
2001001	19	mit	ADP	APPR								
2001001	20	sein	DET	PPOSAT					S		Dat	M
2001001	21	Haus	NOUN	NN					P		Nom	N
2001002	1	Ruben	PROPN	NE					S		Nom	M
2001002	2	Simeon	PROPN	NE					S		Nom	M
2001002	3	Levi	PROPN	NE					S		Nom	
2001002	4	und	CCONJ	KON								
2001002	5	Juda	PROPN	NE					S		Nom	M
2001003	1	Issaschar	PROPN	NE					S		Nom	
2001003	2	Sebulon	PROPN	NE					S		Nom	M
2001003	3	und	CCONJ	KON								
2001003	4	Benjamin	PROPN	NE					S		Nom	M
2001004	1	Dan	PROPN	NE					S		Nom	M
2001004	2	und	CCONJ	KON								
2001004	3	Naphtali	PROPN	NE					S		Nom	
2001004	4	Gad	PROPN	NE					S		Nom	M
2001004	5	und	CCONJ	KON								
2001004	6	Aser	PROPN	NE					S		Nom	
2001005	1	und	CCONJ	KON								
2001005	2	es	PRON	PPER				3	S		Nom	N
