HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
20001001	1	Spruch	NOUN	NN					P		Nom	M
20001001	2	Salomos	PROPN	NE					S		Nom	
20001001	3	der	DET	ART					S		Gen	M
20001001	4	Sohn	PROPN	NE					S		Gen	M
20001001	5	David	PROPN	NE					S		Gen	M
20001001	6	der	DET	ART					S		Gen	M
20001001	7	König	PROPN	NE					S		Nom	
20001001	8	von	ADP	APPR								
20001001	9	Israel	PROPN	NE					S		Nom	N
20001002	1	um	ADP	APPR								
20001002	2	Weisheit	NOUN	NN					S		Nom	F
20001002	3	und	CCONJ	KON								
20001002	4	Unterweisung	NOUN	NN					S		Nom	F
20001002	5	zu	ADP	PTKVZ								
20001002	6	kennen	VERB	VVINF		Fin	Pres	3	P	Ind		
20001002	7	um	ADP	APPR								
20001002	8	Wort	NOUN	NN					P		Nom	N
20001002	9	der	DET	ART					S		Gen	M
20001002	10	Verstand	NOUN	NN					S		Gen	M
20001002	11	zu	ADP	PTKVZ								
20001002	12	verstehen	VERB	VVINF		Inf						
20001003	1	um	ADP	APPR								
20001003	2	zu	ADP	PTKVZ								
20001003	3	empfangen	VERB	VVPP		Part						
20001003	4	Einsichtsvolle	PROPN	NE					S		Nom	
20001003	5	Unterweisung	NOUN	NN					S		Nom	F
20001003	6	Gerechtigkeit	NOUN	NN					S		Nom	F
20001003	7	und	CCONJ	KON								
20001003	8	Recht	NOUN	NN					S		Nom	N
20001003	9	und	CCONJ	KON								
20001003	10	Geradheit	NOUN	NN					S		Nom	F
20001004	1	um	ADP	APPR								
20001004	2	einfältigen	NOUN	NN					P		Nom	
20001004	3	Klugheit	NOUN	NN					S		Nom	F
20001004	4	zu	ADP	PTKVZ								
20001004	5	geben	VERB	VVINF		Inf						
20001004	6	der	DET	ART					S		Dat	M
20001004	7	Jüngling	NOUN	NN					S		Nom	M
20001004	8	Erkenntnis	NOUN	NN					S		Nom	F
20001004	9	und	CCONJ	KON								
20001004	10	Besonnenheit	NOUN	NN					S		Nom	F
20001005	1	der	DET	ART					S		Nom	M
20001005	2	Weise	NOUN	NN					S		Nom	F
