HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
21001001	1	Wort	NOUN	NN					P		Nom	N
21001001	2	der	DET	ART					S		Gen	M
21001001	3	Prediger	NOUN	NN					S		Gen	M
21001001	4	der	DET	ART					S		Gen	M
21001001	5	Sohn	PROPN	NE					S		Gen	M
21001001	6	David	PROPN	NE					S		Gen	M
21001001	7	der	DET	ART					S		Gen	M
21001001	8	König	PROPN	NE					S		Nom	
21001001	9	in	ADP	APPR								
21001001	10	Jerusalem	PROPN	NE					S		Nom	N
21001002	1	Eitelkeit	NOUN	NN					S		Nom	F
21001002	2	der	DET	ART					S		Nom	M
21001002	3	Eitelkeit	NOUN	NN					P		Nom	F
21001002	4	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001002	5	der	DET	ART					S		Nom	M
21001002	6	Prediger	NOUN	NN					S		Nom	M
21001002	7	Eitelkeit	NOUN	NN					S		Nom	F
21001002	8	der	DET	ART					S		Nom	M
21001002	9	Eitelkeit	NOUN	NN					P		Nom	F
21001002	10	alle	PRON	PIS					S		Nom	N
21001002	11	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
21001002	12	Eitelkeit	NOUN	NN					S		Nom	F
21001003	1	welchen	PRON	PWAT					P		Dat	
21001003	2	Gewinn	NOUN	NN					S		Nom	M
21001003	3	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
21001003	4	der	DET	ART					S		Nom	M
21001003	5	Mensch	NOUN	NN					S		Nom	M
21001003	6	bei	ADP	APPR								
21001003	7	all	DET	PIAT								
21001003	8	sein	DET	PPOSAT					S		Dat	F
21001003	9	Mühe	NOUN	NN					S		Nom	F
21001003	10	womit	SCONJ	PWAV								
21001003	11	er	PRON	PPER				3	S		Nom	M
21001003	12	sich	PRON	PRF				3	S		Acc	
21001003	13	abmühen	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001003	14	unter	ADP	APPR								
21001003	15	der	DET	ART					S		Nom	M
21001003	16	Sonne	NOUN	NN					S		Nom	F
21001004	1	ein	DET	ART					S		Nom	M
21001004	2	Geschlecht	NOUN	NN					S		Nom	N
21001004	3	gehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001004	4	und	CCONJ	KON								
21001004	5	ein	DET	ART					S		Nom	N
21001004	6	Geschlecht	NOUN	NN					S		Nom	N
21001004	7	kommen	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001004	8	aber	CCONJ	KON								
21001004	9	der	DET	ART					S		Nom	F
21001004	10	Erde	NOUN	NN					S		Nom	F
21001004	11	bestehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001004	12	ewiglich	ADV	ADJD	Pos							
21001005	1	und	CCONJ	KON								
21001005	2	der	DET	ART					S		Nom	F
21001005	3	Sonne	NOUN	NN					S		Nom	F
21001005	4	gehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001005	5	auf	ADP	PTKVZ								
21001005	6	und	CCONJ	KON								
21001005	7	der	DET	ART					S		Nom	F
21001005	8	Sonne	NOUN	NN					S		Nom	F
21001005	9	gehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001005	10	unter	ADP	APPR								
21001005	11	und	CCONJ	KON								
21001005	12	sie	PRON	PPER				3	P		Nom	
21001005	13	eilen	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001005	14	ihr	DET	PPOSAT					S		Dat	N
21001005	15	Ort	NOUN	NN					P		Nom	M
21001005	16	zu	ADP	PTKVZ								
21001005	17	wo	SCONJ	PWAV								
21001005	18	sie	PRON	PPER				3	P		Nom	
21001005	19	aufgehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001006	1	der	DET	ART					S		Nom	M
21001006	2	Wind	NOUN	NN					S		Nom	M
21001006	3	gehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001006	4	nach	ADP	APPR								
21001006	5	Süden	NOUN	NN					S		Nom	M
21001006	6	und	CCONJ	KON								
21001006	7	wenden	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001006	8	sich	PRON	PRF				3	S		Acc	
21001006	9	nach	ADP	APPR								
21001006	10	Norden	NOUN	NN					S		Nom	M
21001006	11	sich	PRON	PRF				3	S		Acc	
21001006	12	wendend	ADV	ADJD	Pos							
21001006	13	und	CCONJ	KON								
21001006	14	wendend	ADV	ADJD	Pos							
21001006	15	gehen	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001006	16	er	PRON	PPER				3	S		Nom	M
21001006	17	und	CCONJ	KON								
21001006	18	zu	ADP	PTKVZ								
21001006	19	sein	DET	PPOSAT					S		Acc	M
21001006	20	Wendung	NOUN	NN					P		Nom	F
21001006	21	kehren	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001006	22	der	DET	ART					S		Nom	M
21001006	23	Wind	NOUN	NN					S		Nom	M
21001006	24	zurück	ADV	PTKVZ								
21001007	1	alle	PRON	PIS					P		Nom	
21001007	2	Fluß	NOUN	NN					P		Nom	M
21001007	3	gehen	VERB	VVINF		Inf						
21001007	4	in	ADP	APPR								
21001007	5	der	DET	ART					S		Nom	N
21001007	6	Meer	NOUN	NN					S		Nom	N
21001007	7	und	CCONJ	KON								
21001007	8	der	DET	ART					S		Nom	N
21001007	9	Meer	NOUN	NN					S		Nom	N
21001007	10	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
21001007	11	nicht	PART	PTKNEG								
21001007	12	voll	ADV	ADJD	Pos							
21001007	13	an	ADP	PTKVZ								
21001007	14	der	DET	ART					S		Acc	M
21001007	15	Ort	NOUN	NN					S		Nom	M
21001007	16	wohin	ADV	PWAV								
21001007	17	der	DET	ART					S		Nom	F
21001007	18	Fluß	NOUN	NN					P		Nom	M
21001007	19	gehen	VERB	VVINF		Inf						
21001007	20	dorthin	ADV	PROAV								
21001007	21	gehen	VERB	VVINF		Inf						
21001007	22	sie	PRON	PPER				3	P		Nom	
21001007	23	immer	ADV	ADV								
21001007	24	wieder	ADV	ADV								
21001008	1	alle	PRON	PIS					P		Nom	
21001008	2	Ding	NOUN	NN					P		Nom	N
21001008	3	mühen	VERB	VVFIN		Fin	Pres	3	P	Ind		
21001008	4	sich	PRON	PRF				3	S		Acc	
21001008	5	ab	ADP	PTKVZ								
21001008	6	niemand	PRON	PIS					S		Nom	M
21001008	7	vermögen	VERB	VVFIN		Fin	Pres	3	S	Ind		
21001008	8	es	PRON	PPER				3	S		Nom	N
21001008	9	aussprechen	VERB	VVIZU		Inf						
21001008	10	der	DET	ART					S		Nom	N
21001008	11	Auge	NOUN	NN					S		Nom	N
21001008	12	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
21001008	13	der	DET	ART					S		Gen	M
21001008	14	sehen	PROPN	NE					S		Gen	N
21001008	15	nicht	PART	PTKNEG								
21001008	16	satt	ADV	ADJD	Pos							
21001008	17	und	CCONJ	KON								
21001008	18	der	DET	ART					S		Nom	N
21001008	19	Ohr	NOUN	NN					S		Nom	N
21001008	20	nicht	PART	PTKNEG								
21001008	21	voll	ADV	ADJD	Pos							
21001008	22	von	ADP	APPRART					S		Dat	N
21001008	23	hören	NOUN	NN					S		Nom	N
21001009	1	der	DET	ART					S		Nom	N
21001009	2	was	PRON	PWS					S		Nom	N
21001009	3	sein	AUX	VAPP		Part						
21001009	4	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
21001009	5	der	DET	ART					S		Nom	N
21001009	6	was	PRON	PWS					S		Nom	N
21001009	7	sein	AUX	VAINF		Inf						
21001009	8	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
21001009	9	und	CCONJ	KON								
21001009	10	der	DET	ART					S		Nom	N
21001009	11	was	PRON	PWS					S		Nom	N
21001009	12	geschehen	VERB	VVPP		Part						
21001009	13	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
21001009	14	der	DET	ART					S		Nom	N
21001009	15	was	PRON	PWS					S		Nom	N
