HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
22001001	1	der	DET	ART					S		Nom	N
22001001	2	Lied	NOUN	NN					S		Nom	N
22001001	3	der	DET	ART					S		Nom	M
22001001	4	Lied	NOUN	NN					P		Nom	N
22001001	5	von	ADP	APPR								
22001001	6	Salomo	PROPN	NE					S		Nom	M
22001002	1	er	PRON	PPER				3	S		Nom	M
22001002	2	küsse	NOUN	NN					P		Nom	M
22001002	3	mich	PRON	PPER				1	S		Acc	
22001002	4	mit	ADP	APPR								
22001002	5	der	DET	ART					S		Acc	M
22001002	6	Küssen	NOUN	NN					S		Nom	N
22001002	7	sein	DET	PPOSAT					S		Gen	M
22001002	8	Munde	PROPN	NE					S		Gen	
22001002	9	denn	CCONJ	KON								
22001002	10	dein	DET	PPOSAT					S		Nom	F
22001002	11	Liebe	NOUN	NN					S		Nom	F
22001002	12	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
22001002	13	gut	ADV	ADJD	Cmp							
22001002	14	als	ADP	KOKOM								
22001002	15	Wein	NOUN	NN					S		Nom	M
22001003	1	lieblich	ADV	ADJD	Pos							
22001003	2	an	ADP	PTKVZ								
22001003	3	Geruch	NOUN	NN					S		Nom	M
22001003	4	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
22001003	5	dein	DET	PPOSAT					S		Nom	F
22001003	6	Salbe	NOUN	NN					P		Nom	F
22001003	7	ein	DET	ART					S		Nom	N
22001003	8	ausgegossenes	ADJ	NE	Pos				S		Nom	N
22001003	9	Salböl	NOUN	NN					S		Nom	N
22001003	10	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
22001003	11	dein	DET	PPER					S		Nom	N
22001003	12	Name	NOUN	NN					S		Nom	M
22001003	13	darum	ADV	PROAV								
22001003	14	lieben	VERB	VVFIN		Fin	Pres	3	P	Ind		
22001003	15	dich	PRON	PPER				2	S		Acc	
22001003	16	der	DET	ART					S		Nom	F
22001003	17	Jungfraue	NOUN	NN					P		Nom	F
22001004	1	Ziehe	VERB	VVIMP				2	S	Imp		
22001004	2	mich	PRON	PPER				1	S		Acc	
22001004	3	wir	PRON	PPER				1	P		Nom	
22001004	4	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
22001004	5	dir	PRON	PPER				2	S		Dat	
22001004	6	nachlaufen	VERB	VVFIN		Fin	Pres	3	P	Ind		
22001004	7	der	DET	ART					S		Nom	M
22001004	8	König	NOUN	NN					S		Nom	M
22001004	9	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
22001004	10	mich	PRON	PPER				1	S		Acc	
22001004	11	in	ADP	APPR								
22001004	12	sein	DET	PPOSAT					S		Nom	F
22001004	13	Gemächer	NOUN	NN					P		Nom	N
22001004	14	führen	VERB	VVPP		Part						
22001004	15	wir	PRON	PPER				1	P		Nom	
22001004	16	wollen	AUX	VMFIN		Fin	Pres	3	P	Ind		
22001004	17	frohlocken	VERB	VVFIN		Fin	Pres	3	P	Ind		
22001004	18	und	CCONJ	KON								
22001004	19	dein	DET	PPOSAT					S		Dat	F
22001004	20	uns	PRON	PPER				1	P		Acc	
22001004	21	freuen	VERB	VVINF		Inf						
22001004	22	wollen	AUX	VMFIN		Fin	Pres	3	P	Ind		
22001004	23	dein	DET	PPOSAT					S		Nom	F
22001004	24	Liebe	NOUN	NN					S		Nom	F
22001004	25	preisen	VERB	VVFIN		Fin	Pres	3	P	Ind		
22001004	26	mehr	ADV	ADV								
22001004	27	als	ADP	KOKOM								
22001004	28	Wein	NOUN	NN					S		Nom	M
22001004	29	sie	PRON	PPER				3	P		Nom	
22001004	30	lieben	VERB	VVFIN		Fin	Pres	3	P	Ind		
22001004	31	dich	PRON	PPER				2	S		Acc	
22001004	32	in	ADP	APPR								
22001004	33	Aufrichtigkeit	NOUN	NN					S		Nom	F
22001005	1	ich	PRON	PPER				1	S		Nom	
22001005	2	sein	AUX	VAFIN		Fin	Pres	1	S	Ind		
22001005	3	Schwarz	ADV	ADJD	Pos							
22001005	4	aber	CCONJ	KON								
22001005	5	anmutig	ADV	ADJD	Pos							
22001005	6	Tochter	NOUN	NN					P		Nom	F
22001005	7	Jerusalem	PROPN	NE					S		Gen	N
22001005	8	wie	ADP	KOKOM								
22001005	9	der	DET	ART					S		Nom	F
22001005	10	Zelt	NOUN	NN					P		Nom	N
22001005	11	Kedar	PROPN	NE					S		Gen	
22001005	12	wie	ADP	KOKOM								
22001005	13	der	DET	ART					S		Nom	F
22001005	14	Zeltbehang	NOUN	NN					P		Nom	M
22001005	15	Salomos	PROPN	NE					S		Nom	
22001006	1	sehet	VERB	VVIMP		Fin	Pres	3	S	Ind		
22001006	2	mich	PRON	PPER				1	S		Acc	
