HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
23001001	1	der	DET	ART					S		Nom	N
23001001	2	Gesicht	NOUN	NN					S		Nom	N
23001001	3	Jesajas	PROPN	NE					S		Nom	
23001001	4	der	DET	ART					S		Gen	M
23001001	5	Sohn	PROPN	NE					S		Gen	M
23001001	6	Amoz	PROPN	NE					S		Nom	
23001001	7	welcher	DET	PWAT					S		Acc	N
23001001	8	er	PRON	PPER				3	S		Nom	M
23001001	9	über	ADP	APPR								
23001001	10	Juda	PROPN	NE					S		Nom	M
23001001	11	und	CCONJ	KON								
23001001	12	Jerusalem	PROPN	NE					S		Nom	N
23001001	13	schauen	VERB	VVPP		Part						
23001001	14	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
23001001	15	in	ADP	APPR								
23001001	16	der	DET	ART					S		Acc	M
23001001	17	Tag	NOUN	NN					P		Dat	M
23001001	18	Ussijas	PROPN	NE					S		Nom	
23001001	19	Jotham	PROPN	NE					S		Gen	
23001001	20	Aha	PROPN	NE					S		Nom	M
23001001	21	Jehiskia	PROPN	NE					S		Gen	
23001001	22	der	DET	ART					S		Nom	M
23001001	23	König	NOUN	NN					P		Nom	M
23001001	24	von	ADP	APPR								
23001001	25	Juda	PROPN	NE					S		Nom	M
23001002	1	höret	NOUN	NN					S		Nom	N
23001002	2	ihr	PRON	PPOSAT				3	S		Dat	F
23001002	3	Himmel	NOUN	NN					S		Nom	M
23001002	4	und	CCONJ	KON								
23001002	5	horchen	VERB	VVFIN		Fin	Pres	3	S	Sub		
23001002	6	auf	ADP	PTKVZ								
23001002	7	du	PRON	PPER				2	S		Nom	
23001002	8	Erde	NOUN	NN					S		Nom	F
23001002	9	denn	CCONJ	KON								
23001002	10	Jahwe	NOUN	NN					S		Nom	M
23001002	11	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
23001002	12	reden	VERB	VVPP		Part						
23001002	13	ich	PRON	PPER				1	S		Nom	
23001002	14	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
23001002	15	Kind	NOUN	NN					P		Nom	N
23001002	16	großziehen	VERB	VVPP		Part						
23001002	17	und	CCONJ	KON								
23001002	18	auferzogen	VERB	VVIZU		Inf						
23001002	19	und	CCONJ	KON								
23001002	20	sie	PRON	PPER				3	P		Nom	
23001002	21	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
23001002	22	von	ADP	APPR								
23001002	23	mir	PRON	PPER				1	S		Dat	
23001002	24	abgefallen	VERB	VVPP		Part						
23001003	1	ein	DET	ART					S		Nom	M
23001003	2	Ochse	NOUN	NN					S		Nom	M
23001003	3	kennen	VERB	VVFIN		Fin	Pres	3	S	Ind		
23001003	4	sein	DET	PPOSAT					S		Acc	M
23001003	5	Besitzer	NOUN	NN					S		Nom	M
23001003	6	und	CCONJ	KON								
23001003	7	ein	DET	ART					S		Nom	N
23001003	8	Esel	NOUN	NN					S		Nom	M
23001003	9	der	DET	ART					S		Nom	F
23001003	10	Krippe	NOUN	NN					S		Nom	F
23001003	11	sein	DET	PPOSAT					S		Gen	M
23001003	12	Herr	NOUN	NN					S		Acc	M
23001003	13	Israel	PROPN	NE					S		Nom	N
23001003	14	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
23001003	15	kein	DET	PIAT					S		Nom	F
23001003	16	Erkenntnis	NOUN	NN					S		Nom	F
23001003	17	mein	DET	PPOSAT					S		Nom	N
23001003	18	Volk	NOUN	NN					S		Nom	N
23001003	19	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
23001003	20	kein	DET	PIAT					S		Nom	N
23001003	21	Verständnis	NOUN	NN					S		Nom	N
23001004	1	Wehe	NOUN	NN					S		Nom	F
23001004	2	der	DET	ART					S		Nom	M
23001004	3	sündig	VERB	VVINF		Fin	Pres	3	P	Ind		
23001004	4	Nation	NOUN	NN					S		Nom	F
23001004	5	der	DET	ART					S		Dat	M
23001004	6	Volke	NOUN	NN					S		Nom	M
23001004	7	belasten	VERB	VVPP		Part						
23001004	8	mit	ADP	APPR								
23001004	9	Ungerechtigkeit	NOUN	NN					S		Nom	F
23001004	10	der	DET	ART					S		Dat	M
23001004	11	Same	NOUN	NN					P		Nom	M
23001004	12	der	DET	ART					S		Nom	M
23001004	13	Übeltäter	NOUN	NN					P		Nom	M
23001004	14	der	DET	ART					S		Acc	M
23001004	15	verderben	VERB	VVPP		Part						
23001004	16	handelnd	ADJ	ADJA	Pos				S		Acc	M
23001004	17	Kind	NOUN	NN					P		Dat	N
23001004	18	sie	PRON	PPER				3	P		Nom	
23001004	19	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
23001004	20	Jahwe	NOUN	NN					S		Nom	M
23001004	21	verlassen	VERB	VVINF		Inf						
23001004	22	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
23001004	23	der	DET	ART					S		Acc	M
23001004	24	heilig	NOUN	NN					P		Dat	
23001004	25	Israel	PROPN	NE					S		Gen	N
23001004	26	verschmähen	VERB	VVFIN		Fin	Pres	3	S	Ind		
23001004	27	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
