HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
24001001	1	Wort	NOUN	NN					P		Nom	N
24001001	2	Jeremias	PROPN	NE					S		Nom	M
24001001	3	der	DET	ART					S		Gen	M
24001001	4	Sohn	PROPN	NE					S		Gen	M
24001001	5	Hilkijas	NOUN	NN					S		Nom	F
24001001	6	von	ADP	APPR								
24001001	7	der	DET	ART					S		Acc	M
24001001	8	Priester	NOUN	NN					P		Dat	M
24001001	9	der	DET	ART					S		Nom	F
24001001	10	zu	ADP	PTKVZ								
24001001	11	Anathoth	PROPN	NE					S		Nom	F
24001001	12	sein	AUX	VAFIN		Fin	Past	3	P	Ind		
24001001	13	in	ADP	APPRART					S		Dat	N
24001001	14	Land	NOUN	NN					P		Nom	N
24001001	15	Benjamin	PROPN	NE					S		Nom	M
24001002	1	zu	ADP	PTKVZ								
24001002	2	welcher	DET	PWAT					S		Dat	N
24001002	3	der	DET	ART					S		Nom	N
24001002	4	Wort	NOUN	NN					S		Nom	N
24001002	5	Jahwe	PROPN	NE					S		Gen	
24001002	6	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
24001002	7	in	ADP	APPR								
24001002	8	der	DET	ART					S		Acc	M
24001002	9	Tag	NOUN	NN					P		Dat	M
24001002	10	Josia	PROPN	NE					S		Gen	M
24001002	11	der	DET	ART					S		Gen	M
24001002	12	Sohn	PROPN	NE					S		Gen	M
24001002	13	Amon	PRON	NE					S		Nom	N
24001002	14	der	DET	ART					S		Gen	M
24001002	15	König	PROPN	NE					S		Nom	
24001002	16	von	ADP	APPR								
24001002	17	Juda	PROPN	NE					S		Nom	M
24001002	18	in	ADP	APPRART					S		Dat	N
24001002	19	dreizehnter	ADJ	ADJA	Pos				S		Acc	M
24001002	20	Jahr	NOUN	NN					P		Nom	N
24001002	21	sein	DET	PPOSAT					S		Dat	F
24001002	22	Regierung	NOUN	NN					S		Nom	F
24001003	1	und	CCONJ	KON								
24001003	2	es	PRON	PPER				3	S		Nom	N
24001003	3	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
24001003	4	auch	ADV	ADV								
24001003	5	in	ADP	APPR								
24001003	6	der	DET	ART					S		Acc	M
24001003	7	Tag	NOUN	NN					P		Dat	M
24001003	8	Jojakim	PROPN	NE					S		Gen	
24001003	9	der	DET	ART					S		Gen	M
24001003	10	Sohn	PROPN	NE					S		Gen	M
24001003	11	Josia	PROPN	NE					S		Gen	M
24001003	12	der	DET	ART					S		Gen	M
24001003	13	König	PROPN	NE					S		Nom	
24001003	14	von	ADP	APPR								
24001003	15	Juda	PROPN	NE					S		Nom	M
24001003	16	bis	CCONJ	KON								
24001003	17	zu	ADP	APPRART					S		Dat	N
24001003	18	Ende	NOUN	NN					S		Nom	N
24001003	19	der	DET	ART					S		Gen	M
24001003	20	elfter	ADJ	ADJA	Pos				S		Acc	M
24001003	21	Jahr	NOUN	NN					S		Gen	N
24001003	22	Zedekia	PROPN	NE					S		Gen	
24001003	23	der	DET	ART					S		Gen	M
24001003	24	Sohn	PROPN	NE					S		Gen	M
24001003	25	Josia	PROPN	NE					S		Gen	M
24001003	26	der	DET	ART					S		Gen	M
24001003	27	König	PROPN	NE					S		Nom	
24001003	28	von	ADP	APPR								
24001003	29	Juda	PROPN	NE					S		Nom	M
24001003	30	bis	CCONJ	KON								
24001003	31	zu	ADP	APPRART					S		Dat	F
24001003	32	Wegführung	NOUN	NN					S		Nom	F
24001003	33	Jerusalem	PROPN	NE					S		Gen	N
24001003	34	in	ADP	APPRART					S		Dat	N
24001003	35	fünfter	ADJ	ADJA	Pos				S		Acc	M
24001003	36	Monat	NOUN	NN					S		Nom	M
24001004	1	und	CCONJ	KON								
24001004	2	der	DET	ART					S		Nom	N
24001004	3	Wort	NOUN	NN					S		Nom	N
24001004	4	Jahwe	PROPN	NE					S		Gen	
24001004	5	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
24001004	6	zu	ADP	PTKVZ								
24001004	7	mir	PRON	PPER				1	S		Dat	
24001004	8	also	ADV	ADV								
24001005	1	Ehe	NOUN	NN					S		Nom	F
24001005	2	ich	PRON	PPER				1	S		Nom	
24001005	3	dich	PRON	PPER				2	S		Acc	
24001005	4	in	ADP	APPRART					S		Dat	N
24001005	5	Mutterleibe	NOUN	NN					S		Nom	F
24001005	6	bilden	VERB	VVFIN		Fin	Past	3	S	Ind		
24001005	7	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
24001005	8	ich	PRON	PPER				1	S		Nom	
24001005	9	dich	PRON	PPER				2	S		Acc	
24001005	10	erkennen	VERB	VVPP		Part						
24001005	11	und	CCONJ	KON								
24001005	12	--	X	XY								
24001005	13	du	PRON	PPER				2	S		Nom	
24001005	14	aus	ADP	PTKVZ								
24001005	15	der	DET	ART					S		Dat	M
24001005	16	Mutterschoße	VERB	NN				2	S	Imp		
24001005	17	Hervorkamst	PROPN	NE					S		Nom	
24001005	18	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
24001005	19	ich	PRON	PPER				1	S		Nom	
24001005	20	dich	PRON	PPER				2	S		Acc	
24001005	21	heiligen	VERB	VVPP		Part						
24001005	22	zu	ADP	APPRART					S		Dat	N
24001005	23	Prophet	NOUN	NN					P		Nom	M
24001005	24	an	ADP	PTKVZ								
24001005	25	der	DET	ART					S		Nom	F
24001005	26	Nation	NOUN	NN					P		Nom	F
24001005	27	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
24001005	28	ich	PRON	PPER				1	S		Nom	
24001005	29	dich	PRON	PPER				2	S		Acc	
24001005	30	bestellen	VERB	VVPP		Part						
24001006	1	und	CCONJ	KON								
24001006	2	ich	PRON	PPER				1	S		Nom	
24001006	3	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
24001006	4	ach	INTJ	ITJ								
24001006	5	Herr	NOUN	NN					S		Nom	M
24001006	6	Jahwe	NOUN	NN					S		Nom	M
24001006	7	sehen	VERB	VVIMP				2	S	Imp		
24001006	8	ich	PRON	PPER				1	S		Nom	
24001006	9	wissen	VERB	VVFIN		Fin	Pres	3	S	Ind		
24001006	10	nicht	PART	PTKNEG								
24001006	11	zu	ADP	PTKVZ								
24001006	12	reden	VERB	VVINF		Inf						
24001006	13	denn	CCONJ	KON								
24001006	14	ich	PRON	PPER				1	S		Nom	
24001006	15	sein	AUX	VAFIN		Fin	Pres	1	S	Ind		
24001006	16	jung	ADV	ADJD	Pos							
24001007	1	da	SCONJ	KOUS								
24001007	2	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
24001007	3	Jahwe	NOUN	NN					S		Nom	M
24001007	4	zu	ADP	PTKVZ								
24001007	5	mir	PRON	PPER				1	S		Dat	
24001007	6	Sage	NOUN	NN					S		Nom	F
24001007	7	nicht	PART	PTKNEG								
24001007	8	ich	PRON	PPER				1	S		Nom	
24001007	9	sein	AUX	VAFIN		Fin	Pres	1	S	Ind		
24001007	10	jung	ADV	ADJD	Pos							
24001007	11	denn	CCONJ	KON								
24001007	12	zu	ADP	PTKVZ								
24001007	13	aller	DET	PIS					P		Dat	
24001007	14	wohin	ADV	PWAV								
24001007	15	ich	PRON	PPER				1	S		Nom	
24001007	16	dich	PRON	PPER				2	S		Acc	
24001007	17	senden	VERB	VVFIN		Fin	Pres	3	P	Ind		
24001007	18	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
24001007	19	sollst	AUX	VMFIN		Fin	Pres	3	S	Ind		
24001007	20	du	PRON	PPER				2	S		Nom	
24001007	21	gehen	VERB	VVINF		Inf						
24001007	22	und	CCONJ	KON								
24001007	23	alle	PRON	PIS					S		Nom	N
24001007	24	was	PRON	PWS					S		Nom	N
24001007	25	ich	PRON	PPER				1	S		Nom	
24001007	26	dir	PRON	PPER				2	S		Dat	
24001007	27	gebieten	NOUN	NN					S		Nom	N
24001007	28	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
24001007	29	sollst	AUX	VMFIN		Fin	Pres	3	S	Ind		
24001007	30	du	PRON	PPER				2	S		Nom	
24001007	31	reden	VERB	VVINF		Inf						
24001008	1	Fürchte	VERB	NN		Fin	Pres	3	S	Sub		
24001008	2	dich	PRON	PPER				2	S		Acc	
24001008	3	nicht	PART	PTKNEG								
24001008	4	vor	ADP	APPR								
24001008	5	ihnen	PRON	PPER				3	P		Dat	
24001008	6	denn	CCONJ	KON								
24001008	7	ich	PRON	PPER				1	S		Nom	
24001008	8	sein	AUX	VAFIN		Fin	Pres	1	S	Ind		
24001008	9	mit	ADP	APPR								
24001008	10	dir	PRON	PPER				2	S		Dat	
24001008	11	um	ADP	APPR								
24001008	12	dich	PRON	PPER				2	S		Acc	
24001008	13	zu	ADP	PTKVZ								
24001008	14	erretten	VERB	VVINF		Inf						
24001008	15	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
24001008	16	Jahwe	NOUN	NN					S		Nom	M
24001009	1	und	CCONJ	KON								
24001009	2	Jahwe	NOUN	NN					S		Nom	M
24001009	3	strecken	VERB	VVFIN		Fin	Past	3	S	Ind		
24001009	4	sein	DET	PPOSAT					S		Nom	F
24001009	5	Hand	NOUN	NN					S		Nom	F
24001009	6	aus	ADP	PTKVZ								
24001009	7	und	CCONJ	KON								
24001009	8	rühren	VERB	VVFIN		Fin	Past	3	S	Ind		
24001009	9	meinen	VERB	VVFIN		Fin	Pres	3	P	Ind		
24001009	10	Mund	NOUN	NN					S		Nom	M
24001009	11	an	ADP	PTKVZ								
24001009	12	und	CCONJ	KON								
24001009	13	Jahwe	NOUN	NN					S		Nom	M
24001009	14	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
24001009	15	zu	ADP	PTKVZ								
24001009	16	mir	PRON	PPER				1	S		Dat	
24001009	17	sehen	VERB	VVIMP				2	S	Imp		
24001009	18	ich	PRON	PPER				1	S		Nom	
24001009	19	legen	VERB	VVFIN		Fin	Pres	3	S	Sub		
24001009	20	mein	DET	PPOSAT					S		Nom	F
24001009	21	Wort	NOUN	NN					P		Nom	N
24001009	22	in	ADP	APPR								
24001009	23	dein	DET	PPOSAT					S		Acc	M
24001009	24	Mund	NOUN	NN					S		Nom	M
24001010	1	sehen	VERB	VVIMP				2	S	Imp		
24001010	2	ich	PRON	PPER				1	S		Nom	
24001010	3	bestellen	VERB	VVFIN		Fin	Pres	3	S	Sub		
24001010	4	dich	PRON	PPER				2	S		Acc	
