HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
26001001	1	und	CCONJ	KON								
26001001	2	es	PRON	PPER				3	S		Nom	N
26001001	3	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
26001001	4	in	ADP	APPRART					S		Dat	N
26001001	5	dreißigster	ADJ	ADJA	Sup				S		Dat	F
26001001	6	Jahr	NOUN	NN					P		Nom	N
26001001	7	in	ADP	APPRART					S		Dat	N
26001001	8	vierter	ADJ	ADJA	Pos				S		Acc	M
26001001	9	Monat	NOUN	NN					S		Nom	M
26001001	10	an	ADP	APPRART					S		Dat	M
26001001	11	fünfter	NOUN	NN					P		Nom	
26001001	12	der	DET	ART					S		Gen	M
26001001	13	Monat	NOUN	NN					S		Nom	M
26001001	14	als	ADP	KOKOM								
26001001	15	ich	PRON	PPER				1	S		Nom	
26001001	16	inmitten	ADP	APPR								
26001001	17	der	DET	ART					S		Nom	M
26001001	18	Weggeführt	NOUN	NN					P		Nom	M
26001001	19	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
26001001	20	an	ADP	APPRART					S		Dat	M
26001001	21	Fluss	NOUN	NN					P		Nom	M
26001001	22	Kebar	NOUN	NN					S		Nom	N
26001001	23	da	ADV	ADV								
26001001	24	tun	VERB	VVFIN		Fin	Past	3	P	Ind		
26001001	25	sich	PRON	PRF				3	S		Acc	
26001001	26	der	DET	ART					S		Nom	F
26001001	27	Himmel	NOUN	NN					S		Nom	M
26001001	28	auf	ADP	PTKVZ								
26001001	29	und	CCONJ	KON								
26001001	30	ich	PRON	PPER				1	S		Nom	
26001001	31	sehen	VERB	VVFIN		Fin	Past	3	S	Ind		
26001001	32	Gesicht	NOUN	NN					P		Nom	N
26001001	33	Gott	NOUN	NN					S		Gen	M
26001002	1	an	ADP	APPRART					S		Dat	M
26001002	2	fünfter	NOUN	NN					P		Nom	
26001002	3	der	DET	ART					S		Gen	M
26001002	4	Monat	NOUN	NN					S		Nom	M
26001002	5	der	DET	ART					S		Nom	N
26001002	6	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
26001002	7	der	DET	ART					S		Nom	N
26001002	8	fünfter	ADJ	ADJA	Pos				S		Nom	F
26001002	9	Jahr	NOUN	NN					S		Nom	N
26001002	10	der	DET	ART					S		Nom	M
26001002	11	Wegführung	NOUN	NN					S		Nom	F
26001002	12	der	DET	ART					S		Gen	M
26001002	13	König	PROPN	NE					S		Nom	
26001002	14	Jojakin	PROPN	NE					S		Nom	M
26001003	1	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
26001003	2	der	DET	ART					S		Nom	N
26001003	3	Wort	NOUN	NN					S		Nom	N
26001003	4	Jahwe	PROPN	NE					S		Gen	
26001003	5	ausdrücklich	ADV	ADJD	Pos							
26001003	6	zu	ADP	PTKVZ								
26001003	7	Hesekiel	PROPN	NE					S		Nom	M
26001003	8	der	DET	ART					S		Dat	M
26001003	9	Sohn	NOUN	NN					S		Acc	M
26001003	10	Busi	NOUN	NN					P		Nom	M
26001003	11	der	DET	ART					S		Dat	M
26001003	12	Priester	NOUN	NN					P		Nom	M
26001003	13	in	ADP	APPRART					S		Dat	N
26001003	14	Land	NOUN	NN					P		Nom	N
26001003	15	der	DET	ART					S		Nom	M
26001003	16	Chaldäer	NOUN	NE					S		Nom	M
26001003	17	an	ADP	APPRART					S		Dat	M
26001003	18	Fluss	NOUN	NN					P		Nom	M
26001003	19	Kebar	NOUN	NN					S		Nom	N
26001003	20	und	CCONJ	KON								
26001003	21	daselbst	ADV	PROAV								
26001003	22	kommen	VERB	VVFIN		Fin	Past	3	S	Ind		
26001003	23	der	DET	ART					S		Nom	F
26001003	24	Hand	NOUN	NN					S		Nom	F
26001003	25	Jahwe	PROPN	NE					S		Gen	
26001003	26	über	ADP	APPR								
26001003	27	ihn	PRON	PPER				3	S		Acc	M
26001004	1	und	CCONJ	KON								
26001004	2	ich	PRON	PPER				1	S		Nom	
26001004	3	sehen	VERB	VVFIN		Fin	Past	3	S	Ind		
26001004	4	und	CCONJ	KON								
26001004	5	sehen	VERB	VVIMP				2	S	Imp		
26001004	6	ein	DET	ART					S		Nom	N
26001004	7	Sturmwind	NOUN	NN					S		Nom	M
26001004	8	kommen	VERB	VVFIN		Fin	Past	3	S	Ind		
26001004	9	von	ADP	APPR								
26001004	10	Norden	NOUN	NN					S		Nom	M
26001004	11	her	ADV	ADV								
26001004	12	ein	DET	ART					S		Nom	F
26001004	13	groß	ADJ	ADJA	Pos				S		Nom	F
26001004	14	Wolke	NOUN	NN					S		Nom	F
26001004	15	und	CCONJ	KON								
26001004	16	ein	DET	ART					S		Nom	N
26001004	17	Feuer	NOUN	NN					S		Nom	N
26001004	18	sich	PRON	PRF				3	S		Acc	
26001004	19	ineinander	ADV	ADV								
26001004	20	schlingend	ADV	ADJD	Pos							
26001004	21	und	CCONJ	KON								
26001004	22	ein	DET	ART					S		Nom	N
26001004	23	Glanz	NOUN	NN					S		Acc	M
26001004	24	rings	ADV	ADV								
26001004	25	um	ADP	APPR								
26001004	26	derselbe	DET	PDAT					S		Nom	F
26001004	27	und	CCONJ	KON								
26001004	28	aus	ADP	PTKVZ								
26001004	29	sein	DET	PPOSAT					S		Dat	F
26001004	30	Mitte	NOUN	NN					S		Nom	F
26001004	31	aus	ADP	PTKVZ								
26001004	32	der	DET	ART					S		Nom	M
26001004	33	Mitte	NOUN	NN					S		Nom	F
26001004	34	der	DET	ART					S		Gen	M
26001004	35	Feuer	NOUN	NN					S		Gen	N
26001004	36	her	ADV	ADV								
26001004	37	strahln	VERB	VVFIN		Fin	Past	3	S	Ind		
26001004	38	es	PRON	PPER				3	S		Nom	N
26001004	39	wie	ADP	KOKOM								
26001004	40	der	DET	ART					S		Nom	M
26001004	41	Anblick	NOUN	NN					S		Nom	M
26001004	42	von	ADP	APPR								
26001004	43	glänzend	ADV	ADJD	Pos							
26001004	44	Metall	NOUN	NN					S		Nom	N
26001005	1	und	CCONJ	KON								
26001005	2	aus	ADP	PTKVZ								
26001005	3	sein	DET	PPOSAT					S		Dat	F
26001005	4	Mitte	NOUN	NN					S		Nom	F
26001005	5	hervor	ADV	PTKVZ								
26001005	6	erscheinen	VERB	VVFIN		Fin	Past	3	S	Ind		
26001005	7	der	DET	ART					S		Nom	F
26001005	8	Gestalt	NOUN	NN					S		Nom	F
26001005	9	von	ADP	APPR								
26001005	10	vier	NUM	CARD								
26001005	11	lebendig	ADJ	ADJA	Pos				S		Acc	M
26001005	12	Wesen	NOUN	NN					S		Nom	N
26001005	13	und	CCONJ	KON								
26001005	14	dieser	PRON	PDS					S		Nom	N
26001005	15	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
26001005	16	ihr	PRON	PPOSAT				3	S		Dat	F
26001005	17	Aussehen	NOUN	NN					S		Nom	N
26001005	18	sie	PRON	PPER				3	P		Nom	
26001005	19	haben	AUX	VAFIN		Fin	Past	3	P	Ind		
26001005	20	der	DET	ART					S		Nom	F
26001005	21	Gestalt	NOUN	NN					S		Nom	F
26001005	22	ein	PRON	ART					S		Nom	N
26001005	23	Mensch	NOUN	NN					P		Nom	M
26001006	1	und	CCONJ	KON								
26001006	2	jeder	DET	PIAT					S		Nom	N
26001006	3	haben	AUX	VAFIN		Fin	Past	3	S	Ind		
26001006	4	vier	NUM	CARD								
26001006	5	Angesichter	NOUN	NN					S		Nom	F
26001006	6	und	CCONJ	KON								
26001006	7	jeder	DET	PIAT					S		Nom	N
26001006	8	von	ADP	APPR								
26001006	9	ihnen	PRON	PPER				3	P		Dat	
26001006	10	haben	AUX	VAFIN		Fin	Past	3	S	Ind		
26001006	11	vier	NUM	CARD								
26001006	12	Flügel	NOUN	NN					P		Nom	M
26001007	1	und	CCONJ	KON								
26001007	2	ihr	DET	PPOSAT					S		Nom	F
26001007	3	Fuß	PROPN	NN					S		Nom	
26001007	4	sein	AUX	VAFIN		Fin	Past	3	P	Ind		
26001007	5	gerade	ADV	ADV								
26001007	6	Fuß	PROPN	NN					S		Nom	
26001007	7	und	CCONJ	KON								
26001007	8	ihr	DET	PPOSAT					S		Nom	F
26001007	9	Fußsohle	NOUN	NN					P		Nom	F
26001007	10	wie	ADP	KOKOM								
26001007	11	der	DET	ART					S		Nom	F
26001007	12	Fußsohle	NOUN	NN					S		Nom	F
26001007	13	ein	PRON	ART					S		Nom	N
26001007	14	Kalbe	NOUN	NN					S		Nom	N
26001007	15	und	CCONJ	KON								
26001007	16	sie	PRON	PPER				3	P		Nom	
26001007	17	funkeln	VERB	VVFIN		Fin	Past	3	P	Ind		
26001007	18	wie	ADP	KOKOM								
26001007	19	der	DET	ART					S		Nom	M
26001007	20	Anblick	NOUN	NN					S		Nom	M
26001007	21	von	ADP	APPR								
26001007	22	leuchtendem	ADJ	ADJA	Pos				S		Dat	M
26001007	23	Erz	NOUN	NN					P		Nom	N
26001008	1	und	CCONJ	KON								
26001008	2	Menschenhände	NOUN	NN					S		Nom	F
26001008	3	sein	AUX	VAFIN		Fin	Past	3	P	Ind		
26001008	4	unter	ADP	APPR								
26001008	5	ihr	DET	PPOSAT					S		Acc	M
26001008	6	Flügel	NOUN	NN					P		Dat	M
26001008	7	an	ADP	PTKVZ								
