HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
27001001	1	in	ADP	APPRART					S		Dat	M
27001001	2	dritter	ADJ	ADJA	Pos				S		Acc	M
27001001	3	Jahr	NOUN	NN					P		Nom	N
27001001	4	der	DET	ART					S		Nom	M
27001001	5	Regierung	NOUN	NN					S		Nom	F
27001001	6	Jojakim	PROPN	NE					S		Gen	
27001001	7	der	DET	ART					S		Gen	M
27001001	8	König	PROPN	NE					S		Nom	
27001001	9	von	ADP	APPR								
27001001	10	Juda	PROPN	NE					S		Nom	M
27001001	11	kommen	VERB	VVFIN		Fin	Past	3	S	Ind		
27001001	12	Nebukadnezar	PROPN	NE					S		Nom	
27001001	13	der	DET	ART					S		Nom	M
27001001	14	König	NOUN	NN					S		Nom	M
27001001	15	von	ADP	APPR								
27001001	16	Babel	NOUN	NN					S		Nom	N
27001001	17	nach	ADP	APPR								
27001001	18	Jerusalem	PROPN	NE					S		Nom	N
27001001	19	und	CCONJ	KON								
27001001	20	belagern	VERB	VVFIN		Fin	Past	3	S	Ind		
27001001	21	es	PRON	PPER				3	S		Nom	N
27001002	1	und	CCONJ	KON								
27001002	2	der	DET	ART					S		Nom	M
27001002	3	Herr	NOUN	NN					S		Nom	M
27001002	4	geben	VERB	VVFIN		Fin	Past	3	S	Ind		
27001002	5	Jojakim	NOUN	NN					P		Nom	M
27001002	6	der	DET	ART					S		Acc	M
27001002	7	König	NOUN	NN					S		Nom	M
27001002	8	von	ADP	APPR								
27001002	9	Juda	PROPN	NE					S		Nom	M
27001002	10	in	ADP	APPR								
27001002	11	sein	DET	PPOSAT					S		Nom	F
27001002	12	Hand	NOUN	NN					S		Nom	F
27001002	13	und	CCONJ	KON								
27001002	14	ein	DET	ART					S		Acc	M
27001002	15	Teil	NOUN	NN					S		Nom	M
27001002	16	der	DET	ART					S		Nom	M
27001002	17	Gerät	NOUN	NN					P		Nom	N
27001002	18	der	DET	ART					S		Gen	M
27001002	19	Haus	NOUN	NN					S		Gen	N
27001002	20	Gott	NOUN	NN					S		Gen	M
27001002	21	und	CCONJ	KON								
27001002	22	er	PRON	PPER				3	S		Nom	M
27001002	23	bringen	VERB	VVFIN		Fin	Past	3	S	Ind		
27001002	24	sie	PRON	PPER				3	P		Nom	
27001002	25	in	ADP	APPR								
27001002	26	der	DET	ART					S		Nom	N
27001002	27	Land	NOUN	NN					S		Nom	N
27001002	28	Sinear	X	FM								
27001002	29	in	ADP	APPR								
27001002	30	der	DET	ART					S		Nom	N
27001002	31	Haus	NOUN	NN					S		Nom	N
27001002	32	sein	DET	PPOSAT					S		Gen	M
27001002	33	Gott	NOUN	NN					S		Gen	M
27001002	34	der	DET	ART					S		Nom	F
27001002	35	Gerät	NOUN	NN					P		Nom	N
27001002	36	bringen	VERB	VVFIN		Fin	Past	3	S	Ind		
27001002	37	er	PRON	PPER				3	S		Nom	M
27001002	38	in	ADP	APPR								
27001002	39	der	DET	ART					S		Nom	N
27001002	40	Schatzhaus	NOUN	NN					S		Nom	N
27001002	41	sein	DET	PPOSAT					S		Gen	M
27001002	42	Gott	NOUN	NN					S		Gen	M
27001003	1	und	CCONJ	KON								
27001003	2	der	DET	ART					S		Nom	M
27001003	3	König	NOUN	NN					S		Nom	M
27001003	4	befehlen	VERB	VVFIN		Fin	Past	3	S	Ind		
27001003	5	der	DET	ART					S		Dat	M
27001003	6	Aschpena	PROPN	NE					S		Nom	
27001003	7	der	DET	ART					S		Dat	M
27001003	8	oberer	ADJ	ADJA	Sup				S		Dat	F
27001003	9	sein	DET	PPOSAT					S		Dat	F
27001003	10	Kämmerer	NOUN	NN					S		Nom	M
27001003	11	daß	SCONJ	KOUS								
27001003	12	er	PRON	PPER				3	S		Nom	M
27001003	13	von	ADP	APPR								
27001003	14	der	DET	ART					S		Acc	M
27001003	15	Kind	NOUN	NN					P		Dat	N
27001003	16	Israel	PROPN	NE					S		Nom	N
27001003	17	sowohl	CCONJ	KON								
27001003	18	von	ADP	APPR								
27001003	19	der	DET	ART					S		Dat	M
27001003	20	königlich	ADJ	ADJA	Pos				S		Acc	M
27001003	21	Same	NOUN	NN					P		Nom	M
27001003	22	als	ADP	KOKOM								
27001003	23	auch	ADV	ADV								
27001003	24	von	ADP	APPR								
27001003	25	der	DET	ART					S		Acc	M
27001003	26	Vornehmen	NOUN	NN					P		Nom	N
27001003	27	Jünglinge	NOUN	NN					P		Nom	M
27001003	28	brächte	VERB	VVFIN		Fin	Past	3	S	Sub		
27001004	1	an	ADP	PTKVZ								
27001004	2	welcher	DET	PWAT					S		Acc	M
27001004	3	keinerlei	DET	PIAT								
27001004	4	Fehl	NOUN	NN					S		Nom	M
27001004	5	sein	AUX	VAFIN		Fin	Past	3	S	Sub		
27001004	6	und	CCONJ	KON								
27001004	7	schön	ADV	ADJD	Pos							
27001004	8	von	ADP	APPR								
27001004	9	ansehen	NOUN	NN					S		Nom	N
27001004	10	und	CCONJ	KON								
27001004	11	unterwiesen	VERB	VVPP		Part						
27001004	12	in	ADP	APPR								
27001004	13	aller	DET	PIAT					P		Gen	
27001004	14	Weisheit	NOUN	NN					S		Nom	F
27001004	15	und	CCONJ	KON								
27001004	16	kenntnisreich	ADV	ADJD	Pos							
27001004	17	und	CCONJ	KON								
27001004	18	mit	ADP	APPR								
27001004	19	Einsicht	NOUN	NN					S		Nom	F
27001004	20	begabt	ADV	ADJD	Pos							
27001004	21	und	CCONJ	KON								
27001004	22	welcher	DET	PWAT					S		Nom	F
27001004	23	tüchtig	ADV	ADJD	Pos							
27001004	24	sein	AUX	VAFIN		Fin	Past	3	P	Sub		
27001004	25	in	ADP	APPRART					S		Dat	N
27001004	26	Palaste	NOUN	NN					S		Nom	M
27001004	27	der	DET	ART					S		Gen	M
27001004	28	König	PROPN	NE					S		Nom	
27001004	29	zu	ADP	PTKVZ								
27001004	30	stehen	VERB	VVFIN		Fin	Pres	3	P	Ind		
27001004	31	und	CCONJ	KON								
27001004	32	daß	SCONJ	KOUS								
27001004	33	man	PRON	PIS					S		Nom	
27001004	34	sie	PRON	PPER				3	P		Nom	
27001004	35	der	DET	ART					S		Nom	F
27001004	36	Schrift	NOUN	NN					P		Nom	F
27001004	37	und	CCONJ	KON								
27001004	38	der	DET	ART					S		Nom	F
27001004	39	Sprache	NOUN	NN					S		Nom	F
27001004	40	der	DET	ART					S		Nom	M
27001004	41	Chaldäer	NOUN	NE					S		Nom	M
27001004	42	lehren	VERB	NN		Fin	Pres	3	S	Sub		
27001005	1	und	CCONJ	KON								
27001005	2	der	DET	ART					S		Nom	M
27001005	3	König	NOUN	NN					S		Nom	M
27001005	4	verordnet	ADJ	ADJA	Pos				S		Nom	F
27001005	5	ihnen	PRON	PPER				3	P		Dat	
27001005	6	ein	DET	ART					S		Nom	N
27001005	7	Tagtäglich	ADJ	NE	Pos				S		Nom	N
27001005	8	von	ADP	APPR								
27001005	9	der	DET	ART					S		Nom	M
27001005	10	Tafelkost	PROPN	NE					S		Nom	
27001005	11	der	DET	ART					S		Gen	M
27001005	12	König	PROPN	NE					S		Nom	
27001005	13	und	CCONJ	KON								
27001005	14	von	ADP	APPR								
27001005	15	der	DET	ART					S		Dat	M
27001005	16	Wein	NOUN	NN					P		Nom	M
27001005	17	der	DET	ART					S		Acc	M
27001005	18	er	PRON	PPER				3	S		Nom	M
27001005	19	trank	VERB	VVFIN		Fin	Past	3	S	Ind		
27001005	20	und	CCONJ	KON								
27001005	21	daß	SCONJ	KOUS								
27001005	22	man	PRON	PIS					S		Nom	
27001005	23	sie	PRON	PPER				3	P		Nom	
27001005	24	drei	NUM	CARD								
27001005	25	Jahr	NOUN	NN					P		Nom	N
27001005	26	lang	ADV	ADJD	Pos							
27001005	27	Erzöge	PROPN	NE					S		Nom	
27001005	28	und	CCONJ	KON								
27001005	29	an	ADP	APPRART					S		Dat	M
27001005	30	Ende	NOUN	NN					S		Nom	N
27001005	31	derselbe	PRON	PDS					P		Dat	
27001005	32	sollen	AUX	VMFIN		Fin	Past	3	P	Ind		
27001005	33	sie	PRON	PPER				3	P		Nom	
27001005	34	vor	ADP	APPR								
27001005	35	der	DET	ART					S		Dat	M
27001005	36	König	NOUN	NN					S		Nom	M
27001005	37	stehen	VERB	VVFIN		Fin	Pres	3	P	Ind		
27001006	1	und	CCONJ	KON								
27001006	2	es	PRON	PPER				3	S		Nom	N
27001006	3	sein	AUX	VAFIN		Fin	Past	3	P	Ind		
27001006	4	unter	ADP	APPR								
27001006	5	ihnen	PRON	PPER				3	P		Dat	
27001006	6	von	ADP	APPR								
27001006	7	der	DET	ART					S		Acc	M
27001006	8	Kind	NOUN	NN					P		Dat	N
27001006	9	Juda	PROPN	NE					S		Nom	M
27001006	10	Daniel	PROPN	NE					S		Nom	M
27001006	11	Hananja	PROPN	NE					S		Nom	N
27001006	12	Misael	PROPN	NE					S		Nom	M
27001006	13	und	CCONJ	KON								
27001006	14	Asarja	PROPN	NE					S		Nom	
27001007	1	und	CCONJ	KON								
27001007	2	der	DET	ART					S		Nom	M
27001007	3	oberer	ADJ	ADJA	Sup				S		Nom	F
