HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
28001001	1	der	DET	ART					S		Nom	N
28001001	2	Wort	NOUN	NN					S		Nom	N
28001001	3	Jahwe	PROPN	NE					S		Gen	
28001001	4	welcher	DET	PWAT					S		Acc	N
28001001	5	zu	ADP	PTKVZ								
28001001	6	Hosea	PROPN	NE					S		Nom	
28001001	7	der	DET	ART					S		Dat	M
28001001	8	Sohn	NOUN	NN					S		Acc	M
28001001	9	Beeri	NOUN	NN					P		Nom	N
28001001	10	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
28001001	11	in	ADP	APPR								
28001001	12	der	DET	ART					S		Acc	M
28001001	13	Tag	NOUN	NN					P		Dat	M
28001001	14	Ussijas	PROPN	NE					S		Nom	
28001001	15	Jotham	PROPN	NE					S		Gen	
28001001	16	Aha	PROPN	NE					S		Nom	M
28001001	17	Hiskia	PROPN	NE					S		Nom	
28001001	18	der	DET	ART					S		Nom	M
28001001	19	König	NOUN	NN					P		Nom	M
28001001	20	von	ADP	APPR								
28001001	21	Juda	PROPN	NE					S		Nom	M
28001001	22	und	CCONJ	KON								
28001001	23	in	ADP	APPR								
28001001	24	der	DET	ART					S		Acc	M
28001001	25	Tag	NOUN	NN					P		Dat	M
28001001	26	Jerobeam	PROPN	NE					S		Gen	
28001001	27	der	DET	ART					S		Gen	M
28001001	28	Sohn	PROPN	NE					S		Gen	M
28001001	29	Joas	PROPN	NE					S		Nom	
28001001	30	der	DET	ART					S		Gen	M
28001001	31	König	PROPN	NE					S		Nom	
28001001	32	von	ADP	APPR								
28001001	33	Israel	PROPN	NE					S		Nom	N
28001002	1	als	ADP	APPR								
28001002	2	Jahwe	NOUN	NN					S		Nom	M
28001002	3	anfing	VERB	VVFIN		Fin	Past	3	S	Ind		
28001002	4	mit	ADP	APPR								
28001002	5	Hosea	PROPN	NE					S		Nom	
28001002	6	zu	ADP	PTKVZ								
28001002	7	reden	VERB	VVINF		Inf						
28001002	8	da	ADV	ADV								
28001002	9	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
28001002	10	Jahwe	NOUN	NN					S		Nom	M
28001002	11	zu	ADP	PTKVZ								
28001002	12	Hosea	PROPN	NE					S		Nom	
28001002	13	Gehe	VERB	VVIMP				2	S	Imp		
28001002	14	hin	ADV	ADV								
28001002	15	nimm	PROPN	VVFIN					S		Nom	N
28001002	16	dir	PRON	PPER				2	S		Dat	
28001002	17	ein	DET	ART					S		Nom	N
28001002	18	Hurenweib	NOUN	NN					S		Nom	F
28001002	19	und	CCONJ	KON								
28001002	20	Hurenkind	NOUN	NN					P		Nom	N
28001002	21	denn	CCONJ	KON								
28001002	22	der	DET	ART					S		Nom	N
28001002	23	Land	NOUN	NN					S		Nom	N
28001002	24	treiben	VERB	VVFIN		Fin	Pres	3	S	Ind		
28001002	25	beständig	ADV	ADJD	Pos							
28001002	26	Hurerei	NOUN	NN					S		Nom	F
28001002	27	von	ADP	APPR								
28001002	28	Jahwe	NOUN	NN					S		Nom	M
28001002	29	hinweg	ADP	APZR								
28001003	1	und	CCONJ	KON								
28001003	2	er	PRON	PPER				3	S		Nom	M
28001003	3	gehen	VERB	VVFIN		Fin	Past	3	S	Ind		
28001003	4	hin	ADV	ADV								
28001003	5	und	CCONJ	KON								
28001003	6	nehmen	VERB	VVFIN		Fin	Past	3	S	Ind		
28001003	7	Gomer	PROPN	NE					S		Nom	M
28001003	8	der	DET	ART					S		Nom	F
28001003	9	Tochter	NOUN	NN					S		Nom	F
28001003	10	Diblaim	PROPN	NE					S		Gen	
28001003	11	und	CCONJ	KON								
28001003	12	sie	PRON	PPER				3	P		Nom	
28001003	13	werden	VERB	VAFIN		Fin	Past	3	S	Ind		
28001003	14	schwanger	ADV	ADJD	Pos							
28001003	15	und	CCONJ	KON								
28001003	16	gebar	VERB	ADJD		Fin	Past	3	S	Ind		
28001003	17	ihm	PRON	PPER				3	S		Dat	M
28001003	18	ein	DET	ART					S		Acc	M
28001003	19	Sohn	NOUN	NN					S		Nom	M
28001004	1	und	CCONJ	KON								
28001004	2	Jahwe	NOUN	NN					S		Nom	M
28001004	3	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
28001004	4	zu	ADP	PTKVZ								
28001004	5	ihm	PRON	PPER				3	S		Dat	M
28001004	6	Gib	ADV	ADJD	Pos							
28001004	7	ihm	PRON	PPER				3	S		Dat	M
28001004	8	der	DET	ART					S		Acc	M
28001004	9	Name	NOUN	NN					P		Nom	M
28001004	10	Jisreel	NOUN	NN					S		Nom	N
28001004	11	denn	CCONJ	KON								
28001004	12	noch	CCONJ	KON								
28001004	13	um	ADP	APPR								
28001004	14	ein	DET	ART					S		Nom	N
28001004	15	Kleines	NOUN	NN					S		Nom	N
28001004	16	so	ADV	ADV								
28001004	17	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
28001004	18	ich	PRON	PPER				1	S		Nom	
28001004	19	der	DET	ART					S		Nom	F
28001004	20	Blutschuld	NOUN	NN					S		Nom	F
28001004	21	von	ADP	APPR								
28001004	22	Jisreel	NOUN	NN					S		Nom	N
28001004	23	an	ADP	PTKVZ								
28001004	24	der	DET	ART					S		Dat	M
28001004	25	Haus	NOUN	NN					P		Nom	N
28001004	26	Jehu	PROPN	NE					S		Gen	M
28001004	27	heimsuchen	VERB	VVFIN		Fin	Pres	3	P	Ind		
28001004	28	und	CCONJ	KON								
28001004	29	der	DET	ART					S		Dat	M
28001004	30	Königtum	NOUN	NN					S		Nom	N
28001004	31	der	DET	ART					S		Gen	M
28001004	32	Haus	NOUN	NN					S		Gen	N
28001004	33	Israel	PROPN	NE					S		Nom	N
28001004	34	ein	DET	ART					S		Nom	N
28001004	35	Ende	NOUN	NN					S		Nom	N
28001004	36	machen	VERB	VVINF		Inf						
28001005	1	und	CCONJ	KON								
28001005	2	es	PRON	PPER				3	S		Nom	N
28001005	3	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
28001005	4	geschehen	VERB	VVPP		Part						
28001005	5	an	ADP	PTKVZ								
28001005	6	jener	DET	PDAT					S		Dat	N
28001005	7	Tag	NOUN	NN					P		Nom	M
28001005	8	da	ADV	ADV								
28001005	9	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
28001005	10	ich	PRON	PPER				1	S		Nom	
28001005	11	der	DET	ART					S		Acc	M
28001005	12	Bogen	NOUN	NN					S		Nom	M
28001005	13	Israel	PROPN	NE					S		Gen	N
28001005	14	zerbrechen	VERB	VVINF		Inf						
28001005	15	in	ADP	APPRART					S		Dat	N
28001005	16	Tal	PROPN	NN					S		Nom	
28001005	17	Jisreel	NOUN	NN					S		Nom	N
28001006	1	und	CCONJ	KON								
28001006	2	sie	PRON	PPER				3	P		Nom	
28001006	3	werden	VERB	VAFIN		Fin	Past	3	S	Ind		
28001006	4	wiederum	ADV	ADV								
28001006	5	schwanger	ADV	ADJD	Pos							
28001006	6	und	CCONJ	KON								
28001006	7	gebar	VERB	ADJD		Fin	Past	3	S	Ind		
28001006	8	ein	DET	ART					S		Nom	F
28001006	9	Tochter	NOUN	NN					S		Nom	F
28001006	10	und	CCONJ	KON								
28001006	11	er	PRON	PPER				3	S		Nom	M
28001006	12	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
28001006	13	zu	ADP	PTKVZ								
28001006	14	ihm	PRON	PPER				3	S		Dat	M
28001006	15	Gib	ADV	ADJD	Pos							
28001006	16	ihr	PRON	PPOSAT				3	S		Dat	F
28001006	17	der	DET	ART					S		Acc	M
28001006	18	Name	NOUN	NN					P		Nom	M
28001006	19	Lo-Ruchama	NOUN	NN					S		Nom	M
28001006	20	denn	CCONJ	KON								
28001006	21	ich	PRON	PPER				1	S		Nom	
28001006	22	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
28001006	23	mich	PRON	PPER				1	S		Acc	
28001006	24	fortan	ADV	ADV								
28001006	25	der	DET	ART					S		Gen	M
28001006	26	Haus	NOUN	NN					S		Gen	N
28001006	27	Israel	PROPN	NE					S		Nom	N
28001006	28	nicht	PART	PTKNEG								
28001006	29	mehr	ADV	ADV								
28001006	30	erbarmen	VERB	VVPP		Inf						
28001006	31	daß	SCONJ	KOUS								
28001006	32	ich	PRON	PPER				1	S		Nom	
28001006	33	ihnen	PRON	PPER				3	P		Dat	
28001006	34	irgendwie	ADV	ADV								
28001006	35	vergeben	VERB	VVFIN		Fin	Pres	3	S	Sub		
28001007	1	aber	CCONJ	KON								
28001007	2	der	DET	ART					S		Gen	M
28001007	3	Haus	NOUN	NN					S		Gen	N
28001007	4	Juda	PROPN	NE					S		Nom	M
