HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
29001001	1	der	DET	ART					S		Nom	N
29001001	2	Wort	NOUN	NN					S		Nom	N
29001001	3	Jahwe	PROPN	NE					S		Gen	
29001001	4	welcher	DET	PWAT					S		Acc	N
29001001	5	zu	ADP	PTKVZ								
29001001	6	Joel	PROPN	NE					S		Nom	M
29001001	7	der	DET	ART					S		Dat	M
29001001	8	Sohn	NOUN	NN					S		Acc	M
29001001	9	Pethuel	PROPN	NN					S		Gen	
29001001	10	geschehen	VERB	VVFIN		Fin	Past	3	S	Ind		
29001002	1	höret	NOUN	NN					S		Nom	N
29001002	2	dieser	DET	PDAT					S		Nom	N
29001002	3	ihr	PRON	PPOSAT				3	S		Dat	F
29001002	4	alte	NOUN	ADJA					P		Nom	
29001002	5	und	CCONJ	KON								
29001002	6	nehmeen	VERB	VVFIN		Fin	Pres	3	S	Ind		
29001002	7	es	PRON	PPER				3	S		Nom	N
29001002	8	zu	ADP	PTKVZ								
29001002	9	Ohr	NOUN	NN					P		Nom	N
29001002	10	aller	PRON	PIS					P		Nom	
29001002	11	ihr	PRON	PPOSAT				3	S		Dat	F
29001002	12	Bewohner	NOUN	NN					P		Nom	M
29001002	13	der	DET	ART					S		Gen	M
29001002	14	Land	NOUN	NN					S		Gen	N
29001002	15	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
29001002	16	solcher	DET	PIAT					S		Nom	N
29001002	17	in	ADP	APPR								
29001002	18	euren	DET	PPOSAT					S		Acc	M
29001002	19	Tag	NOUN	NN					P		Dat	M
29001002	20	geschehen	VERB	VVPP		Part						
29001002	21	oder	CCONJ	KON								
29001002	22	in	ADP	APPR								
29001002	23	der	DET	ART					S		Acc	M
29001002	24	Tag	NOUN	NN					P		Dat	M
29001002	25	eurer	PRON	PPOSAT							Gen	
29001002	26	Vater	NOUN	NN					P		Nom	M
29001003	1	Erzählet	PROPN	NE					S		Nom	
29001003	2	davon	ADV	PROAV								
29001003	3	euren	DET	PPOSAT					S		Acc	M
29001003	4	Kind	NOUN	NN					P		Dat	N
29001003	5	und	CCONJ	KON								
29001003	6	eure	DET	PPOSAT					S		Nom	F
29001003	7	Kind	NOUN	NN					P		Nom	N
29001003	8	ihr	DET	PPOSAT					S		Acc	M
29001003	9	Kind	NOUN	NN					P		Dat	N
29001003	10	und	CCONJ	KON								
29001003	11	ihr	DET	PPOSAT					S		Nom	F
29001003	12	Kind	NOUN	NN					P		Nom	N
29001003	13	der	DET	ART					S		Dat	M
29001003	14	folgend	ADJ	ADJA	Pos				S		Acc	M
29001003	15	Geschlecht	NOUN	NN					S		Nom	N
29001004	1	was	PRON	PWS					S		Nom	N
29001004	2	der	DET	ART					S		Nom	M
29001004	3	Nager	NOUN	NN					P		Nom	M
29001004	4	übriggelassen	VERB	VVPP		Part						
29001004	5	haben	AUX	VAFIN		Fin	Past	3	S	Ind		
29001004	6	fraß	VERB	VVFIN		Fin	Past	3	S	Ind		
29001004	7	der	DET	ART					S		Nom	F
29001004	8	Heuschrecke	NOUN	NN					S		Nom	F
29001004	9	und	CCONJ	KON								
29001004	10	was	PRON	PWS					S		Nom	N
29001004	11	der	DET	ART					S		Nom	F
29001004	12	Heuschrecke	NOUN	NN					S		Nom	F
29001004	13	übriggelassen	VERB	VVPP		Part						
29001004	14	fraß	VERB	VVFIN		Fin	Past	3	S	Ind		
29001004	15	der	DET	ART					S		Nom	M
29001004	16	Abfresser	X	FM								
29001004	17	und	CCONJ	KON								
29001004	18	was	PRON	PWS					S		Nom	N
29001004	19	der	DET	ART					S		Nom	M
29001004	20	Abfresser	X	FM								
29001004	21	übriggelassen	VERB	VVPP		Part						
29001004	22	fraß	VERB	VVFIN		Fin	Past	3	S	Ind		
29001004	23	der	DET	ART					S		Nom	M
29001004	24	Vertilger	PROPN	NE					S		Nom	M
29001005	1	Wachet	PROPN	NE					S		Nom	F
29001005	2	auf	ADP	PTKVZ								
29001005	3	ihr	PRON	PPOSAT				3	S		Dat	F
29001005	4	Trunken	NOUN	NN					P		Nom	F
29001005	5	und	CCONJ	KON								
29001005	6	weinet	ADV	ADJD	Pos							
29001005	7	und	CCONJ	KON								
29001005	8	Heulet	PROPN	NE					S		Nom	
29001005	9	aller	PRON	PIS					P		Nom	
29001005	10	ihr	PRON	PPOSAT				3	S		Dat	F
29001005	11	Weinsäufer	PROPN	NE					S		Nom	
29001005	12	über	ADP	APPR								
