HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
3001001	1	und	CCONJ	KON								
3001001	2	Jahwe	NOUN	NN					S		Nom	M
3001001	3	rufen	VERB	VVFIN		Fin	Past	3	S	Ind		
3001001	4	Mose	PROPN	NE					S		Nom	
3001001	5	und	CCONJ	KON								
3001001	6	er	PRON	PPER				3	S		Nom	M
3001001	7	reden	VERB	VVFIN		Fin	Past	3	S	Ind		
3001001	8	zu	ADP	PTKVZ								
3001001	9	ihm	PRON	PPER				3	S		Dat	M
3001001	10	aus	ADP	PTKVZ								
3001001	11	der	DET	ART					S		Dat	M
3001001	12	Zelt	NOUN	NN					P		Nom	N
3001001	13	der	DET	ART					S		Nom	M
3001001	14	Zusammenkunft	NOUN	NN					S		Nom	F
3001001	15	und	CCONJ	KON								
3001001	16	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
3001002	1	Rede	NOUN	NN					S		Nom	F
3001002	2	zu	ADP	PTKVZ								
3001002	3	der	DET	ART					S		Acc	M
3001002	4	Kind	NOUN	NN					P		Dat	N
3001002	5	Israel	PROPN	NE					S		Nom	N
3001002	6	und	CCONJ	KON								
3001002	7	sprich	ADV	ADV								
3001002	8	zu	ADP	PTKVZ								
3001002	9	ihnen	PRON	PPER				3	P		Dat	
3001002	10	wenn	SCONJ	KOUS								
3001002	11	ein	DET	ART					S		Nom	N
3001002	12	Mensch	NOUN	NN					S		Nom	M
3001002	13	von	ADP	APPR								
3001002	14	euch	PRON	PPER				2	P		Dat	
3001002	15	der	DET	ART					S		Dat	M
3001002	16	Jahwe	NOUN	NN					S		Nom	M
3001002	17	ein	DET	ART					S		Nom	F
3001002	18	Opfergabe	NOUN	NN					S		Nom	F
3001002	19	darbringen	VERB	VVINF		Inf						
3001002	20	wollen	AUX	VMFIN		Fin	Pres	3	S	Ind		
3001002	21	so	ADV	ADV								
3001002	22	sollten	AUX	VMFIN		Fin	Pres	3	S	Ind		
3001002	23	ihr	PRON	PPOSAT				3	S		Dat	F
3001002	24	von	ADP	APPRART					S		Dat	N
3001002	25	Vieh	NOUN	NN					S		Nom	N
3001002	26	von	ADP	APPRART					S		Dat	N
3001002	27	Rind	NOUN	NN					S		Nom	N
3001002	28	und	CCONJ	KON								
3001002	29	Kleinvieh	NOUN	NN					S		Nom	N
3001002	30	eure	DET	PPOSAT					S		Nom	F
3001002	31	Opfergabe	NOUN	NN					S		Nom	F
3001002	32	darbringen	VERB	VVINF		Inf						
3001003	1	wenn	SCONJ	KOUS								
3001003	2	sein	DET	PPOSAT					S		Nom	F
3001003	3	Opfergabe	NOUN	NN					S		Nom	F
3001003	4	ein	DET	ART					S		Nom	N
3001003	5	Brandopfer	NOUN	NN					S		Nom	M
