HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
30001001	1	Wort	NOUN	NN					P		Nom	N
30001001	2	der	DET	ART					S		Gen	M
30001001	3	Amos	PROPN	NE					S		Nom	M
30001001	4	der	DET	ART					S		Nom	M
30001001	5	unter	ADP	APPR								
30001001	6	der	DET	ART					S		Acc	M
30001001	7	Hirt	NOUN	NN					P		Nom	M
30001001	8	von	ADP	APPR								
30001001	9	Tekoa	PROPN	NE					S		Nom	F
30001001	10	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
30001001	11	welcher	DET	PWAT					S		Nom	F
30001001	12	er	PRON	PPER				3	S		Nom	M
30001001	13	über	ADP	APPR								
30001001	14	Israel	PROPN	NE					S		Nom	N
30001001	15	schauen	VERB	VVPP		Part						
30001001	16	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
30001001	17	in	ADP	APPR								
30001001	18	der	DET	ART					S		Acc	M
30001001	19	Tag	NOUN	NN					P		Dat	M
30001001	20	Ussijas	PROPN	NE					S		Nom	
30001001	21	der	DET	ART					S		Gen	M
30001001	22	König	PROPN	NE					S		Nom	
30001001	23	von	ADP	APPR								
30001001	24	Juda	PROPN	NE					S		Nom	M
30001001	25	und	CCONJ	KON								
30001001	26	in	ADP	APPR								
30001001	27	der	DET	ART					S		Acc	M
30001001	28	Tag	NOUN	NN					P		Dat	M
30001001	29	Jerobeam	PROPN	NE					S		Gen	
30001001	30	der	DET	ART					S		Gen	M
30001001	31	Sohn	PROPN	NE					S		Gen	M
30001001	32	Joas	PROPN	NE					S		Nom	
30001001	33	der	DET	ART					S		Gen	M
30001001	34	König	PROPN	NE					S		Nom	
30001001	35	von	ADP	APPR								
30001001	36	Israel	PROPN	NE					S		Nom	N
30001001	37	zwei	NUM	CARD								
30001001	38	Jahr	NOUN	NN					P		Nom	N
30001001	39	vor	ADP	APPR								
30001001	40	der	DET	ART					S		Dat	M
30001001	41	Erdbeben	NOUN	NN					S		Nom	N
30001002	1	und	CCONJ	KON								
30001002	2	er	PRON	PPER				3	S		Nom	M
30001002	3	sprechen	VERB	VVFIN		Fin	Past	3	S	Ind		
30001002	4	Jahwe	NOUN	NN					S		Nom	M
30001002	5	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
30001002	6	aus	ADP	PTKVZ								
