HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
31001001	1	Gesicht	NOUN	NN					S		Nom	N
31001001	2	Obadjas	NOUN	NN					S		Nom	F
31001001	3	so	ADV	ADV								
31001001	4	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
31001001	5	der	DET	ART					S		Nom	M
31001001	6	Herr	NOUN	NN					S		Nom	M
31001001	7	Jahwe	NOUN	NN					S		Nom	M
31001001	8	von	ADP	APPR								
31001001	9	Edom	PROPN	NE					S		Nom	
31001001	10	ein	DET	ART					S		Nom	F
31001001	11	Kunde	NOUN	NN					S		Nom	M
31001001	12	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
31001001	13	wir	PRON	PPER				1	P		Nom	
31001001	14	von	ADP	APPR								
31001001	15	Jahwe	NOUN	NN					S		Nom	M
31001001	16	gehören	VERB	VVFIN		Fin	Pres	3	S	Ind		
31001001	17	und	CCONJ	KON								
31001001	18	ein	DET	ART					S		Nom	N
31001001	19	Bote	NOUN	NN					S		Nom	M
31001001	20	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
31001001	21	unter	ADP	APPR								
31001001	22	der	DET	ART					S		Nom	F
31001001	23	Nation	NOUN	NN					P		Nom	F
31001001	24	gesandt	VERB	VVPP		Part						
31001001	25	werden	AUX	VAPP		Part						
31001001	26	machet	ADV	FM								
31001001	27	euch	PRON	PPER				2	P		Dat	
31001001	28	auf	ADP	PTKVZ								
31001001	29	und	CCONJ	KON								
31001001	30	lassen	VERB	VVIMP				2	P	Imp		
31001001	31	uns	PRON	PPER				1	P		Acc	
31001001	32	wider	ADP	PTKVZ								
31001001	33	Dasselbe	DET	PDAT					S		Nom	N
31001001	34	aufstehen	VERB	VVINF		Inf						
31001001	35	zu	ADP	APPRART					S		Dat	N
31001001	36	Krieg	NOUN	NN					P		Nom	M
31001002	1	sehen	VERB	VVIMP				2	S	Imp		
31001002	2	ich	PRON	PPER				1	S		Nom	
31001002	3	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
31001002	4	dich	PRON	PPER				2	S		Acc	
31001002	5	klein	ADV	ADJD	Pos							
31001002	6	machen	VERB	VVPP		Part						
31001002	7	unter	ADP	APPR								
31001002	8	der	DET	ART					S		Acc	M
31001002	9	Nation	NOUN	NN					P		Nom	F
31001002	10	du	PRON	PPER				2	S		Nom	
31001002	11	sein	AUX	VAFIN		Fin	Pres	2	S	Ind		
31001002	12	sehr	ADV	ADV								
31001002	13	verachten	VERB	VVFIN		Fin	Pres	3	S	Ind		
31001003	1	der	DET	ART					S		Nom	M
31001003	2	Übermut	NOUN	NN					S		Nom	M
31001003	3	dein	DET	PPOSAT					S		Gen	N
31001003	4	Herzens	NOUN	NN					P		Nom	N
31001003	5	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
31001003	6	dich	PRON	PPER				2	S		Acc	
31001003	7	verführen	VERB	VVPP		Part						
31001003	8	der	DET	ART					S		Nom	M
31001003	9	du	PRON	PPER				2	S		Nom	
31001003	10	in	ADP	APPR								
31001003	11	Felsenklüfte	NOUN	NN					P		Nom	M
31001003	12	auf	ADP	PTKVZ								
31001003	13	hoch	ADJ	ADJA	Pos				S		Dat	M
31001003	14	Sitz	NOUN	NN					P		Nom	M
31001003	15	Wohnst	PROPN	NE					S		Nom	
31001003	16	und	CCONJ	KON								
31001003	17	in	ADP	APPR								
31001003	18	dein	DET	PPOSAT					S		Dat	M
31001003	19	Herz	NOUN	NN					S		Nom	N
31001003	20	sprichst	VERB	VVFIN		Fin	Pres	3	S	Ind		
31001003	21	wer	PRON	PWS					S		Nom	M
31001003	22	werden	AUX	VAFIN		Fin	Pres	3	S	Ind		
31001003	23	mich	PRON	PPER				1	S		Acc	
31001003	24	zu	ADP	APPRART					S		Dat	F
31001003	25	Erde	NOUN	NN					S		Nom	F
31001003	26	hinabstürzen	VERB	VVINF		Inf						
31001004	1	wenn	SCONJ	KOUS								
31001004	2	du	PRON	PPER				2	S		Nom	
31001004	3	dein	DET	PPER					S		Nom	N
31001004	4	Nest	NOUN	NE					S		Nom	N
31001004	5	auch	ADV	ADV								
31001004	6	hoch	ADV	ADJD	Pos							
31001004	7	bausen	VERB	VVFIN		Fin	Pres	3	S	Ind		
31001004	8	wie	ADP	KOKOM								
31001004	9	der	DET	ART					S		Nom	M
31001004	10	Adler	NOUN	NN					S		Nom	M
31001004	11	und	CCONJ	KON								
31001004	12	wenn	SCONJ	KOUS								
31001004	13	es	PRON	PPER				3	S		Nom	N
31001004	14	zwischen	ADP	APPR								
31001004	15	der	DET	ART					S		Nom	F
31001004	16	Stern	NOUN	NN					P		Nom	M
31001004	17	setzen	VERB	VVPP		Part						
31001004	18	sein	AUX	VAFIN		Fin	Past	3	S	Sub		
31001004	19	ich	PRON	PPER				1	S		Nom	
31001004	20	werden	AUX	VAFIN		Fin	Pres	3	S	Sub		
31001004	21	dich	PRON	PPER				2	S		Acc	
31001004	22	von	ADP	APPR								
31001004	23	dort	ADV	ADV								
31001004	24	hinabstürzen	VERB	VVINF		Inf						
31001004	25	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
31001004	26	Jahwe	NOUN	NN					S		Nom	M
31001005	1	wenn	SCONJ	KOUS								
31001005	2	Dieb	NOUN	NN					P		Nom	M
31001005	3	über	ADP	APPR								
31001005	4	dich	PRON	PPER				2	S		Acc	
31001005	5	kommen	VERB	VVPP		Part						
31001005	6	sein	AUX	VAFIN		Fin	Past	3	P	Sub		
31001005	7	wenn	SCONJ	KOUS								
31001005	8	nächtlich	ADJ	ADJA	Pos				S		Nom	F
31001005	9	Räuber	NOUN	NN					S		Nom	M
31001005	11	wie	ADP	KOKOM								
31001005	12	sein	AUX	VAFIN		Fin	Pres	2	S	Ind		
31001005	13	du	PRON	PPER				2	S		Nom	
31001005	14	vernichten	VERB	VVPP		Part						
31001005	15	werden	AUX	VAFIN		Fin	Past	3	P	Sub		
31001005	16	sie	PRON	PPER				3	P		Nom	
31001005	17	nicht	PART	PTKNEG								
31001005	18	stehlen	VERB	VVPP		Part						
31001005	19	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
31001005	20	nach	ADP	APPR								
31001005	21	ihr	DET	PPOSAT					S		Dat	F
31001005	22	Genüge	NOUN	NN					S		Nom	F
31001005	23	wenn	SCONJ	KOUS								
31001005	24	Winzer	NOUN	NN					P		Nom	M
31001005	25	über	ADP	APPR								
31001005	26	dich	PRON	PPER				2	S		Acc	
31001005	27	kommen	VERB	VVPP		Part						
31001005	28	sein	AUX	VAFIN		Fin	Past	3	P	Sub		
31001005	29	werden	AUX	VAFIN		Fin	Past	3	P	Sub		
31001005	30	sie	PRON	PPER				3	P		Nom	
31001005	31	nicht	PART	PTKNEG								
31001005	32	ein	DET	ART					S		Nom	F
31001005	33	Nachlese	NOUN	NN					S		Nom	F
31001005	34	übriggelassen	VERB	VVPP		Part						
31001005	35	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
31001006	1	wie	ADV	PWAV								
31001006	2	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
31001006	3	der	DET	ART					S		Nom	F
31001006	4	von	ADP	APPR								
31001006	5	Esau	PROPN	NE					S		Nom	
31001006	6	durchsuchen	VERB	VVPP		Part						
31001006	7	ausgeforscht	VERB	VVPP		Part						
31001006	8	ihr	DET	PPOSAT					S		Nom	F
31001006	9	verborgen	ADJ	ADJA	Pos				S		Acc	M
31001006	10	Schatz	NOUN	NN					P		Nom	M
31001007	1	alle	PRON	PIS					P		Nom	
31001007	2	dein	DET	PPOSAT					S		Nom	F
31001007	3	Bundesgenosse	NOUN	NN					P		Nom	M
31001007	4	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
31001007	5	dich	PRON	PPER				2	S		Acc	
31001007	6	bis	CCONJ	KON								
31001007	7	zu	ADP	APPRART					S		Dat	F
31001007	8	Grenze	NOUN	NN					S		Nom	F
31001007	9	schicken	ADV	ADJD	Pos							
31001007	10	betrügen	VERB	VVPP		Part						
31001007	11	überwältigen	VERB	VVPP		Part						
31001007	12	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
31001007	13	dich	PRON	PPER				2	S		Acc	
31001007	14	dein	DET	PPOSAT					S		Nom	F
31001007	15	Freund	NOUN	NN					P		Nom	M
31001007	16	der	DET	ART					S		Nom	F
31001007	17	dein	DET	PPER					S		Nom	N
31001007	18	Brot	NOUN	NN					S		Nom	N
31001007	19	aßen	VERB	VVFIN		Fin	Past	3	P	Ind		
31001007	20	sie	PRON	PPER				3	P		Nom	
31001007	21	legen	VERB	VVFIN		Fin	Past	3	P	Ind		
31001007	22	ein	DET	ART					S		Nom	F
31001007	23	Schlinge	NOUN	NN					S		Nom	F
31001007	24	unter	ADP	APPR								
31001007	25	dich	PRON	PPER				2	S		Acc	
